Idiom (Cham),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cham)",First Example Sentence,Second Example Sentence,Third Example Sentence
آگ ءَ بازی مکن,Imperative negative clause with object marker and verbal noun construction,Do not engage in dangerous or risky behavior that could escalate beyond control,خطرناک کار مکن,B1,"Daily speech, warnings, family advice, politics","Colloquial, cautionary",Derived from desert survival culture where uncontrolled fire meant disaster,/aːg ə baːzi məkon/,پدر گفت: آگ ءَ بازی مکن، ای معامله ساده نیست.,دوستاں ءَ میان گپتگ زیاد بوت، ما گفتم آگ ءَ بازی مکن.,سیاست ءَ میدان ءَ آگ ءَ بازی مکن تا خودت نسوزی.
دل ءَ سنگ بوتگ,Nominal predicate construction with past participle,To become emotionally hardened or unfeeling,بی‌رحم بوتگ,B2,"Family disputes, literature, emotional storytelling","Poetic, emotional",Stone imagery common in Balochi epic poetry symbolizing endurance and harsh landscapes,/del ə sang boːtag/,او بعد از ای حادثه دل ءَ سنگ بوتگ.,چون بچہ ءَ گریه شنوت، دل ءَ سنگ بوتگ نبود.,سالاں ءَ جنگ مردم ءَ دل ءَ سنگ بوتگ.
چشم ءَ نور انت,Copular clause with possessive metaphor,Someone deeply cherished and precious,بسیار عزیز انت,A2,"Family, affection, welcoming speech","Affectionate, warm",Light imagery central in Balochi oral blessings and maternal speech,/t͡ʃaʃm ə nuːr ent/,تو من ءَ چشم ءَ نور ای.,مادر گفت: ای بچہ چشم ءَ نور انت.,مہمان چشم ءَ نور انت، عزت ءَ ساتھ بنشین.
ہوا ءَ گپتگ مکن,Negative imperative with object marker and verbal noun,Do not speak nonsense or empty talk,بی‌معنی گپ مکن,B1,"Humor, sarcasm, debate","Colloquial, sarcastic",Desert wind metaphor implying emptiness and passing sound,/hawaː ə gaptag məkon/,ہوا ءَ گپتگ مکن، اصل موضوع ءَ بیا.,استاد گفت: امتحان ءَ وقت ہوا ءَ گپتگ مکن.,او سیاستدان ہمیشہ ہوا ءَ گپتگ کنیت.
سر ءَ بار زیاد انت,Nominal clause with locative marker and predicate adjective,To be overwhelmed with responsibility or stress,بسیار مصروف و پریشان انت,B2,"Workplace, family responsibilities","Neutral, descriptive",Nomadic imagery of carrying loads on the head across long distances,/sar ə baːr zijaːd ent/,ای روزاں سر ءَ بار زیاد انت.,پروژه ءَ ختم ءَ نزدیک سر ءَ بار زیاد بوت.,پدر ءَ سر ءَ بار زیاد انت اما شکایت نکنیت.
پای ءَ زمین منت,Negative existential clause with locative metaphor,To be unrealistic or disconnected from reality,خیالی و غیرواقعی انت,C1,"Politics, criticism, analysis","Critical, analytical",Groundedness valued in tribal leadership traditions,/paːj ə zamin mant/,ای طرح پای ءَ زمین منت.,اگر حساب نکنی، تصمیم پای ءَ زمین منت.,بعضی وعده‌ها پای ءَ زمین منت.
دل ءَ خوشی بارگ انت,Nominal clause with verbal noun as predicate complement,To be filled with joy or deep satisfaction,بسیار خوشحال انت,A2,"Celebrations, festivals, weddings","Poetic, celebratory",Associated with wedding songs and harvest celebrations,/del ə xoʃi baːrag ent/,عید ءَ روز مردم ءَ دل ءَ خوشی بارگ انت.,خبر کامیابی شنوت، دل ءَ خوشی بارگ انت.,مادر ءَ دیدار ءَ بعد دل ءَ خوشی بارگ انت.
دست ءَ خالی منت,Negative copular clause with object marker,To be empty-handed or without resources,هیچ چیز نداریت,B1,"Economic hardship, migration stories","Neutral, reflective",Common in migration narratives from Makran to Gulf regions,/dast ə xaːli mant/,او دست ءَ خالی منت اما امید زیاد انت.,بازار ءَ روتگ اما دست ءَ خالی برگشت.,کارگر دست ءَ خالی منت و کمک چاہیت.
آب ءَ سر انت,Nominal clause expressing metaphorical overflow,The situation has become unbearable or out of control,وضعیت بسیار بد و غیرقابل تحمل انت,C1,"Politics, crisis discussion, social commentary","Serious, dramatic",Flood imagery rare but powerful in arid Balochistan symbolism,/aːb ə sar ent/,قیمتاں زیاد بوت، آب ءَ سر انت.,اگر اصلاح نکنیم، آب ءَ سر انت.,مردم گفت: بس انت، آب ءَ سر انت.
وقت زر انت,Copular clause equating abstract noun with concrete noun,Time is extremely valuable and must not be wasted,وقت بسیار مهم انت,A1,"Education, workplace, parental advice","Didactic, motivational",Modern adaptation influenced by trade and labor migration economy,/waqt zar ent/,استاد همیشه گویت: وقت زر انت.,امتحان نزدیک انت، وقت زر انت.,کار ءَ میدان ءَ وقت زر انت و تاخیر مکن.
