Idiom (Gilbertese),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Gilbertese)",First Example Sentence,Second Example Sentence,Third Example Sentence
E aki manga kan te kaina te kai ni manga,Negative clause with habitual verb phrase,Describes a lazy or unproductive person who avoids effort or responsibility.,A person who does not like to work.,B1,"Daily speech, humor, family conversations","Colloquial, humorous",Common in South Tarawa; derived from the image of someone refusing to chew hard food—symbol of laziness.,e ˈaki ˈmaŋa kan te ˈkai̯na te ˈkai ni ˈmaŋa,"E aki manga kan te kaina te kai ni manga, e aki riki bwa e kona ni karaoa bwaai.","Ao n te maneaba, e taetae naba bwa ‘e aki manga kan te kaina te kai ni manga’ bwa e mwaiti ni kakabwai.",Te mwaane aio e bon taetae bwa e aki manga kan te kaina te kai ni manga.
Te nakoan te reirei e aki manga oti,Fixed nominal clause with negative completion aspect,Means that learning or wisdom never ends.,Learning continues throughout life.,B2,"Education, philosophy, speeches, motivation","Formal, reflective, poetic",Traditional saying used by elders to encourage lifelong learning.,te naˈkoan te ˈɾei̯ɾei e ˈaki ˈmaŋa ˈoti,E taetae bwa te nakoan te reirei e aki manga oti n te reirei maneaba.,"Te tiaon te mwane e taetae bwa te nakoan te reirei e aki manga oti, e kona ni kairake.",E mwaiti bwa te nakoan te reirei e aki manga oti naba i nanon te aba.
Te riki ni ataei e bon aki riki n te kaba,Comparative proverb clause,Means that skill is not inherited but learned through practice.,One must practice to gain skill.,C1,"Education, mentorship, workplace training","Didactic, proverbial",Old proverb from Abemama atoll emphasizing diligence in craft learning.,te ˈɾiki ni aˈtaei̯ e ˈbɔn ˈaki ˈɾiki n te ˈkapa,E taetae bwa te riki ni ataei e bon aki riki n te kaba.,Ko manga reirei bwa te riki ni ataei e bon aki riki n te kaba.,Te mwaane aio e taetae bwa te riki ni ataei e bon aki riki n te kaba.
Te koro n taeka e aki manga boki,Nominal clause with negative verb phrase,Refers to someone who speaks but does not act; a hypocrite or talker.,Someone who talks but does not do anything.,B2,"Politics, workplace, humor, sarcasm","Ironic, colloquial",Derived from communal observations during village debates at the maneaba.,te ˈkɔɾo n taˈeka e ˈaki ˈmaŋa ˈboki,Te mwaane aio e bon te koro n taeka e aki manga boki.,"Ao e taetae naba bwa e aki mwaane, te koro n taeka e aki manga boki.",E aki manga mwaiti bwa e kona naba bwa te koro n taeka e aki manga boki.
Te kaoti n te mwaane e na manga kabane,Noun phrase with future auxiliary construction,Means that hard work leads to success or reward.,Effort brings results.,B1,"Motivational speech, family life, work, education","Encouraging, formal",Traditional moral idiom tied to fishing and daily work routines.,te kaˈoti n te ˈmwaane e na ˈmaŋa kaˈbane,E taetae bwa te kaoti n te mwaane e na manga kabane.,E bon mwaiti bwa te kaoti n te mwaane e na manga kabane i nanon te kaawa.,Ko manga taetae bwa te kaoti n te mwaane e na manga kabane.
Te nakoan te bwain te moan e bon aoraki te botanaomata,Complex clause with comparative form,Means that appearance can deceive; not all that glitters is gold.,Do not judge people by appearance.,C1,"Moral teaching, stories, proverbs","Proverbial, reflective",Ancestral wisdom comparing deceitful people to the ocean’s deceptive calm.,te naˈkoan te ˈbwai̯n te ˈmoan e ˈbɔn aɔˈɾaki te botaˈnaɔmata,E bon mwaiti bwa te nakoan te bwain te moan e bon aoraki te botanaomata.,E taetae bwa e kona bwa te nakoan te bwain te moan e bon aoraki te botanaomata.,Ko manga reirei bwa te nakoan te bwain te moan e bon aoraki te botanaomata.
Te kateintain ae e aki manga kanganga,Nominalized reflexive verb phrase,Means that a person who never listens to advice causes their own downfall.,Ignoring advice leads to problems.,C1,"Moral, parenting, education","Proverbial, advisory",Traditional lesson about humility and listening to elders’ wisdom.,te kateinˈtain ae e ˈaki ˈmaŋa kaŋaŋa,E mwaiti bwa te kateintain ae e aki manga kanganga.,E taetae bwa e aki kona ni kanganga bwa te kateintain ae e aki manga kanganga.,Te mwane aio e aki mwaane bwa te kateintain ae e aki manga kanganga.
Te koro ni mwenga e aki manga karekea bwa te koro,Double negative proverb clause,Means that a secret or lie will eventually be revealed.,The truth will always come out.,B2,"Family, community life, gossip, moral sayings","Proverbial, cautionary",Originates from community conflict resolution practices in maneaba discussions.,te ˈkɔɾo ni ˈmwɛŋa e ˈaki ˈmaŋa kaɾeˈkea bwa te ˈkɔɾo,E mwaiti bwa te koro ni mwenga e aki manga karekea bwa te koro.,Ko taetae bwa te koro ni mwenga e aki manga karekea bwa te koro.,Te mwaane aio e bon mwaiti bwa te koro ni mwenga e aki manga karekea bwa te koro.
Te nakoan te ririki e aki manga oti,Negative progressive clause,Means that the path of struggle never truly ends; perseverance is lifelong.,Life is a continuous struggle.,C2,"Philosophical, literature, reflective discourse","Poetic, solemn",Common poetic metaphor in traditional chants and elder advice.,te naˈkoan te ɾiɾiˈki e ˈaki ˈmaŋa ˈoti,E taetae bwa te nakoan te ririki e aki manga oti i nanon te aba.,E mwaiti bwa te nakoan te ririki e aki manga oti i nanon te kabane.,Ko mwaiti bwa te nakoan te ririki e aki manga oti naba.
Te nakoan te kaawa e aki manga tia,Negative nominal clause with habitual action,Means that one cannot escape the consequences of their actions.,Actions have consequences.,B2,"Moral lessons, community life, politics","Formal, advisory",Rooted in Kiribati’s communal value of accountability and justice.,te naˈkoan te kaˈawa e ˈaki ˈmaŋa ˈtia,E mwaiti bwa te nakoan te kaawa e aki manga tia.,E taetae bwa te nakoan te kaawa e aki manga tia n te maneaba.,Ko taetae bwa te nakoan te kaawa e aki manga tia naba.
