Idiom (Brithenig),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Brithenig)",First Example Sentence,Second Example Sentence,Third Example Sentence
Aver lo cap in las nubes,Fixed clause with infinitive complement,To be daydreaming or distracted from reality,Essere distratto / To be inattentive,B1,"Daily speech, humor, mild criticism","Colloquial, lighthearted",Derived from medieval poetic imagery of dreamers gazing at the heavens,/ˈaver lo ˈkap in las ˈnubəs/,Ys ave lo cap in las nubes e ne escuta nada.,"Quande ys pensa tro mult, ys ave lo cap in las nubes.",Jo dic ys ave sempre lo cap in las nubes durant le leçon.
Far de un gran mont una picca,Fixed clause with prepositional complement,To exaggerate or make a big deal out of something minor,To overreact or exaggerate,B2,"Family, workplace, humor","Colloquial, mildly critical",Based on a common Romance idiom; reflects rural imagery of mountainous exaggeration,/far de un gran mont una ˈpitʃa/,"Ne far de un gran mont una picca, ys solament errad un vez.",Ys sempre fa de un mont una picca quande parla de politica.,Jo ne vol far de chesta cosa un mont una picca.
Dar lo colp a l’aqua,Verb phrase with prepositional complement,To attempt something futile or ineffective,To waste effort on something impossible,C1,"Philosophy, reflection, workplace","Literary, ironic",Refers to medieval fishing metaphors; striking the water achieves nothing,/dar lo ˈkolp a lˈakwa/,"Ys prova cambiar ys, ma es dar lo colp a l’aqua.",Jo sentit que tot effort es dar lo colp a l’aqua.,"Ys tentad convencer ys, ma fu dar lo colp a l’aqua."
Tenir la lingua tra los dents,Reflexive verb construction in imperative form,To stay silent or keep a secret,To stay quiet / keep silent,B1,"Politics, family, discretion","Colloquial, advisory",A common Latin-root idiom reflecting self-restraint,/teˈnir la ˈliŋgwa tra los ˈdents/,"Ten ta lingua tra los dents, ys ne vol scandal!",Jo dev tenir la lingua tra los dents davant lo director.,Ys ne pos tenir la lingua tra los dents quande ys es furios.
Cantar victoria ante la batalha,Verb phrase with subordinate temporal clause,To celebrate success before achieving it,To assume success prematurely,B2,"Politics, sports, education","Colloquial, cautionary",Common in Brithenig war proverbs referencing medieval campaigns,/kanˈtar vikˈtorja ˈante la baˈtaʎa/,"Ne cantar victoria ante la batalha, lo examen es dificile.",Ys haie cantad victoria ante la batalha e perded tot.,Lo club cantad victoria ante la batalha e ys ne ganhad.
Prender lo taur per las cornas,Verb phrase with prepositional complement,To confront a problem directly and decisively,To face the situation bravely,C1,"Business, leadership, decision-making","Formal, metaphorical",Derived from bullfighting metaphors of Iberian influence,/ˈprender lo ˈtau̯r per las ˈkornas/,Jo decid prender lo taur per las cornas e resolver lo problem.,Ys prendet lo taur per las cornas durant la crisi.,"Ne fuj lo dificult, prender lo taur per las cornas!"
Aver lo cor de leun,Verb phrase with possessive complement,To be courageous or brave,To show bravery,A2,"Daily speech, encouragement","Positive, idiomatic",Inspired by heraldic and chivalric imagery of medieval Wales,/ˈaver lo ˈkor de leˈun/,Ys ave lo cor de leun davant lo peril.,"Prende cor, ave lo cor de leun!",Ys mostra lo cor de leun en tot moment.
Dormir como un tronco,Simile with prepositional complement,To sleep very deeply,To sleep soundly,A2,"Daily speech, humor","Colloquial, humorous",Originated from rural Brithenig woodcutters’ slang,/dorˈmir ˈkomo un ˈtroŋko/,Jo dormid como un tronco la not passada.,Ys dorm como un tronco despues del festa.,"Despres de tanto labor, ys dorm como un tronco."
Ne esser tot rose,Negative copular clause,Not everything is perfect or easy,Things aren’t as perfect as they seem,B2,"Reflection, advice, realism","Neutral, philosophical",Based on pastoral imagery from Brithenig literature,/ne ˈeser tot ˈroze/,"La vita ne es tot rose, ys sap ben.",Ys comprend que lo mariaj ne es tot rose.,"Jo dic a te, lo mon ne es tot rose!"
Fer del nas una montanha,Fixed clause with noun complement,To react dramatically or take offense easily,To overreact emotionally,C1,"Humor, family, informal conversation","Ironic, colloquial",Popularized in 18th-century Brithenig satire plays,/fer del ˈnas una monˈtaɲa/,Ys fer del nas una montanha per cada parola.,"Jo ne vol fer del nas una montanha, ma ys errad.",Cada volta ys fer del nas una montanha e cria drama.
