Idiom (Onondaga),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Onondaga)",First Example Sentence,Second Example Sentence,Third Example Sentence
Oñgwaweñna' deñwadewayę́stha'.,Fixed declarative clause with collective possessive noun 'our language' and stative/predicate expression; proverb-like evaluative statement.,"The language itself carries teaching, identity, and responsibility; speech is more than information.",Our language teaches us important things.,B2,language class; community teaching; cultural reflection; opening remarks; education,respectful; reflective; culturally grounded,"Rooted in Haudenosaunee emphasis on speech, remembrance, and language revitalization; framed as a community teaching expression.",/õɡwawẽnnaʔ dẽwadewajẽːsthaʔ/,"Oñgwaweñna' deñwadewayę́stha', ne' hodiñöhsó:ni' gehsgó:wa'.","Ahsadwęnö́:ni', oñgwaweñna' deñwadewayę́stha'.","Deyohahá:ge' ne' oya'da'gę́h, oñgwaweñna' deñwadewayę́stha'."
Ganoñhsésgeh ne' gęñhę́:da'.,Locative noun phrase plus predicate nominal; metaphorical equative construction.,Home or the longhouse is the heart of communal life and decision-making.,The home/community center is very important.,B1,family; community meetings; ceremonies; cultural education,warm; communal; respectful,Evokes the centrality of the longhouse and kinship-based community organization in Haudenosaunee life.,/ɡanõhsesɡeh neʔ ɡẽhẽːdaʔ/,"Ganoñhsésgeh ne' gęñhę́:da', ne' ongwędageh shęh nihodeñyę́:de'.","Hęnigę́:ge' ne' hodihsótha', ganoñhsésgeh ne' gęñhę́:da'.","Otgę'ę́da' oya'da'gę́h, ganoñhsésgeh ne' gęñhę́:da'."
Deyętwadę́:nyę' ne' oyę́:de'.,First-person inclusive/collective verbal predicate with patient-like nominal complement; cooperative-action clause.,People solve a difficult matter by working together rather than alone.,We cooperate to finish the work.,B2,workplace; family tasks; organizing events; conflict resolution,encouraging; practical; communal,Reflects consensus-oriented labor and mutual responsibility often highlighted in Haudenosaunee community teaching.,/dejẽtwadẽːnjẽʔ neʔ ojẽːdeʔ/,"Gwadihsę́:da' oshę́:da', deyętwadę́:nyę' ne' oyę́:de'.","Sgę:nö' ne' dehętwagwasá:yę', deyętwadę́:nyę' ne' oyę́:de'.","Ne' ganoñhsá:gęh deyoñhę́:de', deyętwadę́:nyę' ne' oyę́:de'."
Ohwęjá:de' ne' hodinę́:da'.,Nominal subject with metaphorical predicate; land-as-wisdom construction.,"The land teaches people how to live, remember, and behave responsibly.",People learn important lessons from the land.,C1,environment; teaching; ceremony-adjacent reflection; stewardship; storytelling,poetic; reverent; reflective,"Grounded in Haudenosaunee relationships to homelands, planting, seasonal knowledge, and responsibility to place.",/ohwẽjaːdeʔ neʔ hodinẽːdaʔ/,"Ohwęjá:de' ne' hodinę́:da', ne' ganǫhsa'geh shęh niyohwihsdaę́:di'.","Agwadęnöhá:ni' ne' onöñda'gę́h, ohwęjá:de' ne' hodinę́:da'.","Sga:d oya'da'gę́h yehsatgę́:di', ohwęjá:de' ne' hodinę́:da'."
Sgę:nö' gęh ne' deyętwahswá:ni'.,Interrogative-flavored formula plus collective verbal predicate; fixed greeting expanded into metaphorical health/social harmony statement.,"Peace or wellness depends on the state of relationships, not only individual health.",We ask whether everyone is well together.,A2,greetings; family visits; community gatherings; caring check-ins,friendly; caring; everyday,"Based on the widespread greeting concept sgę:nö', connected to peace, wellness, and relational balance.",/sɡẽːnõʔ ɡẽh neʔ dejẽtwahstwaːniʔ/,"Sgę:nö' gęh ne' deyętwahswá:ni', tga:dę́:di' shęh niyohsdá:ge'.","Yagohwiyohs ne' akhsótha', sgę:nö' gęh ne' deyętwahswá:ni'.","Sgę:nö' gęh ne' deyętwahswá:ni', ne' gwa' gęh ęhsadęnö́:ni'."
Ogwę́hda' ne' ganęñhę́:de'.,Nominal metaphor with predicate nominal; story-as-path construction.,"Stories guide people by showing direction, memory, and consequences.",Stories help people understand what to do.,B2,storytelling; teaching children; literature; public speaking,literary; instructive; warm,"Draws on oral tradition, memory, and narrative teaching practices used across Haudenosaunee communities.",/oɡwẽhdaʔ neʔ ɡanẽ̃hẽːdeʔ/,"Ogwę́hda' ne' ganęñhę́:de', ne' hoya'dá:ge' hęhsgę́:di'.","Hodiwęnö́:da' ne' hodihsótha', ogwę́hda' ne' ganęñhę́:de'.","Dęyodahsawę́:di' shęh niyohtó:ge', ogwę́hda' ne' ganęñhę́:de'."
Gayędę́:de' ne' hadinyę́:da'.,Metaphorical nominal predicate; field/crop image mapped to human work and responsibility.,Careful preparation makes later success possible.,Good results come from preparing well.,B1,school; parenting; farming; planning; advice,practical; proverbial; encouraging,"Evokes agricultural knowledge and seasonal planning, including corn-planting responsibilities associated with Haudenosaunee foodways.",/ɡajẽdẽːdeʔ neʔ hadinjẽːdaʔ/,"Gayędę́:de' ne' hadinyę́:da', ne' ęhsadweñnó:ni' aontah.","Tga:dę́:di' ęhsahsę́:di', gayędę́:de' ne' hadinyę́:da'.","Yehsatgę́:di' ne' oyę́:de', gayędę́:de' ne' hadinyę́:da'."
Deyętwahdę́:di' ne' ganyadę́:de'.,Collective verbal predicate with abstract nominal object; consensus/voice metaphor.,People restore balance by speaking honestly and listening together.,We discuss the issue until we agree.,C1,council; mediation; family disagreement; leadership; politics,formal; diplomatic; serious,Inspired by consensus practices and council speech traditions in Haudenosaunee governance.,/dejẽtwahdẽːdiʔ neʔ ɡanjadẽːdeʔ/,"Deyętwahdę́:di' ne' ganyadę́:de', ne' hęnigę́:ge' ęhotinę́:da'.","Otgę'ę́da' deyoñhę́:de', deyętwahdę́:di' ne' ganyadę́:de'.","Ahsadwęnö́:ni' oya'da'gę́h, deyętwahdę́:di' ne' ganyadę́:de'."
Hodihsótha' hęwę́:nye' ne' ongwęhón:we'.,Plural kinship noun subject with motion/continuity predicate and identity noun; ancestral-continuity clause.,"The ancestors continue through the people’s actions, language, and memory.",We honor our ancestors by continuing their ways.,C2,commemoration; speeches; cultural teaching; mourning; ceremonies,solemn; poetic; reverent,References elder/ancestor continuity and the moral importance of carrying knowledge forward.,/hodihsoːthaʔ hẽwẽːnjeʔ neʔ oŋɡwẽhõːnweʔ/,"Hodihsótha' hęwę́:nye' ne' ongwęhón:we', ne' oyeñkwa'ó:de' agwadęnöhá:ni'.","Ahsadwęnö́:ni' oñgwaweñna', hodihsótha' hęwę́:nye' ne' ongwęhón:we'.","Ganoñhsésgeh hęnigę́:ge', hodihsótha' hęwę́:nye' ne' ongwęhón:we'."
Oya'da'gę́h ne' ganǫhsa'geh hęhsadę́:nye'.,Locative temporal phrase plus future/action predicate; journey-through-day metaphor.,A person should move through daily life with purpose and care.,Act carefully throughout the day.,A2,daily advice; family; school; gentle warning; departure,colloquial; caring; advisory,"A practical blessing-like expression tied to everyday care, safety, and mindful conduct.",/ojad͡daʔɡẽh neʔ ɡanõhsaʔɡeh hẽhsadẽːnjeʔ/,"Oya'da'gę́h ne' ganǫhsa'geh hęhsadę́:nye', sgę:nö' hęhsadih.","Akhsótha' shagohsę́:di', oya'da'gę́h ne' ganǫhsa'geh hęhsadę́:nye'.","Tga:dę́:di' ęhsadih, oya'da'gę́h ne' ganǫhsa'geh hęhsadę́:nye'."
