Idiom (Cham),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cham)",First Example Sentence,Second Example Sentence,Third Example Sentence
Mwjang jwla gwsu,Verb phrase; metaphorical compound noun + verb construction,To act proudly despite having little substance or merit,To behave arrogantly without justification,B2,"Daily speech, humor, social criticism","Colloquial, ironic",Rooted in agrarian metaphors contrasting fertile land and barren pride in Dima Hasao villages,/mʷd͡ʒaŋ d͡ʒwla gʷsu/,"Nangha mwjang jwla gwsu, baiha khamja nangha da ase.","Baidi mwjang jwla gwsu, khana khara dang.","Anga mwjang jwla gwsu nisinai, bima nangha dangja."
Dima habasi,Fixed verb phrase; noun + intransitive verb,To give up hope completely,To lose all hope,B1,"Family, emotional discourse","Neutral, emotional",Derived from traditional soil symbolism representing life and resilience,/dima habaːsi/,Anga parikha la dima habasi nisinai.,"Baidi dima habasi, jwla gajao nai.","Nangha dima habasi nai, mwjang ase."
Khamja thangja,Adjective + motion verb; descriptive predicate,To move forward despite fear or doubt,To proceed bravely,B2,"Motivation, politics, leadership","Encouraging, semi-formal",Associated with oral war narratives of Dimasa chiefs,/kʰamd͡ʒa tʰaŋd͡ʒa/,"Nangha khamja thangja, Dima raji nangha da gwsu.","Anga khamja thangja nisinai, habadang ase.","Baidi khamja thangja, jwla habani."
Jonthai jwla dang,Noun phrase + stative verb; fixed expression,To maintain calm during chaos,To remain composed,C1,"Workplace, leadership, literature","Literary, formal",Metaphor comparing stable houses to inner emotional stability,/d͡ʒon tʰaɪ d͡ʒwla daŋ/,"Baidi jonthai jwla dang, dangor khara nisinai.","Anga jonthai jwla dang, khamja habadang ase.","Nangha jonthai jwla dang nisinai, mwjang gajao."
Habai jwla saijao,Verb chain construction; motion + metaphorical object + action,To chase unrealistic dreams,To pursue impractical goals,B2,"Youth advice, family discussions","Advisory, ironic",Agricultural imagery of chasing wind during harvest season,/habaɪ d͡ʒwla saɪd͡ʒaʊ/,"Nangha habai jwla saijao nai, khana khara gwsu.","Baidi habai jwla saijao, dima habasi ase.","Anga habai jwla saijao nisinai, jwla dangja."
Mwjang khara dang,Compound noun + transitive verb; fixed metaphor,To conceal jealousy behind praise,To pretend to admire while feeling envious,C2,"Politics, social satire","Ironic, sarcastic",Village rivalry narratives in traditional festivals,/mʷd͡ʒaŋ kʰara daŋ/,"Baidi mwjang khara dang, nangha jwla gajao.","Anga mwjang khara dang nisinai, khamja ase.","Nangha mwjang khara dang, dangor gwsu."
Dima jwla thangja,Noun + metaphorical noun + motion verb,To restore dignity after humiliation,To regain self-respect,C1,"Community leadership, literature","Formal, poetic",Symbolic of reclaiming land and honor in Dimasa history,/dima d͡ʒwla tʰaŋd͡ʒa/,"Anga dima jwla thangja, khamja habadang.","Baidi dima jwla thangja nisinai, mwjang gwsu.","Nangha dima jwla thangja, jwla gajao."
Jwla habadang ase,Metaphorical noun + perfective verb phrase,To have reached a turning point,To experience a decisive moment,B2,"Life decisions, politics","Neutral, reflective",Inspired by river-crossing metaphors in Dimasa oral epics,/d͡ʒwla habadaŋ ase/,"Anga jwla habadang ase, khana khara gwsu.","Baidi jwla habadang ase nisinai, mwjang ase.","Nangha jwla habadang ase, thangja dang."
Khamja jwla gajao,Adjective + metaphorical noun + transitive verb,To resolve conflict peacefully,To settle a dispute calmly,B2,"Conflict resolution, family","Neutral, diplomatic",Reflects village council reconciliation traditions,/kʰamd͡ʒa d͡ʒwla gad͡ʒaʊ/,"Baidi khamja jwla gajao, dangor habani.","Anga khamja jwla gajao nisinai, jwla dang.","Nangha khamja jwla gajao, mwjang ase."
Mwjang dima dangja,Compound noun + stative verb; metaphorical predicate,To feel deeply content after hardship,To feel satisfied after struggle,C1,"Personal growth, literature","Poetic, reflective",Linked to post-harvest celebration imagery in Cham communities,/mʷd͡ʒaŋ dima daŋd͡ʒa/,"Anga mwjang dima dangja, habadang nisinai.","Baidi mwjang dima dangja, jwla gajao.","Nangha mwjang dima dangja, khamja ase."
