Idiom (Erzya),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Erzya)",First Example Sentence,Second Example Sentence,Third Example Sentence
Кедьсэ кедь вадрякс,Fixed nominal phrase (N+Loc + N + Adv comparative construction),Mutual support; people helping each other reciprocally,Вейке-вейкень помогамс,B1,"Daily speech, family, rural cooperation, community life","Colloquial, positive",Traditional agrarian Erzya village culture emphasizing collective labor,/ˈkedʲsæ ˈkedʲ ˈʋadrʲaks/,"Велева кедьсэ кедь вадрякс, и тевтне киякс шождат.","Ми эрямо кедьсэ кедь вадрякс, апак содавтомо вейкеть.","Сырнесь истямо, кедьсэ кедь вадрякс ансяк паро тевсэ."
Пильгесэ ловсо,Adverbial locative metaphorical construction,To be in a very difficult or awkward situation,Ульнемс пек шожда ситуациясо,B2,"Humor, informal complaints, storytelling","Ironic, colloquial",Image from livestock walking on unstable snowy ground,/ˈpilʲɡʲesæ ˈloʋso/,Мон пильгесэ ловсо ульнень экзаменонтень кисэ.,"Сон арсясь, што пильгесэ ловсо проектэнь марто.","Тон пильгесэ ловсо, кода апак кандат документтне."
Седе панжозь валдо,Metaphorical clause (N+Adv participle construction),To speak openly and honestly,Ёвтомс правданть виевкс,B2,"Politics, debates, journalism",Neutral-formal,Associated with public assemblies in Erzya history,/ˈsʲedʲe ˈpanʒozʲ ˈʋaldo/,Депутатось седе панжозь валдо ёвтась законэнь коряс.,"Мон кельгить, кода тон седе панжозь валдо корят.",Сон седе панжозь валдо мерсь мелезэнть.
Келень кедьсэ ули,Possessive nominal metaphor,To have influence or control over someone,Ульнемс власть марто киякс,C1,"Politics, workplace, power relations",Slightly ironic,Traditional metaphor linking hand to authority,/ˈkelʲenʲ ˈkedʲsæ ˈuli/,Директорось келень кедьсэ ули сотрудниктнень.,"Сон арсясь, што кияк келень кедьсэ ули сонзэ.","Тон апак содат, кия келень кедьсэ ули тевсэ."
Сёрмадозь чачомо,Passive participle phrase,Born to write; naturally gifted writer,Ульнемс природнай талант марто,C2,"Literature, education, praise","Poetic, literary",Used in literary circles in Mordovia,/ˈsʲormadozʲ ˈt͡ʃat͡ʃomo/,"Сон сёрмадозь чачомо, ды сонь книганзо паро кельгить.","Учительтне мерят, што те студентось сёрмадозь чачомо.","Мон арсян, што тон сёрмадозь чачомо ды виев поэт."
Кудосо лембе вайгель,Locative metaphorical noun phrase,A warm and welcoming atmosphere,"Паро, шумбра атмосфера",A2,"Family, hospitality, celebrations","Positive, affectionate",Traditional Erzya hospitality culture,/ˈkudoso ˈlʲembʲe ˈʋajɡʲelʲ/,"Тенек кудосо лембе вайгель, кода кунакса.","Бабась тевсь теемс, кудосо лембе вайгель улезе.","Гостетне арсясть, што кудосо лембе вайгель пек паро."
Пекесь вейке тевсэ,Nominal clause with locative complement,To focus on one single task intensely,Тевсэ ульнемс ансяк вейке арсямо марто,B1,"Workplace, study, productivity",Neutral,Derived from traditional craft specialization,/ˈpekʲesʲ ˈʋejke ˈteʋsæ/,Мон пекесь вейке тевсэ ульнень проектэнь кисэ.,"Сон пекесь вейке тевсэ, апак кулявтомо киякс.",Студентось пекесь вейке тевсэ экзаменонтень марто.
Серма кудосо арась,Negative existential clause,There is no order or discipline,Араш порядок,B2,"Family, criticism, humor","Ironic, mildly critical",Refers to traditional importance of structured household,/ˈserma ˈkudoso ˈarasʲ/,"Тевсэ серма кудосо арась, и кияк апак содави.","Мон ванцян, што серма кудосо арась те проектсэ.","Сон мерсь, што серма кудосо арась велева."
Седе тяштене кельгить,Metaphorical verb phrase,To deeply love someone,Пек кельгемс,A2,"Romantic speech, poetry, songs","Poetic, affectionate",Traditional Erzya lyrical songs,/ˈsʲedʲe ˈtʲaʃtʲene ˈkelʲɡʲitʲ/,Мон седе тяштене кельгань тонь.,Сон седе тяштене кельгить сонь вайгелень.,"Тон содат, што мон седе тяштене кельгань."
Валдо тевсь паро кудосо,Clause with predicate adjective,Good work brings good results/home prosperity,Паро тевсь кандо паро результат,B2,"Proverbs, moral instruction, rural speech","Didactic, proverbial",Agrarian moral teaching tradition,/ˈʋaldo ˈteʋsʲ ˈparo ˈkudoso/,Бабась мерсь: валдо тевсь паро кудосо.,"Тон содат, валдо тевсь паро кудосо ды шумбра эрямо.","Ми верямо, што валдо тевсь паро кудосо ансяк истя."
