Idiom (Waiwai),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Waiwai)",First Example Sentence,Second Example Sentence,Third Example Sentence
Kɨtohka yamoɨ toyoɨrɨ.,Fixed clause; subject-predicate idiom with nominal metaphor.,To act without thinking; to rush into action blindly.,To make a decision without careful thought.,B2,"Daily speech, humor, storytelling.","Colloquial, ironic.",Originates from traditional cautionary tales about hunters acting without foresight.,[kɨ.toʰ.ka ja.moʔɨ to.joʔɨ.ɾɨ],Yanɨ kɨtohka yamoɨ toyoɨrɨ haɨpanɨnɨ nohkoɨ.,Wɨrɨra kɨtohka yamoɨ toyoɨrɨ tɨnɨ kɨtɨnɨ.,Toyoɨrɨ kɨtohka yamoɨ tɨnɨ wapaɨnɨnahka.
Tɨnɨra pataɨkɨ nohkoɨ.,Fixed clause; active declarative structure.,To betray a friend or go against one’s word.,To act disloyally.,C1,"Politics, family, social relationships.","Serious, moralistic.","Rooted in the communal values of the Waiwai, emphasizing trust and social integrity.",[tɨ.nɨ.ɾa pa.taʔɨ.kɨ noʰ.koʔɨ],"Yanɨ tɨnɨra pataɨkɨ nohkoɨ, wɨrɨ yamoɨrɨnɨ.",Wɨrɨrɨnɨ tɨnɨra pataɨkɨ nohkoɨ wapaɨ.,Tohkɨra tɨnɨra pataɨkɨ nohkoɨ wɨrɨ haɨpanɨ.
Panakɨrɨ tɨnɨ haɨtokɨrɨ.,Verb phrase with reflexive connotation.,To be overconfident or prideful before failing.,To be proud before a fall.,B2,"Moral teaching, humor, daily conversation.","Ironic, proverbial.",Linked to traditional folktales where arrogance leads to downfall.,[pa.na.kɨ.ɾɨ tɨ.nɨ haʔɨ.toʔ.kɨ.ɾɨ],Yanɨ panakɨrɨ tɨnɨ haɨtokɨrɨ haɨpanɨ.,Wɨrɨ panakɨrɨ tɨnɨ haɨtokɨrɨ nohkoɨ.,Toyohka panakɨrɨ tɨnɨ wapaɨnɨ.
Hɨtokɨ yamoɨ toyoɨkɨ.,Fixed clause with nominal subject.,To speak nonsense or exaggerate.,To lie or overstate the truth.,B1,"Humor, informal speech.","Playful, teasing.",Used humorously to describe boastful storytellers.,[hɨ.toʔ.kɨ ja.moʔɨ to.joʔ.kɨ],Yanɨ hɨtokɨ yamoɨ toyoɨkɨ nohkoɨ.,Wɨrɨra hɨtokɨ yamoɨ toyoɨkɨ haɨpanɨ.,Toyoɨrɨ hɨtokɨ yamoɨ toyoɨkɨ haɨtokɨ.
Pataɨkɨ wɨrɨ yamoɨrɨ.,Subject–object construction with relational suffix.,To be in deep trouble or distress.,To face a difficult situation.,B2,"Daily speech, warning, advice.","Neutral, cautionary.",Reflects Waiwai imagery of being caught in the deep forest or storm.,[pa.taʔɨ.kɨ wɨ.ɾɨ ja.moʔɨ.ɾɨ],Yanɨ pataɨkɨ wɨrɨ yamoɨrɨ haɨpanɨ.,Wɨrɨ pataɨkɨ yamoɨrɨ nohkoɨ.,Toyoɨrɨ pataɨkɨ yamoɨrɨ wapaɨnɨ.
Wapaɨkɨ nohkoɨrɨ toyoɨrɨ.,Verb phrase with dual object.,To deceive two sides; to act with duplicity.,To play both sides or manipulate.,C1,"Politics, family disputes, workplace conflict.","Formal, accusatory.",Used to criticize hypocrisy or double-dealing.,[wa.paʔɨ.kɨ noʰ.koʔɨ.ɾɨ to.joʔɨ.ɾɨ],Yanɨ wapaɨkɨ nohkoɨrɨ toyoɨrɨ wɨrɨ haɨpanɨ.,Wɨrɨ wapaɨkɨ nohkoɨrɨ toyoɨrɨ nohkoɨ.,Tɨnɨra wapaɨkɨ nohkoɨrɨ toyoɨrɨ wapaɨ.
Toyoɨrɨ haɨtokɨ wɨrɨ.,Reflexive idiomatic clause.,To blame oneself for a mistake.,To feel guilty or responsible.,B2,"Self-reflection, emotional discourse.","Poetic, introspective.",Reflects traditional belief in balance and accountability.,[to.joʔɨ.ɾɨ haʔɨ.toʔ.kɨ wɨ.ɾɨ],Yanɨ toyoɨrɨ haɨtokɨ wɨrɨ nohkoɨ.,Wɨrɨra toyoɨrɨ haɨtokɨ wɨrɨ tɨnɨ.,Toyoɨrɨ haɨtokɨ wɨrɨ kɨtɨnɨ.
Yanɨ yamoɨrɨ nohkoɨ tɨnɨ.,Declarative clause with aspect marker.,To be completely exhausted or fed up.,To be tired of something.,A2,"Everyday life, frustration, fatigue.","Informal, expressive.",Reflects physical and emotional weariness common in communal living.,[ja.nɨ ja.moʔɨ.ɾɨ noʰ.koʔɨ tɨ.nɨ],Yanɨ yamoɨrɨ nohkoɨ tɨnɨ haɨpanɨ.,Wɨrɨ yamoɨrɨ nohkoɨ tɨnɨkɨ.,Toyoɨrɨ yamoɨrɨ nohkoɨ tɨnɨ wapaɨ.
Tɨnɨ haɨpanɨ yamoɨrɨ.,Progressive clause with active subject.,To be in love or infatuated.,To feel romantic affection.,A2,"Love, personal relationships.","Romantic, tender.",Common in traditional songs and marriage stories.,[tɨ.nɨ haʔɨ.pa.nɨ ja.moʔɨ.ɾɨ],Yanɨ tɨnɨ haɨpanɨ yamoɨrɨ nohkoɨ.,Wɨrɨ tɨnɨ haɨpanɨ yamoɨrɨ wapaɨ.,Toyoɨrɨ tɨnɨ haɨpanɨ yamoɨrɨ kɨtɨnɨ.
Haɨpanɨ nohkoɨ toyoɨ.,Passive verb phrase with idiomatic complement.,To be punished by one’s own actions.,To suffer consequences for one’s behavior.,C1,"Moral reflection, warning, traditional teaching.","Proverbial, formal.",Reflects traditional moral codes emphasizing self-responsibility.,[haʔɨ.pa.nɨ noʰ.koʔɨ to.joʔɨ],Yanɨ haɨpanɨ nohkoɨ toyoɨ tɨnɨ.,Wɨrɨ haɨpanɨ nohkoɨ toyoɨ wapaɨ.,Toyoɨrɨ haɨpanɨ nohkoɨ toyoɨ kɨtɨnɨ.
