Idiom (Interlingue),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Interlingue)",First Example Sentence,Second Example Sentence,Third Example Sentence
Far de un montan un talpecol,Fixed clause; metaphorical phrase using a verb-object structure,To exaggerate a small problem or make a big deal out of nothing,Exaggerar un problema micri,B2,"Daily speech, humor, workplace","Colloquial, humorous",Derived from rural expressions about molehills in European agriculture,/far de un monˈtan un ˈtal.pe.kol/,"Ne far de un montan un talpecol, ti va vider que tot va bene.",Li jurnalist ha fat de un montan un talpecol pro un error tipografic.,Ella sempre fa de un montan un talpecol in su relationes.
Haver li corde in li bocca,Reflexive expression; metaphorical noun phrase,To be deeply moved or emotionally overwhelmed,Esser tre emocionat,C1,"Literature, romance, emotional speech","Poetic, emotional","Common in early Interlingue literature, influenced by Latin romanticism",/ˈha.ver li ˈkor.de in li ˈbok.ka/,Yo havea li corde in li bocca quande yo escuta ti canzon.,Li povr matre havea li corde in li bocca durante li discurso de su filio.,Ti scena me fa sempre haver li corde in li bocca.
Dar pan al cavall mort,Infinitive clause; object-verb pattern,To waste effort on a hopeless cause,Perder su témpor,B1,"Workplace, humor, daily speech","Colloquial, ironic",Western European agricultural proverb meaning 'feeding a dead horse',/dar pan al kaˈval ˈmort/,Tentar convencer le es dar pan al cavall mort.,Yo pensa que continuar con ti project es dar pan al cavall mort.,Ella senti que su efforts es quam dar pan al cavall mort.
"Quande li cat es absent, li mures danza",Proverbial conditional clause,"When authority is away, people misbehave",Li persones fa quo ili vole sin supervision,B2,"Workplace, family, humor","Proverbial, informal",Shared proverb across European cultures with medieval origins,/ˈkwan.de li kat es abˈsent li ˈmu.res ˈdan.za/,"Quande li cat es absent, li mures danza in li oficina.","Durante li vacantie del chef, li equip ballava – li cat es absent, li mures danza!","Li professores save que li cat es absent, li mures danza."
Far du lapes con un colp,Fixed infinitive clause; metaphorical expression,To accomplish two things at once,Realisar du objectes simultanmen,B1,"Daily speech, work, planning","Neutral, pragmatic",Adapted from European proverb ‘to kill two birds with one stone’,/far du ˈla.pes kon un ˈkolp/,Yo posse far du lapes con un colp e finir li raport e li email.,Ella ama far du lapes con un colp por economisar témpor.,Noi va far du lapes con un colp: studiar e recrear.
Li aqua ja passat ne torna al molin,Fixed past tense proverb; conditional-negative,What’s done cannot be undone,On ne posse cambiar li passat,C1,"Philosophical, reflective, advice","Proverbial, moralistic",Common medieval saying in Romance languages referring to water mills,/li ˈa.kwa ʒa paˈsat ne ˈtor.na al moˈlin/,Ne regrette tro: li aqua ja passat ne torna al molin.,Ella comprende finalmen que li aqua ja passat ne torna al molin.,Yo di le sempre: li aqua ja passat ne torna al molin.
Haver li pedes in du barcas,Fixed expression with plural noun; metaphorical imagery,To try to serve two masters or pursue two incompatible goals,Esser indecis o duplic in intentiones,C1,"Politics, workplace, irony","Ironic, colloquial",Mediterranean seafaring idiom about instability between two boats,/ˈha.ver li ˈpe.des in du ˈbar.kas/,Li politicos sovente have li pedes in du barcas.,Ella tenta restar neutral ma have li pedes in du barcas.,Yo ne fide quelcuno qui have li pedes in du barcas.
Trovar un agul in un feniero,Infinitive phrase; metaphorical imagery,To search for something extremely difficult to find,Cercar alquó quasi impossibil trovar,B2,"Daily speech, frustration, humor","Colloquial, descriptive",Derived from European farming idiom about searching in haystacks,/troˈvar un aˈgul in un feˈnje.ro/,Trovar ti document es quam trobar un agul in un feniero.,Yo senti que cercar un solution es quam trobar un agul in un feniero.,Ella rida: 'Tu va provar trobar un agul in un feniero!'
Haver un cat in li sacc,Fixed nominal clause with idiomatic object,To have a hidden trick or secret advantage,Tener un plan secret,B1,"Humor, competition, daily life","Colloquial, playful",Comes from European fairs where merchants hid cats in bags as tricks,/ˈha.ver un kat in li sak/,Atende un poc – yo have un cat in li sacc.,"Ella sembla calm, ma yo save que ella have un cat in li sacc.",Li equip have un cat in li sacc por li final.
Li nocte porta consilies,Simple present clause; personified noun subject,Time and rest help one think more clearly,Pausar e reflecter adjuta a decider,B2,"Advice, literature, reflection","Philosophical, calm",Common proverb across Romance cultures; Interlingue adaptation,/li ˈnok.te ˈpor.ta konˈsi.li.es/,"Ne decide hodie, li nocte porta consilies.",Ella pensa mult e comprende que li nocte porta consilies.,Yo espera dormi; li nocte porta consilies.
