Idiom (Lushootseed),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Lushootseed)",First Example Sentence,Second Example Sentence,Third Example Sentence
ʔuʔəsčəxʷ tiʔəʔ sčədadxʷ,Fixed clause; verb phrase with locative noun phrase,To speak from the heart; to be sincere or truthful in speech,To speak honestly,B1,"Family, teaching, public speaking","Colloquial, respectful",Traditional value in Lushootseed culture emphasizing honesty in storytelling,ʔuʔəsˈt͡ʃəxʷ tiʔəʔ ˈst͡ʃədadxʷ,čəd ʔuʔəsčəxʷ tiʔəʔ sčədadxʷ ʔalʔaləxʷ.,ʔəsxʷiʔ tiʔəʔ ʔuʔəsčəxʷ tiʔəʔ sčədadxʷ.,ʔuʔəɬ ʔuʔəsčəxʷ tiʔəʔ sčədadxʷ ʔə tiʔəʔ ʔəsxʷiʔ.
čəd ʔuʔəsqʷuʔ tiʔəʔ bəšəd,Verb phrase with object noun phrase,To take responsibility or bear a burden,To take responsibility,B2,"Workplace, leadership, family discussions","Formal, moralistic",Reflects communal accountability and respect for duties within traditional Lushootseed communities,ˈt͡ʃəd ʔuʔəsˈqʷuʔ tiʔəʔ ˈbəʃəd,čəd ʔuʔəsqʷuʔ tiʔəʔ bəšəd ʔalʔaləxʷ.,ʔəsxʷiʔ tiʔəʔ čəd ʔuʔəsqʷuʔ tiʔəʔ bəšəd.,ʔuʔəɬ čəd ʔuʔəsqʷuʔ tiʔəʔ bəšəd ʔə tiʔəʔ ʔəsʔuladxʷ.
ʔuʔəsʔuladxʷ ʔə tiʔəʔ sčəgʷəd,Reflexive verb with prepositional phrase,To act without hesitation; to show courage or decisiveness,To be brave,B1,"Stories, teachings, motivation","Inspirational, poetic",Derived from traditional war and hunting stories emphasizing valor and quick decision-making,ʔuʔəsˈʔuladxʷ ʔə tiʔəʔ ˈst͡ʃəgʷəd,ʔəsxʷiʔ tiʔəʔ ʔuʔəsʔuladxʷ ʔə tiʔəʔ sčəgʷəd.,čəd ʔuʔəsʔuladxʷ ʔə tiʔəʔ sčəgʷəd ʔalʔaləxʷ.,ʔuʔəɬ čəd ʔuʔəsʔuladxʷ ʔə tiʔəʔ sčəgʷəd ʔə tiʔəʔ ʔəsqʷuʔ.
ʔəsčəxʷ ʔuʔəɬ tiʔəʔ sʔuladxʷ,Verb phrase with locative noun phrase,To be part of the community; to belong among others,To belong,A2,"Community, teaching, social events","Colloquial, positive",Common phrase reflecting Lushootseed community and social unity,ʔəsˈt͡ʃəxʷ ʔuʔəɬ tiʔəʔ ˈsʔuladxʷ,čəd ʔəsčəxʷ ʔuʔəɬ tiʔəʔ sʔuladxʷ.,ʔəsxʷiʔ tiʔəʔ ʔəsčəxʷ ʔuʔəɬ tiʔəʔ sʔuladxʷ.,ʔuʔəɬ ʔəsčəxʷ ʔuʔəɬ tiʔəʔ sʔuladxʷ ʔə tiʔəʔ ʔəsxʷiʔ.
ʔuʔəsxʷiʔ ʔə tiʔəʔ sčədadxʷ,Verb with locative noun phrase,To go one’s own way; to make independent choices,To be independent,B2,"Advisory, mentorship, family, youth teachings","Reflective, didactic",Used in life teachings about self-direction and maturity,ʔuʔəsˈxʷiʔ ʔə tiʔəʔ ˈst͡ʃədadxʷ,čəd ʔuʔəsxʷiʔ ʔə tiʔəʔ sčədadxʷ.,ʔəsxʷiʔ tiʔəʔ ʔuʔəsxʷiʔ ʔə tiʔəʔ sčədadxʷ.,ʔuʔəɬ ʔuʔəsxʷiʔ ʔə tiʔəʔ sčədadxʷ ʔə tiʔəʔ ʔəsqʷuʔ.
ʔəsqʷuʔ ʔə tiʔəʔ sʔuladxʷ,Verb with prepositional phrase,To share openly or act in goodwill,To be generous,A2,"Community life, teachings, ceremonies","Colloquial, kind",Traditional expression emphasizing sharing and communal generosity,ʔəsˈqʷuʔ ʔə tiʔəʔ ˈsʔuladxʷ,čəd ʔəsqʷuʔ ʔə tiʔəʔ sʔuladxʷ.,ʔəsxʷiʔ tiʔəʔ ʔəsqʷuʔ ʔə tiʔəʔ sʔuladxʷ.,ʔuʔəɬ ʔəsqʷuʔ ʔə tiʔəʔ sʔuladxʷ ʔə tiʔəʔ ʔəsʔuladxʷ.
ʔuʔəsčəxʷ ʔə tiʔəʔ bəšəd,Verb phrase with noun complement,To make peace or reconcile,To forgive,B1,"Family, conflict resolution, teaching","Colloquial, moral",Reflects communal harmony teachings within Lushootseed society,ʔuʔəsˈt͡ʃəxʷ ʔə tiʔəʔ ˈbəʃəd,čəd ʔuʔəsčəxʷ ʔə tiʔəʔ bəšəd.,ʔəsxʷiʔ tiʔəʔ ʔuʔəsčəxʷ ʔə tiʔəʔ bəšəd.,ʔuʔəɬ čəd ʔuʔəsčəxʷ ʔə tiʔəʔ bəšəd ʔə tiʔəʔ ʔəsqʷuʔ.
ʔuʔəɬ ʔəsʔuladxʷ ʔə tiʔəʔ sčədadxʷ,Reflexive phrase with complement,To find one’s strength or calling,To discover one’s purpose,C1,"Spirituality, education, personal development","Poetic, introspective",Rooted in ceremonial and coming-of-age teachings,ʔuʔəɬ ʔəsˈʔuladxʷ ʔə tiʔəʔ ˈst͡ʃədadxʷ,čəd ʔuʔəɬ ʔəsʔuladxʷ ʔə tiʔəʔ sčədadxʷ.,ʔəsxʷiʔ tiʔəʔ ʔuʔəɬ ʔəsʔuladxʷ ʔə tiʔəʔ sčədadxʷ.,ʔuʔəɬ ʔəsʔuladxʷ ʔə tiʔəʔ sčədadxʷ ʔə tiʔəʔ ʔəsxʷiʔ.
ʔəsqʷuʔ ʔə tiʔəʔ sduhubš,Verb phrase with ethnic noun complement,To act in the Lushootseed way; to uphold tradition,To live traditionally,B2,"Cultural revival, education, community events","Formal, proud",Refers to living according to the ways of the Coast Salish people,ʔəsˈqʷuʔ ʔə tiʔəʔ ˈsd̥uhubʃ,čəd ʔəsqʷuʔ ʔə tiʔəʔ sduhubš.,ʔəsxʷiʔ tiʔəʔ ʔəsqʷuʔ ʔə tiʔəʔ sduhubš.,ʔuʔəɬ ʔəsqʷuʔ ʔə tiʔəʔ sduhubš ʔə tiʔəʔ ʔəsxʷiʔ.
ʔuʔəsxʷiʔ ʔə tiʔəʔ ʔəsqʷuʔ,Reciprocal verb construction,To walk in balance with others; to live harmoniously,To live peacefully,A2,"Teachings, storytelling, daily speech","Colloquial, spiritual",Reflects the Lushootseed worldview of balance and interconnection,ʔuʔəsˈxʷiʔ ʔə tiʔəʔ ʔəsˈqʷuʔ,čəd ʔuʔəsxʷiʔ ʔə tiʔəʔ ʔəsqʷuʔ.,ʔəsxʷiʔ tiʔəʔ ʔuʔəsxʷiʔ ʔə tiʔəʔ ʔəsqʷuʔ.,ʔuʔəɬ ʔuʔəsxʷiʔ ʔə tiʔəʔ ʔəsqʷuʔ ʔə tiʔəʔ ʔəsxʷiʔ.
