Idiom (Belgian French),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Belgian French)",First Example Sentence,Second Example Sentence,Third Example Sentence
Être dans de beaux draps,Être + préposition + nom pluriel (expression figée),Se retrouver dans une situation compliquée ou embarrassante,Être dans une situation difficile,B1,"Vie quotidienne, humour","Familier, ironique","Origine du XIXe siècle liée aux draps de lit, impliquant une image ironique de confort tourné au ridicule",[ɛtʁ dɑ̃ də bo dʁɑ],"Avec ce mensonge, il est vraiment dans de beaux draps maintenant.","Je t’avais dit de ne pas lui faire confiance, et voilà, t’es dans de beaux draps.","Quand la voiture a calé devant la police, on était tous dans de beaux draps."
Avoir le cul bordé de nouilles,"Avoir + nom (familier, expression figée)",Être extrêmement chanceux sans le mériter forcément,Avoir beaucoup de chance,C1,"Humour, langage populaire","Vulgaire, humoristique","Expression populaire belge d’origine incertaine, image absurde destinée à faire rire",[avwaʁ lə ky bɔʁde də nuj],Il est tombé sur une place de parking juste devant — il a le cul bordé de nouilles.,"Elle gagne toujours aux jeux, cette fille a le cul bordé de nouilles.",Tu passes l’examen sans réviser et t’as 90 % ? T’as vraiment le cul bordé de nouilles.
Tomber des nues,Verbe intransitif pronominal figé,Être extrêmement surpris ou choqué,Être très surpris,A2,"Vie quotidienne, nouvelles inattendues",Standard,Image poétique datant du XVIIe siècle représentant une chute soudaine du ciel,[tɔ̃be de ny],"Quand il m’a annoncé son départ, je suis tombée des nues.",Ils sont tombés des nues en apprenant la nouvelle.,Tu m’as fait tomber des nues avec cette histoire !
Faire la pluie et le beau temps,Faire + nom + conjonction + nom (expression figée),Avoir toute l'autorité ou le contrôle dans une situation,Avoir le contrôle sur tout,B2,"Politique, entreprise","Standard, légèrement ironique",Expression issue de la métaphore météorologique utilisée depuis le Moyen Âge,[fɛʁ la plɥi e lə bo tɑ̃],"Dans cette entreprise, c’est le directeur qui fait la pluie et le beau temps.","À la maison, c’est maman qui fait la pluie et le beau temps.",Il aime faire la pluie et le beau temps au club de foot.
Être sur son 31,Être + préposition + adjectif numéral (expression figée),Être habillé de manière très élégante,Être très bien habillé,B1,"Cérémonies, fêtes, sorties","Familier, positif","Origine floue, probablement liée aux vêtements de luxe du XIXe siècle",[ɛtʁ syʁ sɔ̃ tʁɑ̃t‿ɛ̃],Elle est sortie sur son 31 pour le mariage de sa sœur.,Tout le monde était sur son 31 au gala.,Je me suis mis sur mon 31 pour l’entretien.
Raconter des salades,Raconter + nom pluriel (expression figée),Mentir ou inventer des histoires,Mentir,A2,"Vie quotidienne, disputes",Familier,"Origine française adoptée en Belgique, image de mélange confus comme une salade composée",[ʁakɔ̃te de salɑd],"Arrête de me raconter des salades, je ne te crois pas.",Il a encore raconté des salades à propos de son retard.,Tu crois vraiment à toutes ces salades ?
Avoir un pain sur la planche,Avoir + article + nom + préposition + nom (expression figée),Avoir beaucoup de travail ou de choses à faire,Être débordé,B2,"Travail, quotidien",Standard,"Métaphore issue de la boulangerie, très utilisée en Belgique",[avwaʁ ɛ̃ pɛ̃ syʁ la plɑ̃ʃ],On a encore un pain sur la planche avant le congrès.,"Avec les enfants et le boulot, j’ai toujours un pain sur la planche.","Pas le temps de sortir, j’ai un pain sur la planche."
Tourner autour du pot,Verbe + préposition + nom (expression figée),Éviter de dire directement ce qu’on pense,Hésiter à parler franchement,A2,"Famille, travail, vie sociale",Standard,Expression ancienne basée sur l’image d’un animal hésitant à approcher son plat,[tuʁne otuʁ dy po],Arrête de tourner autour du pot et dis-moi la vérité.,Il tourne autour du pot depuis une heure sans rien dire de clair.,On sentait bien qu’il tournait autour du pot avant de faire sa demande.
Mettre son grain de sel,Mettre + adjectif possessif + nom + complément (expression figée),Intervenir dans une conversation sans qu’on le demande,Donner son avis sans invitation,B1,"Famille, discussions sociales",Familier,Ancienne expression culinaire transposée à la parole,[mɛtʁ sɔ̃ ɡʁɛ̃ də sɛl],Elle met toujours son grain de sel dans nos conversations.,T'as pas besoin de mettre ton grain de sel à chaque fois !,"Dès qu’on parle politique, il met son grain de sel."
Ne pas avoir la langue dans sa poche,Négation + verbe + complément (expression figée),"Parler franchement, souvent avec assurance ou impertinence",Parler franchement,B2,"Vie sociale, travail","Familier, assertif",Image corporelle métaphorique courante en francophonie belge,[nə pɑ avwaʁ la lɑ̃ɡ dɑ̃ sa pɔʃ],"Elle n’a pas la langue dans sa poche, et elle dit ce qu’elle pense.",Il faut parfois ne pas avoir la langue dans sa poche pour réussir.,"Avec son patron, mieux vaut ne pas avoir la langue dans sa poche."
