Idiom (Kalmyk),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Kalmyk)",First Example Sentence,Second Example Sentence,Third Example Sentence
Толг болв үүлн дорн нар.,Fixed clause with metaphorical nominal predicate,A wise or patient person remains hopeful even in hard times.,A good person keeps faith despite difficulties.,B2,"Daily speech, moral teaching, literature, philosophy","Poetic, proverbial",Traditional Kalmyk wisdom tied to resilience in the harsh steppe climate.,[tɔɮɡ bɔɮʊ wʊln dɔrn nɑr],"Толг болв үүлн дорн нар, итгэлээ алдк болхгүй.",Тер үг хальмг үүлн дорн нар мэте хэлв.,Би тэрэн һанаһн: толг болв үүлн дорн нар.
Хонь хулан хажуурхан болхгүй.,Fixed negative declarative clause with metaphorical comparison,People with very different characters cannot get along.,Incompatible people cannot work together.,B1,"Family, workplace, humor, daily advice","Colloquial, proverbial, ironic",Pastoral metaphor: sheep and khulan symbolize opposing temperaments.,[xonʲ xʊɮan xad͡ʒurxan bɔɮxɡəj],Хонь хулан хажуурхан болхгүй — санаа нийлэхгүй.,Тер хоёр хүн хань хулан хажуурхан мэте амдрв.,"Бид маргв, хонь хулан хажуурхан болхгүй."
Цагаан сана бол алтн үн.,Nominal predicate with comparative metaphor,Pure intentions are more valuable than wealth.,A kind heart is worth more than money.,A2,"Education, moral speech, literature","Moralistic, proverbial",Buddhist ethical roots emphasizing purity of heart and compassion.,[t͡saɡan sanɑ bɔɮ altɪn yn],Цагаан сана бол алтн үн — энэ хүн сайн санаатай.,Багш хэлв: цагаан сана бүхн дээ.,Хүү цагаан сана хичээлд хичээв.
Ус болн хүн салшгүй.,Declarative with metaphorical copula,Human life is inseparable from nature.,People depend on the natural world.,B2,"Philosophy, ecology, literature","Formal, reflective",Reflects the Kalmyk nomadic worldview of unity with the environment.,[ʊs bɔɮn xʊn salʃkʊi],"Ус болн хүн салшгүй, тед амьдрал нэгэн.",Өвгөд хэлв: ус болн хүн салшгүй болн.,Тер номд бичгдв: ус болн хүн салшгүй.
"Салхин ирв, үгн унав.",Parallel coordinated clause with metaphorical causation,Rumors spread fast when gossip starts.,Bad news travels quickly.,C1,"Politics, social life, humor, literature","Colloquial, ironic",Popularized in Kalmyk oral satire in the 19th century.,[salxɪn irw ʊgn ʊnav],"Салхин ирв, үгн унав — тосгн бүгд мэдв.","Үг тархв, салхин ирв мэте.","Хүм үгн тархаһн — салхин ирв, үгн унав."
Нөхр үг алтн болн.,Nominal predicate,A friend’s words are valuable.,Advice from a true friend is worth much.,A2,"Daily speech, moral education","Proverbial, friendly",Reflects Kalmyk values of loyalty and communal wisdom.,[noxr ʊg altɪn bɔɮn],Нөхр үг алтн болн — түүм сонс.,Тер нөхр намай алтн үг хэлв.,Хүн нөхр үгн анхааран сонсх хэрэг.
Талд төрсн хүн талд сэргн.,Declarative clause with reflexive predicate,A person thrives best in their native land.,People flourish where they were born.,B2,"Patriotic expression, literature, identity","Poetic, nationalistic",Ancient Kalmyk saying emphasizing homeland and belonging.,[tald tʊrsn xʊn tald sərəɡn],Талд төрсн хүн талд сэргн — энэ үнэн үг.,"Бид хальмг хүн — талд төрсн, талд сэргн.",Өвгөд хэлв: талд төрсн хүн талд сэргн.
Өвгөд үг алтн жинг.,Nominal predicate with possessive complement,The wisdom of elders carries weight.,Elders’ advice is worth listening to.,B1,"Family, education, moral culture","Formal, respectful",Emphasizes respect for elders in Kalmyk society.,[ʊwɡʊd ʊg altɪn d͡ʒɪŋ],Өвгөд үг алтн жинг — тэрэн сонс.,Өвгөд хэлв: амьдрал үг алтн жинг.,Тер залуу өвгөд үгн хүндлв.
Халх болн хальмг нэг үннә ус.,Comparative declarative with metaphorical structure,Kalmyks and Mongols share the same origin.,Our peoples are closely related.,C1,"Cultural identity, history, politics","Formal, literary",Common Oirat-Mongol heritage metaphor emphasizing unity.,[xalx bɔɮn xalʲmɡ nɛɡ ʊnnə ʊs],Халх болн хальмг нэг үннә ус — бид ах дүү.,Тер түүхн номд бичгдв: нэг үннә ус.,"Халх болн хальмг нэг үннә ус, эв найр болн."
Сайн үг аминд орн.,Declarative clause with transitive verb,Kind words can heal the spirit.,Kindness helps others emotionally.,A2,"Daily life, education, emotional support","Encouraging, moralistic",Ancient Kalmyk proverb stressing compassion and empathy.,[sain ʊg aminɖ ɔrn],Сайн үг аминд орн — түүм хэл.,Хальмг хүн хэлдг: сайн үг аминд орн.,Тер багш хэлв: сайн үг аминд орн.
