Idiom (Gagauz),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Gagauz)",First Example Sentence,Second Example Sentence,Third Example Sentence
söz vermää,Transitive light-verb idiom: noun söz + infinitive vermää; conjugates through the verb and may take a dative addressee or a clausal complement.,"To promise, give one’s word, or publicly commit oneself to an action.",bir işi yapaceenı açıkça bildirmää,B1,family agreements; workplace commitments; school duties; public speech; polite negotiation,neutral; respectful; common in both everyday and formal speech,"Reflects the high social value of a person’s word in Gagauz village, family, and community life; keeping one’s söz marks reliability.",/ˈsøz vermæː/,Boba uşaklarına söz verdi: pazar günü onları Komrat panayırına götürecek.,"Mariya söz verärse, işini vakıdında bitirer.","Toplantıda başkan söz verdi, küüyün yolu bu yılda onarılacek."
araya girmää,Intransitive/transitive verbal idiom with locative-directional noun araya + infinitive girmää; often appears with temporal clauses and coordinated verbs.,"To intervene, mediate, or step into a disagreement so the situation can be calmed or guided.",iki tarafın arasında yardım etmää,B2,family disputes; village mediation; workplace meetings; politics; school discipline,neutral to formal; can sound conciliatory or mildly critical depending on context,"Fits communal patterns of elders, neighbors, or respected speakers calming disputes before they grow into open conflict.",/ɑrɑˈjɑ ɟirmæː/,"İki komşu kavga edärkän, ihtär adam araya girdi da lafı tatlı bitirdi.","Uşaklar çekişti, öğretmen araya girip hepsini dinnädi.","Toplantıda tartışma kızışınca, Anna araya girdi da açık bir karar teklif etti."
maana bulmaa,Intransitive light-verb idiom: abstract noun maana + infinitive bulmaa; usually takes a dative or genitive target in discourse.,"To look for faults, criticize small details, or make a negative remark even when the result is acceptable.",kusur aaramak ya da gereksiz eleştirmäk,B2,family comments; workplace reviews; humor; sarcasm; social criticism,"colloquial; often ironic, teasing, or mildly reproachful","Rooted in everyday evaluative talk where public reputation, careful work, and neighborly observation carry social weight.",/mɑːˈnɑ bulmɑː/,"Ne yapsam, komşu genä maana bular, hiç razı kalmaz.","Kızın temiz işinä maana bulmaa, çünkü o bütün gün çalıştı.","Rapor hazırdı, ama müdür yalnız yazı tipinä maana buldu."
cendem olmaa,"Predicate idiom built from noun cendem + copular/light verb olmaa; subject is often an event, plan, hope, or effort.","To be ruined, collapse, fail completely, or go badly after expectations were set.",plan bozulmaa ya da iş kötü bitmää,B2,failed plans; finances; travel; household work; sharp complaints,colloquial; dramatic; emotionally strong but not necessarily vulgar,"Draws on Christian and folk moral imagery of hell as a place of loss, disorder, and punishment.",/dʒenˈdem olmɑː/,Yaamur başladı da bütün düün hazırlıkları cendem oldu.,"Paramız kesilinca, yolculuk planı cendem oldu.",Bir küçük yannışlık yüzündän emeklerimiz cendem olmasın.
el koymaa,"Transitive verb phrase: noun el + infinitive koymaa; may be literal, but idiomatically takes an object meaning property, matter, or responsibility.","To take possession of something, seize it, touch it with intent, or formally take control over a matter.",bir şeyi kendinä almak ya da kontrol etmää,B1,property; administration; family belongings; legal speech; workplace responsibility,neutral to formal; can sound accusatory when used about taking another person’s property,"Based on the concrete gesture of the hand as a sign of control, work, ownership, and responsibility.",/el kojmɑː/,"Kimseyin malına el koymaa, önce saabisini sor.",Belediye eski binaya el koydu da onu müzeyä çevirdi.,"Uşak tatlıya el koydu, anası görmeyincä iki parça aldı."
dört gözlän bakmaa,Adverbial-instrumental idiom: numeral dört + instrumental noun gözlän + infinitive bakmaa; conjugates through bakmaa.,"To wait eagerly, look forward to something, or expect someone with strong desire.",sabırsızlıkla beklemää,B1,family visits; holidays; children’s speech; school breaks; affectionate anticipation,colloquial; warm; expressive; positive,"Uses the image of doubled sight to show longing and close attention, common in family-centered rural and festive contexts.",/dœrt ɟøzˈlæn bɑkmɑː/,"Uşaklar dedelerini dört gözlän bakêrlar, çünkü o masal getirer.",Biz bayram sabaanı dört gözlän baktık.,Öğrenciler yaz kanikulalarına dört gözlän bakêr.
dilini yutmaa,Possessive-object verbal idiom: dilini as definite object + infinitive yutmaa; subject is a person who becomes silent.,"To become speechless, go silent from fear, shame, surprise, or embarrassment.",şaşırıp ya da utanıp susmaa,B1,school questioning; surprise; shame; family teasing; dramatic storytelling,colloquial; vivid; sometimes humorous or mildly mocking,Connects speech with courage and social presence; losing the tongue means losing the ability to answer in public.,/diˈlini jutmɑː/,"Öğretmen soru sorunca, Petri dilini yuttu, bir laf demedi.","Haberi işidincä, bütün oda dilini yuttu.","Toplantıda onu övdülär, o sa utancından dilini yuttu."
peridän devä yapmaa,Comparative-transformative idiom: ablative noun peridän + object devä + infinitive yapmaa; often negated in advice.,To exaggerate a small problem and make it seem much larger than it is.,küçük problemi gereksiz büütmää,B2,complaints; family disputes; workplace mistakes; gossip; humorous warnings,colloquial; humorous; ironic; gently corrective,"A Turkic-style animal comparison contrasting something tiny with a camel, a familiar image of absurd enlargement.",/peˈridæn deˈvæ jɑpmɑː/,"Bir küçük gecikmedän peridän devä yapmaa, iş hala bitmedi diil.",Nina her ufak lafı büütüp peridän devä yapar.,Komşular boş sözlerden peridän devä yaptılar da küüyde gürültü çıktı.
anatar bulmaa kiminsä üreenä,Metaphorical light-verb idiom: noun anatar + infinitive bulmaa + possessive/dative complement kiminsä üreenä; complement may be replaced by a named person or group.,"To find the right way to reach someone emotionally, win trust, or gain affection.",birisinin güvenini hem sevgisini kazanmaa,C1,education; medicine; family reconciliation; leadership; literature; emotional persuasion,poetic; warm; respectful; suitable for reflective prose,"Builds on the heart as the seat of feeling and trust, and the key as a household object that opens protected space.",/ɑnɑˈtɑr bulmɑː kiˈminsæ yreːˈnæ/,"Öğretmen uşakların üreenä anatar buldu, çünkü onları dinnädi.",Komşuların üreenä anatar bulmaa için yardımsevär olmak lääzım.,Yeni doktor hastaların üreenä anatar buldu: sakince annattı hem korkutmadı.
kulaklarını açmaa,Imperative-prone verbal idiom: plural possessive object kulaklarını + infinitive açmaa; frequently appears as direct advice or command.,"To listen carefully, pay attention, and not miss important information.",dikkatlı dinnemää,A2,classroom instructions; elder advice; safety warnings; workplace briefings; family discipline,"colloquial; direct; can be caring, urgent, or mildly scolding","Reflects oral instruction traditions where listening to elders, teachers, and community warnings is treated as practical wisdom.",/kulɑkɫɑrɯˈnɯ ɑtʃmɑː/,Kulaklarını aç da ihtärların nasaatını işit.,"Direktor dedi: “Kulaklarınızı açın, bu karar hepinizi ilgilendirer.”","Yolda giderkän kulaklarını aç, traktör sesi erkenden işidiler."
