Idiom (Bosnian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Bosnian)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ići niz dlaku,"Fiksni izraz, infinitivni oblik glagola + prijedložna fraza","Postupati u skladu s tuđim željama, ugađati nekome",Prilagođavati se nečijem mišljenju ili volji,B2,"Dnevni govor, posao, politika","Kolokvijalni, ironičan",Potiče iz narodnih izreka vezanih za češljanje životinjske dlake — znači činiti nešto lako i ugodno.,/î.t͡ɕi niz dlâ.ku/,On uvijek ide šefu niz dlaku da bi dobio povišicu.,"Neću ti više ići niz dlaku, reci otvoreno šta misliš!",Neki političari idu narodu niz dlaku samo pred izbore.
Pasti s kruške,Perfektivni glagol s prijedložnom konstrukcijom,Iznenaditi se ili ne razumjeti nešto očigledno,Biti zbunjen ili neinformisan,B1,"Dnevni govor, humor","Kolokvijalni, šaljiv",Narodna metafora — kao da je neko pao sa drveta i izgubio orijentaciju.,/pâ.sti s krûʃ.ke/,"Kad sam čuo vijest, kao da sam pao s kruške!","Nemoj se praviti da si pao s kruške, znaš dobro o čemu govorim.","Profesor ga je pitao, a on gleda kao da je pao s kruške."
Biti na konju,"Kopulativna konstrukcija, prezent glagola 'biti' + prijedložna fraza","Biti u povoljnoj situaciji, imati prednost",Biti u dobroj poziciji,A2,"Dnevni govor, posao, sport","Kolokvijalni, optimističan",Potječe iz vremena kada je jahanje bilo simbol moći i kontrole.,/bî.ti na kô.ɲu/,"Ako položiš taj ispit, stvarno si na konju.","Kad mu je stigla stipendija, bio je na konju.","Ko ima dobre veze, već je na konju."
Prodavati maglu,"Glagolska fraza, prezent glagola + objekat","Lagati, obećavati nešto što se neće desiti",Obmanjivati nekoga,B2,"Posao, politika, reklame, humor","Kolokvijalni, sarkastičan",Stariji izraz koji aludira na varalice koji prodaju nešto bezvrijedno — maglu.,/pro.daː.va.ti mâ.ɡlu/,"Ne vjeruj im, oni samo prodaju maglu.",Marketing često prodaje maglu kupcima.,Političari majstorski prodaju maglu javnosti.
Nemati dlake na jeziku,Negacija + nominalna fraza + prijedložna konstrukcija,Biti iskren i direktan u govoru,Otvoreno govoriti bez ustručavanja,B2,"Dnevni govor, posao, mediji","Kolokvijalni, neutralan","Metafora koja simbolizira čistoću govora, bez prepreka ili laži.",/ne.mâ.ti dlâ.ke na je.zî.ku/,"Ona nema dlake na jeziku, sve kaže u lice.",Novinar bez dlake na jeziku postavio je pravo pitanje.,Uvijek sam cijenio ljude bez dlake na jeziku.
Uvaliti se u nevolju,Refleksivni glagol u perfektu s prijedložnom frazom,Započeti problematičnu situaciju svojom krivicom,Napraviti sebi problem,B1,"Dnevni govor, porodica, humor","Kolokvijalni, humorističan",Tipičan balkanski izraz povezan s lakomislenim ponašanjem.,/u.vaː.li.ti se u ne.vo.ʎu/,Opet si se uvalio u nevolju zbog svojih gluposti.,"Uvijek se nekako uvalim u nevolju, pa izvlačim kasnije.",Znao je da će se uvaliti u nevolju ako ga otkriju.
Biti kratkih rukava,"Kopulativna konstrukcija, pridjev + genitivna fraza",Ostati bez koristi ili nagrade,Ostati bez dobitka,B2,"Posao, svakodnevni govor, humor","Kolokvijalni, metaforičan",Metafora koja znači ostati praznih ruku — ‘rukavi’ simboliziraju sredstva.,/bî.ti krâ.tkih ru.kâ.va/,"Nakon pregovora, opet smo ostali kratkih rukava.","Ko zakasni, ostat će kratkih rukava.","Radili su cijeli mjesec, a plata mala — svi kratkih rukava."
Hodati po jajima,"Infinitivna konstrukcija, glagol + prijedložna fraza",Biti veoma oprezan da se ne pogriješi ili ne uvrijedi nekoga,Pažljivo se ponašati,C1,"Porodica, posao, odnosi","Metaforičan, ozbiljan","Izraz simbolizira krhkost situacije, kao hodanje po lomljivom terenu.",/xô.da.ti po jâ.ji.ma/,"Otkad se posvađali, hodam po jajima kad god pričamo.",U toj firmi svi hodaju po jajima da ne naljute direktora.,Ponaša se kao da stalno hoda po jajima da izbjegne sukob.
Držati jezik za zubima,Perfektivni glagol + objekat u akuzativu + prijedložna fraza,"Ne otkrivati tajne, biti diskretan","Šutjeti, ne govoriti ono što se zna",B1,"Porodica, posao, povjerljive situacije","Neutralan, oprezan",Zasniva se na ideji fizičkog zadržavanja jezika — simbol šutnje i diskrecije.,/drʒâ.ti je.zîk za zu.bî.ma/,"Znao je tajnu, ali je držao jezik za zubima.","Ako ti kažem, drži jezik za zubima, molim te.",Pametan čovjek zna kad treba držati jezik za zubima.
Kopati sebi jamu,Infinitivni glagol + refleksivni dativ + objekat,Raditi nešto što će naštetiti samome sebi,Svojim djelima ugrožavati sebe,C1,"Politika, posao, svakodnevni govor","Metaforičan, moralizatorski","Iz Biblijske metafore o licemjerju i kazni — ‘ko jamu drugome kopa, sam u nju pada’.",/kô.pa.ti sè.bi jâ.mu/,"Ko previše laže, sam sebi kopa jamu.","Pokušao je prevariti sistem, ali je sebi iskopao jamu.",Uvijek završiš loše kad kopaš sebi jamu.
