Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Costa Rican Spanish)",First Example Sentence,Second Example Sentence,Third Example Sentence
Estar como chancho en misa,Estar + como + noun + en + noun (fixed comparative simile),Estar fuera de lugar o incómodo en una situación.,Estar incómodo o desubicado.,B2,"humor, vida diaria","coloquial, humorístico","Referencia humorística al hecho de que un cerdo no pertenece a una misa, destacando la incongruencia.",[esˈtaɾ ˈkomo ˈtʃantʃo en ˈmisa],Me invitaron a una reunión de ejecutivos y yo estaba como chancho en misa.,"Cuando fui al club de golf, me sentí como chancho en misa.",Él no sabe nada de arte y lo llevaron al museo; estaba como chancho en misa.
No dar pie en bola,No + dar + noun + en + noun (negative fixed expression),No acertar o cometer muchos errores en algo.,Cometer errores continuamente.,B1,"vida diaria, trabajo",coloquial,Deportes como el fútbol; imagen de alguien fallando todos los intentos.,[no ðaɾ ˈpje em ˈbola],Hoy en la oficina no di pie en bola con el informe.,Estaba tan distraído que no daba pie en bola con las cuentas.,"Cuando empecé el nuevo trabajo, pasé semanas sin dar pie en bola."
Echarse un taco,Echarse + un + noun (reflexive verb phrase),Presumir o alardear de algo.,Presumir o jactarse.,C1,"vida diaria, sarcasmo","coloquial, sarcástico","Del habla popular costarricense, relacionado con el orgullo o vanidad.",[eˈtʃaɾse un ˈtako],Se echó un taco hablando de sus viajes por Europa.,Ahí está echándose el taco de que tiene tres carros.,Siempre se echa un taco con sus historias exageradas.
Andar como agua para chocolate,Andar + como + noun phrase (simile),Estar muy enojado o alterado emocionalmente.,Estar furioso.,C1,"vida diaria, emociones","coloquial, literario","Frase originaria de la cocina, indicando el hervor violento del agua; también popularizada por la literatura mexicana.",[anˈdaɾ ˈkomo ˈaɰwa paɾa tʃokoˈlate],"Desde que discutió con el jefe, anda como agua para chocolate.","No le hables ahora, está como agua para chocolate.","Cuando perdió el partido, andaba como agua para chocolate."
Tirar la casa por la ventana,Tirar + noun + por + noun (fixed verb phrase),"Gastar sin medida, especialmente en celebraciones.",Gastar mucho dinero en algo.,B2,"celebraciones, vida diaria",coloquial,De la época colonial; familias lanzaban objetos por la ventana al celebrar.,[tiˈɾaɾ la ˈkasa poɾ la βenˈtana],"Para su boda, tiraron la casa por la ventana.",Cada diciembre tiramos la casa por la ventana con la comida navideña.,El nuevo gerente tiró la casa por la ventana con la inauguración.
Estar en la luna,Estar + en + noun (fixed locative phrase),Estar distraído o desconectado de la realidad.,Estar distraído.,A2,"escuela, familia, vida diaria",coloquial,Imagen poética de alguien alejado mentalmente como si estuviera en otro planeta.,[esˈtaɾ en la ˈluna],Estaba en la luna durante toda la clase.,"Cuando lo llamé, parecía que estaba en la luna.",¡Ponga atención! Usted está en la luna otra vez.
Hacerse el maje,Hacerse + el/la + noun (reflexive verb phrase),Fingir no saber o evitar responsabilidad.,Hacerse el desentendido.,B2,"familia, trabajo, vida diaria","coloquial, irónico",Costarricense; 'maje' es una palabra muy común que denota a alguien tonto o ingenuo.,[aˈseɾse el ˈmaxe],"Cuando le pedimos ayuda, se hizo el maje.","No se haga el maje, sabemos que fue usted.",Siempre se hace el maje para no lavar los platos.
A otro perro con ese hueso,A + otro + noun + con + demonstrative + noun (imperative/idiomatic denial),Rechazar una excusa o mentira.,No te creo.,B1,"vida diaria, discusión, sarcasmo","coloquial, sarcástico",Imagen canina: un perro no se engaña dos veces con el mismo truco.,[a ˈotɾo ˈpero kon ˈese ˈweso],¿Que no pudiste llamar? A otro perro con ese hueso.,"Eso no fue un error, fue intencional. A otro perro con ese hueso.",Decís que no sabías nada... a otro perro con ese hueso.
Salir como carambada,Salir + como + noun (fixed simile),Terminar mal o con resultados inesperados.,Salir mal.,C2,"humor, política, crítica","coloquial, humorístico","‘Carambada’ evoca desastre, broma popular y desorden.",[saˈliɾ ˈkomo kaɾamˈbada],La fiesta salió como carambada porque nadie trajo comida.,El plan de la empresa salió como carambada.,"Cuando improvisamos, todo sale como carambada."
Quedarse como el perro de las dos tortas,Quedarse + como + noun + de + article + noun (complex simile),No conseguir nada por querer todo.,No quedarse con nada por indecisión.,C1,"vida diaria, amor, negocios","coloquial, irónico",Fábula popular: un perro que pierde ambas tortas por no decidirse.,[keˈðaɾse ˈkomo el ˈpero ðe las dos ˈtoɾtas],Quiso salir con las dos y se quedó como el perro de las dos tortas.,"Por no elegir, se quedó como el perro de las dos tortas.",Negoció mal y terminó como el perro de las dos tortas.
