Idiom (Cham),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cham)",First Example Sentence,Second Example Sentence,Third Example Sentence
ཆུ་མཐོ་ན་ཉ་མཐོ།,"Conditional parallel clause (X rises, Y rises structure)","When conditions improve, people or outcomes improve accordingly.",གནས་ཚུལ་ཡག་པོ་བྱུང་ན་མི་ཚོ་ཡག་པོ་འགྱུར་གི་ཡོད།,B1,"Daily speech, politics, economic discussions","Proverbial, neutral, advisory",Agrarian-river valley life in Baltistan where water level determines livelihood.,t͡ɕʰu˥ mʈʰo˥ na˥ ɲa˥ mʈʰo˥,ཁོས་ཚོང་ལས་ཡར་འཕེལ་དུས་ཆུ་མཐོ་ན་ཉ་མཐོ་ཟེར་ནས་དགའ་སོང་།,སྤྱི་ཚོགས་ཡར་རྒྱས་བྱུང་ན་ཆུ་མཐོ་ན་ཉ་མཐོ་རེད།,ཁོ་ཚོས་ལས་ཀ་མང་པོ་ཐོབ་དུས་ཆུ་མཐོ་ན་ཉ་མཐོ་བསམ་སོང་།
རི་མཐོ་ན་རླུང་ཆེ།,Conditional parallel clause with natural metaphor,Greater status or ambition brings greater challenges.,གོ་གནས་མཐོ་ན་དཀའ་ངལ་མང་པོ་ཡོད།,B2,"Leadership, politics, family advice","Advisory, metaphorical",Mountain ecology of Karakoram region emphasizing exposure at high altitudes.,ri˥ mʈʰo˥ na˥ rluŋ˥ t͡ɕʰe˥,ཁོ་གཞུང་ལས་མཐོ་བ་ཐོབ་དུས་རི་མཐོ་ན་རླུང་ཆེ་རེད།,ཕ་མས་བུ་ལ་རི་མཐོ་ན་རླུང་ཆེ་ཟེར་ནས་བསླབ་བྱ་སྤྲད།,ཁོས་གོ་གནས་ཡར་འཕེལ་དུས་རི་མཐོ་ན་རླུང་ཆེ་མཐོང་སོང་།
ཁ་ནས་མར་བབས།,Perfective verb phrase (literal fall from mouth),To reveal a secret unintentionally.,གསང་བ་མ་འདོད་པར་བཤད་པ།,B2,"Daily speech, humor, gossip","Colloquial, humorous",Oral storytelling tradition where speech control signifies wisdom.,kʰa˥ ne˥ mar˥ bap̚,མོས་གསང་བ་ཁ་ནས་མར་བབས་སོང་།,ཁོས་དེ་ཁ་ནས་མར་བབས་ནས་ཚང་མ་ཤེས་སོང་།,ངས་གསང་བ་ཁ་ནས་མར་བབས་པས་སེམས་སྐྱོ་པོ་ཡོད།
མིག་གིས་ཟ་བ།,Transitive metaphorical verb phrase,To envy someone intensely.,གཞན་ལ་ཕྲག་དོག་བྱེད་པ།,B1,"Family, social comparison, humor","Colloquial, slightly ironic",Visual symbolism in Himalayan cultures where gaze implies desire.,mik̚ gi˥ za˥ wa˥,མོས་ཁོའི་ཁང་པ་མཐོང་ནས་མིག་གིས་ཟ་བ་བྱས།,ཁོ་ཚོས་གཞན་གྱི་རྒྱུ་མཚན་ལ་མིག་གིས་ཟ་བ་བྱེད་མི་འོས།,ང་མིག་གིས་ཟ་བ་མི་བྱེད།
ལག་པ་སྐམ་པོ།,Adjectival noun phrase (dry hands metaphor),To be empty-handed or unsuccessful.,མི་ཐོབ་པར་ལོག་པ།,A2,"Daily speech, trade, travel","Neutral, descriptive",Market culture in Skardu where returning without goods is notable.,lak̚ pa˥ kam˥ po˥,ཁོ་ཚོ་ལག་པ་སྐམ་པོ་ལོག་སོང་།,ང་ཚོས་ལས་ཀ་མ་ཐོབ་པས་ལག་པ་སྐམ་པོ་ཡིན།,ཁྱོད་ལག་པ་སྐམ་པོ་མ་ལོག།
གནམ་མཐོ་ས་རྒྱ་ཆེ།,Descriptive poetic parallelism,Opportunities are vast and possibilities are wide.,གོ་སྐབས་མང་པོ་ཡོད།,C1,"Literature, motivational speech, youth discourse","Poetic, inspirational",Reflects vast landscapes of Baltistan and aspirational worldview.,gnam˥ mʈʰo˥ sa˥ ɟa˥ t͡ɕʰe˥,གཞོན་ནུ་ཚོ་ལ་གནམ་མཐོ་ས་རྒྱ་ཆེ་ཡིན།,སློབ་ཕྲུག་ལ་གནམ་མཐོ་ས་རྒྱ་ཆེ་རེད།,ཁོས་རང་ཉིད་ལ་གནམ་མཐོ་ས་རྒྱ་ཆེ་བསམ་སོང་།
རྣ་བས་མ་ཐོས།,Negative experiential clause,Something unbelievable or unheard of.,མ་གོ་བའི་དོན།,B2,"Debate, gossip, politics","Colloquial, emphatic",Emphasis on oral tradition where hearing equals knowing.,na˥ be˥ ma˥ tʰo˥,དེ་རྣ་བས་མ་ཐོས་པའི་གཏམ་རེད།,ངས་རྣ་བས་མ་ཐོས་སོང་།,ཁོ་ཚོས་དེ་རྣ་བས་མ་ཐོས་ཟེར་སོང་།
བོད་སྐད་ལ་རྒྱ་སྐད་འཛུལ།,Compound clause with embedded metaphor,Mixing languages unintentionally or confusing speech.,སྐད་ཡིག་མང་པོ་བསྲེས་པ།,C1,"Education, humor, multilingual settings","Humorous, sociolinguistic","Reflects multilingual reality of Baltistan (Balti, Urdu, Tibetan).",pʰø˥ kɛ˥ la˥ ɟa˥ kɛ˥ dzul˥,ཁོས་བོད་སྐད་ལ་རྒྱ་སྐད་འཛུལ་སོང་།,སློབ་གྲྭ་ནས་ཕྲུག་གུས་བོད་སྐད་ལ་རྒྱ་སྐད་འཛུལ་བྱེད་སོང་།,ང་ཚོས་བོད་སྐད་ལ་རྒྱ་སྐད་འཛུལ་མི་འོས།
སེམས་ལ་མེ་བརྒྱབ།,Metaphorical perfective verb phrase,To become very angry or emotionally inflamed.,ཁྲོ་བ་ཆེན་པོ་བྱུང་།,B1,"Family disputes, politics, drama","Intense, emotional",Fire symbolism common in Himalayan oral poetry.,sem˥ la˥ me˥ ɡjab̚,ཁོས་སེམས་ལ་མེ་བརྒྱབ་སོང་།,མོས་དེ་ཐོས་ནས་སེམས་ལ་མེ་བརྒྱབ།,ཁྱོད་སེམས་ལ་མེ་བརྒྱབ་མ་བྱེད།
ལུས་ལ་རླུང་བཏང་།,Metaphorical causative verb phrase,To boast or act arrogantly.,རང་ཉིད་མཐོ་བར་བསམ་པ།,B2,"Youth speech, satire, humor","Colloquial, mildly sarcastic",Wind metaphor linked to highland climate and pride symbolism.,lus˥ la˥ rluŋ˥ taŋ˥,ཁོས་ལུས་ལ་རླུང་བཏང་སོང་།,མོ་ལུས་ལ་རླུང་བཏང་མི་འོས།,ཁྱོད་ལུས་ལ་རླུང་བཏང་ན་མི་དགའ།
