Idiom,Syntactic Structure,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin,IPA,First Example Sentence,Second Example Sentence,Third Example Sentence
kacang poho kana kulitna,frasa idiomatik tetap (klausa nominal),jalma anu mopohokeun asal-usul atawa jasa batur sanggeus suksés,jalma anu teu inget asalna sorangan,B2,"nasihat sosial, kulawarga, moral","kolokial, nasihat",asal tina budaya agraris Sunda anu ngabandingkeun kacang jeung kulitna minangka asal,/katʃaŋ poho kana kulitna/,Ulah jadi kacang poho kana kulitna sanggeus meunang jabatan.,Manéhna ayeuna siga kacang poho kana kulitna ka dulur sorangan.,"Dina carita éta, tokohna kacida kacang poho kana kulitna."
gede hulu batan awak,frasa perbandingan (struktur metaforis),sombong atawa boga kahayang leuwih ti kamampuh,teu realistis atawa kaleuleuwihi ambisi,B1,"nasihat, kritik sosial","kolokial, kritik",metafora fisik ngeunaan awak anu teu saimbang dipaké dina budaya Sunda,/gede hulu batan awak/,Ulah gede hulu batan awak dina nyieun rencana.,Rencana éta katingali gede hulu batan awak keur tim leutik.,"Anjeun kudu realistis, ulah gede hulu batan awak."
aya gula aya semut,klausa paralel simbolik,tempat anu nguntungkeun bakal narik loba jalma,jalma bakal datang ka tempat anu aya kauntungan,A2,"ekonomi, sosial, observasi umum","netral, paribasa",asal tina observasi alam ngeunaan semut jeung gula dina kahirupan sapopoé,/aja gula aja səmʊt/,Di kota gede mah aya gula aya semut.,"Lamun bisnisna maju, pasti aya gula aya semut.",Fenomena éta ngabuktikeun aya gula aya semut.
leutik-leutik cabe rawit,frasa deskriptif reduplikasi,sanaos leutik tapi kuat atawa hebat,leutik tapi mampuh pisan,A2,"pujian, motivasi","kolokial, pujian",cabe rawit minangka simbol kakuatan dina ukuran leutik dina budaya kuliner Sunda,/ləʊtɪk ləʊtɪk tʃabe rawit/,Budak éta leutik-leutik cabe rawit dina diajar.,Tim leutik éta leutik-leutik cabe rawit.,Manéhna leutik-leutik cabe rawit dina olahraga.
beurat beungeut,frasa adjektival idiomatik,teu boga rasa isin atawa teu boga empati,teu isin,B2,"sosial, kritik","kolokial, negatif",asal tina ekspresi raray dina budaya Sunda anu nunjukkeun rasa isin,/bəurat bəŋəʊt/,Manéhna beurat beungeut sanajan geus salah.,Ulah jadi jalma beurat beungeut di masarakat.,Paripolahna katingali beurat beungeut.
caina herang laukna beunang,klausa tujuan ganda,ngahontal dua tujuan sakaligus kalayan cara anu alus,dua tujuan kahontal sakaligus,C1,"strategi, diplomasi","formal, bijak",asal tina kahirupan nelayan jeung filosofi Sunda ngeunaan kasaimbangan,/tʃaina hɛraŋ laukna bənaŋ/,anjeunna ngalakukeun strategi supaya caina herang laukna beunang.,Urang kudu mikir cara caina herang laukna beunang.,"Dina diplomasi, penting caina herang laukna beunang."
ngabuburit,verba turunan budaya (kagiatan tradisional),kagiatan ngadagoan waktu buka puasa ku rupa-rupa aktivitas,ngadagoan buka puasa,A1,"agama, budaya","kolokial, budaya",tradisi Ramadan di tatar Sunda,/ŋabuburit/,Barudak resep ngabuburit di alun-alun.,Sore tadi urang ngabuburit bari leumpang.,Ngabuburit jadi kabiasaan unggal Ramadan.
ngadu domba,frasa verba metaforis,ngahasut dua pihak supaya silih musuhan,ngahasut batur pikeun paséa,B2,"politik, konflik sosial","negatif, formal",asal tina praktik tradisional ngadu sato domba,/ŋadu domba/,Ulah ngadu domba antara babaturan.,Politikus éta dituduh ngadu domba warga.,Paripolah ngadu domba matak ngarugikeun.
saperti cai jeung minyak,frasa perbandingan simile,dua hal anu teu bisa ngahiji,teu cocog pisan,A2,"sosial, hubungan",netral,metafora universal anu ogé kapanggih dina budaya Sunda,/sapərti tʃai jeʊŋ minyak/,Maranehna saperti cai jeung minyak.,Pendapatna saperti cai jeung minyak.,Dua kelompok éta saperti cai jeung minyak.
"silih asah, silih asih, silih asuh",triple paralelisme filosofis,"silih ngadidik, silih mikanyaah, jeung silih ngajaga",saling bantu jeung hormat,B1,"pendidikan, budaya, filosofi","formal, filosofis",nilai inti budaya Sunda ngeunaan harmoni sosial,/silih asah silih asih silih asuh/,"Dina kulawarga kudu silih asah, silih asih, silih asuh.","Masyarakat ideal dumasar kana silih asah, silih asih, silih asuh.","Pendidikan kudu ngandung silih asah, silih asih, silih asuh."
