Idiom (Tatar),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Tatar)",First Example Sentence,Second Example Sentence,Third Example Sentence
Авызга су капкан,Фиксированная сыйфат фигыльле әйтем; исем сүзтезмәсе (прош. причастие + объект).,"Белә торып дәшмәү, сер саклау яки җавап бирмәү.","Эндәшми калу, җавап бирмәү.",B1,"Көндәлек сөйләм, гаилә, эш урыны, конфликт хәлләре.","Коллоквиаль, бераз тәнкыйди.",Су капкан кебек тын калу образыннан; авыл тормышында киң таралган.,/ɑˈʋɯzɣɑ su qɑpˈqɑn/,"Сораулар яудырсалар да, ул авызга су капкан кебек утырды.","Җыелышта җитәкче тәнкыйтькә җавап бирмичә, авызга су капкан булды.","Нигә болай тын торасың, авызга су каптыңмы әллә?"
Кул селтәү,Фигыльле фразеологизм; инфинитив формасы.,"Өметне өзү, тырышлыкны туктату.","Баш тарту, тырышудан туктау.",B1,"Эш, уку, шәхси максатлар.","Коллоквиаль, эмоциональ.",Кул белән селтәп читкә кую хәрәкәтеннән метафора.,/qul selˈtæw/,Ул проектка кул селтәде һәм башка эш эзли башлады.,Имтиханнан соң кайбер студентлар укуга кул селтәде.,Кыенлык күргәч үк кул селтәргә ярамый.
Күңел күзе белән карау,Исем сүзтезмәсе + инструменталь килеш; поэтик конструкция.,Хисләр һәм интуиция аша аңлау.,Эчке тойгы белән бәяләү.,C1,"Әдәбият, философия, мәдәни чыгышлар.","Поэтик, әдәби.",Татар поэзиясендә рухи күрү мотивы киң таралган.,/kyˈŋel ˈkyze beˈlæn qɑˈrɑw/,Бу әсәрне күңел күзе белән караганда гына аңлап була.,Ул кешеләрне күңел күзе белән бәяли белә.,"Тарихка күңел күзе белән карасак, күп сабак алырбыз."
Баш вату,Ике сүзле фигыльле әйтем; инфинитив формасы.,"Каты уйлану, катлаулы мәсьәлә өстендә озак фикерләү.",Озак һәм тирән уйлау.,A2,"Уку, эш, көндәлек тормыш.",Нейтраль-коллоквиаль.,Башны «вату» образы аша көчле фикерләүне күрсәтә.,/bɑʃ ʋɑˈtu/,Бу мәсьәлә өстендә мин күптәннән баш ватам.,Программистлар яңа алгоритм өчен баш ваттылар.,Имтихан соравы безне шактый баш ваттырды.
Тешне кысып чыдау,Фигыльле әйтем; хәл фигыль + инфинитив.,"Авырлыкка түзү, сабыр итү.",Кыенлыкка түзү.,B2,"Спорт, тормыш авырлыклары, сәясәт.","Коллоквиаль, мотивлаштыручы.",Физик авыртуны теш кысып түзүдән алынган.,/teʃne qɯˈsɯp tʃɯˈdɑw/,"Ул тешне кысып чыгып, марафонны тәмамлады.",Кризис чорында күпләр тешне кысып чыдарга мәҗбүр булды.,Авыр чакта тешне кысып тору кирәк.
Җилгә очыру,Фигыльле фразеологизм; инфинитив формасы.,Акчаны яки мөмкинлекне файдасызга әрәм итү.,Әрәм итү.,B1,"Финанс, көндәлек сөйләм, тәнкыйть.",Коллоквиаль.,Җилгә очкан нәрсә кире кайтмый дигән мәгънәдән.,/ʑilˈɡæ oˈtʃɯru/,Ул акчасын җилгә очырды.,Мөмкинлекне җилгә очыру акылсызлык.,Бөтен хезмәтеңне җилгә очырма.
Йөрәккә май булып яту,Исем сүзтезмәсе + фигыль; образлы конструкция.,"Бик ошавы, күңелгә хуш килүе.",Бик ошавы.,C1,"Әдәбият, мәхәббәт, риторика.","Поэтик, җылы.",Май — йомшарту символы; татар әдәбиятында киң кулланыла.,/jøˈrækːæ mɑj ˈbulɯp jɑˈtu/,Аның сүзләре йөрәккә май булып ятты.,Бу көй миңа йөрәккә май булып ята.,Яхшы хәбәр йөрәккә май булып төште.
Борын күтәрү,Фигыльле әйтем; инфинитив формасы.,"Үзеңне өстен кую, тәкәбберләнү.",Тәкәбберләнү.,A2,"Көндәлек сөйләм, мәктәп, эш.","Коллоквиаль, тәнкыйди.",Физик рәвештә борынны югары тоту образыннан.,/bɔˈrɯn kyˈtæru/,Ул яңа вазифа алгач борын күтәрә башлады.,Борын күтәреп йөрү кешене бизәми.,Бер уңыш өчен генә борын күтәрергә кирәкми.
Күкләргә чөю,Фигыльле әйтем; инфинитив формасы.,Чиктән тыш мактау.,Арттырып мактау.,B2,"Мәдәният, спорт, журналистика.","Коллоквиаль, эмоциональ.",Күк — иң югары дәрәҗә символы.,/kykˈlærɣæ tʃøˈju/,Матбугат аны күкләргә чөйде.,Яшь артистны тамашачылар күкләргә чөйде.,Бер уңыш өчен үк кешене күкләргә чөю дөрес түгел.
Сүздә тору,Фигыльле тотрыклы сүзтезмә; инфинитив.,"Вәгъдәне үтәү, ышанычлы булу.",Вәгъдәне үтәү.,A1,"Көндәлек сөйләм, тәрбия, эш мөнәсәбәтләре.","Нейтраль, уңай.",Татар җәмгыятендә намус һәм сүз әһәмиятенә бәйле.,/syzˈdæ tɔˈru/,Ул һәрвакыт сүздә тора.,Дус кеше сүздә торырга тиеш.,"Җитәкче сүзендә торса, коллектив ышана."
