Idiom (Mi'kmaq),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Mi'kmaq)",First Example Sentence,Second Example Sentence,Third Example Sentence
Kesalul aqq wjit wen wlo'tu'n,Fixed clause; conjunctional phrase expressing emotion,Used to express deep affection and appreciation toward someone or something.,I care about and respect you deeply.,A1–A2,"Daily speech, family, friendship, gratitude","Colloquial, affectionate, warm",Derived from traditional greetings and expressions of kinship in Mi'kmaq communities.,/ke.sa.lul ak wit wen wloː.tuːn/,Kesalul aqq wjit wen wlo'tu'n na kisna ta'n kisna.,"Tami' kisna, kesalul aqq wjit wen wlo'tu'n.","Wela'lin, kesalul aqq wjit wen wlo'tu'n wjit ta'n apoqitisk."
Maliaptmu'k ta'n apoqitisk,Fixed clause; reflexive verb phrase,Means someone is overthinking or worrying excessively.,They are worrying too much.,B1,"Daily speech, humor, family, reassurance","Colloquial, humorous",Rooted in Mi'kmaq oral humor; literally means 'they are twisting their thoughts.',/ma.li.ap.tum.uk taːn a.poː.qi.tisk/,"Mu maliaptmu'k ta'n apoqitisk, wela'si kisna.",Maliaptmu'k ta'n apoqitisk aq wesuwe'laji'k.,"Kesalul, mu maliaptmu'k ta'n apoqitisk wjit ta'n."
Wesuwe'laji'k mu teluisinuk,Subordinate clause; negative passive construction,Used to mean that someone is misunderstood or not recognized for their efforts.,They are misunderstood.,B2,"Workplace, education, emotional conversations","Formal, reflective",Traditional expression describing overlooked wisdom or contributions.,/we.su.we.la.jik mu te.luː.si.nuk/,Wesuwe'laji'k mu teluisinuk aq ta'n kisna.,"Tami' kisna, wesuwe'laji'k mu teluisinuk ta'n.","Wela'lin, mu wesuwe'laji'k mu teluisinuk."
Wikuaq te'sijik te'sijik,Reduplicated imperative phrase,Encourages persistence—means to 'keep going' or 'continue trying.',"Keep going, don't give up.",A2–B1,"Motivation, teaching, encouragement","Colloquial, motivational",Traditional encouragement during learning or travel.,/wi.ku.aːk te.si.jik te.si.jik/,"Wikuaq te'sijik te'sijik, ta'n wjit wen.","Mu apoqitisk, wikuaq te'sijik te'sijik.","Aqq, wikuaq te'sijik te'sijik wla'tu'n."
Kisu'lk telui'si wjit wen,Fixed verb phrase with possessive subject,Implies someone has inner peace or acceptance.,They are calm or content.,B1,"Spirituality, counseling, conversation","Poetic, peaceful",Rooted in traditional teachings about balance and spirit.,/ki.suʔlk te.luː.si wit wen/,Kisu'lk telui'si wjit wen ta'n kisna.,"Wela'lin, kisu'lk telui'si wjit wen.","Na kisna, kisu'lk telui'si wjit wen mu apoqitisk."
Weli-kisna ms't wjit wla'tu'n,Adverbial clause; perfective verb form,"Means someone has done their best, regardless of outcome.",They did their best.,B2,"Workplace, moral teaching, reflection","Formal, moral",Reflects Mi'kmaq teachings about effort over result.,/we.li ki.sna mɬt wit wlaː.tuːn/,Weli-kisna ms't wjit wla'tu'n na kisna.,"Mu apoqitisk, weli-kisna ms't wjit wla'tu'n.","Wela'lin, weli-kisna ms't wjit wla'tu'n."
Mu apoqitisk ta'n wesuwe'laji'k,Negative declarative clause,Means someone is carefree or unbothered.,They don’t worry about it.,A2–B1,"Daily speech, humor, friendship","Colloquial, relaxed",Reflects Mi'kmaq humor and ease with life's challenges.,/mu a.poː.qi.tisk taːn we.su.we.la.jik/,"Mu apoqitisk ta'n wesuwe'laji'k, ms't wen.","Ta'n wjit wen, mu apoqitisk ta'n wesuwe'laji'k.","Kisu'lk, mu apoqitisk ta'n wesuwe'laji'k."
Apje'tu na wen aqq wesuwe'laji'k,Imperative with conjunctional clause,Advises patience and compassion before judgment.,Be kind and understanding toward others.,B1–B2,"Teaching, family, leadership","Proverbial, formal",Moral wisdom from Mi'kmaq elders emphasizing empathy.,/ap.je.tu na wen ak we.su.we.la.jik/,Apje'tu na wen aqq wesuwe'laji'k ta'n kisna.,"Wela'lin, apje'tu na wen aqq wesuwe'laji'k.","Aqq, apje'tu na wen aqq wesuwe'laji'k mu apoqitisk."
Tami' kisna wjit wesuwe'laji'k,Clause with relational particle,"Means to support someone fully, through good and bad times.",To stand by someone always.,B2,"Family, friendship, loyalty","Colloquial, emotional",Traditional kinship-based expression of solidarity.,/ta.mi ki.sna wit we.su.we.la.jik/,Tami' kisna wjit wesuwe'laji'k ta'n kisna.,"Aqq, tami' kisna wjit wesuwe'laji'k wjit wen.","Mu apoqitisk, tami' kisna wjit wesuwe'laji'k."
Epite'tu aqq ta'n wjit apoqitisk,Conjunctional clause with reflexive verb,Means to reflect deeply before taking action.,Think carefully before acting.,B2–C1,"Leadership, education, decision-making","Formal, advisory",Rooted in elder teachings emphasizing wisdom before action.,/e.pi.te.tu ak taːn wit a.poː.qi.tisk/,Epite'tu aqq ta'n wjit apoqitisk ta'n kisna.,"Mu apoqitisk, epite'tu aqq ta'n wjit apoqitisk.","Wela'lin, epite'tu aqq ta'n wjit apoqitisk ta'n."
