Idiom (Kinyarwanda),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Kinyarwanda)",First Example Sentence,Second Example Sentence,Third Example Sentence
Kurya uburo buheze,Infinitive verb phrase with object noun,To endure hardship or deal with the consequences of one's actions,Kuba mu bibazo byatewe n’ibyo wakoze,C1,"daily speech, family, politics","colloquial, ironic",From traditional tales where millet porridge (uburo) is eaten last and symbolizes scarcity,[ku.ɾja u.bu.ɾo bu.hɛ.zɛ],Yariye uburo buheze nyuma yo kwanga inama z’ababyeyi.,Abategetsi bamwe barya uburo buheze kubera amakosa yabo ya politiki.,"Iyo wigiriye inama mbi, ntugatinye kurya uburo buheze."
Gukubita agatoki ku kandi,Infinitive verb phrase with reflexive object,To be surprised or amazed,Gutungurwa cyane,B2,"daily speech, humor, literature","colloquial, humorous",Stems from traditional gestures of disbelief or surprise,[gu.ku.bi.ta a.ga.to.ki ku.ka.nɟi],Bose bakubise agatoki ku kandi bumvise inkuru y’urupfu rwe rutunguranye.,"Uko yatsinze ikizamini, abantu bose bakubise agatoki ku kandi.","Iyo abana bamenya ko bagiye kujya mu biruhuko, bakubita agatoki ku kandi."
Kwigira icyihebe,Infinitive verb with reflexive form and object noun,To act hopeless or pretend to be miserable to gain sympathy,Kwiyerekana nk’ufite agahinda kenshi,C2,"daily speech, sarcasm, literature","ironic, literary",Refers to traditional behavior of beggars or manipulative individuals,[kʷi.ɟi.ɾa i.ci.hɛ.βɛ],"Iyo umwana ashaka impuhwe, akunda kwigira icyihebe.",Yabaye icyihebe kugira ngo bamufashe kubona akazi.,Abanyapolitiki bamwe bamenyereye kwigira ibyihebe imbere y’itangazamakuru.
Kuvuga ay’ingwe,Infinitive verb with possessive construction,To speak aggressively or recklessly,Kuvuga amagambo akomeretsa cyangwa atavugwa neza,B2,"politics, humor, literature","sarcastic, vulgar",‘Ingwe’ (leopard) symbolizes danger and wild nature,[ku.βu.ɡa a.i.ŋɡʷɛ],"Ntuzamwumve, aravuga ay’ingwe buri gihe.",Abayobozi bamwe bavuga ay’ingwe igihe bakeneye amajwi.,"Iyo atonganye n’umugore we, avuga ay’ingwe."
Guhambira ingobyi,Infinitive verb phrase with object noun,"To prepare to leave permanently, often due to being unwelcome",Kwitahira burundu,C1,"daily speech, family, politics","poetic, colloquial","‘Ingobyi’ (traditional stretcher) is linked to final journeys, sometimes burials",[gu.ha.mbi.ɾa i.ŋɡo.βi],"Nyuma y’ibyo byose, yahambirije ingobyi yisubirira iwabo.",Umunyapolitiki yahambirije ingobyi ubwo yananiwe gutsinda amatora.,"Iyo batagushaka, uhamiriza ingobyi ukigendera."
Kuryama nk’uwapfuye,Infinitive verb with comparative clause,To sleep deeply or be oblivious,Kuryama cyane udakanguka,B1,"daily speech, humor, family","colloquial, humorous",Refers to the cultural taboo of death used humorously,[ku.ɾja.ma ŋ.ku.wa.pfu.je],Yaryamye nk’uwapfuye ntiyumva n’ikirere cyahindutse.,"Iyo arangije imirimo yose, aryama nk’uwapfuye.",Ntabwo twamubyutse kuko yari yaryamye nk’uwapfuye.
Kwambara ubusa imbere y’imbaga,Infinitive verb phrase with prepositional clause,To expose one’s vulnerability or secrets publicly,Kwerekana ibanga cyangwa intege nke ku mugaragaro,C2,"politics, workplace, literature","formal, poetic, ironic",Symbolic shame in Rwandan tradition; nudity linked to dishonor,[kʷa.mba.ɾa u.βu.sa i.mbe.ɾe ji.m.ba.ɡa],Yambaye ubusa imbere y’imbaga igihe yavugaga amabanga y’urugo.,Kwambara ubusa imbere y’imbaga ni ikosa rikomeye mu buyobozi.,Hari ubwo usabwa kwambara ubusa imbere y’imbaga kubera ingorane.
Kugira isoni nk’inkoko,Infinitive verb phrase with simile,To be extremely shy or easily embarrassed,Kugira isoni nyinshi,A2,"daily speech, family, school","colloquial, humorous",Chickens are seen as timid creatures in Rwandan folk metaphors,[ku.ɟi.ɾa i.so.ni ŋ.ki.ŋ.ko.ko],Uyu mwana agira isoni nk’inkoko igihe asabwe kuvuga imbere y’abandi.,Yatinye gukina kuko agira isoni nk’inkoko.,Abana bamwe bagira isoni nk’inkoko iyo bagiye ku ishuri.
Kuribwa n’isoni,Passive verb phrase with noun object,To feel intense shame or embarrassment,Kumva isoni cyane,B1,"daily speech, school, workplace",colloquial,Pain metaphor linked to psychological discomfort,[ku.ɾi.βwa n’i.so.ni],Yaribwe n’isoni ubwo yatsinzwe mu ruhame.,"Iyo umukobwa avuze nabi mu ruhame, aribwa n’isoni.",Kuribwa n’isoni ni ibisanzwe mu buzima bwa buri munsi.
Gucira undi urubanza,Infinitive verb phrase with object clause,To judge someone harshly or unfairly,Kugira abandi abacamanza,B2,"daily speech, politics, religion","colloquial, formal",Legal metaphors are common in Kinyarwanda due to historical gacaca courts,[ɡu.ʧi.ɾa uⁿ.ɖi u.ɾu.βaⁿ.za],Abantu bakunze gucira abandi imanza batabanje kumva impande zombi.,Ntabwo ari byiza gucira undi urubanza utamumenye.,Abana barashishikarizwa kudacira abandi imanza bataramenya ukuri.
