Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Colombian Spanish)",First Example Sentence,Second Example Sentence,Third Example Sentence
Estar más perdido que turco en la neblina,Locución verbal con estructura comparativa,Estar completamente desorientado o confundido,Estar muy confundido o sin saber qué hacer,B2,"Humor, vida cotidiana","Coloquial, humorístico",Origen incierto pero común en Colombia; usa la figura del 'turco' como personaje tradicional en chistes,[esˈtaɾ mas peɾˈdiðo ke ˈtuɾ.ko en la neˈβli.na],Juan estaba más perdido que turco en la neblina en su primera clase de alemán.,"Después de la explicación, quedé más perdido que turco en la neblina.",¡No me dejen solo! Estoy más perdido que turco en la neblina.
Dar papaya,Verbo transitivo con objeto directo,Ponerse en una situación vulnerable o facilitar que alguien se aproveche,Descuidarse o exponerse innecesariamente,A2,"Vida cotidiana, seguridad, consejos","Coloquial, directo",Muy popular en Colombia; relacionado con el refrán de no facilitar oportunidades para ser robado o engañado,[daɾ paˈpa.ʝa],No des papaya saliendo con el celular en la mano.,"Dejaste la puerta abierta, diste papaya.",¡Cuidado con dar papaya en esa zona!
Sacar la piedra,Locución verbal con objeto directo,Hacer enojar a alguien,Provocar o irritar,B1,"Vida cotidiana, discusiones",Coloquial,Común en Bogotá y otras regiones urbanas; uso metafórico de ‘piedra’ como enojo,[saˈkaɾ la ˈpje.ðɾa],Ese ruido me saca la piedra.,"No me hables así, que me sacás la piedra.",Me saca la piedra cuando no hacen fila.
Como Pedro por su casa,Símil con cláusula adverbial,Moverse con mucha confianza en un lugar,Actuar con naturalidad o desparpajo,B2,"Vida cotidiana, crítica social","Coloquial, irónico","Refrán popular en varios países, usado frecuentemente en Colombia",[ˈko.mo ˈpe.ðɾo poɾ su ˈka.sa],Entró a la reunión como Pedro por su casa.,Caminaba por el barrio como Pedro por su casa.,¡Mira cómo se mete! Como Pedro por su casa.
Tener más cuento que Callejas,Locución verbal con comparación hiperbólica,Ser muy hablador o exagerado,"Contar muchas historias, reales o no",C1,"Humor, literatura, familia","Irrónico, humorístico",Referencia a Rafael Pombo y tradiciones orales; Callejas simboliza el cuentero,[teˈneɾ mas ˈkwen.to ke kaˈʝe.xas],Ese man tiene más cuento que Callejas.,"¡Uf! Con razón, si tiene más cuento que Callejas.","No le creas tanto, que ese tiene más cuento que Callejas."
Estar con la soga al cuello,Locución verbal con preposición y objeto,"Estar en una situación muy difícil, especialmente económica o emocional",Estar en apuros o al borde del colapso,B2,"Trabajo, economía, vida cotidiana","Coloquial, serio","De origen hispánico medieval, común en Colombia para expresar angustia",[esˈtaɾ kon la ˈso.ɣal ˈkwe.ʝo],Estoy con la soga al cuello este mes por tantas deudas.,"Cuando perdió el empleo, quedó con la soga al cuello.","No me pidas más favores, tengo la soga al cuello."
Hacerse el de la vista gorda,Locución verbal pronominal,Ignorar algo deliberadamente,Fingir que no se ha visto algo,C1,"Corrupción, trabajo, relaciones sociales","Coloquial, irónico",Expresión popular hispanoamericana muy presente en Colombia,[aˈseɾ.se el de la ˈβis.ta ˈɣoɾ.ða],El jefe se hizo el de la vista gorda con el error del informe.,No te hagas el de la vista gorda con lo que pasa en tu casa.,Todos se hacen los de la vista gorda cuando les conviene.
A otro perro con ese hueso,Oración imperativa con metáfora,No creerse lo que alguien dice o rechazar un intento de engaño,No me vengas con eso / No te creo,B2,"Vida cotidiana, discusiones, sarcasmo","Coloquial, irónico",Comparación con perros; ampliamente usado en Colombia para expresar escepticismo,[a ˈotɾo ˈpe.ro kon ˈe.se ˈwe.so],¿Que no sabías? ¡A otro perro con ese hueso!,"Dijo que no fue él, pero a otro perro con ese hueso.",Eso no se lo cree nadie. A otro perro con ese hueso.
Más largo que un día sin pan,Comparación hiperbólica,"Muy largo, especialmente algo tedioso o pesado",Extremadamente largo,B1,"Quejas, humor, vida cotidiana","Coloquial, irónico",Proverbio tradicional; adaptado al contexto colombiano,[mas ˈlaɾ.ɣo ke un ˈdi.a sim ˈpan],La clase fue más larga que un día sin pan.,Esa espera se me hizo más larga que un día sin pan.,¡Qué reunión! Más larga que un día sin pan.
Echar los perros,Locución verbal con objeto directo figurado,Cortejar o coquetear de forma evidente,Intentar seducir o conquistar a alguien,B1,"Relaciones amorosas, vida social","Coloquial, humorístico",Muy común en Colombia y el Caribe colombiano; origen popular,[eˈtʃaɾ los ˈpe.rros],Ese man me está echando los perros.,Le echó los perros a la nueva del grupo.,¿Viste cómo te echó los perros anoche?
