Idiom (Mizo),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Mizo)",First Example Sentence,Second Example Sentence,Third Example Sentence
Mitthi thlâk ang,Comparative simile phrase with adjectival force,"Refers to someone extremely pale, weak, or emotionally devastated.",A hmel a vangin a chau hle.,B1,"Daily speech, family discussions, illness narratives","Colloquial, descriptive",Derived from traditional visual associations with death and mourning in Mizo society.,/mit.tʰi tʰlaːk aŋ/,Naupang chu natna avângin mitthi thlâk ang mai a ni.,Exam a tlin loh hnuah a hmêl chu mitthi thlâk ang a lo ni ta.,Ramri khawihna thu an hre chuan mipuite chu mitthi thlâk ang an lo awm.
Thinlung sâwt,Verb phrase with abstract noun complement,Describes becoming deeply discouraged or emotionally burdened.,A rilru a buaiin a lawm lo.,B2,"Personal struggles, workplace stress, literature","Emotional, literary",Thinlung in Mizo culture symbolizes both emotion and moral resilience.,/tʰin.luŋ saːwt/,Hna tam lutuk avângin thinlung sâwt a ti hle.,A ṭhianin a hnuk chiah avângin a thinlung a sâwt ta.,Khawtlâng harsatna hmuin zirtirtu chu thinlung sâwt takin a awm.
Khawvêl hawi vek,Fixed verbal idiom with directional metaphor,Used when everyone suddenly pays attention to one issue or person.,Mi zawng zawngin an ngai pawimawh ta.,C1,"Politics, public events, media","Formal, rhetorical",Reflects communal attention patterns in tightly connected hill communities.,/kʰaw.veːl ha.wi vek/,Thuthang thar chu khawvêl hawi vek a lo ni.,A inchhuih dân avângin election chu khawvêl hawi vek a ni ta.,Mizo film thar pakhatin social media chu khawvêl hawi vek a siam.
Bâwngbel par ang,Poetic simile structure,Refers to something beautiful but fragile or temporary.,A mawi mahse rei tak a awm lo.,B2,"Poetry, romance, storytelling","Poetic, literary",The bâwngbel flower is admired in oral literature for delicate beauty.,/baːwŋ.bel par aŋ/,An hmangaihna chu bâwngbel par ang a ni.,Tlangram nuam tak chu bâwngbel par angin a ral nhanh.,Naupang lenna lawmna chu bâwngbel par ang mai a lo awm.
Lu chungah mei al,Clause-based metaphorical expression,Describes being under intense pressure or danger.,A dinhmun a hlauhawm hle.,C1,"Politics, conflict, examinations, crisis","Dramatic, colloquial",Fire imagery is common in Mizo oral narratives to symbolize imminent danger.,/lu t͡ʃuŋ.aʔ mei al/,Exam hnaih avângin zirlai tam tak chu lu chungah mei al ang an awm.,Debt nasa tak nei chuan lu chungah mei al ang a ni.,Ram buaina avângin mipuite chu lu chungah mei al angin an awm ta.
Kawrthah tui hmu,Seasonal metaphor phrase,Means experiencing relief after prolonged hardship.,Harsatna hnuah chawlhna a hmu.,B1,"Family life, farming, encouragement","Hopeful, cultural",Kawrthah is a dry season month; finding water symbolizes unexpected relief.,/kawr.tʰaʔ tui hmʊ/,Hna thar a hmuh chu kawrthah tui hmu ang a ni.,Doctor tha an hmu ta chu kawrthah tui hmu ang an ti.,Loan an dawn hnuah chhungkua chu kawrthah tui hmu ang an lawm.
Vawk tlâng hlau,Animal-based descriptive idiom,Describes someone overly timid or easily frightened.,A hlauhthâwn lutuk.,A2,"Humor, teasing, family conversation","Humorous, colloquial",Wild boars in hill regions are known for unpredictable fear reactions.,/vawk tlaŋ hlaw/,A naupang chu vawk tlâng hlau ang mai a ni.,Interview hmaah vawk tlâng hlau angin a inthlahdah.,Mithiam tak pawhin mipui hmaah vawk tlâng hlau ang a ni fo.
Rilru inkhâr,Reflexive abstract verb construction,Means mentally shutting oneself off from others or ideas.,A inngaihtuahna a hriat loh.,B2,"Education, counseling, social criticism","Serious, reflective",Frequently used in church and educational discourse encouraging openness.,/ril.ru iŋ.kʰaːr/,A rilru a inkhâr avângin mi dang thu a ngai lo.,Zirtirtuin zirlaite rilru inkhâr lo tûrin a fuih.,Politics lama rilru inkhâr chu inpumkhatna tibuaitu a ni.
Thlang lam thli vek,Directional idiomatic clause,Used when people blindly follow a trend or majority opinion.,Mi dang zui mai a ni.,C2,"Politics, satire, journalism","Sarcastic, ironic",Directional imagery reflects communal movement across mountain settlements.,/tʰlaŋ lam tʰli vek/,Social media trend chu thlang lam thli vek ang an zui.,Mipui tam zawk thu chu ngaihtuah lovin thlang lam thli vekin an kal.,Election campaign-ah mi tam tak chu thlang lam thli vek mai an ni.
Khawpui mitdel,Compound nominal metaphor,Describes someone naive despite living in an advanced or urban environment.,A fing lo mah mah.,B1,"Urban life, humor, social commentary","Humorous, ironic",Reflects contrasts between village wisdom and modern urban living in Mizoram.,/kʰaw.pui mit.del/,Aizawl-ah rei tak awm mahse khawpui mitdel ang a la ni.,Technology hman thiam lo chu an khawpui mitdel ti fo.,Market-ah hralh thiam loh avângin khawpui mitdel angin a lang.
