Idiom (Nauruan),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Nauruan)",First Example Sentence,Second Example Sentence,Third Example Sentence
Eimwi mwa bwe eimwi mwa,Fixed clause; repetition structure emphasizing equality,All people are equal; no one is above another.,Everyone is the same or of equal worth.,B1,"Daily speech, moral teaching, humor","Colloquial, moralistic",Reflects traditional Nauruan communal ethics emphasizing equality among kin.,[ˈei̯mwi mwa bwe ˈei̯mwi mwa],"Eimwi mwa bwe eimwi mwa, ngabõ oreit bwe mwaitsin eken tsinia.",Ai eiyu oreit bwe eimwi mwa bwe eimwi mwa ijer mwa.,Ngaga mwa eiyu bwe eimwi mwa bwe aiu eñame mwa.
Ngabõ eken gagan bwe mwaitsin,Verb phrase; active construction with object complement,To speak only when necessary; be wise in speech.,Think before speaking.,B2,"Advice, family, leadership","Formal, proverbial",Derived from traditional counsel of elders in village meetings.,[ŋaˈbõ eken ˈɡaɡan bwe ˈmwai̯tsin],Ngabõ eken gagan bwe mwaitsin bwe oreit mwa riring.,Eiyu oreit bwe ngabõ eken gagan bwe mwaitsin ngune meeting.,Ngaga mwa bwe ngabõ eken gagan bwe mwaitsin mwa bwe oreit mwa.
Ai oreit bwe ituga ngune bwieng,Fixed clause; declarative with location noun,To be content with one’s home; not longing for distant places.,There’s no place like home.,A2,"Home, nostalgia, travel","Poetic, sentimental",Rooted in Nauruans’ deep attachment to family land and community.,[ai̯ oˈrei̯t bwe iˈtuɡa ŋuˈne ˈβwi.eŋ],Ai oreit bwe ituga ngune bwieng bwe eiyu eñame mwa.,Ngaga mwa bwe ai oreit bwe ituga ngune bwieng.,Eiyu riring bwe ai oreit bwe ituga ngune bwieng mwa.
Tsinia mwa bwe mwaitsin eñame,Conditional clause; subjunctive with complement,You reap what you sow; effort brings reward.,Hard work leads to success.,B1,"Workplace, education, family advice","Formal, instructive",Traditional Nauruan expression used to motivate youth during communal labor.,[ˈtsinia mwa bwe ˈmwai̯tsin eˈɲame],Tsinia mwa bwe mwaitsin eñame bwe eiyu oreit mwa.,Ngaga mwa oreit bwe tsinia mwa bwe mwaitsin eñame ngune project.,Eiyu oreit bwe tsinia mwa bwe mwaitsin eñame bwe mwaitsin mwa.
Eken eiyu ngune gagan bwe ngabõ,Reflexive-like structure; object pronoun inversion,To take credit for someone else’s work.,Claim someone else’s achievement.,C1,"Politics, workplace, gossip","Sarcastic, ironic",Used sarcastically in political banter; reflects village dynamics.,[ˈeken ˈei̯ju ŋuˈne ˈɡaɡan bwe ŋaˈbõ],Ngaga mwa bwe eken eiyu ngune gagan bwe ngabõ mwa.,Eiyu oreit bwe eken eiyu ngune gagan bwe ngabõ bwe mwaitsin oreit mwa.,Ai tsinia bwe eken eiyu ngune gagan bwe ngabõ mwa.
Ngaga mwa bwe bwieng eken arõ,Passive-like clause with locative inversion,Things are not as they appear.,Appearances can be deceiving.,C1,"Storytelling, humor, wisdom","Poetic, proverbial",Commonly used in folktales warning against deception.,[ˈŋaɡa mwa bwe ˈβwi.eŋ ˈeken aˈrõ],Ngaga mwa bwe bwieng eken arõ bwe eiyu oreit mwa.,Eiyu oreit bwe ngaga mwa bwe bwieng eken arõ mwa.,Ai tsinia bwe ngaga mwa bwe bwieng eken arõ bwe mwaitsin mwa.
Ijer bwe gagan eken mwa,Simple clause; direct subject-verb-object,Actions speak louder than words.,Deeds show true intent.,B2,"Advice, family, workplace","Formal, instructive",Rooted in Nauruan communal respect for reliable deeds over empty talk.,[ˈiʒer bwe ˈɡaɡan ˈeken mwa],Ijer bwe gagan eken mwa bwe aiu oreit mwa.,Ngaga mwa oreit bwe ijer bwe gagan eken mwa ngune project.,Eiyu oreit bwe ijer bwe gagan eken mwa bwe mwaitsin mwa.
Dogor bwe mwaitsin eken mwaitsin,Coordinated clause; repetitive emphasis,Patience brings good results.,Good things come to those who wait.,B1,"Daily speech, family advice, patience","Proverbial, formal",Ancient expression linked to fishing patience and harvest timing.,[ˈdoɡor bwe ˈmwai̯tsin ˈeken ˈmwai̯tsin],Dogor bwe mwaitsin eken mwaitsin bwe eiyu oreit mwa.,Ngaga mwa bwe dogor bwe mwaitsin eken mwaitsin mwa.,Eiyu oreit bwe dogor bwe mwaitsin eken mwaitsin bwe mwaitsin mwa.
Tsinia ngabõ bwe oreit mwa,Conditional clause; subjunctive with complement,"If you try, you succeed.",Effort brings success.,A2,"Education, workplace, encouragement","Encouraging, motivational",Used in schools and training centers to encourage youth.,[ˈtsinia ŋaˈbõ bwe oˈrei̯t mwa],Tsinia ngabõ bwe oreit mwa bwe eiyu oreit mwa.,Ngaga mwa oreit bwe tsinia ngabõ bwe oreit mwa ngune study.,Eiyu oreit bwe tsinia ngabõ bwe oreit mwa bwe mwaitsin mwa.
Eiyu oreit bwe mwaitsin eñame mwa,Declarative clause; progressive aspect with complement,What goes around comes around.,Karma or reciprocal justice.,C1,"Moral lessons, storytelling, justice","Proverbial, moralistic",Echoes traditional Nauruan belief in balance and consequence.,[ˈei̯ju oˈrei̯t bwe ˈmwai̯tsin eˈɲame mwa],Eiyu oreit bwe mwaitsin eñame mwa bwe aiu ituga mwa.,Ngaga mwa bwe eiyu oreit bwe mwaitsin eñame mwa bwe mwaitsin oreit mwa.,Eiyu oreit bwe mwaitsin eñame mwa bwe oreit mwa.
