Idiom (Southern Sotho),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Southern Sotho)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ho ja lehlabathe,Fixed verbal clause,To suffer extreme poverty or hardship,To be destitute or in great difficulty,C1,"Daily speech, social commentary, literature","Colloquial, poetic",Refers to rural hardship; common in agrarian metaphors,ho ʒa lɛɬʼaːbatʰɛ,"Ka mor’a hore a lahleheloe ke mosebetsi, o ile a qala ho ja lehlabathe.",Batho ba bangata motseng oo ba ntse ba ja lehlabathe ka lebaka la komello.,Ho ja lehlabathe ke ntho e bohloko haholo ho ba sa pheleng hantle ka lichelete.
Ho tšoara thipa ka bohaleng,Reflexive verb in idiomatic expression,To take a risk or accept a disadvantage in a situation,To be in a vulnerable position,B2,"Politics, family, workplace","Colloquial, ironic",Derived from traditional knife-handling warnings,ho t͡ʃʼoːra tʰiːpa ka bʊhalɛŋ,Ho ne ho hlakile hore o tšoere thipa ka bohaleng nakong eo a neng a lumela ho thusana le bona.,Batsamai ba lipolotiki ba bangata ba tšoara thipa ka bohaleng ho boloka setulo sa bona.,Ke ile ka tšoara thipa ka bohaleng ha ke nka molato oo ke sa o entseng.
Ho hloka mathe,Verb phrase,To be speechless or ashamed,To be too embarrassed to respond,B2,"Daily speech, conflict resolution","Colloquial, ironic",Used in storytelling when characters are embarrassed,ho ɬʊka matʰɛ,O ile a hloka mathe ha a utloa hore ke eena ea molato.,"Ha a botsitsoe potso eo, o ile a hloka mathe ka tšohanyetso.",Kea tseba hore o tla hloka mathe ha a bona hore re ne re nepile.
Ho phapha le moya,"Fixed expression, verb phrase",To behave recklessly or without direction,To act aimlessly,C1,"Social criticism, workplace, youth culture","Colloquial, sarcastic",Likens unanchored behavior to leaves scattered by wind,ho pʰapʰa lɛ mʊja,Bacha ba bang ba phapha le moya ntle le morero o hlakileng.,O rata ho phapha le moya le ho ipata ka mantsoe a monate.,U ke ke ua fihla kae ka ho phapha le moya bophelong.
Ho feta lekhulo,Verb with comparative adverbial phrase,To go beyond what is acceptable or moral,To cross the line or act unethically,C2,"Politics, legal debates, literature","Formal, critical",Derived from customary boundaries of community behavior,ho fɛtʼa lɛkʰʊlɔ,Sebui se ile sa feta lekhulo ka mantsoe a hloileng.,Ha re lokela ho feta lekhulo ha re bua ka ba bang.,Palo ea lintho tseo a li entseng e fetile lekhulo.
Ho iketsa sethunya,Reflexive verb phrase,To be arrogant or self-important,To act superior,B1,"Youth culture, humor, sarcasm","Colloquial, humorous",Refers to being showy like a weapon,ho ickʼɛtsa sɛtʰʊɲa,"Ha a se a fumane mosebetsi, o se a qala ho iketsa sethunya.",Moshemane eo o lula a iketsa sethunya le ho nyefola ba bang.,"Tšoara batho ka hlompho, o se ke oa iketsa sethunya."
Ho tlohela metsi a futhumetse,Verb clause with infinitive phrase,To miss an opportunity or act too late,To let a chance pass,B2,"Workplace, advice-giving, mentorship","Formal, advisory","Imagery of wasting prepared water, symbolic of lost effort",ho tɬʊhɛla mɛt͡si a fʊtʰʊmɛt͡sʼɛ,O ile a tlohela metsi a futhumetse ka ho se arabe mohala ka nako.,Ho sa lebaleha hore re ile ra tlohela metsi a futhumetse ketsahalong eo.,Mosali eo o lula a tlohela metsi a futhumetse ka liphetho tseo a li nkang.
Ho tšoara pelo,Verbal idiom,To be patient or endure hardship,To stay strong through difficulty,A2,"Encouragement, family, religion","Formal, poetic",Tied to Christian and traditional values of endurance,ho t͡ʃʼoːra pʰɛlɔ,Re lokela ho tšoara pelo nakong ena ea liteko.,Bana ba hae ba mo khothalelitse ho tšoara pelo.,Ke nako ea hore re tšoare pelo re ts'epa qetello e ntle.
Ho hlaba ka litlhare,Verb phrase with instrumental particle,To speak critically or deliver painful truth,To criticize bluntly,C2,"Politics, literature, public speaking","Formal, literary",Alludes to healing pain through truth (herbs),ho ɬʼaba ka lɪt͡ɬʼʼaːrɛ,Sebui se ile sa hlaba ka litlhare ha se bua ka bobolu.,Re lokela ho hlaba ka litlhare ho hlakisa 'nete.,Mosuoe o ile a hlaba ka litlhare ha a fana ka maikutlo a hae.
Ho hula lehlaka le lelelele,Verb with adverbial object phrase,To be chosen for a difficult or unlucky task,To be assigned a tough role,B2,"Workplace, games, satire","Colloquial, humorous",Stems from drawing lots in games or chores,ho hʊla lɛɬʼaːka lɛ lɛlɛlɛlɛ,Ke ile ka hula lehlaka le lelelele ha ba khetha mohlabani.,O lula a hula lehlaka le lelelele ha ho tluoa ka mosebetsi o boima.,Ha ho na pelaelo hore re hula lehlaka le lelelele kajeno.
