Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Egyptian Arabic)",First Example Sentence,Second Example Sentence,Third Example Sentence
يعمل من الحَبّة قُبّة,Fixed clause; exaggerated comparative phrase,To exaggerate something small into a big deal,He makes a mountain out of a molehill,B2,"Daily speech, humor, family","Colloquial, humorous",Common across Egyptian households; metaphor from old sayings about distortion,/ˈjaʕmal men elˈħabba ˈʔubba/,ماتقلقش، هو دايمًا بيعمل من الحَبّة قُبّة.,يعني وقعت حاجة بسيطة، ليه عملت منها قصة؟ بتعمل من الحَبّة قُبّة؟,المدير زعق لي عشان اتأخرت دقيقة، بيعمل من الحَبّة قُبّة فعلاً!
على راسه بطحة,Prepositional clause; implied subject,He’s guilty or feels exposed,He has a guilty conscience,C1,"Politics, sarcasm, workplace","Colloquial, ironic",Refers to a wound on the head—whoever reacts to teasing must have one,/ʕala ˈɾɑːsu ˈbɑtˤːa/,أول ما اتكلمنا عن السرقة، هو اتنرفز. شكله على راسه بطحة.,محدش اتهمه، بس هو زعل وخرج. على راسه بطحة بقى.,المتهم الوحيد اللي اعترض على التفتيش... أكيد على راسه بطحة!
الدنيا دوّارة,Nominal sentence; metaphorical predicate,What goes around comes around,Life brings karma,B1,"Life advice, literature, reflective speech","Literary, poetic",Culturally rooted in fatalism and Sufi poetry,/edˈdenja dæwˈwɑːɾa/,خليك كويس، الدنيا دوّارة وممكن ترجعلك الحاجة.,كنت فاكر إنك كسبت، بس الدنيا دوّارة يا صاحبي.,هو ظلم ناس كتير، بس الدنيا دوّارة وهياخد جزاه.
إيده طايلة,Nominal phrase; possessive implication,He has influence or access,He's well-connected,B2,"Workplace, politics, economy","Colloquial, neutral",Used to describe powerful figures behind the scenes,/ˈʔiːdu ˈtˤɑːjlɑ/,متتخانقش معاه، إيده طايلة في الشركة.,هو اللي خلّص الورق؟ آه، إيده طايلة.,إيده طايلة، يقدر يخلص أي حاجة!
شرب المقلب,Verbal phrase; transitive verb with object,He got fooled or tricked,He fell for it,B1,"Humor, pranks, youth speech","Colloquial, humorous",Refers to an old prank where someone is offered spoiled drink,/ʃeɾeb elˈmaʔlɑb/,قالوله إنه نجح، وطلع مقلب، وشرب المقلب.,ماصدقش إنك شربت المقلب دا، كان واضح!,شرب المقلب زي العبيط، وهو فرحان كمان.
يبلّ ريقه,Verbal phrase; reflexive structure,To have a small relief or a slight taste of something desired,To get a small taste or relief,A2,"Daily speech, hospitality, food, informal talk","Colloquial, warm",Common in food-related and hospitality contexts,/jeˈbælː ˈɾiːʔu/,اديله لقمة يبلّ ريقه قبل ما نبدأ الأكل.,شرب شوية ميه يبلّ ريقه من الحر.,قال كلمتين يبلّ بيهم ريقه بعد الصمت الطويل.
وشه مكشوف,Nominal phrase; passive implication,He is exposed or has been caught,His true colors are revealed,B2,"Politics, betrayal, sarcasm","Colloquial, ironic",Related to ideas of public shame and exposure,/ˈweʃːu mækˈʃuːf/,لما اتفضح في الميديا، بقى وشه مكشوف قدام الكل.,وشه مكشوف، مين هيصدقه تاني؟,بمجرد ما خالف وعوده، وشه بقى مكشوف للناس.
يقول كلمتين وخلاص,Verbal clause; verb-object structure with pragmatic marker,To speak without thinking or with no real meaning,He just says something to say something,B1,"Sarcasm, daily speech, debate","Colloquial, sarcastic","Critique of empty talk, common in political or social contexts",/jeˈʔuːl kelˈmeːtˤeːn we xɑˈlɑːsˤ/,الراجل ده بيقول كلمتين وخلاص من غير ما يفكر.,هو مايعرفش الحقيقة، بس لازم يقول كلمتين وخلاص.,كنت مستني رأي مهم، بس قال كلمتين وخلاص!
يدّي وش,Verbal phrase; ditransitive construction,To enable or encourage someone’s bad behavior by indulging them,To give someone room to act out,B2,"Family, parenting, criticism","Colloquial, advisory",Relates to ideas of spoiling or tolerating misbehavior,/jedːi weʃ/,ما تدّيهش وش، بيتدلع زيادة عن اللزوم.,كل ما يدّيه وش، يعملي فيها ناصح.,أنا غلطت لما اديته وش من الأول.
بيرقص على كل الحبال,Verbal clause; figurative action metaphor,To be opportunistic or play all sides,He plays all sides,C1,"Politics, workplace, sarcasm","Colloquial, ironic",Derived from circus imagery; common political metaphor,/bejɾʔos ʕala kolː elħiˈbæːl/,سياسي بيرقص على كل الحبال، ملوش موقف واضح.,المدير بيرقص على كل الحبال بين الأقسام.,اللي بيرقص على كل الحبال بيقع في الآخر.
