Idiom (Godié),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Godié)",First Example Sentence,Second Example Sentence,Third Example Sentence
Kpɔ́n nìa kpɔ́n ɖa lé sà lé nìa wò.,Fixed clause; comparative structure with parallelism.,Two people or things that are very similar in behavior or character.,They are very much alike.,B1,"Daily speech, humor, family, friendship.","Colloquial, humorous.",Used across the Godié region to describe people who share traits; often said jokingly among friends.,[kpɔ̃̀ níà kpɔ̃̀ ɗà lé sà lé níà wò],"Wà lé Kofi nìa Yao, kpɔ́n nìa kpɔ́n ɖa lé sà lé nìa wò.",Ɓa lé nìa kpɔ́n ɖa lé sà lé nìa wò nìa kpɛ́.,Mɔ̀ kpɛ́ nìa kpɔ́n ɖa lé sà lé nìa wò nìa kpɔ́ yé.
"Tɔ̀n lé ɓa kpɔ́ gɔ̀lì, nìa ɓa ɓa wò.",Complex clause with conditional sense.,Actions speak louder than words.,It is better to act than to talk.,B2,"Wisdom, teaching, workplace, ethics.","Proverbial, moralistic.",Traditional Godié proverb passed down in oral teaching emphasizing responsibility and integrity.,[tɔ̃̀ lé ɓà kpɔ́ gɔ̀lì níà ɓà ɓà wò],"Ɓa lé nìa tɔ̀n lé ɓa kpɔ́ gɔ̀lì, nìa ɓa ɓa wò nìa sà.","Mɔ̀ kpɛ́ nìa ɓa lé kpɔ́ gɔ̀lì, nìa ɓa ɓa wò lé ɓa.","Wà lé sà lé kpɔ́ gɔ̀lì, nìa ɓa lé kpɔ́ wò."
"Ɓa lé nìa kpɔ́ ɖa, kpɔ́n lé kpɛ́.",Fixed clause with cause-effect structure.,What you sow is what you reap.,Your actions determine your outcomes.,B2,"Moral lessons, family advice, education.","Proverbial, didactic.",Reflects the agricultural roots of Godié society emphasizing moral causality.,[ɓà lé níà kpɔ́ ɗà kpɔ̃̀ lé kpɛ́],"Mɔ̀ kpɛ́ ɓa lé nìa kpɔ́ ɖa, kpɔ́n lé kpɛ́ lé wò.","Ɓa lé kpɔ́ ɖa, kpɔ́n lé kpɛ́ nìa kpɔ́ wò lé gɔ́.","Wà lé ɓa nìa kpɔ́ ɖa, kpɔ́n lé kpɛ́ yé."
"Kɔ́ kpɛ́ nìa ɖa, wò kpɛ́ gɔ́.",Conditional comparative; cause-effect structure.,"If you respect others, they will respect you.",Treat others as you wish to be treated.,B1,"Ethical teachings, family, moral discourse.","Proverbial, instructive.",Common in intergenerational conversations emphasizing respect and reciprocity.,[kɔ́ kpɛ́ níà ɗà wò kpɛ́ gɔ́],"Mɔ̀ kpɛ́ nìa kɔ́ kpɛ́ nìa ɖa, wò kpɛ́ gɔ́.","Ɓa lé kɔ́ kpɛ́ nìa ɖa, wò kpɛ́ gɔ́ nìa.",Wà lé kɔ́ kpɛ́ nìa ɖa lé kpɛ́ gɔ́ lé wò.
"Ɓa lé nìa kpɔ́, yé nìa kpɛ́ sà.",Balanced clause with parallel emphasis.,Don’t judge a book by its cover.,Appearances can be deceiving.,C1,"Daily life, moral stories, literature.","Philosophical, advisory.",Used in storytelling to caution against hasty judgment.,[ɓà lé níà kpɔ́ yé níà kpɛ́ sà],"Ɓa lé nìa kpɔ́, yé nìa kpɛ́ sà lé kpɔ́n.","Mɔ̀ kpɛ́ nìa kpɔ́, yé nìa kpɛ́ sà lé gɔ́.",Ɓa lé kpɔ́ yé nìa kpɛ́ sà lé kpɔ́n nìa.
"Mɔ̀ kpɛ́ yɔ́ nìa, yé nìa kpɛ́ wò.",Reciprocal clause structure.,Love and kindness are mutual.,"When you love, you are loved back.",A2,"Romance, friendship, family.","Poetic, affectionate.",Popular among young speakers and in love songs from western Côte d’Ivoire.,[mɔ̀ kpɛ́ yɔ́ níà yé níà kpɛ́ wò],"Mɔ̀ kpɛ́ yɔ́ nìa, yé nìa kpɛ́ wò lé kpɔ́n.","Ɓa lé kpɛ́ yɔ́ nìa, yé nìa kpɛ́ wò lé sà.",Wà lé kpɛ́ yɔ́ nìa lé yé nìa kpɛ́ wò.
Kpɔ́n lé ɓa kpɛ́ gɔ̀n.,Fixed expression with nominal focus.,The wise one knows silence is golden.,A wise person keeps quiet.,C2,"Wisdom, teaching, literature, politics.","Philosophical, reflective.",Associated with traditional councils and elder sayings among the Godié.,[kpɔ̃̀ lé ɓà kpɛ́ gɔ̀n],Kpɔ́n lé ɓa kpɛ́ gɔ̀n nìa kpɔ́ lé sà.,Ɓa lé kpɔ́n lé ɓa kpɛ́ gɔ̀n lé gɔ́.,Mɔ̀ kpɛ́ kpɔ́n lé ɓa kpɛ́ gɔ̀n lé kpɔ́.
"Nìa ɖa kpɔ́n, kɔ́ kpɛ́ wò lé ɓa.",Causal-complex structure.,Every action has a consequence.,Be mindful of your deeds.,B2,"Moral education, family advice, justice.","Advisory, serious.",Rooted in moral teachings of elders and traditional judges in western Ivorian culture.,[níà ɗà kpɔ̃̀ kɔ́ kpɛ́ wò lé ɓà],"Ɓa lé nìa ɖa kpɔ́n, kɔ́ kpɛ́ wò lé ɓa.","Mɔ̀ kpɛ́ nìa ɖa kpɔ́n, kɔ́ kpɛ́ wò lé kpɔ́.",Wà lé nìa ɖa kpɔ́n lé kɔ́ kpɛ́ wò lé gɔ́.
"Sɛ̀ wò kpɛ́, kɔ́ nìa kpɔ́.",Inverse imperative clause.,You must work to gain reward.,Effort brings success.,A2,"Education, youth motivation, workplace.","Encouraging, moralistic.",Frequent in motivational speeches and parental guidance.,[sɛ̀ wò kpɛ́ kɔ́ níà kpɔ́],"Sɛ̀ wò kpɛ́, kɔ́ nìa kpɔ́ lé sà lé gɔ́.","Mɔ̀ kpɛ́ sɛ̀ wò kpɛ́, kɔ́ nìa kpɔ́ lé kpɔ́n.",Ɓa lé sɛ̀ wò kpɛ́ kɔ́ nìa kpɔ́ lé nìa.
Ɓa lé ɓa nìa ɖa lé gɔ̀n.,Fixed passive-like construction.,Trouble comes to those who talk too much.,Loose talk brings problems.,C1,"Politics, social life, humor, workplace.","Cautionary, sarcastic.",Used to mock or warn people who gossip excessively.,[ɓà lé ɓà níà ɗà lé gɔ̃̀],Ɓa lé ɓa nìa ɖa lé gɔ̀n nìa kpɔ́ lé kpɛ́.,Mɔ̀ kpɛ́ ɓa lé ɓa nìa ɖa lé gɔ̀n lé kpɔ́n.,Ɓa lé nìa ɓa ɖa lé gɔ̀n lé kpɔ́.
