Idiom (Ligurian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Ligurian)",First Example Sentence,Second Example Sentence,Third Example Sentence
A l’é comme andâ in sciô caruggio de Zena,Fixed clause; comparative simile structure,It’s like going into the maze of Genoa — describes a confusing or complicated situation.,It’s a confusing or difficult situation.,B2,"daily speech, humor, frustration","colloquial, ironic","Refers to the narrow, twisting alleys (caruggi) of Genoa’s old town.",[a lˈe kume anˈda in ʃu kaˈrud͡ʒu de ˈzena],Quello lavô a l’é comme andâ in sciô caruggio de Zena: ti te perdi subìto!,O discorso de u sindicò a l’é comme andâ in sciô caruggio de Zena.,"Cöse, t’æ capìo? A l’é comme andâ in sciô caruggio de Zena!"
Dâ o ciù a-a mæza,Verb phrase; idiomatic verb with indirect object,To make things worse; to aggravate a bad situation.,To worsen something.,B1,"daily speech, complaint, frustration",colloquial,Maritime origin — literally ‘to add salt to the tide’.,[da u ˈtʃy a a ˈmɛːza],"Invece de aiutâme, t’æ dâto o ciù a-a mæza!",Quello l’é sempre bon a dâ o ciù a-a mæza.,"No sta dâ o ciù a-a mæza, lasciémmo stâ così!"
Stâ co-o nasciu in sciâ finestra,Verb phrase with prepositional complement,To be nosy; to meddle in others’ affairs.,To intrude or be overly curious.,B1,"daily speech, gossip, humor","colloquial, humorous",Derived from traditional village gossipers watching from their windows.,[sta ku u ˈnaʃu in ʃa fiˈnestra],A l’é sempre lì a stâ co-o nasciu in sciâ finestra!,Eugènia a stâ co-o nasciu in sciâ finestra tuttu o giornò.,"Mi no stægo co-o nasciu in sciâ finestra, mi lavoru!"
A l’é comme un figgeu de scignæ,Comparative simile; noun phrase,Someone mischievous or hard to control.,A very naughty or restless child.,A2,"family, humor, daily speech","colloquial, humorous",Traditional comparison with a monkey’s child — playful and uncontrollable.,[a lˈe kume un fiˈʤeu de ʃiˈɲæ],"A mæ figlietta a l’é comme un figgeu de scignæ, no se ferma un momento!","L’é sempre in gîro, comme un figgeu de scignæ.","Gh’é chi rumôu, comme un figgeu de scignæ in casa!"
Tegnî o gattô sott’a tocca,Verb phrase with idiomatic object,To keep something secret or hidden.,To conceal information or intentions.,B2,"daily speech, workplace, intrigue","neutral, idiomatic","Literally ‘to keep the cat under the cloak’, implying secrecy.",[teɲi u gaˈtːu sotːa ˈtɔkka],O l’ha tegnûo o gattô sott’a tocca finché no l’é stæto tardi.,"Ti tegnî sempre o gattô sott’a tocca, eh?",No se peu tegnî o gattô sott’a tocca per sempre.
A l’é comme un vento de tramontâ,Fixed simile; nominal clause,Something sudden and intense but short-lived.,"Brief and strong, but fleeting.",C1,"literature, love, philosophy","literary, poetic",Refers to the cold northern wind typical of Liguria.,[a lˈe kume un ˈventu de tramunˈta],O mæ amore a l’é comme un vento de tramontâ.,"A passion a l’é comme un vento de tramontâ, a passa presto.",A felicità a l’é comme un vento de tramontâ: bella ma corta.
Ciamâ i pesci in sciâ riva,Verb phrase; figurative fixed expression,To complain loudly or uselessly.,To shout or protest in vain.,B2,"daily speech, frustration, politics","ironic, colloquial","Fishermen’s slang — calling fish ashore, i.e., doing something pointless.",[tʃaˈma i ˈpeʃi in ʃa ˈriva],Ti ciammi i pesci in sciâ riva se pensi che t’ascoltan.,Gh’é chi ciamma i pesci in sciâ riva ogni giorno in te l’uffìsio.,A lamentâ senza cambiâ ninte l’é comme ciamâ i pesci in sciâ riva.
Fâ e sciume senza mæ,Verb phrase; metaphorical construction,To make a fuss without reason.,To exaggerate or overreact.,B1,"daily speech, family, humor","colloquial, ironic",Alludes to making foam without the sea — fuss without substance.,[fa e ˈʃyme ˈsensa mɛ],"No fâ e sciume senza mæ, l’é ninte!",Gh’é sempre chi o fâ e sciume senza mæ pe ninte.,A mamma a fâ e sciume senza mæ ogni votta ch’a vê tardi.
Avéi e man in pasta,Verb phrase; idiomatic reflexive metaphor,"To be involved in many things, often with hidden influence.",To be involved in various matters.,C1,"politics, workplace, gossip","neutral, idiomatic",Originates from baking — one’s hands literally in dough.,[aˈvei e ˈman im ˈpasta],"O l’ha sempre e man in pasta, ghe n’é de tùtte e sorte.",Chi o l’ha e man in pasta o sa sempre tùtto.,Mi no vòggio avéi e man in pasta in sta storia.
Andâ in scî lûxe,Verb phrase; reflexive motion verb,To lose one’s mind or act irrationally.,To go crazy or lose control.,B2,"humor, stress, daily life","colloquial, humorous",From ‘lights’—symbolic of sanity; losing lights means losing reason.,[anˈda in ʃi ˈlyʒe],"Se continuo coscì, mi veggo andâ in scî lûxe!",Gh’é chi o l’é già andæto in scî lûxe da anni.,T’æ visto Gianni? O l’é quasi andæto in scî lûxe co-o stress.
