Idiom (Malayalam),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Malayalam)",First Example Sentence,Second Example Sentence,Third Example Sentence
കറുത്തിക്കറി പാകം ചെയ്യുക,വാക്യഘടന: കൃത്യമായ ക്രിയാപദം (വെർബൽ ഐഡിയം),ഏതെങ്കിലും പ്രശ്നത്തിൽ ചുട്ടുപൊള്ളി പിഴവുകൾ ചെയ്യുക.,വളരെയധികം തെറ്റുകൾ ചെയ്യുക.,B2,"ദൈനംദിനം, രാഷ്ട്രീയ പ്രസംഗം, പ്രവർത്തന വിലയിരുത്തൽ","വാചാലം, ആക്ഷേപഭരിതം",രണ്ടാം ലോകമഹായുദ്ധകാലത്തു സമരവേളകളിലെ ഭാഷാ ഉപയോഗത്തിൽ നിന്നുണ്ടായതായിരിക്കാം.,kɐɾut̪ːikːɐɾi pɐːgɐm t͡ʃeiyukɐ,അവൻ ആ പദ്ധതിയിൽ കറുത്തിക്കറി പാകം ചെയ്തപ്പോഴാണ് എല്ലാവരും ശങ്കിച്ചത്.,കമ്പനിയുടെ പുതിയ മാനേജർ വന്നപ്പോൾ കറുത്തിക്കറി പാകം ചെയ്തതു പോലെ കാര്യങ്ങൾ കുഴപ്പമായി.,തിരഞ്ഞെടുപ്പിനുശേഷം കറുത്തിക്കറി പാകം ചെയ്തപ്പോലെ രാഷ്ട്രീയ പാർട്ടിയുടെ വിശ്വാസ്യത പോയി.
കാക്കയ്ക്കു തവിടത്ത് വാഴപ്പഴം,നാമവാക്യം (ഉപമാത്മകഘടന),അയോഗ്യനും അഹങ്കാരിയുമായ ഒരാൾക്ക് അതിനോക്കാതെ വലിയൊരു സാധ്യത ലഭിച്ചിരിക്കുന്നു.,അയോഗ്യനു അപ്രതീക്ഷിതമായ അവസരം ലഭിച്ചു.,C1,"വ്യംഗ്യം, നാടകസംഭാഷണം, രാഷ്ട്രീയ വിമർശനം","ആക്ഷേപഭരിതം, വിശേഷണാത്മകമായ ഭാഷ",മലയാള സിനിമയിലൂടെയും നാടോടിക്കഥകളിലൂടെയും പടർന്നുപോയ പ്രസിദ്ധമായ ഉപമ.,kaːkːɐikːɐ t̪ɐʋit̪ɐt̪ː ʋaːɻɐpːɐɻɐm,അവനൊക്കെ എം.ഡി. ആകുന്നത് കാക്കയ്ക്കു തവിടത്ത് വാഴപ്പഴം അല്ലേ!,അനുഭവമില്ലാത്ത ആളിനെ സീനിയർ പോസിഷനിലാക്കിയതോടെ കാക്കയ്ക്കു തവിടത്ത് വാഴപ്പഴം ആവസ്ഥയായി.,കുട്ടിയ്ക്ക് വലിയ ഇൻഹെറിറ്റൻസ് കിട്ടിയതും കാക്കയ്ക്കു തവിടത്ത് വാഴപ്പഴം പോലെയായിരുന്നു.
ചിരിച്ചുകൊണ്ടിരിക്കുമ്പോൾ കരിയുന്നു,വ്യാക്ഷേപപദം ചേർന്ന കൃത്യവാക്യം,മുന്‍കൂട്ടി കാണാതെ ഉള്ള വിഷമം ഹാസ്യമായി മറയ്ക്കുക.,വേദനയെ ചിരിയിലൂടെ മറയ്ക്കുന്നു.,C1,"കവിത, സിനിമ, ആത്മകഥ",കാവ്യാത്മകവും വേദനാഭരിതവുമായ,കുട്ടികൃഷ്‌ണമാരാരുടെയും മുണ്ടശ്ശേരി മാഷിന്റെയും കവിതകളിൽ പതിഞ്ഞ പ്രസക്തി.,t͡ʃiɾit͡ʃːukonɖiɾikːumbɔːɭ kɐɾijunnu,വേദന മറക്കാൻ അവൻ ചിരിച്ചുകൊണ്ടിരിക്കുമ്പോൾ കരിയുന്നു.,വിമാനത്തിൽ മകളുടെ ചിത്രമറിഞ്ഞപ്പോൾ ചിരിച്ചുകൊണ്ടിരിക്കുമ്പോൾ കരിയുന്നത് പോലെ തോന്നി.,ചിരിച്ചുകൊണ്ടിരിക്കുമ്പോൾ കരിയുന്നു എന്നത് അവളുടെ ജീവിതത്തിന്റേതാണ്.
തൂക്കിയിടാൻ വണ്ടിയില്ല,"കാവ്യാത്മക, നാമവാക്യഘടന",സഹായം തേടാൻ ഒരാളും ഇല്ലാതിരിക്കുക.,ആശ്രയിക്കാനാരുമില്ല.,B1,"ദൈനംദിനം, സാമൂഹിക സമവായം","സാധാരണ, ദുഃഖഭരിതം",പശ്ചിമഘട്ടത്തിലെ പാരമ്പര്യ കഥകളിൽ നിന്നുള്ള ഉപമ.,t̪uːkːijit̪aːn ʋɐnɖijillɐ,"അവന്റെ നില അങ്ങനെ ആയി, தூക്കിയിടാൻ വണ്ടിയില്ല.","നാട്ടുകാർ വിട്ടുനിന്നപ്പോൾ, അവള്ക്ക് തോന്നിയത് തൂക്കിയിടാൻ വണ്ടിയില്ല എന്നത്.",സമ്പത്ത് നഷ്ടപ്പെട്ടതോടെ അയാൾക്ക് തൂക്കിയിടാൻ വണ്ടിയില്ല.
കുരുവിയെ വെട്ടിയാൽ കോഴിയാവുമോ?,നിശ്ചയാത്മകമായ ചോദ്യം; ഉപമയുള്ള ചോദ്യം,തുല്യതയില്ലാത്തവയെ തുല്യരായി കണക്കാക്കുന്നത് മൂഢത്വമാണ്.,വ്യത്യസ്തമായവയെ ഒരേ പോലെ കണക്കാക്കാൻ പാടില്ല.,B2,"ഹാസ്യം, പഠനശേഷി വിലയിരുത്തൽ",വിശകലനാത്മകവും പരിഹാസവും,കുട്ടികൾക്കുള്ള പഴയ പ്രാവാചനം.,kuɾuʋije ʋeʈːijaːl koːɻijaːʋumoː,തൻ്റെ കൃത്യങ്ങൾ മറച്ച് മറ്റുള്ളവരേപ്പോലെ ആകാൻ ശ്രമിക്കുമ്പോൾ എനിക്ക് തോന്നിയതിങ്ങനെയായിരുന്നു – കുരുവിയെ വെട്ടിയാൽ കോഴിയാവുമോ?,കുരുവിയെ വെട്ടിയാൽ കോഴിയാവുമോ എന്ന് ചോദിച്ചാൽ നീ ചിന്തിക്കണം.,"അവർ ഇരുവരും ഒരേ ജോലി ചെയ്യുന്നു എന്നുവച്ച് ഒരേ കഴിവുള്ളവരല്ല, കുരുവിയെ വെട്ടിയാൽ കോഴിയാവുമോ?"
വട്ടക്കെട്ടിൽ വണ്ടിയേറിയത് പോലെ,ഉപമാസംയുക്ത വാക്യം,"ഒരേ പ്രവൃത്തിയിൽ കുടുങ്ങിപോകുക, മുന്നോട്ടുപോകാൻ കഴിയാതെ.",മുന്നോട്ട് നീങ്ങാൻ കഴിയാത്ത അവസ്ഥ.,B2,"വ്യവസായം, വിദ്യാഭ്യാസം, തൊഴിലിടം","പ്രായോഗികം, ലളിതം",പഴയ കാർട്ടുകളിലൂടെയും പ്രാദേശിക പ്രവർത്തനവൈകല്യങ്ങളിലൂടെയും പിറവിയായി.,ʋɐʈːɐkkeʈːil ʋɐnɖijeːɾijɐt̪ː poːle,ഇത്രയും സമയമൊക്കെ ഞാൻ വട്ടക്കെട്ടിൽ വണ്ടിയേറിയത് പോലെ അങ്ങോട്ട് ഇങ്ങോട്ട്.,പദ്ധതിയുടെ പുരോഗതിയില്ലായ്മ വട്ടക്കെട്ടിൽ വണ്ടിയേറിയത് പോലെ ആണ്.,"ഇത് ഒരൊറ്റ നിയമം കൊണ്ടല്ല മറാ, ഇത് വട്ടക്കെട്ടിൽ വണ്ടിയേറിയത് പോലെ ആകിയിരിക്കുന്നു."
വെട്ടിന്ടത്തിയാൽ നനവുണ്ടാകില്ല,"സത്യവാക്യഘടന, നിഷേധാത്മക ഉപമ",ഏതു ശ്രമം ചെയ്താലും ചിലരെ മാറ്റാൻ കഴിയില്ല.,പലർക്കും മാറ്റം സംഭവിക്കില്ല.,C2,"ആദ്ധ്യാത്മികം, ജീവിതാനുഭവം","ദാർശനികം, ഗൗരവം",ഭഗവത്ഗീതാ അർത്ഥചിന്തകളിൽ പിറവിയായ ധാരണ.,ʋeʈːinɐʈːijaːl nɐnɐʋuɳʈaːkillɐ,വെട്ടിന്ടത്തിയാൽ നനവുണ്ടാകില്ല എന്ന് പറയുമ്പോൾ ഞങ്ങൾക്കൊന്നും വിശ്വാസം തോന്നിയില്ല.,അവനെ എത്രയേറെ ഉപദേശിച്ചാലും വെറുതെയാണെന്ന് ഞങ്ങൾക്കറിയാമായിരുന്നു – വെട്ടിന്ടത്തിയാൽ നനവുണ്ടാകില്ല.,"മനസ്സിൽ മാറ്റം വരുത്താനാകില്ല, വെട്ടിന്ടത്തിയാൽ നനവുണ്ടാകില്ല."
പാതിരാത്രിക്ക് പല്ലിക്ക് മാമോദിസ,സമയവിശേഷണ സമാസം,അസാധാരണമായ സമയത്ത് സംഭവിക്കുന്ന അസാധാരണ പ്രവർത്തനം.,അപ്രതീക്ഷിത സമയത്ത് സംഭവിച്ച സംഭവം.,C1,"കൗമാരം, നാടകസംഭാഷണം, തമാശ","വ്യംഗ്യം, ലളിതം",പള്ളി കർമ്മങ്ങളിൽ നിന്നുള്ള രസപ്രചാരമാർന്ന വിമർശനം.,paːt̪iɾat̪ɾikːɐ pɐlːikːɐ maːmod̪isɐ,അവൻ ആ പ്രസംഗം തുടങ്ങിയത് പാതിരാത്രിക്ക് പല്ലിക്ക് മാമോദിസ പോലെയായിരുന്നു.,കൂടാരത്തിൽ പാതിരാത്രിക്ക് പല്ലിക്ക് മാമോദിസ തുടങ്ങിയപ്പോൾ ഞങ്ങൾ എല്ലാരും പലയിടത്തേക്കു പാഞ്ഞു.,മാമൻ പാതിരാത്രിക്ക് പല്ലിക്ക് മാമോദിസ പോലെയുള്ള ആ പഴഞ്ചൊല്ല് പറഞ്ഞു.
പുഴയിൽ വെള്ളം കയറിയപ്പോൾ മത്സ്യം മറക്കരുത്,സാഹചര്യവാക്യം; ഉപമാത്മക ഘടന,അവസര സുഖത്തിൽ പഴയ ബന്ധങ്ങൾ മറക്കരുത്.,ഉന്നതമായപ്പോൾ പഴയവർക്ക് നന്ദി മറക്കരുത്.,C1,"നൈതിക പഠനം, കുടുംബം, ശാസനം",മനോഹരമായ ഉപദേശഭരിതം,കുടുംബപരമ്പരയിൽ നിന്നുള്ള നൈതികശിക്ഷണപ്രസംഗം.,puɻajil ʋeɭːɐm kajɐɾijɐpoːɭ mɐlt͡sɪjɐ mɐɾɐkkɐɾut̪ɯ,അദ്ദേഹം പുഴയിൽ വെള്ളം കയറിയപ്പോൾ മത്സ്യം മറക്കരുത് എന്ന് എനിക്കു ഓർമ്മിപ്പിച്ചു.,പടവട്ടം കയറിയപ്പോൾ പുഴയിൽ വെള്ളം കയറിയപ്പോൾ മത്സ്യം മറക്കരുത് എന്നത് അവനോട് ഞാൻ പറഞ്ഞു.,മുത്തശ്ശിയുടെ ഉപദേശം ഇപ്പോഴും ഓർമ്മയുണ്ട് — പുഴയിൽ വെള്ളം കയറിയപ്പോൾ മത്സ്യം മറക്കരുത്.
കണ്ണുനീരിൽ കഞ്ഞിവെക്കാനാവില്ല,നിഷേധാത്മക ഉപമാവാക്യം,വിലക്കെട്ടുള്ള വിഷമം കൊണ്ട് പ്രായോഗിക പരിഹാരം കാണാനാകില്ല.,വിലാപം കൊണ്ട് പ്രശ്നം പരിഹരിക്കാൻ കഴിയില്ല.,B2,"പ്രവൃത്തിശീലം, ബന്ധങ്ങൾ, ജീവിതപാഠങ്ങൾ","ഗൗരവം, ധാരാളം ഉപദേശാത്മകത",പ്രാചീനത്തെ തൊഴിൽജീവിതതത്വങ്ങളിൽ നിന്ന് ഉരുത്തിരിഞ്ഞത്.,kɐɳɳuniːɾil kɐɲːiʋekːaːnɐːʋilla,"എത്രയും വിഷമിച്ചാലും, കണ്ണുനീരിൽ കഞ്ഞിവെക്കാനാവില്ല എന്നത് മനസ്സിലാക്കണം.",തൊഴിൽ നഷ്ടപ്പെട്ടപ്പോൾ അവൻ പറഞ്ഞു — കണ്ണുനീരിൽ കഞ്ഞിവെക്കാനാവില്ല.,"അമ്മയോടാണ് അച്ഛൻ ഒരിക്കൽ പറഞ്ഞത് — കണ്ണുനീരിൽ കഞ്ഞിവെക്കാനാവില്ല, പണി നോക്കണം."
