Idiom (Kwinti),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Kwinti)",First Example Sentence,Second Example Sentence,Third Example Sentence
A liba no e tyari wan taki nomo.,Fixed declarative proverb; subject NP + habitual aspect marker e + transitive verb phrase + quantifier phrase.,A situation has more than one side; one account is not the whole truth.,Sani disi abi moro tori leki san wi yere fosi.,B1,conflict mediation; family discussion; community meetings; careful listening,"colloquial, wise, conciliatory",River imagery associated with Coppename/Bitagron travel and oral discussion; synthetic Kwinti-facing entry requiring elder/speaker validation.,/a li.ba no e tʃa.ri wan ta.ki no.mo/,No fasi yu kosi en now; a liba no e tyari wan taki nomo.,"Te den ede sma sidon tapu a sani, mi taki taki: a liba no e tyari wan taki nomo.","A boi yere wan pisi tori, ma a liba no e tyari wan taki nomo."
"Te Anansi dede, en tori e waka yeti.",Temporal subordinate clause with te plus main clause; animate possessive pronoun en and habitual aspect e.,"A clever person’s reputation, trick, or rumor continues after the person is gone.",A nen of tori fu wan sma kan tan langa baka en.,B2,storytelling; humor; reputation talk; warnings about gossip,"colloquial, humorous, slightly ironic",Draws on Anansi trickster storytelling shared across Afro-Surinamese oral traditions; synthetic Kwinti-facing entry requiring speaker validation.,/te a.nan.si de.de en to.ri e wa.ka je.ti/,"Unu fergiti a olo skowtu, ma te Anansi dede, en tori e waka yeti.","A sma gwe kaba, ma te Anansi dede, en tori e waka yeti ini a dorpu.","No meki wan leigi fasi, bika te Anansi dede, en tori e waka yeti."
No drai yu baka na alen.,Negative imperative; prohibitive no + verb + possessive body-part noun + locative prepositional phrase.,"Do not ignore a clear warning, threat, or responsibility.",Yu mu luku bun na sani dati e kon.,A2,parental advice; safety warnings; work planning; travel preparation,"direct, practical, protective",Weather and river-road preparedness are central to interior travel; synthetic Kwinti-facing entry requiring speaker validation.,/no drai ju ba.ka na a.len/,Boto no abi furu oli; no drai yu baka na alen.,Mama taki mi: no drai yu baka na alen te wolku kisi a tapu.,"Den man si a trobi lontu, ma den drai baka na alen."
Wan boto nanga tu kapiten e broko na sula.,"Fixed declarative proverb; singular subject with comitative phrase, habitual aspect e, intransitive verb and locative phrase.",Too many leaders or conflicting instructions make a shared task fail.,"Te furu sma e gi difrenti pasi, wroko no e go bun.",B1,workplace; politics; boat travel; project management; family decisions,"colloquial, advisory, lightly critical",Canoe and rapid imagery reflects river navigation and cooperative decision-making; synthetic Kwinti-facing entry requiring speaker validation.,/wan bo.to nan.ga tu ka.pi.ten e bro.ko na su.la/,"Meki wan sma taki a pasi, bika wan boto nanga tu kapiten e broko na sula.","A komiti abi tu bosman now, na dati wan boto nanga tu kapiten e broko na sula.","Te den tu brada e kisi a stuur, wan boto nanga tu kapiten e broko na sula."
"A faya de na asisi, ma en hati e tan hoti.",Contrastive compound sentence; locative copular clause plus adversative ma clause with habitual/stative predicate.,"An old conflict, desire, or resentment still has power beneath a calm surface.","A trobi luku leki a kaba, ma a ati e tan tranga.",B2,family disputes; politics; reconciliation; emotional reflection,"poetic, serious, cautionary","Hearth, cooking fire, and ash imagery fits domestic life and communal cooking; synthetic Kwinti-facing entry requiring speaker validation.",/a fa.ja de na a.si.si ma en ha.ti e tan ho.ti/,"Den taki den makandra bun, ma a faya de na asisi, en hati e tan hoti.","Mi si a luku na en ai; a faya de na asisi, ma en hati e tan hoti.","No hari a owru tori so; a faya de na asisi, ma en hati e tan hoti."
Fisi no e leri swen na doro gron.,Negative habitual declarative; generic subject NP + no e + verb phrase + locative phrase.,"Skills are learned through real practice in the right setting, not only through talk.",Yu e leri wan wroko bun te yu du en na tru presi.,B1,education; apprenticeships; fishing; farming; practical training,"colloquial, instructional, encouraging",Fishing and water knowledge are recurring images in riverine Suriname; synthetic Kwinti-facing entry requiring speaker validation.,/fi.si no e le.ri swen na do.ro gron/,"I kan leisi buku, ma fisi no e leri swen na doro gron.",Meki a pikin hori neti wan dei; fisi no e leri swen na doro gron.,"Na ini wroko yu o sabi, bika fisi no e leri swen na doro gron."
"Busi abi ai, masi mofu no taki.",Paratactic proverb; possessive clause plus concessive-like contrast without overt subordinator.,People notice hidden actions even when nobody speaks openly about them.,"Sma e si san psa, aladi den no taki en.",B2,community ethics; secrecy; gossip; political caution; family discipline,"serious, warning, proverbial","Forest as witness evokes Maroon settlement, hunting paths, and community memory; synthetic Kwinti-facing entry requiring speaker validation.",/bu.si a.bi ai ma.si mo.fu no ta.ki/,"No meki fasi ini dungru, bika busi abi ai, masi mofu no taki.","Den no aksi yu yeti, ma busi abi ai, masi mofu no taki.","A kapiten sabi san yu du; busi abi ai, masi mofu no taki."
"Yu e hari moksi, yu mu nyan moksi.","Balanced conditional-like parataxis; second-person subject, habitual/progressive marker e, modal mu, repeated object noun for rhetorical parallelism.","When you create a complicated situation, you must accept the consequences.",Yu mu teki a baka fu san yu du.,A2,family advice; youth correction; workplace responsibility; humor,"colloquial, sharp, mildly sarcastic",Food and pot-mixing imagery from shared cooking and household accountability; synthetic Kwinti-facing entry requiring speaker validation.,/ju e ha.ri mok.si ju mu ɲan mok.si/,"Yu ben opo a tori ini oso, so yu e hari moksi, yu mu nyan moksi.","Mi no o teki a bosi gi yu; yu e hari moksi, yu mu nyan moksi.","Te bosiman wani tu pasi na wan dei, yu e hari moksi, yu mu nyan moksi."
Kankantri no e fergiti gron fu en futu.,Generic negative declarative; subject NP + no e + verb + complement NP with possessive phrase.,"A person should remember their roots, origin, and obligations after success or migration.","Sma mu memre pe den komoto, aladi den go fara.",B2,migration; elders’ advice; ceremonies; cultural identity; diaspora,"poetic, respectful, reflective",Kankantri/ceiba imagery references large forest trees and ancestral-root symbolism in Suriname; synthetic Kwinti-facing entry requiring speaker validation.,/kan.kan.tri no e fer.gi.ti gron fu en fu.tu/,"I kan tan na foto, ma kankantri no e fergiti gron fu en futu.","Te a dochter kon baka fu skowru, granma taki: kankantri no e fergiti gron fu en futu.","Wi meki a nyan fu dorpu, bika kankantri no e fergiti gron fu en futu."
"Te owru dyari taki, yongu ede mu yere.","Temporal proverb; subordinate te-clause with personified subject, main clause with modal mu and perception verb.",Young people should listen when elders share experience or warnings.,Yongu sma mu yere lesi fu owru sma.,A2,elder counsel; family teaching; initiation into work; community meetings,"respectful, didactic, traditional",Garden/yard as an elder-centered teaching space in domestic community life; synthetic Kwinti-facing entry requiring speaker validation.,/te ow.ru dʒa.ri ta.ki jon.gu e.de mu je.re/,"Sidon bun, mi pikin; te owru dyari taki, yongu ede mu yere.","Den boi ben wani lon go, ma te owru dyari taki, yongu ede mu yere.","A lesi disi no de fu spoti, bika te owru dyari taki, yongu ede mu yere."
