Idiom (O’odham),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, O’odham)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ñiokĭ g wui,Fixed nominal clause with metaphorical predicate,Someone acting without awareness or wisdom; being naïve in an obvious situation,He or she does not understand what is happening,B1,"Family conversations, teasing, village humor","Colloquial, humorous",References traditional communal observation of behavior and practical wisdom in desert life,/ɲi.okɨ ɡ wui/,Ñiokĭ g wui heg ai si hasañ ba ’i-gegosid.,A: Hegam o hihim? B: Ñiokĭ g wui ’añi.,Gogs ’i hekaj ñiokĭ g wui ’o g siakam.
Ju:kĭ ’i-gegosid,Verb phrase with aspectual emphasis,To keep worrying endlessly about something small,To think too much about a problem,B2,"Personal advice, elder speech, emotional discussions","Colloquial, reflective",Connected to long desert journeys where patience and mental endurance mattered,/huːkɨ ʔi ɡeɡosid/,Pi ’añi ju:kĭ ’i-gegosid g huḍai.,Ju:kĭ ’i-gegosid am heg s-ap e-gei.,O s-maṣcam ju:kĭ ’i-gegosid g wabṣ.
Bañ ’o ha-cecpos,Descriptive clause with stative imagery,To become suddenly silent after speaking proudly,To stop talking after embarrassment,B2,"Debates, humor, political conversations","Ironic, colloquial",Associated with public storytelling and ceremonial speaking traditions,/baɲ ʔo ha t͡ʃet͡ʃpos/,Bañ ’o ha-cecpos g wuḍdam mat heg ’añi ñeid.,’At o bañ ’o ha-cecpos ’aba ’i-huhugam.,Heg ’añi bañ ’o ha-cecpos g s-ke:g.
S-cuk son haṣañ,Compound nominal metaphor,A person who always changes loyalties or opinions,Someone who cannot stay consistent,C1,"Politics, workplace gossip, criticism","Critical, sarcastic",Reflects social value placed on reliability within O’odham communities,/s t͡ʃuk son haʂaɲ/,S-cuk son haṣañ heg ’añi ’i-mu:dag.,Pi gogs s-cuk son haṣañ g jeved.,S-cuk son haṣañ ’o ñeid g kawulk.
Hegam ’o ñiok,Elliptical evaluative phrase,Something suspicious or not entirely trustworthy,Something seems wrong,A2,"Daily speech, warnings, family advice",Neutral colloquial,Traditional oral cautionary style encouraging awareness,/heɡam ʔo ɲiok/,Hegam ’o ñiok g wai ’i-g taccu.,’Añi heg hegam ’o ñiok g siakam.,Hegam ’o ñiok mat pi ’o hihim.
Wuiṣ ’i-ṣoṣon,Reduplicated verbal expression,To drift through life without purpose,To live without direction,C1,"Elder teachings, literary speech, counseling","Poetic, reflective",Inspired by movement across desert landscapes and survival discipline,/wuiʂ ʔi ʂoʂon/,Pi wuiṣ ’i-ṣoṣon g hekaj cewagi.,Wuiṣ ’i-ṣoṣon am g ceoj.,Heg ’añi wuiṣ ’i-ṣoṣon g si’alig.
Cikpan g moik,Metaphorical noun phrase,A person who pretends to be brave but is fearful,Someone hiding fear behind confidence,B1,"Humor, social teasing, storytelling","Humorous, ironic",Animal imagery is common in traditional O’odham oral narratives,/t͡sikpan ɡ moik/,Cikpan g moik ’o hegai g koṣ.,Pi cikpan g moik mat ’o ñeid.,Cikpan g moik gogs ’i-huḍi.
Haṣañ g cewagi,Possessive metaphorical construction,A person carrying emotional burdens for too long,Someone holding onto sadness,B2,"Counseling, songs, family discussions","Poetic, emotional",Connected to O’odham song traditions and mourning expression,/haʂaɲ ɡ t͡ʃewagi/,Haṣañ g cewagi heg ’añi ’i-huḍai.,Pi haṣañ g cewagi mat ’o siakam.,Haṣañ g cewagi g wuḍ doakag.
Moik ’i-huhugam,Active verb phrase,To speak loudly without saying anything meaningful,To talk without substance,B1,"Politics, workplace talk, social criticism","Sarcastic, colloquial",Public speaking and communal discourse historically valued meaningful speech,/moik ʔi huhugam/,Moik ’i-huhugam g wuḍdam ’i-gei.,Pi moik ’i-huhugam mat hegai ñeid.,Moik ’i-huhugam ’o cewagi g kawulk.
’I-wapkial ha-cecpos,Verb phrase with bodily metaphor,To become exhausted from constant struggle,To feel worn out from difficulties,C2,"Literature, oral history, emotional storytelling","Poetic, serious",Echoes themes of endurance and survival in Sonoran Desert history,/ʔi wapkial ha t͡ʃet͡ʃpos/,’I-wapkial ha-cecpos gogs ’i-ceoj.,Pi ’i-wapkial ha-cecpos g huḍai.,’I-wapkial ha-cecpos mat ’o siakam.
