Idiom (Interlingua),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Interlingua)",First Example Sentence,Second Example Sentence,Third Example Sentence
Dar al vento,Verbal phrase; infinitive verb + prepositional object,To waste something or act carelessly with resources or effort,Disperse or waste unnecessarily,B2,"Daily speech, workplace, economy","Colloquial, slightly critical","From the old maritime idea of scattering goods to the wind, symbolizing loss",/dar al ˈvento/,Il ha date su opportunitate al vento per non esser preparate.,Non da tu pecunias al vento con projectos sin fundamento.,Le chef de equipa accusava le director de dar le budget al vento.
Aperir le Pandora,Nominal phrase; definite article + proper noun,To initiate a series of unforeseen problems,Cause a chain of troubles,C1,"Politics, media, humor, workplace","Literary, ironic","Derived from the Greek myth of Pandora’s box, widely used in Romance idioms",/aˈperir le panˈdora/,"Con su declaration, ille ha aperite le Pandora del corruption.",Publicar iste datos pote aperir le Pandora del critica social.,Le nove lege ha aperite le Pandora del controversias public.
Haber pan in ambe manos,Clause; auxiliary + noun phrase + prepositional complement,To be in a very advantageous situation,To have an advantage or control in both situations,B1,"Daily life, negotiation, business","Neutral, pragmatic","Traditional proverb referring to having bread in both hands, meaning security",/aˈber pan in ˈambe ˈmanos/,Ella ha pan in ambe manos post le promotion.,"Con su contactos, ille ha pan in ambe manos in iste industria.","Si tu studia e travalia, tu habera pan in ambe manos."
Vider le mondo per oculos roseos,Infinitive verb + object + prepositional phrase,To see things too optimistically,To see things better than they are,B2,"Romance, literature, humor, daily speech","Poetic, gentle irony",From the European expression ‘to see the world through rose-colored glasses’,/ˈvider le ˈmondo per ˈokulos ˈroseos/,Juvenes sovente vide le mundo per oculos roseos.,"Non vide le mundo per oculos roseos, le realitate es plus rude.",Ille vive felice perque vide toto per oculos roseos.
Tener le lingua in le borsa,Infinitive verb + object + prepositional phrase,To remain silent or avoid speaking out,To stay quiet,B1,"Daily speech, humor, family, workplace","Colloquial, humorous",Imagery of keeping one’s tongue in a bag — traditional metaphor for discretion,/ˈtener le ˈliŋɡwa in le ˈborsa/,Ella teneva le lingua in le borsa durante tote le reunion.,"Pro un vice, tene tu lingua in le borsa e escuta.",Le puero apprendeva a tener su lingua in le borsa ante le professores.
Cader del sartene in le foco,Infinitive verb phrase; prepositional clause,To move from a bad situation to a worse one,Make things worse while trying to escape trouble,C1,"Politics, humor, literature, advice","Colloquial, ironic",Parallel to ‘out of the frying pan into the fire’; found in Mediterranean proverbs,/ˈkader del sarˈtene in le ˈfoko/,Abandonar le coalition esseva cader del sartene in le foco.,"Si tu cambia de labor sin plan, tu cade del sartene in le foco.",Le decision precipitose los face cader del sartene in le foco.
Portar aqua al mar,Infinitive verb + direct object + prepositional complement,To do something redundant or useless,Do something unnecessary,A2,"Daily life, humor, education","Colloquial, humorous",Old Latin proverb meaning a futile effort,/porˈtar ˈakwa al mar/,Repetir lo que ille ja sape es portar aqua al mar.,Discuter con illa es portar aqua al mar.,Explicar isto a expertos es portar aqua al mar.
Trovar se con le aqua al gule,Reflexive construction with prepositional phrase,To be overwhelmed or in serious difficulty,To be in trouble,B2,"Workplace, family, stress situations","Colloquial, expressive",Evokes the feeling of being submerged; frequent in Romance idiomatic parallels,/troˈvar se kon le ˈakwa al ˈgule/,"Post le errores, le equipa se trovava con le aqua al gule.",Io me trova con le aqua al gule con tote iste responsabilidades.,Le scola se trova con le aqua al gule ante le exames.
Un gallina sin capite,Nominal phrase with descriptive metaphor,To act chaotically or without direction,To be disorganized or confused,A2,"Family, workplace, humor","Colloquial, humorous",Based on the common barnyard image of a headless chicken running,/un ɡaˈʎina sin kaˈpite/,"Durante le crise, ille correva como un gallina sin capite.",Io me senti como un gallina sin capite iste matino.,Non age como un gallina sin capite in le situation.
Passar le nocte in bianco,Infinitive phrase with object and prepositional complement,To stay awake all night,Not sleep during the night,A2,"Daily life, literature, family","Neutral, descriptive","Common Latin-root idiom found across Romance languages, meaning sleeplessness",/pasˈsar le ˈnɔkte in ˈbjaŋko/,Io ha passate le nocte in bianco studiante pro le examen.,Nos passava le nocte in bianco parlante del futuro.,Ella passa le noctes in bianco pensante a ille.
