Idiom (Kannada),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Kannada)",First Example Sentence,Second Example Sentence,Third Example Sentence
ಮೂಗಿನ ಮೇಲೆ ಮೆಕ್ಕೆಜೋಳ ಹಚ್ಚುವುದು,fixed clause; verb-object construction,ಅಸಾಧ್ಯವಾದ ಕಾರ್ಯವನ್ನು ಮಾಡುವ ಪ್ರಯತ್ನ,ಅಸಾಧ್ಯ ಕೆಲಸಕ್ಕೆ ಕೈ ಹಾಕುವುದು,C1,"sarcasm, daily speech","colloquial, ironic",ಹೆಣ್ಣುಮಕ್ಕಳಿಗೆ ಮೂಗಿನ ಮೇಲೆ ಮೆಕ್ಕೆಜೋಳವಿಲ್ಲ ಎಂಬ ಹಳೆಯ ನಂಬಿಕೆಯ ಭಾಷಾರ್ಥ,/muːgina meːle mekkeʤoːɭa hattʃuvudu/,ಅವನ ಹಂಬಲವನ್ನು ನೋಡಿ ಮೂಗಿನ ಮೇಲೆ ಮೆಕ್ಕೆಜೋಳ ಹಚ್ಚುತ್ತಿದ್ದಾನೆ ಅನ್ನಿಸಿತು.,"ನಾನು ಎಷ್ಟೇ ಹೇಳಿದರೂ, ಅವನು ಮೂಗಿನ ಮೇಲೆ ಮೆಕ್ಕೆಜೋಳ ಹಚ್ಚಲು ಪ್ರಯತ್ನಿಸುತ್ತಿದ್ದ.","ಪ್ರಯತ್ನ ಶ್ಲಾಘನೀಯವಾದರೂ, ಇದು ಮೂಗಿನ ಮೇಲೆ ಮೆಕ್ಕೆಜೋಳ ಹಚ್ಚುವಂತೆ ಆಗುತ್ತದೆ."
ಬೇಸಿಗೆಗೆ ಬೆಂಕಿ ಹಚ್ಚುವುದು,fixed clause; causative verb phrase,ಹೆಚ್ಚು ಸಮಸ್ಯೆ ಅಥವಾ ಸಂಕಷ್ಟ ಸೃಷ್ಟಿಸುವುದು,ಸ್ಥಿತಿಯನ್ನು ಇನ್ನಷ್ಟು ಕಷ್ಟಕರವಾಗಿಸುವುದು,B2,"politics, workplace, family","colloquial, dramatic",ಬೇಸಿಗೆಯ ಕಾಲದಲ್ಲಿ ಬೆಂಕಿಯ ಕಾವಾಗಿ ಬೆಳೆದ ಭಾಷೆ,/beːsigege beŋki hattʃuvudu/,ಈ ತೀರ್ಮಾನವೇ ಸರ್ಕಾರ ಬೇಸಿಗೆಗೆ ಬೆಂಕಿ ಹಚ್ಚಿದಂತೆ ಆಗಿದೆ.,ಅವನ ವಾಕ್ಸಮರ್ಥ್ಯ ಬೇಸಿಗೆಗೆ ಬೆಂಕಿ ಹಚ್ಚಿದಂತೆ ಆಗಿತು.,ಈ ಮುಕ್ತಾಯ ಬೇಸಿಗೆಗೆ ಬೆಂಕಿ ಹಚ್ಚಿದ ಪರಿಣಾಮ ಉಂಟುಮಾಡಿತು.
ಅಪ್ಪೆ ಬಿಸಿಯೂಟಕ್ಕೆ ಬಾಯಿಗೆ ನೀರೂರುವಂತೆ,simile; descriptive participial clause,ಬಹು ಆಶೆಯ ದರ್ಶನ ಹೊಂದುವುದು,ಅತೀವ ಆಸೆ ತೋರಿಸುವುದು,B1,"family, daily speech, humor","colloquial, poetic",ಉತ್ತರ ಕರ್ನಾಟಕದ ಮನೆಯ ಅಪ್ಪೆ ಬಿಸಿಯೂಟ ಸಂಸ್ಕೃತಿಯಿಂದ,/appe bisijuːʈakke baːyige niːruːruvante/,ಅವನನ್ನು ನೋಡಿದಾಗ ಅಪ್ಪೆ ಬಿಸಿಯೂಟಕ್ಕೆ ಬಾಯಿಗೆ ನೀರೂರುವಂತೆ ಆಗುತ್ತಿತ್ತು.,ಈ ಸುದ್ದಿ ಕೇಳಿ ಅಪ್ಪೆ ಬಿಸಿಯೂಟಕ್ಕೆ ಬಾಯಿಗೆ ನೀರೂರುವಂತೆ ಖುಷಿಯಾಯಿತು.,ಹೆಣ್ಣುಮಕ್ಕಳ ಹೊಸ ಸೀರೆ ನೋಡಿ ಅಪ್ಪೆ ಬಿಸಿಯೂಟಕ್ಕೆ ಬಾಯಿಗೆ ನೀರೂರುವಂತೆ ಉತ್ಸಾಹಪಟ್ಟರು.
ಕಾಗೆ ಹೊಡೆದಷ್ಟು ಗಂಧಿ ಬೀಳುತ್ತದೆ,conditional clause with result,ಅಲ್ಪ ಪ್ರಮಾಣದ ಪರಿಣಾಮವಿಲ್ಲದ ಕೆಲಸ,ಅರ್ಥವಿಲ್ಲದ ಪ್ರಯತ್ನ,B2,"sarcasm, workplace","sarcastic, ironic","ಗ್ರಾಮೀಣ ಪ್ರಸ್ತಾವ, ಹಾಸ್ಯ ಸಂಪ್ರದಾಯ",/kaːge hoɖedastʃu gaⁿd̪ʱi biːɭuttade/,ನಿಮ್ಮ ಈ ಕಾರ್ಯ ಕಾಗೆ ಹೊಡೆದಷ್ಟು ಗಂಧಿ ಬೀಳುತ್ತದೆ.,ಅವನ ಸೂಚನೆ ಕಾಗೆ ಹೊಡೆದಷ್ಟು ಗಂಧಿಯೂ ಉಂಟುಮಾಡಲಿಲ್ಲ.,ಅದೊಂದು ಕಾಗೆ ಹೊಡೆದಷ್ಟು ಗಂಧಿ ಬೀಳುವ ಯೋಜನೆಯಷ್ಟೇ.
ಅಜ್ಜನ ಕಾಲದ ಲಾಟಿ,noun phrase with genitive,"ಪ್ರಾಚೀನ, ಈಗಲೂ ಬಳಸಲಾಗುತ್ತಿರುವ ವಸ್ತು/ವಿಚಾರ",ಹಳೆಯದಾದದ್ದು ಇನ್ನೂ ಬಳಸುವದು,B1,"literature, sarcasm, family","colloquial, nostalgic",ಅಜ್ಜರ ಕಾಲದ ಆಟಗಳು,/ad͡ʒd͡ʒana kaːlada ɭaːʈi/,ಅವನ ಆಲೋಚನೆಗಳು ಅಜ್ಜನ ಕಾಲದ ಲಾಟಿಯಂತಿವೆ.,ಈ ನಿಯಮ ಅಜ್ಜನ ಕಾಲದ ಲಾಟಿಯಂತಿದೆ.,ಅವಳ ಧೋರಣೆ ಅಜ್ಜನ ಕಾಲದ ಲಾಟಿಯನ್ನು ನೆನಪಿಸುತ್ತವೆ.
ದಿಂಡು ಮೇಲೆ ಬಟ್ಟೆ ಹಾಕುವುದು,fixed clause; locative preposition with object,ಅವಶ್ಯಕವಿಲ್ಲದ ಅಲಂಕಾರ ಅಥವಾ ಹೆಚ್ಚು ಮಾಡಿದ ಪ್ರಯತ್ನ,ಹೆಚ್ಚಾಗಿ ತೋರಿಸಲು ಅಲಂಕಾರ ಮಾಡುವುದು,C1,"literature, sarcasm","literary, ironic",ದಿಂಡು ಇದ್ದರೂ ಅದಕ್ಕೆ ಬಟ್ಟೆ ಹಾಕುವುದು ಅನ್ನೋನು ಹಳೆಯ ಗೃಹಸ್ತ ಸಂಪ್ರದಾಯ,/diⁿɖu meːle baʈʈe haːkʊvudu/,ಈ ವರದಿ ದಿಂಡು ಮೇಲೆ ಬಟ್ಟೆ ಹಾಕಿದಂತೆ ಇದೆ.,ಅವನ ಸ್ಪೀಚ್‌ಲಿ ಬೇಕಾಗಿಲ್ಲದ ತಾರತಮ್ಯ – ದಿಂಡು ಮೇಲೆ ಬಟ್ಟೆ ಹಾಕಿದಂತಿದೆ.,ಅವಳ ಹೊಳಪು ತುಂಬಾ – ದಿಂಡು ಮೇಲೆ ಬಟ್ಟೆ ಹಾಕಿದಂತೆ.
ನಾಯಿ ಕೂಗಿದ್ರು ಚಂದ್ರನಿಗೆ ಏನು,complex clause; conditional + rhetorical question,ತಿಳಿವಳಿಕೆಯಿಲ್ಲದ ಟೀಕೆಗಳು ಮಹತ್ವಹೀನ,ಅವಜ್ಞೆಯು ಪರಿಣಾಮವಿಲ್ಲ,B2,"politics, humor","colloquial, sarcastic",ಪ್ರಾಚೀನ ಉಪಮೆ; ಚಂದ್ರನ ಗಂಭೀರತೆಗೆ ಬೆಳೆದು ಬಂದ ತುಣುಕು,/naːji kuːgidru t͡ʃandranige eːnu/,ಅವನ ಟೀಕೆಗಳನ್ನು ಕೇಳಿದ್ರೆ ನಾಯಿ ಕೂಗಿದ್ರು ಚಂದ್ರನಿಗೆ ಏನು ಅನ್ನಿಸುತ್ತದೆ.,"ಅವಳು ಏನೇನು ಹೇಳಿದರೂ, ನಾಯಿ ಕೂಗಿದ್ರು ಚಂದ್ರನಿಗೆ ಏನು.","ತನ್ನ ಬಗ್ಗೆ ಚರ್ಚೆ ಕೇಳಿದರೂ, ಅವನು ನಾಯಿ ಕೂಗಿದ್ರು ಚಂದ್ರನಿಗೆ ಏನು ಅಂತ ನಕ್ಕೋ ಹೋಗ್ತಾನೆ."
ಚೀಪು ಬಿಟ್ಟು ಕಬ್ಬಿಣ ಹುಡುಕುವುದು,verb-object; causative verb with compound noun,ಸಾಧಾರಣದ ಹೆಸರಿನಲ್ಲಿ ಅದ್ಭುತ ಹುಡುಕುವುದು,ಅನುಚಿತ ನಿರೀಕ್ಷೆ ಹೊಂದುವುದು,C2,"philosophy, sarcasm","ironic, poetic",ಲೋಹದ ಬೆಳವಣಿಗೆ ನಿಟ್ಟಿನಲ್ಲಿ ಗ್ರಾಮೀಣ ಮಿತವ್ಯಯ ದೃಷ್ಟಿ,/t͡ʃiːpu biʈʈu kabbiɳa huɖukuvudu/,ಅವನ ನಿರೀಕ್ಷೆ ಚೀಪು ಬಿಟ್ಟು ಕಬ್ಬಿಣ ಹುಡುಕುವಂತಿದೆ.,ಈ ಯೋಜನೆ ಚೀಪು ಬಿಟ್ಟು ಕಬ್ಬಿಣ ಹುಡುಕಿದಂತೆ ಅನಿಸುತ್ತದೆ.,ನಾನು ಹೇಳಿದ ಮಾತು ಅವನಿಗೆ ಚೀಪು ಬಿಟ್ಟು ಕಬ್ಬಿಣ ಹುಡುಕಿದ ಅನುಭವವನ್ನು ನೀಡಿತು.
ಊರೆಲ್ಲ ಕತ್ತೆ ಹತ್ತಿದ್ರು ನೀನು ಏನು?,interrogative clause with rhetorical tone,ಎಲ್ಲರೂ ಮಾಡುತ್ತಿರುವುದು ಸರಿ ಅನ್ನೋದಿಲ್ಲ,ಅನ್ಯಾಯವನ್ನು ಅನುಕರಿಸಬಾರದು,B1,"family, ethics, humor","colloquial, moralistic",ಪಶು ಉಪಮೆಗಳಿಂದ ಬುದ್ಧಿವಾದ ಹೇಳುವ ಶೈಲಿ,/uːreɭɭa kat̪t̪e hattidru niːnu eːnu/,ಊರೆಲ್ಲ ಕತ್ತೆ ಹತ್ತಿದ್ರು ನೀನು ಏನು ಅನ್ನೋದು ನನ್ನ ಮಾತು.,ಅವನ ಕೆಲಸ ಊರೆಲ್ಲ ಕತ್ತೆ ಹತ್ತಿದ್ರು ನೀನು ಏನು ಅನ್ನೋ ಹಾಗಿತ್ತು.,ಅವರ ನಿರ್ಧಾರ ಕೇಳಿದರೆ ಊರೆಲ್ಲ ಕತ್ತೆ ಹತ್ತಿದ್ರು ನೀನು ಏನು ಅಂತ ದಿಕ್ಕುತೋರುತ್ತೆ.
ಕೂಗಿದ ಕೊಕ್ಕರೆಗೆ ನೀರು ಇಲ್ಲ,subject-verb-negative clause,ಅತ್ಯಧಿಕ ಬೇಡಿಕೆ ಅಥವಾ ನಿಂದನೆ ಫಲಕಾರಿಯಾಗದು,ಅತಿಯಾದ ಕಿರುಚಾಟದಿಂದ ಪ್ರಯೋಜನವಿಲ್ಲ,B2,"sarcasm, politics, workplace","sarcastic, metaphorical",ಪಕ್ಷಿಗಳ ಅಡಗಿದ ನೀರಿಗಾಗಿ ಕೂಗುವ ವೈಚಾರಿಕ ರೂಪಕ,/kuːgida kokkarege niːru illa/,"ಅವನ ಕೂಗು ಕೇಳಿದರೂ, ಕೂಗಿದ ಕೊಕ್ಕರೆಗೆ ನೀರು ಇಲ್ಲ ಎನ್ನುವುದು ಸತ್ಯ.",ಕೂಗಿದ ಕೊಕ್ಕರೆಗೆ ನೀರು ಇಲ್ಲ ಅಂತ ಅಧಿಕಾರಿಗಳು ನಿರ್ಲಕ್ಷಿಸಿದರು.,"ಇದಕ್ಕೆ ಪರಿ ಹಾಕಿದರೂ, ಈ ತೀರ್ಮಾನ ಕೂಗಿದ ಕೊಕ್ಕರೆಗೆ ನೀರು ಇಲ್ಲ ಎಂಬಂತಹದು."
