Idiom (Gothic),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Gothic)",First Example Sentence,Second Example Sentence,Third Example Sentence
giban sunjai af hlaibai,Fixed phrase; dative-prepositional structure,To betray a friend; to give away something sacred or personal for personal gain.,To betray someone.,C1,"Religion, betrayal, literature, ethics","Literary, solemn",Derived from Biblical imagery and early Gothic Christian translations by Wulfila.,ˈɡiβan ˈsunjai af ˈxlaiβai,ƕas giban sunjai af hlaibai swaswe Iudas.,Sa liufs giban sunjai af hlaibai þan ƕas ni waurd ni andhof.,ƕa mis dōþa þan giban sunjai af hlaibai frijōnds meinamma?
ni gatairan hairtō,Negative infinitive phrase; fixed structure,To stay calm; to not lose hope or despair.,To remain strong or patient.,B2,"Encouragement, family, adversity","Colloquial, comforting",Reflects Gothic stoic values and warrior endurance.,ni ɡaˈtairan ˈhairtɔː,"Ni gatairan hairtō, frijōnds, jah biþeipan sa galeiks ist.","ƕan filu galeiþan, ni gatairan hairtō ni waurdans.",Ni gatairan hairtō þan maurgins ni liuhad ist.
tugkjan hairtōs,Verbal phrase with genitive complement,To take courage; to be resolute in spirit.,To be brave.,B1,"Battle, leadership, motivation","Heroic, motivational",Rooted in Gothic warrior ethos and tribal leadership values.,ˈtuɡkjan ˈhairtɔːs,Sa reiks tugkida hairtōs faur weihan.,"Tugkjan hairtōs, þiudans, jah sigis wairþiþ.","ƕan magu tugkjan hairtōs, ni inō swikna."
waírþan af airþai,Infinitive verb phrase; existential idiom,To die; to pass away from the world.,To die.,C2,"Religion, funerary speech, poetry","Solemn, poetic",Literal sense ‘to become from the earth’; common Gothic poetic euphemism.,ˈwairðan af ˈairθai,Sa frauja waírþi af airþai swaswe allai mennōs.,"ƕa mag giban, þan allai waírþand af airþai?","Waírþan af airþai ni ist ainōs, ak liuhadis frijōnds."
brinnan in augam,Reflexive participial structure; dative construction,To feel jealousy or burning anger.,To be envious.,C1,"Emotional, personal, jealousy, relationships","Colloquial, emotional",Based on common Gothic metaphor of ‘fire in the eyes’ representing envy.,ˈbrinnan in ˈauɡam,Sa manna brinnith in augam gasahts.,Ni brinnan in augam þan frijōnds þuk frabugjand.,Brinnan in augam ist swaswe waúrms in aftra.
haírdaba af stein,Nominal idiom; metaphorical predicate,To be cold-hearted or unfeeling.,To lack empathy.,C1,"Ethics, relationships, insult","Ironic, disapproving",Gothic metaphor of stone representing emotional hardness.,ˈhairdaβa af ˈstain,"ƕas sa haírdaba af stein, ni andhausida qissōs.",Haírdaba af stein ni liufs ni usleiks.,"ƕa þan waúrþi, jabai allai haírdabai af stein wēseina?"
drigkan sunjai,Verb phrase; transitive construction,To endure bitter truth or face reality.,To face the truth.,B2,"Philosophy, honesty, literature","Philosophical, serious",Evokes Gothic sacramental and moral imagery of drinking truth as both pain and wisdom.,ˈdrikkan ˈsunjai,"ƕas drigkith sunjai, ni gahaitith galeikai.",Drigkan sunjai ist swaswe drigkan brennandōs meinis.,"ƕa sijai, jabai ni drigkand sunjai swaei sijai?"
standan in skadus,Prepositional phrase with locative imagery,To live in obscurity or fear; to hide from truth or glory.,To live in darkness or anonymity.,B2,"Philosophical, poetic, personal struggle","Poetic, reflective",Common Gothic metaphor of ‘shadow’ for ignorance or concealment.,ˈstandan in ˈskadus,"Sa wair standith in skadus, ni gasaihwi liuhad.",Standan in skadus ist þan ni liban af sunjai.,"Ni þaúrfts standan in skadus, frijōnds, þan liuhad ist mid uns."
uslukan augōs,Transitive verb phrase; figurative idiom,To reveal understanding; to have a realization.,To understand or realize something.,B1,"Education, revelation, learning","Neutral, instructive","Gothic metaphor of ‘opening eyes’ for enlightenment, similar to Biblical usage.",usˈlukan ˈauɡɔːs,Sa laisareis uslukida augōs barnē.,"ƕan uslukand augōs, gasaihwand sunjai.",Uslukan augōs ist frumistin allai frodein.
slahan af himinam,Passive participial clause,To be struck by misfortune or divine punishment.,To suffer great misfortune.,C1,"Religion, tragedy, superstition","Solemn, religious","Common Gothic apocalyptic idiom, influenced by Biblical metaphors of lightning or divine wrath.",ˈslahan af ˈhiminam,"ƕas slahans af himinam, ni skaidith.","Slahan af himinam ni ist spil, ak swēhsl frijōnds.",Sa wair slahans af himinam þan frauja raþjada.
