Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Coastal Kadazan)",First Example Sentence,Second Example Sentence,Third Example Sentence
Aiso sopir do tutung,Fixed clause; negative + noun phrase,No smoke without fire; every rumor has a source,There is always a reason behind something said,B2,"Daily speech, gossip, community discussions","Colloquial, proverbial",Derived from traditional wisdom; relates to village life and visible fire/smoke relationship,ˈaiso soˈpir do tuˈtuŋ,"Oku posuh do aiso sopir do tutung, jadi ong poingkuro tulun, gai doh pogiilod do iso dohon.","Aiso sopir do tutung, jadi inoo do kozo nga poinsik nga.","Minonguhazu oku do boros nu, aiso sopir do tutung noh."
"Kozo tokou do piasau, andasi do tombuok",Compound clause with parallelism,Unity is strength,Working together brings success,B1,"Family, politics, community mobilization","Proverbial, moral teaching","Draws from coconut palm imagery, symbolizing strength in unity","ˈkozo ˈtokou do ˈpiasau, anˈdasi do ˈtombuok","Kozo tokou do piasau, andasi do tombuok, jadi aiso iso do manampasi oku do boros nu.","Oku poingkuro do pimpinon, kozo tokou do piasau, andasi do tombuok noh.","Pogikot oku do ngaavi, kozo tokou do piasau, andasi do tombuok."
"Ulo ko oyon, nga do sompot ka",Fixed clause; conditional marker,"Where there is smoke, there is fire",Signs always point to a cause,B2,"Rumors, social commentary","Colloquial, ironic",Symbolizes agricultural society’s observations of nature,"ˈulo ko ˈojon, ŋa do ˈsompot ka","Ulo ko oyon, nga do sompot ka noh do sanganu nu.","Ong kaat do ginavo, ulo ko oyon, nga do sompot ka noh.","Oku minonguhazu do rumu-rumu, ulo ko oyon, nga do sompot ka."
"No tulun, no tokou do boros",Elliptical construction; repetitive parallelism,"Where there are people, there will be talk",People always gossip,A2,"Daily life, family, social gatherings","Colloquial, proverbial",Reflects communal village living and oral traditions,"no ˈtulun, no ˈtokou do ˈboros","No tulun, no tokou do boros, jadi kada oku mongilu do ginavo nu.","Oku mingorik do ginavo nu, no tulun, no tokou do boros noh.","No tulun, no tokou do boros, jadi mongiduan oku noh."
"Gai doh pinopotol, pinopotol oku do gai",Fixed clause; reflexive structure,What goes around comes around,Your actions will return to you,B2,"Moral teaching, literature, religion","Proverbial, moralistic",Draws from agricultural cycle metaphors,"ˈgai doh ˌpinopotol, ˌpinopotol oku do ˈgai","Oku monguhazu do boros nu, gai doh pinopotol, pinopotol oku do gai noh.","Ong kaat oku, gai doh pinopotol, pinopotol oku do gai.","Gai doh pinopotol, pinopotol oku do gai noh, jadi kada oh sanganu."
"Ong omus, tumang oku do sigog",Fixed clause; conditional with irony,"If only, but too late",It’s already too late to regret,C1,"Regret, irony, daily speech","Ironic, colloquial",Draws from imagery of burning logs and futility of regret,"ˈoŋ ˈomus, tuˈmaŋ oku do ˈsiɡoɡ","Ong omus, tumang oku do sigog noh do ginavo nu.","Oku mongilu do ginavo, ong omus, tumang oku do sigog noh.","Ong omus, tumang oku do sigog noh, kada monguhazu doh sanganu."
"Aiso dohon, aiso libang",Parallel negation structure,"No effort, no reward","Without work, there is no gain",A2,"Family teaching, education, workplace","Proverbial, motivational",Reflects agrarian lifestyle: effort in farming brings harvest,"ˈaiso ˈdohon, ˈaiso ˈlibaŋ","Oku mongihazo, aiso dohon, aiso libang noh.","Aiso dohon, aiso libang, jadi mongiduan oku noh do tanak nu.","Oku mimingot do ginavo, aiso dohon, aiso libang noh."
"Andang poinsik, nga monguhazu",Fixed clause with concessive marker,Better late than never,Doing something late is still better than not at all,B1,"Daily speech, encouragement","Colloquial, proverbial",Reflects practical village wisdom on patience and persistence,"ˈandaŋ poi̯nˈsik, ŋa moŋuˈhazu","Andang poinsik, nga monguhazu noh do ginavo nu.","Oku mongilu do tanak, andang poinsik, nga monguhazu noh.","Andang poinsik, nga monguhazu noh do sanganu nu."
"Okon ko mogihazo no, ngawi do ponguh",Negated fixed clause,Don’t count your chickens before they hatch,Do not assume success too early,C1,"Advice, workplace, family, politics","Proverbial, cautionary",Based on agrarian lifestyle with poultry and expectations,"ˈokɔn ko moɡiˈhazo no, ŋawi do poŋˈuʔ","Okon ko mogihazo no, ngawi do ponguh noh do ginavo nu.","Oku poingkuro do tanak, okon ko mogihazo no, ngawi do ponguh noh.","Okon ko mogihazo no, ngawi do ponguh noh, jadi kada oh sanganu."
"Tuhun do kosorou, do isut do tanak",Parallel clause with metaphor,Children inherit their parents’ qualities,Children resemble their parents,B2,"Family, education, moral teaching","Proverbial, didactic",Based on farming community; children are seen as young shoots of the tree,"ˈtuhun do ˈkosorou, do ˈisut do ˈtanak","Oku mimingot, tuhun do kosorou, do isut do tanak noh.","Oku poingkuro do ginavo, tuhun do kosorou, do isut do tanak noh.","Tuhun do kosorou, do isut do tanak noh do tanak nu."
