Idiom (Cham),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cham)",First Example Sentence,Second Example Sentence,Third Example Sentence
Gundē mēda pāta peṭṭu,Fixed verbal phrase (noun + locative + object + transitive verb),To carry emotional burden silently without expressing pain.,Antarangam lō bādha ni dhārin̄cu.,B2,"Family conflict, personal struggle, emotional narration, literature","Poetic, emotional, semi-formal",Common in Godāvari belt oral laments describing inner suffering without public display.,/ɡun̪d̪eː meːd̪a paːt̪a peʈʈu/,Āme gundē mēda pāta peṭṭukoni inta kālam māṭlāḍalēdu.,Āyana gundē mēda pāta peṭṭi andarini navvincāḍu.,Nīvu gundē mēda pāta peṭṭakunda nāto ceppu.
Kallu terici cūḍu,Imperative clause (noun + participle + verb),To realize truth after ignorance or denial.,Nijam ni ardam cēyu.,B1,"Advice, politics, debate, family guidance","Colloquial, direct",Used in village assemblies when elders correct younger members.,/kallu t̪erici t͡ʃuːɖu/,"Ippudu kallu terici cūḍu, nijam telustundi.",Āyana kallu terici cūsina taruvāta māṭa mārindi.,Mīru kallu terici cūḍakapōte tappu jarugutundi.
Mabbulu la māṭlāḍu,Simile construction (noun + comparative particle + verb),To speak vaguely without clarity.,Spaṣṭanga māṭlāḍaku.,C1,"Politics, sarcasm, debate","Ironic, sarcastic",Agrarian metaphor referencing monsoon clouds that gather without rain.,/mabːulu la maːʈlaːɖu/,Ā neta mabbulu la māṭlāḍutunnāḍu.,Nīvu mabbulu la māṭlāḍakunda spaṣṭamga ceppu.,Sabha lō vāranta mabbulu la māṭlāḍāru.
Cheyyi kalipi pani cēyu,Compound verb phrase (noun + participle + object + verb),To cooperate for mutual benefit.,Kalisi pani cēyu.,A2,"Workplace, farming, festivals","Neutral, cooperative",Reflects collective agricultural labor traditions in Bhadrachalam region.,/t͡ʃejji kalipi pani t͡ʃeːju/,Manam cheyyi kalipi pani cēste vijayam vastundi.,Grāmam anta cheyyi kalipi illu kattindi.,Ā project kosam andaru cheyyi kalipi pani cēsāru.
Kaḍupu lō māṭa peṭṭu,Locative metaphorical clause (noun + locative + object + verb),To suppress what one truly wants to say.,Māṭa ni ceppakunda uṇḍu.,B2,"Family tension, humor, gossip","Colloquial, humorous",Linked to folk belief associating stomach with secrecy and emotion.,/kaɖupu loː maːʈa peʈʈu/,Āme kaḍupu lō māṭa peṭṭukoni navvindhi.,Nīvu kaḍupu lō māṭa peṭṭakunda māṭlāḍu.,Āyana kaḍupu lō māṭa peṭṭi sabha ni viḍicāḍu.
Rēyi la māṭa,Nominal metaphor phrase (noun + comparative particle + noun),Words that are firm and unchangeable.,Dr̥ḍhamaina māṭa.,B1,"Promise, oath, leadership","Serious, formal",Stone symbolism from temple-building culture along Godāvari.,/reːji la maːʈa/,Āyana rēyi la māṭa iccāḍu.,Nā māṭa rēyi la māṭa ani gurṭu peṭṭuko.,Vāri rēyi la māṭa grāmam lō prasiddham.
Navvu puvvu la undi,Simile adjectival clause (noun + comparative + copula),A smile that is gentle and beautiful.,Chālā andamaina navvu.,A1,"Romantic speech, praise, poetry","Poetic, affectionate",Floral imagery common in tribal wedding songs.,/navvu puvvu la undi/,Āme navvu puvvu la undi ani andarū ceppāru.,Ā cinna pillā navvu puvvu la undi.,Āyana āme navvu puvvu la undi ani prasaṁsa cēsāḍu.
Mēda mabbulu kūrāyi,Descriptive clause (locative noun + plural noun + verb),Trouble is approaching.,Samasyalu daggaraku vastunnāyi.,C1,"Politics, warning, crisis talk","Dramatic, serious",Monsoon-based omen metaphor in forest communities.,/meːda mabːulu kuːraːji/,I rājyam mēda mabbulu kūrāyi ani vāru ceppāru.,Ā vyavasāyam mēda mabbulu kūrāyi.,Grāmam mēda mabbulu kūrāyi ani peddaḷu heccarin̄cāru.
Āṭa āḍutunnattu māṭlāḍu,Participial comparison clause,To speak unseriously about serious matters.,Gambhīramga māṭlāḍaku.,B2,"Family, workplace reprimand","Reproachful, colloquial",Derived from communal game culture in tribal gatherings.,/aːʈa aːɖutunnat̪t̪u maːʈlaːɖu/,I viṣayam lō āṭa āḍutunnattu māṭlāḍaku.,Āyana āṭa āḍutunnattu māṭlāḍi samasya pen̄cāḍu.,Mīru āṭa āḍutunnattu māṭlāḍite andaru kopam paḍutāru.
Gāli la māṭa pōyi,Simile-based verbal phrase,Words that disappear without impact.,Māṭa phalitam lēdu.,B2,"Criticism, frustration, sarcasm","Colloquial, ironic",Wind imagery common in forest oral storytelling traditions.,/ɡaːli la maːʈa poːji/,Nā māṭa gāli la māṭa pōyindi.,Ā salaha gāli la māṭa pōyindi.,Vāri heccarika gāli la māṭa pōyindi.
