Idiom (Sylheti),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Sylheti)",First Example Sentence,Second Example Sentence,Third Example Sentence
নাচতে না জানলে উঠান বাঁকা,Conditional clause with evaluative predicate; proverb structure,Someone blames circumstances instead of admitting their own lack of skill.,নিজের অযোগ্যতা লুকাতে অন্যকে দোষ দেওয়া,B2,"daily speech, humor, criticism","colloquial, ironic",Widely used rural proverb referencing traditional courtyard dancing in Sylheti households.,natʃte na dʒanle uʈʰan baka,"সে কাজটা পারে না, তাই বলে সিস্টেম খারাপ—নাচতে না জানলে উঠান বাঁকা।",পরীক্ষায় ফেল কইরা শিক্ষকরে দোষ দেওয়া নাচতে না জানলে উঠান বাঁকা।,"প্রজেক্টে ভুল কইরা টিমরে দোষ দিও না, নাচতে না জানলে উঠান বাঁকা হয়।"
চোর পালাইলে বুদ্ধি বাড়ে,Temporal clause proverb,People realize what they should have done only after the problem has passed.,ঘটনার পরে বুদ্ধি আসে,B1,"daily speech, reflection","colloquial, reflective",Common Bengali–Sylheti proverb referencing village theft situations.,tʃor palaile buddʱi baɽe,ল্যাপটপ হারাইলে এখন পাসওয়ার্ড দিছো—চোর পালাইলে বুদ্ধি বাড়ে।,টাকা নষ্ট হইয়ার পরে হিসাব করা চোর পালাইলে বুদ্ধি বাড়ে।,"আগে সাবধান হওয়া দরকার ছিল, চোর পালাইলে বুদ্ধি বাড়ে।"
অত লোভে তাত নষ্ট,Cause–effect proverb,Excessive greed leads to loss.,বেশি লোভ করলে ক্ষতি হয়,A2,"family advice, moral teaching","didactic, colloquial",Traditional agrarian proverb warning against greed in trade or farming.,ɔt lobʱe tat nɔʃʈo,একবারে সব লাভ নিতে গিয়া ব্যবসা হারাইছো—অত লোভে তাত নষ্ট।,"আরো চাইতে গিয়া যা আছিল তাও হারাইছো, অত লোভে তাত নষ্ট।","খেলাতেও বেশি ঝুঁকি নিও না, অত লোভে তাত নষ্ট হয়।"
মুখে মধু অন্তরে বিষ,Parallel metaphorical clause,Someone speaks sweetly but secretly holds harmful intentions.,বাহিরে ভালো কিন্তু ভিতরে খারাপ মন,B2,"politics, relationships","poetic, critical",Rooted in classical South Asian poetic metaphor of honey vs poison.,mukʰe modʱu ɔntore biʃ,"ওর কথা মিষ্টি, কিন্তু বিশ্বাস কইরো না—মুখে মধু অন্তরে বিষ।",রাজনীতিত অনেক মানুষ মুখে মধু অন্তরে বিষ হয়।,"সে হাসে ঠিকই, কিন্তু আচরণে বোঝা যায় মুখে মধু অন্তরে বিষ।"
এক হাতে তালি বাজে না,Negative declarative proverb,Conflicts or cooperation require involvement from both sides.,একজন দিয়ে সম্পর্ক বা ঝগড়া হয় না,A2,"family disputes, mediation",neutral proverb,Derived from universal metaphor of clapping requiring two hands.,ek hate tali badʒe na,"তোমরা দুইজনেই দোষী, এক হাতে তালি বাজে না।","ঝগড়ার দায় শুধু তার না, এক হাতে তালি বাজে না।","সম্পর্ক রাখতে দুইজনের চেষ্টা লাগে, এক হাতে তালি বাজে না।"
আগে দর্শনধারী পরে গুণবিচারী,Sequential evaluative proverb,People often judge by appearance before evaluating true qualities.,মানুষ আগে চেহারা দেখে বিচার করে,C1,"literature, commentary","formal, literary",Traditional South Asian proverb reflecting social perception norms.,age dɔrʃondʱari pɔre ɡunbitʃari,ইন্টারভিউতে আগে দর্শনধারী পরে গুণবিচারী হয় অনেক সময়।,লোকজন আগে পোশাক দেখে—আগে দর্শনধারী পরে গুণবিচারী।,সমাজে এখনো আগে দর্শনধারী পরে গুণবিচারী মনোভাব আছে।
সময় গেলে সাধন হয় না,Temporal conditional proverb,Opportunities lost with time cannot easily be recovered.,সময় নষ্ট করলে সুযোগ হারায়,B1,"education, advice",didactic,Common proverb in rural Sylheti teaching discipline and punctuality.,ʃɔmɔy gele ʃadʱon hɔy na,"পড়াশোনা এখন করো, সময় গেলে সাধন হয় না।",ব্যবসার সুযোগ হাতছাড়া কইরো না—সময় গেলে সাধন হয় না।,"তরুণ বয়স নষ্ট কইরো না, সময় গেলে সাধন হয় না।"
ধীরে চলো দূর যাইবা,Imperative proverb,Slow and steady effort leads to long-term success.,ধৈর্য ধরে কাজ করলে ভালো ফল পাওয়া যায়,A2,"motivation, education",encouraging proverb,Common rural wisdom about travel and life progress.,dʱire tʃolo dur dʒaiba,"তাড়াহুড়া করো না, ধীরে চলো দূর যাইবা।","শেখা সময় নেয়, ধীরে চলো দূর যাইবা।",ক্যারিয়ারে ধৈর্য ধরো—ধীরে চলো দূর যাইবা।
যে লয় সে কয়,Rhyming proverb with parallel verb structure,The one who receives benefit is the one who speaks or acts.,যার লাভ সে কথা বলে,B1,"politics, debate","colloquial, ironic",Popular Sylheti rhyming proverb used in village debates.,dʒe lɔy ʃe kɔy,ওই প্রস্তাবের পক্ষে সে-ই কথা বলতেছে—যে লয় সে কয়।,"যার লাভ আছে সেই চাপ দিতেছে, যে লয় সে কয়।","মিটিংতে বুঝা গেল, যে লয় সে কয়।"
আগে কাজ পরে কথা,Imperative proverb,Actions should come before promises or discussion.,প্রথমে কাজ করো তারপর বলো,A1,"workplace, family discipline","direct, pragmatic",Practical saying widely used by elders in Sylheti households.,age kadʒ pɔre kɔtʰa,প্রজেক্ট শেষ করো আগে—আগে কাজ পরে কথা।,"এত পরিকল্পনা না, আগে কাজ পরে কথা।","ফলাফল দেখাও, আগে কাজ পরে কথা।"
