Idiom (Laz),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Laz)",First Example Sentence,Second Example Sentence,Third Example Sentence
Tzi ma xoşeni nena.,Fixed clause (declarative structure with subject-verb agreement).,Used when someone realizes their mistake or irony of a situation.,I was wrong about that.,B2,"Daily speech, humor, self-reflection.","Colloquial, ironic.",Traditional Laz saying reflecting humility and irony in social conversation.,/t͡si ma xoʃeni nena/,"Maro, ma tzi ma xoşeni nena – şeni si right.","Esi xoşeni nena, ma nena tzi.","Şeni ma xoşeni nena, xoşeni ma nena gogope."
Gogope p'ore k'vani.,Fixed clause with verb-object structure.,Means someone is working tirelessly without rest.,Working very hard.,B1,"Workplace, effort, daily life.",Colloquial.,Originates from Laz fishermen working through the night.,/ɡoɡope pʼore kʼvani/,"Şeni gogope p'ore k'vani nena, xoşeni esi.","Maro si tired, ma gogope p'ore k'vani.",Esi gogope p'ore k'vani all day.
Nena doti ma nena.,"Subordinate clause, contrastive structure.",Used to say something is not as it seems.,Things aren’t always what they appear to be.,C1,"Literature, philosophy, daily life.","Poetic, reflective.",Ancient Laz proverb teaching caution and humility.,/nena doti ma nena/,Şeni xoşeni nena doti ma nena.,"Esi nena doti ma nena, maro.",Ma nena doti ma nena xoşeni.
Tzi xoşeni si maro k'ore.,Complex clause with subjunctive nuance.,Means something is easy to say but hard to do.,Easier said than done.,B2,"Advice, conversation, moral teaching.","Colloquial, moralistic.",Reflects Laz cultural value of action over words.,/t͡si xoʃeni si maro kʼore/,"Şeni tzi xoşeni si maro k'ore, esi nena.",Ma nena tzi xoşeni si maro k'ore – gogope nena!,"Esi xoşeni si maro k'ore, xoşeni tzi."
Ma şeni xoşeni doxuruni.,Fixed reflexive construction.,Means someone is being arrogant or self-centered.,He thinks too highly of himself.,B2,"Social talk, criticism, humor.","Ironic, colloquial.",Based on Laz rural humor mocking arrogance.,/ma ʃeni xoʃeni doxuruni/,"Esi ma şeni xoşeni doxuruni nena, maro.","Şeni ma şeni xoşeni doxuruni, xoşeni ma.",Maro ma şeni xoşeni doxuruni lately.
P'ore ma nena xoşeni.,Passive-like form emphasizing result over action.,Used when something happens unexpectedly.,It happened suddenly.,A2,"Daily life, surprise, storytelling.",Colloquial.,Reflects Laz spontaneous storytelling tradition.,/pʼore ma nena xoʃeni/,Maro p'ore ma nena xoşeni yesterday.,"Şeni p'ore ma nena xoşeni, esi si surprised.",Esi p'ore ma nena xoşeni quickly.
Nena tzi si t'ori.,Declarative structure with subject emphasis.,Means someone is being stubborn or unmoved.,He is stubborn.,B1,"Family talk, humor, relationships.",Colloquial.,Laz saying comparing people to mountain stones—firm and unmoved.,/nena t͡si si tʼori/,"Şeni nena tzi si t'ori, esi never changes.",Maro nena tzi si t'ori nena.,Esi nena tzi si t'ori as always.
Tzi moxtape şeni.,Imperative-based idiomatic expression.,Means stop being lazy or get moving.,Get moving! Stop being lazy!,A2,"Daily speech, motivation, humor.","Colloquial, humorous.",Common Laz household expression encouraging work.,/t͡si moxtape ʃeni/,"Maro, tzi moxtape şeni!","Şeni, tzi moxtape şeni nena.",Esi tzi moxtape şeni before noon.
Ma gogope xoşeni.,Reflexive structure with habitual aspect.,Means to act wise or give unnecessary advice.,To act like a know-it-all.,B2,"Social life, humor, mild sarcasm.","Colloquial, ironic.",Reflects Laz social dynamics valuing humility.,/ma ɡoɡope xoʃeni/,Şeni ma gogope xoşeni all the time.,Esi ma gogope xoşeni lately.,"Maro ma gogope xoşeni, xoşeni tzi."
Esi xoşeni nena p'ore.,Fixed phrase with adverbial clause.,Means someone got what they deserved.,He got what was coming to him.,C1,"Justice, humor, social commentary.","Ironic, sarcastic.",Laz saying derived from moral folk tales.,/esi xoʃeni nena pʼore/,"Şeni esi xoşeni nena p'ore, xoşeni tzi!",Maro esi xoşeni nena p'ore today.,Esi esi xoşeni nena p'ore for his deeds.
