Idiom (Kyrgyz),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Kyrgyz)",First Example Sentence,Second Example Sentence,Third Example Sentence
"Төөнү көрбөй, чычканды көрдү","Fixed clause, past tense, negative verb + positive verb",To ignore something big and focus on something trivial,Overlook the important and notice the insignificant,B2,"daily speech, humor, politics","colloquial, ironic","Rooted in nomadic imagery where a camel is large and obvious, while a mouse is tiny; reflects Kyrgyz pastoral life",[tøːny kørˈbøj tʃɯtʃˈkandy kørˈdʏ],"Ал чоң көйгөйдү байкабай, төөнү көрбөй, чычканды көрдү.","Сенин сөзүңө караганда төөнү көрбөй, чычканды көргөндөйсүң.","Төөнү көрбөй, чычканды көргөндөр көп эле кездешет."
Жылан ташын жылытпайт,"Fixed clause, present tense, negative verb",A bad person never changes their nature,People don’t change their true nature,C1,"proverbs, literature, moral lessons","literary, moralistic",Drawn from the belief that snakes remain cold-blooded regardless of surroundings; metaphor in oral storytelling,[ʤɯˈlan taʃɯn ʤɯlɯtˈpajt],"Анын кылыгы өзгөрбөйт, жылан ташын жылытпайт.","Жылан ташын жылытпайт дегендей, ал баягы бойдон.",Жылан ташын жылытпайт деп чоңдор көп айтат.
Кулкунун курсагы ток болсо да көзү тойбойт,"Complex clause, concessive + negative verb",Greedy people are never satisfied,Greed has no limits,B2,"daily speech, family, workplace","colloquial, moralistic",Reflects pastoral values against excessive greed; often used in family advice,[qulquˈnun qursɑˈɣɯ toq bolˈso da køˈzʏ tojbˈojt],Кулкунун курсагы ток болсо да көзү тойбойт экен.,Мындай адамдарга кулкунун курсагы ток болсо да көзү тойбойт деп коюшат.,Кулкунун курсагы ток болсо да көзү тойбойт деген макал эске түштү.
Жел болгон жерге чаң конбойт,"Fixed clause, present tense, negative verb",Active people don’t let problems pile up,Keep moving and trouble won’t settle on you,B1,"motivation, workplace, personal advice","proverbial, encouraging",From nomadic wisdom that wind prevents dust from settling,[ʤel bolˈɣon ʤerɡe tʃɑŋ konˈbojt],"Жел болгон жерге чаң конбойт, иштеп тур.","Алар дайыма иштеп, жел болгон жерге чаң конбойт дешет.","Жел болгон жерге чаң конбойт дегендей, бош отурба."
Арык атка жүк жүктөбө,"Imperative clause, negative command",Don’t burden the weak with more than they can handle,Avoid giving heavy responsibility to those already struggling,B1,"daily speech, moral advice, workplace","proverbial, cautionary",Derived from nomadic ethics of not overloading weak animals,[ɑˈrɯq ɑtqɑ ʤʏk ʤʏktøˈbø],"Арык атка жүк жүктөбө, бооруң оорубайбы.","Арык атка жүк жүктөбө дешет, сак бол.",Жумуш берүүдө арык атка жүк жүктөбө.
Кара мышык өткөндө жолунду кесбе,"Imperative clause, negative command",Avoid bad luck,Don’t tempt fate,A2,"superstition, daily speech","colloquial, superstitious",Rooted in Turkic superstitions about black cats crossing one's path,[qɑrɑ mɯˈʃuq øtˈkøndø ʤoˈlundʏ kesˈbɛ],Кара мышык өткөндө жолунду кесбе.,Алар кара мышык өткөндө жолунду кеспе дешет.,Кара мышык өткөндө жолунду кесбе деген ишеним бар.
Суу тегиз акпайт,"Fixed clause, present tense, negative verb",Life has ups and downs,Life is never perfectly smooth,B1,"daily speech, moral lessons, literature","proverbial, reflective",From observations of nature; rivers have turbulence,[suː teˈɣiz ɑqˈpajt],"Суу тегиз акпайт, жашоодо да ошондой.",Алар суу тегиз акпайт деп көп айтышат.,"Суу тегиз акпайт, кыйынчылык болот."
Кара кече,Noun phrase,A hopeless situation,"Total darkness, figuratively speaking",B2,"literature, politics, daily speech","literary, dramatic",Evokes imagery of dark nights in nomadic steppes,[qɑˈrɑ ketʃe],Бул иш кара кече болду.,Кара кече деп калдык.,Кара кече абалындабыз.
"Бөрү ачка болсо, ит менен ойнобойт","Conditional clause, negative verb",Desperation makes one avoid distractions,Serious need leaves no time for trivialities,C1,"daily speech, moral lessons","proverbial, realistic",Reflects nomadic knowledge of wolves’ behavior,"[børʏ ɑtʃˈkɑ bolˈso, it meˈnen ojnoˈbojt]","Бөрү ачка болсо, ит менен ойнобойт.","Бөрү ачка болсо, ит менен ойнобойт дешет.","Бөрү ачка болсо, ит менен ойнобойт дегендей, ал азыр олуттуу."
"Тоо менен тоо жолукпайт, адам менен адам жолугат","Compound sentence, contrastive clause",People will eventually meet again,Human encounters are inevitable,B2,"daily speech, literature, moral advice","proverbial, reassuring","From Kyrgyz oral tradition, contrasting inanimate nature with human mobility","[toː meˈnen toː ʤoˈluqˌpajt, ɑdɑm meˈnen ɑdɑm ʤoˈluɣɑt]","Тоо менен тоо жолукпайт, адам менен адам жолугат.","Алар тоо менен тоо жолукпайт, адам менен адам жолугат дешет.","Тоо менен тоо жолукпайт, адам менен адам жолугат деген сөз туура."
