Idiom (Dhundari),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Dhundari)",First Example Sentence,Second Example Sentence,Third Example Sentence
ऊंट रा मुंह मां जीरां,संज्ञा वाक्यांश; संबंध कारक + स्थान सूचक संरचना,बहुत बड़ी आवश्यकता या परिस्थिति मां अत्यंत थोड़ी मात्रा जो पर्याप्त नीं हो,जरूरत के मुकाबले बहुत कम मात्रा,B1,"दैनिक वार्तालाप, अर्थशास्त्र, पारिवारिक चर्चा","लोकप्रचलित, व्यंग्यात्मक",राजस्थानी मरुस्थलीय जीवन मां ऊंट री विशालता और जीरे री सूक्ष्मता रो विरोधाभास,uːɳʈ raː mʊ̃ːh maː dʒiːraː̃,इतणी तनख्वाह तो ऊंट रा मुंह मां जीरां बराबर है।,सरकार रो अनुदान ऊंट रा मुंह मां जीरां साबित थयो।,इतणा आदमी मां यो भोजन ऊंट रा मुंह मां जीरां है।
थोथा चना बाजे घणा,कर्ता + क्रिया वाक्य; रूपकात्मक कथन,जो व्यक्ति कम जानकार हो पर घणो दिखावो करै,अल्प ज्ञान वाला व्यक्ति अधिक बोलता है,B2,"हास्य, सामाजिक टिप्पणी, राजनीति","व्यंग्यात्मक, आलोचनात्मक",खाली अनाज री बोरियां या दानों रो अधिक आवाज करनो,tʰoːtʰaː tʃənaː baːdʒe ɡʱəɳaː,वो नेता थोथा चना बाजे घणा जेसो लागे है।,बैठक मां थोथा चना बाजे घणा रो हाल रह्यो।,ज्ञान बिना बोलवां वालो थोथा चना बाजे घणा होवै है।
दूध रो जळ्यो छाछ भी फूंक फूंक पीवे,सम्पूर्ण वाक्य; कारण-परिणाम रूपक संरचना,पहले नुकसान उठावेलो व्यक्ति बाद मां सावधान रहै,पूर्व अनुभव के कारण व्यक्ति सावधान रहता है,B2,"परिवार, व्यापार, व्यक्तिगत अनुभव","लोकप्रचलित, शिक्षाप्रद",गरम दूध सूं जळणो और बाद मां ठंडी छाछ भी संभाळकै पीणो,duːdʱ ro dʒəɭjo tʃʰaːtʃ bʱiː pʰuːŋk pʰuːŋk piːʋe,नुकसान बाद वो दूध रो जळ्यो छाछ भी फूंक फूंक पीवे लाग्यो।,धोखा खावां बाद दूध रो जळ्यो छाछ भी फूंक फूंक पीवे।,व्यापार मां घाटो खायो तो दूध रो जळ्यो छाछ भी फूंक फूंक पीवे।
आंख्यां सूं ओझळ होजाणो,क्रियात्मक वाक्यांश; अपादान सूचक संरचना,दृष्टि सूं दूर थै जावो या भुला दियो जावो,दृष्टि से दूर हो जाना,B1,"भावनात्मक प्रसंग, साहित्य, दैनिक वार्ता","काव्यात्मक, भावुक",ग्रामीण परिवेश मां बिछड़ण रो अनुभव,aːŋkʰjãː suː oːdʒʱəɭ hodʒaːɳo,वो शहर गयो अर आंख्यां सूं ओझळ होगयो।,बाळक पढ़ाई खातर दूर गयो अर आंख्यां सूं ओझळ होजाणो लाग्यो।,पुराणा साथी आंख्यां सूं ओझळ थै गया।
नाच न जाणे आंगण टेढ़ो,सम्पूर्ण वाक्य; विरोधाभासी कथन,अपनी कमी छिपावां खातर दूसरां नै दोष देवो,अपनी गलती के लिए दूसरों को दोष देना,B2,"सामाजिक आलोचना, हास्य",व्यंग्यात्मक,लोक नृत्य परंपरा और ग्रामीण आंगण रो संदर्भ,naːtʃ nə dʒaːɳe aːŋgəɳ ʈeːɽʱo,परीक्षा मां फेल थै कै नाच न जाणे आंगण टेढ़ो कहे है।,काम नीं आवे अर नाच न जाणे आंगण टेढ़ो रो दोष देवे।,अपणी भूल छिपावै तो नाच न जाणे आंगण टेढ़ो।
घर री मुर्गी दाल बराबर,तुलनात्मक संज्ञा वाक्यांश,घर रो व्यक्ति या वस्तु कम मूल्यवान समझी जावै,अपने घर की वस्तु को महत्व न देना,B1,"परिवार, कार्यस्थल",लोकप्रचलित,घरेलू भोजन और ग्रामीण जीवन रो प्रतीकात्मक संदर्भ,ɡʱər riː mʊrɡiː daːl bəraːbər,वो भाई नै घर री मुर्गी दाल बराबर समझे है।,अपणा कलाकारां नै घर री मुर्गी दाल बराबर मत समझो।,कई वार घर री मुर्गी दाल बराबर होजावै है।
बूंद बूंद सूं घड़ो भरै,सम्पूर्ण वाक्य; क्रमिक क्रिया संरचना,छोटा प्रयास मिलकै बड़ा परिणाम देवे,धीरे-धीरे प्रयास से सफलता मिलती है,A2,"शिक्षा, प्रेरणा, साहित्य",प्रेरणादायक,मरुस्थलीय जल संरक्षण और घड़ा संस्कृति,buːnd buːnd suː ɡʱəɽo bʱəre,रोज पढ़सी तो बूंद बूंद सूं घड़ो भरै।,बचत करसी तो बूंद बूंद सूं घड़ो भरै।,"मेहनत करतो रह, बूंद बूंद सूं घड़ो भरै।"
एक पंथ दो काज,संक्षिप्त मुहावरा; संख्या + संज्ञा संरचना,एक कार्य सूं दो लाभ मिलना,एक प्रयास से दो कार्य पूरे होना,A2,"दैनिक जीवन, योजना बनावो",लोकप्रचलित,ग्रामीण यात्रा और संसाधन बचत रो विचार,eːk pən̪tʰ doː kaːdʒ,"बजार जासी अर दोस्तां सूं मिलसी, एक पंथ दो काज।","यात्रा मां व्यापार भी कर लियो, एक पंथ दो काज थया।","ऑफिस काम अर बैंक काम साथ करांला, एक पंथ दो काज।"
जाको राखे साईं मार सके नीं कोय,सम्पूर्ण वाक्य; दैवीय कर्ता संरचना,"जिसकी रक्षा ईश्वर करै, उसे कोई हानि नीं पहुंचा सके",ईश्वर की इच्छा से सुरक्षित व्यक्ति को नुकसान नहीं होता,B2,"धार्मिक प्रसंग, सांत्वना","आध्यात्मिक, सांत्वनात्मक",भक्ति परंपरा और लोक आस्था,dʒaːko raːkʰe saːĩː maːr səke niː koːj,"दुर्घटना मां बच गयो, जाको राखे साईं मार सके नीं कोय।","भय मत कर, जाको राखे साईं मार सके नीं कोय।","इतणी विपदा बाद भी बच्यो, जाको राखे साईं मार सके नीं कोय।"
जितणी चादर होय उतणा पग पसारो,आज्ञार्थक वाक्य; तुलनात्मक संरचना,अपणी आय या क्षमता अनुसार खर्च या व्यवहार करो,अपनी क्षमता के अनुसार कार्य करना,B1,"आर्थिक सलाह, परिवार, समाज",उपदेशात्मक,ग्रामीण जीवन मां संसाधन सीमितता रो प्रतीक,dʒit̪ɳiː tʃaːd̪ər hoːj ut̪ɳaː pəɡ pəsaːro,"खर्चा कम राख, जितणी चादर होय उतणा पग पसारो।",व्यापार मां जितणी चादर होय उतणा पग पसारो जरूरी है।,"ऋण लेण सूं पहले सोच, जितणी चादर होय उतणा पग पसारो।"
