Idiom (Marwari),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
आँख री धूल डालणो,Verb phrase with object; causative construction,To deliberately deceive someone or hide the truth,धोखो देणो या साच छुपावणो,B2,"daily speech, politics, social criticism","colloquial, ironic",Traditional desert trading culture where deception in bargaining was criticized,ãːkʰ riː dʱuːl ɖaːɭəɳo,ओ व्यापारी ग्राहकां री आँख री धूल डालणो चाहै।,सरकार जनता री आँख री धूल डालणो बंद करै।,थूं म्हारी आँख री धूल मत डाल।
नाक कटाणो,Verb phrase expressing honor loss,To bring shame or disgrace to oneself or family,इज्जत खराब करणो,B1,"family discourse, social reputation","colloquial, serious",Symbolic reference to honor culture across Rajasthan,naːk kəʈaːɳo,थारी हरकतां सूं घर री नाक कटगी।,ओ काम करकै समाज में नाक कटावै मत।,लड़को पढ़ाई छोड़कै परिवार री नाक कटावै है।
कानां में तेल डालणो,Imperative idiomatic clause,To ignore something deliberately,ध्यान न देणो,B1,"daily speech, advice",colloquial,Metaphor of blocking hearing with oil,kaːnaː meː t̪eːl ɖaːɭəɳo,ओ म्हारी बातां पै कानां में तेल डाल बैठो।,गाम रा दुखां पै सरकार कानां में तेल डाले है।,थूं सलाह सुनकै कानां में तेल मत डाल।
माथो खाणो,Verb phrase with metaphorical object,To annoy someone repeatedly,बार‑बार परेशान करणो,A2,"family, informal conversations","colloquial, humorous",Metaphor of mentally exhausting someone,maːtʰo kʰaːɳo,छोकरो सारा दिन म्हारो माथो खावै।,थारी फालतू बातां सूं सब रो माथो खावै।,कर्मचारी शिकायतां सूं अफसर रो माथो खावै है।
हाथ पीळा करणा,Causative phrase referencing ritual action,To get a daughter married,लड़की रो विवाह करावणो,B1,"family traditions, weddings","traditional, cultural",Reference to turmeric ritual in Rajasthani weddings,haːtʰ piːɭaː kərɳaː,बाप बेटी रा हाथ पीळा करणा री तैयारी करै।,गाम में काल रात एक घर में हाथ पीळा करया।,ओ जल्दी बेटी रा हाथ पीळा करणा चाहै।
ऊंट पाछे रह जावणो,Metaphorical clause,To fall far behind others,बहुत पिछड़ जावणो,B2,"education, competition",colloquial,Desert caravan metaphor,uːɳʈ paːtʃʰe rəh dʒaːʋəɳo,पढ़ाई में आलस करसी तो सब सूं ऊंट पाछे रह जासी।,गाम विकास में शहर सूं ऊंट पाछे रह गयो।,व्यापार में सोच बिना आदमी ऊंट पाछे रह जावै।
दिल रो ढोल बजणो,Metaphorical clause,To feel overwhelming excitement or joy,बहुत खुशी महसूस होणो,B2,"literature, romance",poetic,Music and festival culture in Rajasthan,dɪl ro ɖʱoːl bədʒəɳo,पुराणो दोस्त देखकै दिल रो ढोल बजग्यो।,म्हारी जीत सूं सब रा दिल रो ढोल बज्या।,पुत्र जन्म सूं घर में दिल रो ढोल बजग्यो।
घणो माथो फेरणो,Verb phrase with metaphorical object,To overthink or worry excessively,बहुत चिंता करणी,B1,"daily speech, advice",colloquial,Metaphor of mentally turning the head repeatedly,ɡʱəɳo maːtʰo pʰeːrəɳo,छोटी बातां पै घणो माथो मत फेर।,ओ हर फैसले पै घणो माथो फेरै है।,व्यापारी घाटे पै रात भर माथो फेरतो रह्यो।
बात रो बतंगड़ बनावणो,Causative verb phrase,To exaggerate a small issue into a big problem,छोटी बात ने बढ़ावणो,B2,"family disputes, gossip",colloquial,Common North Indian metaphor of escalation,baːt ro bətəŋɡəɽ bənaːʋəɳo,छोटी गलती पै बात रो बतंगड़ मत बनाव।,पड़ोसी हर खबर रो बतंगड़ बनावै है।,मीडिया कई बार बात रो बतंगड़ बनावै है।
पगड़ी उछाळणो,Verb phrase referencing symbolic object,To insult someone publicly,सार्वजनिक अपमान करणो,B2,"politics, honor disputes","serious, cultural",Pagri symbolizes honor in Rajasthani culture,pəɡɽiː utʃʰaːɭəɳo,सभा में ओ नेता री पगड़ी उछाळ दी।,"किसी रो सम्मान राखो, पगड़ी मत उछाळो।",झूठा आरोप लगावकै पगड़ी उछाळी गई।
