Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Kashubian)",First Example Sentence,Second Example Sentence,Third Example Sentence
Miec głowã jak kòłowrót,Nominal comparison with fixed simile,To be very confused or overwhelmed,Bëc mocno zmieszónym,B2,"Daily speech, workplace, humor","Colloquial, humorous",Refers to traditional spinning mechanisms once common in Kashubian villages,/mjɛt͡s ˈɡwɔvã jak kɔwɔˈvrut/,Pò całim dniu robòtë miôł głowã jak kòłowrót i nie miôgł sã skùpic.,"Kùńczi egzaminów sprawiłë, że studentë mielë głowã jak kòłowrót.",Po długùch rozmòwach ò politicë wszëtcë mielë głowã jak kòłowrót.
Jic jak pò mòklu,Verbal phrase with comparative structure,To proceed very slowly,Robic cos baro pòmale,A2,"Daily speech, family",Colloquial,Connected to muddy Kashubian rural roads after rain,/jit͡s jak pɔ ˈmɔklu/,Budowa nowégò doma jidze jak pò mòklu.,Nasza sprawa w ùrzãdze jidze jak pò mòklu.,Bez internetu robòta szła jak pò mòklu.
Trzëmac jãzëk za zãbama,Infinitive phrase with reflexive restraint meaning,To keep a secret or stay silent,Nie gôdac ò tim,B1,"Family, politics, workplace",Neutral,"Popular across Slavic-speaking areas, adapted into Kashubian speech",/tʂɨmat͡s jɛ̃zɨk za zɛ̃ˈbama/,Dzecë nie pòtrafiałë trzëmac jãzëka za zãbama przed gòscama.,W robòce wszëtcë mùszelë trzëmac jãzëk za zãbama.,"Òn dobrzé wié, czej je nót trzëmac jãzëk za zãbama."
Miec serce na dłoni,Fixed nominal-verbal idiom,To be generous and kind-hearted,Bëc baro dobrym dlô jinszich,A2,"Family, charity, literature","Warm, positive",Linked to Christian and communal traditions in Kashubia,/mjɛt͡s ˈsɛrt͡sɛ na ˈdwɔɲi/,Nasza sąsiadka mô serce na dłoni i wiedno pòmôgô starim lëdzóm.,Babka miała serce na dłoni dlô wszëtczich wnuków.,Wòlontariusze z Pùcka mają serce na dłoni.
Pùscëc farwã,Verb phrase with metaphorical object,To reveal the truth accidentally,Niechcący zdradzëc prawdã,B2,"Politics, gossip, workplace",Ironic,Originally associated with leaking dye or color during textile work,/ˈpust͡sɨt͡s ˈfarvã/,W czasie debatë jeden radny pùscył farwã ò tajnym planie.,Òna pùscëła farwã i wszëtcë pòznelë prawdã.,"Dziennikôrz czekelë, aż chtos pùscy farwã."
Bëc jak rëba bez wòdë,Comparative existential phrase,To feel uncomfortable or out of place,Czëc sã nieswòjo,A1,"School, travel, daily life",Neutral,Fishing imagery rooted in Baltic coastal life,/bɨt͡s jak ˈrɨba bɛs ˈvɔdɨ/,Na pierszim wykładze béł jak rëba bez wòdë.,W nowim miesce czëła sã jak rëba bez wòdë.,Bez kaszëbsczégò jãzëka czuł sã jak rëba bez wòdë.
Miec dwie lewé rãce,Fixed phrase with numeral adjective,To be clumsy,Bëc niezdarnym,B1,"Workplace, family, humor",Humorous,Shared regional idiom emphasizing manual labor culture,/mjɛt͡s ˈdvjɛ lɛˈvɛ ˈrɛ̃t͡sɛ/,Òn mô dwie lewé rãce do nôprôwë roweru.,"Przë malowaniù wszëtcë widzelë, że mô dwie lewé rãce.",Jo mô dwie lewé rãce do kòmpùtrów.
Niesc krziż swòjégò żëcô,Infinitive phrase with religious metaphor,To endure hardship patiently,Cerpiec i znosëc trudnotë,C1,"Religion, literature, family","Poetic, serious",Strongly influenced by Catholic traditions in Kashubia,/ɲɛst͡s kʂiʐ sfɔˈjɛɡɔ ʐɨˈt͡sɔ/,Stôri chłop niósł krziż swòjégò żëcô bez skargów.,W pòezji kaszëbsczi autor pisôł ò nieseniô krziża swòjégò żëcô.,Nie je łacno niesc krziż swòjégò żëcô pò strace rodzënë.
Miec òczë na pòstrónkach,Fixed expression with locative phrase,To stay alert and observant,Bëc baro ùważnym,B2,"Workplace, travel, security",Neutral,Derived from watching borders and fields in rural communities,/mjɛt͡s ˈɔt͡ʂɨ na pɔˈstrɔŋkax/,Stróż nocny mô òczë na pòstrónkach przez całi noc.,Na jarmarkù trzeba miec òczë na pòstrónkach.,Kapitan miôł òczë na pòstrónkach przed sztormã.
Kòżdi je kowalã swòjégò losu,Proverbial declarative clause,People shape their own destiny,Człowiek sam òdpòwiôdô za swòje żëcé,B1,"Education, literature, motivation","Proverbial, inspirational",Common Central European proverb adapted into Kashubian,/ˈkɔʐdi jɛ kɔˈvalã sfɔˈjɛɡɔ ˈlɔsu/,"Nauczëcel rzekł ùczniom, że kòżdi je kowalã swòjégò losu.","Mòja starka wiedno gôdała, że kòżdi je kowalã swòjégò losu.","Przë zakłôdanim firmë pamiętôł, że kòżdi je kowalã swòjégò losu."
