Idiom (Ancient Greek),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Ancient Greek)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ὀρνίθων γάμος,Noun phrase; genitive of relationship,"A chaotic, disorganized affair—often humorous",A completely disorganized situation or event,C1,"Humor, daily speech, politics","Colloquial, ironic",Athenian slang; from comic playwrights mocking erratic symposiums,/or.ní.tʰɔːn gá.mos/,Πάλιν ὁ δῆμος ἐποίησεν ὀρνίθων γάμον ἐν τῇ ἐκκλησίᾳ.,Ὁ γάμος τοῦ Ἀρίστωνος οὐδὲν ἧττον ἦν ὀρνίθων γάμος.,"Ὅτε δὲ τοὺς συμποσίους ἐκάλεσαν, ἐγένετο ὀρνίθων γάμος."
Ἐν στόματι λέοντος,Prepositional phrase; locative metaphor,In extreme danger; at the mercy of a powerful enemy,In great peril or threat,B2,"War, politics, literature","Literary, dramatic",Common in Homeric epics and tragedy for describing heroism,/en stó.ma.ti lé.on.tos/,Πρὸ τοῦ πολέμου ἦν ὁ λαὸς ἐν στόματι λέοντος.,Οἱ ἀγγεῖοι ἐπέμφθησαν ἐν στόματι λέοντος καὶ διέφυγον.,"Ἡ ψυχὴ μου ἐσώθη, καίπερ ἐν στόματι λέοντος οὖσα."
Ἐξ ὀνύχων τὸν λέοντα,Prepositional phrase + accusative object,To recognize greatness from a small sign,To identify the whole from a small part,C2,"Education, literature, philosophy","Philosophical, literary",From Aesop and other fables—refers to recognizing genius early,/eks o.ný.kʰɔːn tón lé.on.ta/,Ἐκ τῆς πρώτης ῥήσεως ἔγνως· ἐξ ὀνύχων τὸν λέοντα.,"Ὁ παιδαριογέρων ταῦτα λέγων, ἐξ ὀνύχων τὸν λέοντα ἔδειξεν.",Καὶ γὰρ ἐξ ὀνύχων τὸν λέοντα κατανοεῖν ἐστιν.
Λαλεῖ ὥσπερ βάτραχος ἐν χειμῶνι,Simile with subordinate temporal clause,To speak out of place or at the wrong time,To speak when one should stay silent,B1,"Humor, daily speech, classroom","Colloquial, humorous",Based on frogs croaking in winter—seen as unnatural,/la.lêː hɔ̂s.per bát.ra.kʰos en kʰei.mɔ̌ː.ni/,Ὁ μαθητὴς λαλεῖ ὥσπερ βάτραχος ἐν χειμῶνι· οὐ σιωπᾷ ποτὲ.,"Καθ' ὃν χρόνον εἰσήλθομεν, ἤρξατο λαλεῖν ὥσπερ βάτραχος ἐν χειμῶνι.","Λαλῶν ὥσπερ βάτραχος ἐν χειμῶνι, ἐτάραξεν ἅπαντας."
Ἀλέκτωρ φωνεῖ πρὸ ἡμέρας,Clause with temporal phrase,To act or speak prematurely,To speak or act too early,B2,"Family, politics, sarcasm","Ironic, proverbial",Refers to roosters crowing before dawn—premature judgment,/a.lék.tɔːr pʰɔː.nêː prὸ hêː.me.ras/,"Οὐχ ὡς σοφὸς ἐλάλησας, ἀλλ᾿ ὡς ἀλέκτωρ φωνῶν πρὸ ἡμέρας.","Καθάπερ ἀλέκτωρ πρὸ ἡμέρας, ἡ κρίσις ἦν πρόωρος.",Μὴ λαλεῖ ὥσπερ ἀλέκτωρ πρὸ ἡμέρας.
Ἐπὶ κυνὸς λύχνου,Prepositional phrase with genitive,At an inappropriate or absurd time,At an unreasonable hour,C1,"Daily speech, humor, sarcasm","Ironic, humorous",Old comic reference to lighting a lamp for a dog,/e.pì ky.nòs lýkʰ.nou/,Ἦλθεν ἐπὶ κυνὸς λύχνου ζητῶν ἄρτον.,Συνηθροίσθησαν ἐπὶ κυνὸς λύχνου οἱ μαθηταί.,"Καὶ πάλιν, ἐπὶ κυνὸς λύχνου, ἤθελε διαλέγεσθαι."
Ὑπὸ τὴν γλῶσσαν κρύπτειν,Infinitival clause with prepositional phrase,To hide one’s thoughts or intentions,To conceal what one truly thinks,C2,"Politics, philosophy, courtroom","Formal, philosophical",Used in Athenian legal and rhetorical discourse,/hy.pò tɛːn ɡlôːs.san krýp.tein/,Ὁ ῥήτωρ ὑπὸ τὴν γλῶσσαν τὴν ἀλήθειαν ἔκρυψεν.,Μηδὲν ὑπὸ τὴν γλῶσσαν κρύπτειν δεῖ τῷ φίλῳ.,"Πάντα λέγειν, καὶ μὴν ὑπὸ τὴν γλῶσσαν κρύπτειν ἐστὶν σοφία."
Περὶ οὐδὲν ποιεῖσθαι,Infinitival phrase with accusative object,To treat something as unimportant,To disregard or undervalue something,B1,"Workplace, politics, family","Neutral, dismissive","Common in dialogues, often associated with Stoic detachment",/pe.rì oû.den poi.eîs.thai/,Τὸν κόπον τῶν ἄλλων περὶ οὐδὲν ἐποιήσατο.,Ὁ ἄνθρωπος τὸν νόμον περὶ οὐδὲν ποιεῖται.,Καὶ περὶ οὐδὲν ἐποιησάμεθα τὴν συμβουλήν.
Ἐκ πυρός εἰς χόλιν,Prepositional phrase; movement between metaphorical states,To worsen a bad situation; from bad to worse,To move from one bad condition to another,B2,"Politics, tragedy, personal conflict","Literary, tragic",Tragic imagery; associated with emotional intensification,/ek py.rós éis kʰó.lin/,Ἐκ πυρὸς εἰς χόλιν ἦλθε ὁ δῆμος διὰ τὴν βουλήν.,Ὁ λόγος αὐτοῦ ἔφερεν ἐκ πυρὸς εἰς χόλιν.,Ἐκ πυρὸς εἰς χόλιν πορεύεσθαι τῷ ὄχλῳ ἐστὶν κίνδυνος.
Ἐκ τοῦ στόματος εἰς τὰ ὦτα,Prepositional phrase; physical metaphor,To repeat words without understanding,To parrot or echo others’ words,A2,"Education, criticism, rhetoric","Didactic, dismissive",Used in Platonic critique of sophistic rhetoric,/ek toû stó.ma.tos éis ta ô.ta/,"Λέγει ὥσπερ Ἐκ τοῦ στόματος εἰς τὰ ὦτα, ἀλλ' οὐ νοεῖ.",Ἐκ τοῦ στόματος εἰς τὰ ὦτα ῥήματα μόνον περιφέρονται.,"Ἐπαινῶ, οὐχ ὡς ἐκ τοῦ στόματος εἰς τὰ ὦτα, ἀλλὰ μετὰ φρονήσεως."
