Idiom (Serbian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Serbian)",First Example Sentence,Second Example Sentence,Third Example Sentence
Pasti s kruške,Perfektivni glagol; frazni izraz,"Iznenaditi se ili ostati zbunjen, obično zbog neočekivane situacije.",Iznenaditi se ili zbuniti.,B2,"Svakodnevni govor, humor, porodica","Kolokvijalno, humoristično","Poreklom iz ruralne Srbije, ukazuje na seljačku sliku pada sa drveta kao simbol neznanja ili naivnosti.",/pǎsti s krûʃkɛ/,"Kad je čuo vest, samo što nije pao s kruške!",Izgledaš kao da si pao s kruške – zar nisi znao za to?,"Svi su znali osim njega, on je, naravno, pao s kruške."
Držati sve konce u rukama,Fiksni izraz; glagolska fraza,Imajti potpunu kontrolu nad situacijom.,Upravljati svime ili kontrolisati situaciju.,C1,"Posao, politika, društvo","Formalno, neutralno","Poređenje s lutkarskom metaforom – onaj ko drži konce upravlja lutkama, tj. ljudima.",/drʒǎti svɛ kônt͡sɛ u rukáma/,Direktor drži sve konce u rukama – ništa ne prođe bez njega.,Ona voli da ima kontrolu i uvek drži sve konce u rukama.,"Kad on nije tu, vidi se da niko ne drži konce u rukama."
Ići glavom kroz zid,Frazni izraz; glagolska konstrukcija,"Pokušavati nemoguće uporno, bez razmišljanja o posledicama.",Uporno pokušavati nešto nemoguće.,B2,"Svakodnevni govor, porodica, prijatelji","Kolokvijalno, blago ironično",Metafora iz narodnih poslovica – naglašava tvrdoglavost.,/ît͡ɕi ɡlâʋom kroz zîd/,"On uvek ide glavom kroz zid, nikad ne odustaje.","Pokušavaš glavom kroz zid, a znaš da to neće uspeti.",Tvrdoglav je – ide glavom kroz zid i ne sluša nikoga.
Hvatati maglu,Glagolska fraza; imperfektivni oblik,"Pobeći, nestati brzo i neprimetno.",Pobeći ili otići.,B1,"Svakodnevni govor, humor, mladalački žargon","Kolokvijalno, šaljivo","Izraz iz narodnog govora, aluzija na nestajanje magle – nestanak bez traga.",/xʋâtat͡i mâɡlu/,"Kad je video policiju, odmah je uhvatio maglu.",Uhvatio maglu čim je shvatio da nema šanse.,"Rekao je da će pomoći, ali je brzo uhvatio maglu."
Nema dlake na jeziku,Negacija sa imenicom; idiomatski izraz,"Govori iskreno i otvoreno, bez ustručavanja.",Govori iskreno i direktno.,B2,"Svakodnevni govor, mediji, društvo","Kolokvijalno, neutralno",Metafora o glatkom govoru – jezik bez 'dlake' simbolizuje slobodu izražavanja.,/nêma dlǎkɛ na jɛzîku/,Ona nema dlake na jeziku i uvek kaže šta misli.,Novinar nema dlake na jeziku i postavlja teška pitanja.,"Kad nemaš dlake na jeziku, mnogi se uvrede, ali znaš da si iskren."
Preliti čašu,Perfektivni glagol; metaforička fraza,"Prevršiti meru, izazvati kraj nečijeg strpljenja.",Preći granicu tolerancije.,C1,"Porodica, posao, sukobi, mediji","Neutralno, formalno",Metafora iz domaćinstva – čaša koja se preliva označava kraj strpljenja.,/prɛlît͡ɕi t͡ʃâʃu/,Njegovo ponašanje je prelilo čašu.,Prelila je čaša kad je opet zakasnio.,Svaka sitnica je mogla da prelije čašu tog dana.
Gledati kroz prste,Glagolski izraz; idiomatski oblik,Namerno tolerisati nečije greške.,Tolerisati ili oprostiti greške.,B2,"Porodica, posao, društvo","Neutralno, svakodnevno",Vizuelna metafora – gledati kroz prste znači 'praviti se da ne vidiš'.,/ɡlɛ̌dat͡i kroz pr̩̂stɛ/,Roditelji mu gledaju kroz prste jer je najmlađi.,Šef mu često gleda kroz prste zbog starih zasluga.,"U životu mu svi gledaju kroz prste, a on to koristi."
Nositi srce na dlanu,Glagolska fraza; metaforički izraz,"Biti iskren, emotivan i otvoren prema drugima.",Pokazivati emocije otvoreno.,B2,"Ljubav, porodica, prijateljstvo, književnost","Poetsko, emotivno",Srce kao simbol osećanja; idiom popularan u poeziji i svakodnevnom govoru.,/nôsiti sȓt͡sɛ na dlânu/,"On uvek nosi srce na dlanu, i zato ga svi vole.",Nositi srce na dlanu ponekad znači i biti ranjiv.,"Kad voli, voli iskreno – nosi srce na dlanu."
Biti na konju,Fiksni izraz; glagolska konstrukcija,Biti u povoljnoj situaciji ili imati prednost.,Biti u dobroj poziciji.,B1,"Svakodnevni govor, posao, sport","Kolokvijalno, pozitivno",Izraz iz viteške tradicije – jahač na konju simbolizuje pobedu i moć.,/bîti na kôɲu/,"Ako dobiješ taj posao, bićeš na konju.","Kad je završio fakultet, bio je na konju.","Ko prvi stigne, taj je na konju!"
Stajati kao ukopan,Glagolski izraz; metaforički oblik,"Ostati ukočen od straha, šoka ili iznenađenja.",Ostati nepokretan zbog straha ili šoka.,B1,"Svakodnevni govor, emocije, drama","Neutralno, deskriptivno",Poređenje s kamenom – izražava potpunu ukočenost i nemoć kretanja.,/stájati kao ǔkɔpan/,"Kad je video zmiju, stajao je kao ukopan.",Vesti su ga šokirale – stajao je kao ukopan.,Samo je stajao kao ukopan i gledao prazno ispred sebe.
