Idiom (Nepali),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Nepali)",First Example Sentence,Second Example Sentence,Third Example Sentence
ढिलो भए पनि अँध्यारो भएन,"Fixed clause, conditional structure",Better late than never,It is acceptable to be late as long as the task is done,B1,"Daily speech, encouragement, workplace","Colloquial, motivational",Traditional proverb widely used in Nepali households,ɖʱilo bʱe pʌni ʌndʱjaro bʱe.nʌ,उसले ढिलो आए पनि अँध्यारो भएन भन्ने सोच्यो।,ढिलो भए पनि अँध्यारो भएन भन्ने कुरा विद्यालयमा शिक्षकले सम्झाए।,काम ढिलो गर्‍यो तर अँध्यारो भएन।
नाच्न नजान्ने आँगन टेढो,"Fixed clause, ironic structure",Blaming external factors for one’s own shortcomings,Making excuses for incompetence,B2,"Humor, sarcasm, daily life","Colloquial, ironic",Traditional rural Nepali saying mocking incompetence,nat͡sʌn nad͡zanne aŋgan ʈeɖʱo,नाच्न नजान्ने आँगन टेढो भन्छन्।,"उसले असफलताको कारण अरूलाई देखायो, नाच्न नजान्ने आँगन टेढो जस्तै।","काम गर्न नसक्नेले बहाना बनाउँछन्, नाच्न नजान्ने आँगन टेढो।"
हात्ती गयो डाँडो,"Fixed clause, metaphorical exaggeration","Major event has already happened, small things don’t matter","The main thing is already done, small details don’t matter",C1,"Politics, daily life, literature","Colloquial, ironic",Common proverb emphasizing futility of worrying over details,hat̪i ɡʌjo ɖaɳɖo,"हात्ती गयो डाँडो, अब सानो कुरा के महत्वको?",ठूलो निर्णय भइसकेपछि सानो कुरामा झगडा गर्नु हात्ती गयो डाँडो हो।,"हात्ती गयो डाँडो भन्ने जस्तै, प्रमुख कुरा त भइसकेको छ।"
आमा भन्दा ठूलो धर्म छैन,"Fixed clause, comparative structure",Mother is the highest form of virtue,Nothing is greater than a mother’s role,B2,"Family, literature, cultural values","Formal, poetic",Rooted in Hindu philosophy emphasizing respect for mothers,ama bʱʌnda ʈʰulo dʱʌrmʌ t͡ʃʰe.n,आमा भन्दा ठूलो धर्म छैन भन्ने शिक्षाले समाजलाई बलियो बनाउँछ।,पुस्तकमा आमा भन्दा ठूलो धर्म छैन भन्ने विचार प्रकट गरिएको छ।,हाम्रो संस्कृतिमा आमा भन्दा ठूलो धर्म छैन।
काग कराउँदा बेल नपाक्ने,"Fixed clause, proverb form",Things don’t happen just because someone says so,Words alone don’t change reality,C1,"Sarcasm, politics, daily life","Colloquial, ironic",Common proverb dismissing empty talk,kaɡ kʌra.unda bel nʌpakne,"काग कराउँदा बेल नपाक्ने भन्ने जस्तै, उसको कुरा व्यर्थ थियो।","कसैले चिच्याएको मात्रैले परिणाम आउँदैन, काग कराउँदा बेल नपाक्ने।","राजनीतिमा धेरै कराउने तर काम नगर्ने, काग कराउँदा बेल नपाक्ने हो।"
भालेको बास सुनेर घाम उदाउँदैन,"Fixed clause, causal implication","Natural events happen on their own, not due to human action",Events are not caused by symbolic actions,B2,"Daily speech, philosophy, humor","Colloquial, sarcastic",Traditional proverb highlighting futility of inflated self-importance,bʱale.ko bas sʊne.rʌ ɡʱam uɖa.unda.in,"भालेको बास सुनेर घाम उदाउँदैन, प्रकृतिले आफ्नै नियम पाल्छ।",उसले ठूलो काम गरेको दाबी गर्‍यो तर भालेको बास सुनेर घाम उदाउँदैन।,मान्छेले आफैंलाई केन्द्र ठान्छ तर भालेको बास सुनेर घाम उदाउँदैन।
अनुहार हेरेर मान्छे चिन्न सकिँदैन,"Fixed clause, negative structure",Appearances can be deceptive,Appearances can be deceiving,B1,"Daily speech, family, workplace","Colloquial, advisory",Common wisdom across Nepali-speaking regions,ʌnʊɦar ɦe.re.rʌ mant͡se t͡sʰin.nʌ sʌkin.da.in,अनुहार हेरेर मान्छे चिन्न सकिँदैन भन्ने कुरा सत्य हो।,"बाहिर राम्रै देखिने तर भित्र खराब हुने, अनुहार हेरेर मान्छे चिन्न सकिँदैन।","उसको कुरा सुनेपछि थाहा भयो, अनुहार हेरेर मान्छे चिन्न सकिँदैन।"
अन्नले मान्छे चिनिन्छ,"Fixed clause, causative implication",A person is known by their actions or qualities,Character is revealed through deeds,B2,"Daily life, workplace, literature","Colloquial, advisory",Rooted in agrarian wisdom linking food to character,ʌn.nʌle mant͡se t͡sʰin.in.t͡sʰʌ,"अन्नले मान्छे चिनिन्छ भन्ने जस्तै, कामले उसको मूल्य पत्ता लाग्छ।",मान्छेको बोलीभन्दा अन्नले मान्छे चिनिन्छ।,अन्नले मान्छे चिनिन्छ भन्ने भनाइ पुस्तौँदेखि चल्दै आएको छ।
आफू डुब्ने परे अर्कालाई पनि तानेर डुबाउने,"Fixed clause, reflexive and causative structure",Dragging others down with oneself,Dragging others down when failing,C1,"Politics, workplace, sarcasm","Colloquial, sarcastic",Common Nepali proverb describing destructive tendencies,afu ɖubne pare ʌrkalai pʌni tanerɐ ɖubaune,उसले आफू डुब्ने परे अर्कालाई पनि तानेर डुबाउने बानी देखायो।,राजनीतिमा आफू डुब्ने परे अर्कालाई पनि तानेर डुबाउने प्रवृत्ति देखिन्छ।,"काम बिगार्नेले अरूलाई पनि नोक्सानी पुर्‍याउँछन्, आफू डुब्ने परे अर्कालाई पनि तानेर डुबाउने।"
काखमा छोरो काँधमा शत्रु,"Fixed clause, parallel structure",One faces conflicting responsibilities and challenges simultaneously,Struggling with personal and external problems at once,C1,"Family, literature, politics","Colloquial, poetic",Traditional saying reflecting family and social struggle,kakʱma t͡sʰoro kaŋdʱma sʌtru,उसको हालत काखमा छोरो काँधमा शत्रु जस्तै भयो।,जीवनमा कहिलेकाहीँ काखमा छोरो काँधमा शत्रु भन्ने अवस्था आउँछ।,राजनीतिक नेताले काखमा छोरो काँधमा शत्रु झेल्नुपरेको छ।
