Idiom (Emilian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Emilian)",First Example Sentence,Second Example Sentence,Third Example Sentence
Aver la testa tra al nûvol,Fixed verbal clause (infinitive + definite article + noun phrase with locative preposition),"Essere distratto o perso nei propri pensieri, poco attento alla realtà concreta.",Essere distratto o poco concentrato.,B1,"Conversazione quotidiana, scuola, lavoro","Colloquiale, ironico","Metafora poetica diffusa nell’Emilia rurale, legata all’osservazione del cielo e dei campi.",ˈaːver la ˈtɛsta tra al ˈnuːvol,In lezion al gh'aveva la testa tra al nûvol e al n'ha mia sintî quel ch'al dîva al profesor.,"Quand al guida cun la testa tra al nûvol, al è un pericol par tûtt.","A s'capîva ch'la j éra la testa tra al nûvol, parchè la rispondeva a cas."
Tirer la còrda,Transitive verbal phrase with direct object; metaphorical action structure,Esagerare fino a provocare una reazione o una rottura.,Esagerare troppo.,B2,"Discussioni, politica, relazioni personali","Colloquiale, ammonitore",Espressione legata alla cultura contadina e alla tensione delle corde nei lavori manuali.,tiˈrer la ˈkɔrda,A tiri la còrda massa e prima o poi la s'spaca.,In politica i à tirê la còrda fin a la crisi.,"Se continui a tirer la còrda, a n'so brisa cme la finirà."
Aver un pè in do scarpi,Fixed idiomatic clause with numeral + plural noun phrase,Trovarsi in due situazioni contrastanti senza scegliere.,Essere indeciso tra due opzioni.,B2,"Relazioni, affari, scelte personali",Colloquiale,Deriva dall’immagine concreta dell’impossibilità fisica di indossare due scarpe diverse contemporaneamente.,ˈaːver un pɛ in do ˈskarpi,Al gh'à un pè in do scarpi tra Parma e Modna.,"A n'puet mia aver un pè in do scarpi, t'devi decider.",La gh'aveva un pè in do scarpi tra doi lavor.
Cascar dal pèra,Intransitive verb with prepositional complement,Rimanere sorpreso improvvisamente.,Restare molto sorpreso.,B1,"Conversazione quotidiana, umorismo","Colloquiale, figurato",Immagine tipica delle campagne emiliane dove le pere mature cadono improvvisamente.,kasˈkar dal ˈpɛːra,A son caschè dal pèra quand a l'ho sintî.,Al è caschè dal pèra davanti a la notizia.,La j è caschè dal pèra cum un frut.
N'esser mia tut or quel ch'al lus,Negative copular construction with relative clause,Non tutto ciò che appare bello o prezioso lo è realmente.,Le apparenze possono ingannare.,C1,"Letteratura, educazione morale, politica","Proverbiale, riflessivo",Forma proverbiale presente in vari dialetti emiliani con radici medievali.,nɛsˈser ˈmia tut or kwel kəl lus,A sà che n'è mia tut or quel ch'al lus in quel afèr.,In politica n'è mia tut or quel ch'al lus.,A l'ho imparê che n'è mia tut or quel ch'al lus.
Aver al diavel in corp,Fixed verbal phrase with definite article + noun,Essere molto agitato o irrequieto.,Essere molto agitato.,B2,"Famiglia, scuola, descrizione caratteriale","Colloquiale, espressivo",Influenza religiosa popolare diffusa nell’Emilia cattolica tradizionale.,ˈaːver al djaˈvɛl in kɔrp,Al fradèl picul al gh'à al diavel in corp tûtt al dè.,"Quand al s'annòia, al gh'à al diavel in corp.",La maestra la dîva ch'i avéven al diavel in corp.
Chi va pian al va lontan,Proverbial fixed clause with repetition structure,La costanza e la calma portano risultati duraturi.,Agire con calma porta a buoni risultati.,B1,"Educazione, lavoro, consigli familiari",Proverbiale,Massima contadina legata alla lentezza del lavoro agricolo tradizionale.,ki va pjan al va lonˈtan,A t'dîg: chi va pian al va lontan.,Al non al ripetéva che chi va pian al va lontan.,In azienda chi va pian al va lontan.
Far vegnir al mal ed stòmegh,Causative construction (far + infinitive) with noun complement,Provocare disgusto o fastidio intenso.,Provocare disgusto.,C1,"Critica sociale, umorismo, polemica","Colloquiale, forte",Espressione corporea tipica del parlato emiliano diretto e concreto.,far veˈɲir al mal ed ˈstɔmeg,Quel discors al m'ha fat vegnir al mal ed stòmegh.,La corruzion la fa vegnir al mal ed stòmegh.,Al film violènt al m'ha fat vegnir al mal ed stòmegh.
Esser al cul del sac,Copular construction with definite article phrase,Essere arrivati al limite di una situazione.,Essere al limite.,C2,"Politica, economia, crisi personali","Colloquiale, metaforico","Immagine del sacco senza più spazio, diffusa nel commercio agricolo.",ˈɛser al kul del sak,A sem al cul del sac cun sta situazion.,L'azienda l'è al cul del sac economicamènt.,"Se continum acsè, a sarem al cul del sac."
Far orecch da mercant,Fixed verbal idiom with object complement,Fingere di non sentire o ignorare volontariamente.,Ignorare apposta.,B2,"Conversazione, famiglia, lavoro","Colloquiale, ironico",Riferimento storico ai mercanti che ignoravano richieste scomode nei mercati medievali emiliani.,far oˈrɛk da merˈkant,Al fa orecch da mercant quand a j parli.,"A n'far mia orecch da mercant, rispond!",I à fat orecch da mercant davanti a la protesta.
