Idiom (Pali),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Pali)",First Example Sentence,Second Example Sentence,Third Example Sentence
appamādo amatapadaṃ,"Elliptic nominal clause; appamādo as nominative subject, amatapadaṃ as nominative predicate metaphor.","Diligent heedfulness is the reliable way toward safety, wisdom, and lasting benefit.",Satiyā ca vīriyena ca kiccaṃ kātabbaṃ.,B1,ethics; education; monastic training; leadership; personal discipline,"literary, ethical, aphoristic, solemn",Well-known Dhammapada-style expression in the Theravāda textual tradition; it contrasts wakeful discipline with careless decline.,/ap.pa.maː.do a.ma.ta.pa.dɐŋ/,"Ācariyo antevāsikaṃ ovadi: “appamādo amatapadaṃ, tasmā ajja yeva sippaṃ uggaṇhāhi.”",Bhikkhu rattiyaṃ ca divā ca bhāvanāya yutto hutvā appamādo amatapadanti sarati.,"Gahapati putte āmantesi: “vohāre appamādo amatapadaṃ, pamādena dhanaṃ nassati.”"
pamādo maccuno padaṃ,"Elliptic nominal clause; pamādo as nominative subject, maccuno as genitive possessor, padaṃ as predicate noun.","Negligence leads toward ruin, danger, or moral death.",Asatiyā ca kosajjena ca anattho uppajjati.,B1,warnings; moral instruction; risk; household advice; monastic discipline,"literary, cautionary, grave","Traditional counter-formula to appamādo amatapadaṃ, associated with canonical moral instruction on heedfulness.",/pa.maː.do mat.t͡ʃu.no pa.dɐŋ/,Navako vihāre pamādo maccuno padanti sutvā cīvaraṃ saṃvidahi.,Rājapuriso senaṃ ovadi: “pamādo maccuno padaṃ; dvāraṃ rakkhatha.”,"Kassako meghaṃ disvā khippaṃ bījaṃ nikkhipi, pamādo maccuno padanti cintento."
attā hi attano nātho,"Emphatic nominal clause; attā as subject, attano as reflexive genitive, nātho as predicate, hi as emphatic particle.",One must take responsibility for one’s own conduct and welfare.,Puriso attanāva attano hitaṃ kātabbaṃ.,A2,self-discipline; counseling; education; family; ethical reflection,"aphoristic, reflective, encouraging",Famous canonical-style maxim emphasizing personal responsibility in the Pali ethical tradition.,/at.taː hi at.ta.no naː.tʰo/,Mātā puttaṃ āha: “attā hi attano nātho; tvaṃ yeva saccaṃ vadehi.”,Bhikkhunī dukkhitaṃ upāsikaṃ samassāsesi: “attā hi attano nātho; kusalaṃ ārabha.”,"Seṭṭhi dāsaṃ na tajjesi, atha naṃ ovadi: “attā hi attano nātho, kammaṃ suṭṭhu karohi.”"
mano pubbaṅgamā dhammā,"Nominal predication with plural predicate relation; mano as conceptual head, pubbaṅgamā as adjective, dhammā as plural noun.","Mental intention shapes speech, action, and experience before outward results appear.","Cittaṃ paṭhamaṃ pavattati, tato vacīkammaṃ kāyakammañca hoti.",B2,psychology; meditation; ethics; education; discourse analysis,"canonical, philosophical, contemplative",Opening-type Dhammapada expression widely recognized in Theravāda learning communities.,/ma.no pub.baŋ.ɡa.maː dʱam.maː/,"Thero antevāsike pucchi: “kiṃ tumhe jānātha, mano pubbaṅgamā dhammā?”","Yuvā kujjhitvā tuṇhī ahosi, mano pubbaṅgamā dhammāti saranto.",Vaidyo roginaṃ samassāsesi: “mano pubbaṅgamā dhammā; cittaṃ pasādehi.”
veraṃ verena na sammati,"Negative finite verbal clause; veraṃ as neuter subject/object concept, verena as instrumental means, na sammati as negated present verb.",Hostility cannot be resolved by more hostility.,Doso dosena na vūpasammati; mettāya so vūpasammati.,B2,conflict resolution; politics; family disputes; diplomacy; sermons,"ethical, conciliatory, formal-literary",Prominent Dhammapada maxim on non-retaliation; central to Buddhist moral rhetoric.,/ʋe.rɐŋ ʋe.re.na na sam.ma.ti/,Dve kulāni vivadanti; gāmabhojako āha: “veraṃ verena na sammati.”,Rājā paccatthike jitvāpi veraṃ verena na sammatīti dūtaṃ pesesi.,"Bhikkhu kalahaṃ sutvā ubho pakkhe ovadi: “veraṃ verena na sammati, mettaṃ bhāvetha.”"
khantī paramaṃ tapo,"Elliptic nominal clause; khantī as feminine nominative subject, paramaṃ tapo as superlative predicate phrase.",Patient endurance is a higher discipline than harsh display or anger.,Titikkhā uttamaṃ sīlaṃ viya sevitabbā.,B1,monastic training; family life; workplace pressure; hardship; literary advice,"solemn, literary, ethical, encouraging",Canonical and commentarially resonant expression praising patience as supreme ascetic discipline.,/kʰan.tiː pa.ra.mɐŋ ta.po/,"Garahito pi paṇḍito na kujjhi, khantī paramaṃ tapoti jānanto.",Ācariyā sissānaṃ kathesi: “khantī paramaṃ tapo; kopaṃ mā vaḍḍhetha.”,Dukkhena phuṭṭhā upāsikā khantī paramaṃ tapoti anussari.
aniccā vata saṅkhārā,"Exclamatory nominal clause; aniccā as plural adjective, vata as exclamatory particle, saṅkhārā as plural subject.",All conditioned situations are unstable and should not be clung to.,Sabbe saṅkhatā dhammā vipariṇāmadhammā.,B2,bereavement; philosophy; meditation; literature; crisis reflection,"poetic, contemplative, elegiac",Ancient Pali formula associated with reflections on impermanence in canonical and ritual contexts.,/a.nit.t͡ʃaː ʋa.ta saŋ.kʰaː.raː/,Vihāro jiṇṇo ahosi; thero āha: “aniccā vata saṅkhārā.”,Pitaram kālaṅkataṃ sutvā putto aniccā vata saṅkhārāti roditvāpi satiṃ labhi.,Rukkho mahāvātena bhinno; kassako aniccā vata saṅkhārāti cintesi.
atītaṃ nānvāgameyya,"Negative optative clause; atītaṃ as accusative object, na anvāgameyya as prohibitive optative verb with sandhi.",Do not keep chasing or reliving what has already passed.,Yaṃ atītaṃ taṃ anussaritvā na socitabbaṃ.,B2,counseling; meditation; grief; planning; self-regulation,"canonical, reflective, therapeutic","From the Pali contemplative tradition on non-attachment to past and future, famously echoed in bhaddekaratta teachings.",/a.tiː.tɐŋ naːn.ʋaː.ɡa.mej.jɐ/,Sahāyo purāṇaṃ dosaṃ punappunaṃ kathesi; paṇḍito āha: “atītaṃ nānvāgameyya.”,Bhikkhu vipassanāya nisīditvā atītaṃ nānvāgameyyāti cittaṃ saṇṭhapesi.,"Janapade purāṇā hāni ahosi, atha mahājano atītaṃ nānvāgameyyāti navaṃ kammaṃ ārabhi."
santutthī paramaṃ dhanaṃ,"Elliptic nominal clause; santutthī as feminine nominative subject, paramaṃ dhanaṃ as superlative predicate noun phrase.",Contentment is a greater wealth than possession or status.,Yathāladdhena tuṭṭhabhāvo mahantaṃ hitaṃ deti.,A2,daily life; family; economics; ascetic teaching; gratitude,"aphoristic, gentle, ethical",Traditional Pali maxim linked with Buddhist praise of contentment and simple living.,/san.tut.tʰiː pa.ra.mɐŋ dʱa.nɐŋ/,Duggato pi puriso santutthī paramaṃ dhananti vatvā muducitto ahosi.,"Gahapatānī dhītaraṃ ovadi: “santutthī paramaṃ dhanaṃ, mā atilobhaṃ janayi.”",Pabbajito appakena pi cīvarena tuṭṭho santutthī paramaṃ dhananti bhāsi.
ārogyaṃ paramaṃ lābhaṃ,"Elliptic nominal clause; ārogyaṃ as neuter nominative subject, paramaṃ lābhaṃ as superlative predicate phrase.",Health is the most valuable gain because other advantages depend on it.,Gilānabhāvassa abhāvo sabbakiccānaṃ upakārako hoti.,A2,healthcare; family advice; travel; monastic routine; public welfare,"proverbial, practical, warm",Well-known traditional Pali saying often paired with contentment and trust in verses on welfare.,/aː.roː.ɡjɐŋ pa.ra.mɐŋ laː.bʱɐŋ/,Vaidyo janakāyaṃ āha: “ārogyaṃ paramaṃ lābhaṃ; bhojanaṃ mattāya bhuñjatha.”,"Therī gilānupaṭṭhākaṃ pasaṃsi: “ārogyaṃ paramaṃ lābhaṃ, tvaṃ mahākāruṇiko asi.”",Vāṇijo dīghaṃ addhānaṃ gantukāmo ārogyaṃ paramaṃ lābhanti sarīraṃ paṭijaggi.
