Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Taita)",First Example Sentence,Second Example Sentence,Third Example Sentence
Kudima mburi na maghanga,Verb phrase with coordinated noun complement,Trying to pursue two conflicting goals at the same time,Kughenda na mipango mivili isiyowezekana pamoja,B2,"Daily speech, family advice, humor","Colloquial, ironic",Linked to traditional goat herding in the Taita hills where divided attention caused livestock loss,/kuɗima ᵐbuɾi na maɣaŋɡa/,Mghosi uyo anadima mburi na maghanga kwa kuahidi kila upande jambo tofauti.,Usidime mburi na maghanga wakati wa mkutano wa jamii.,Wanafunzi wengi hudima mburi na maghanga wanapojaribu kazi na masomo bila mpango.
Kulwa na kivuri cha mwadi,Infinitive clause with locative metaphor,Fighting an imaginary problem or invisible enemy,Kushughulika na jambo lisilokuwepo,C1,"Politics, sarcasm, debate","Ironic, sarcastic",Derived from evening shadows cast by large baobab trees in Taita villages,/kulwa na kiβuɾi t͡ʃa mwaɗi/,Mwanasiasa huyo analwa na kivuri cha mwadi badala ya matatizo ya wananchi.,Usilwe na kivuri cha mwadi ukakosa kuona ukweli.,Watu wa sokoni walicheka waliposikia anapigana na kivuri cha mwadi.
Kunywa mafu gha ndamu,Verb phrase with genitive construction,Benefiting secretly from another person’s suffering,Kunufaika kwa siri kutokana na mateso ya wengine,C2,"Literature, moral lessons, social criticism","Literary, critical",Associated with famine-era stories where selfish individuals exploited vulnerable families,/kuɲwa mafu ɣa ⁿdamu/,Mfanyabiashara huyo anakunywa mafu gha ndamu kwa kupandisha bei ya chakula.,Jamii ilimkataa kwa sababu ya kunywa mafu gha ndamu.,Waandishi wa zamani walitumia msemo huo kueleza viongozi dhalimu.
Kufunga ndomo ya nyuni,Infinitive clause with object noun phrase,Silencing someone before they reveal information,Kumnyamazisha mtu,B1,"Family matters, politics, workplace","Neutral, cautionary",Inspired by trapping noisy birds before dawn in rural homesteads,/kufuŋɡa ⁿdomo ja ɲuːni/,Walijaribu kufunga ndomo ya nyuni kabla ya siri kusambaa.,Usifunge ndomo ya nyuni ikiwa watu wanahitaji ukweli.,Mzee alimwonya kijana dhidi ya kufunga ndomo ya nyuni kwa vitisho.
Kugenda na mahewa gha vuya,Verb phrase with associative complement,Following trends blindly without understanding them,Kuiga wengine bila kufikiri,B2,"Youth culture, education, humor",Colloquial,Comes from strong seasonal winds around the Taita highlands that carry loose leaves aimlessly,/kuɡɛnda na mahewa ɣa βuja/,Vijana wengine hugenda na mahewa gha vuya kwenye mitandao.,Usiende na mahewa gha vuya katika maamuzi muhimu.,Alikubali kosa lake la kugenda na mahewa gha vuya bila kuchunguza habari.
Kubeba gimba ya mwaki,Infinitive clause with metaphorical object,Carrying emotional pain or unresolved anger silently,Kuvumilia uchungu moyoni,C1,"Poetry, counseling, family conflicts","Poetic, emotional",The burning ember symbolizes hidden pain carried from one hearth to another,/kubeba ɡimba ja mwaki/,Tangu walipotengana amekuwa akibeba gimba ya mwaki moyoni.,Hakutaka kuendelea kubeba gimba ya mwaki baada ya msamaha.,Mashairi ya Taita mara nyingi hutaja kubeba gimba ya mwaki kwa siri.
Kurya ndizi mbichi kwa meno gha chuma,Extended infinitive clause with instrumental phrase,Attempting an extremely difficult task recklessly,Kufanya jambo gumu bila tahadhari,C2,"Workplace, leadership, motivational speech","Humorous, hyperbolic",Bananas are culturally staple foods; eating raw ones with iron teeth exaggerates impossible bravery,/kuɾja ⁿdizi ᵐbit͡ʃi kwa meno ɣa t͡ʃuma/,Anajaribu kurya ndizi mbichi kwa meno gha chuma kwa kuanzisha biashara bila mtaji.,Usirye ndizi mbichi kwa meno gha chuma ukidhani kila jambo ni rahisi.,Kiongozi huyo alisifiwa kwa kurya ndizi mbichi kwa meno gha chuma wakati wa shida.
Kusomba maji na kikapu,Infinitive clause with instrumental complement,Doing work that can never succeed,Kufanya kazi isiyo na matokeo,A2,"Education, household advice",Colloquial,Rooted in everyday rural activities where woven baskets cannot hold water,/kusomba maʤi na kikapu/,Kujaribu kumbadilisha bila mazungumzo ni kusomba maji na kikapu.,Mama aliwaambia watoto waache kusomba maji na kikapu.,Walimu walitumia msemo huo kueleza mbinu zisizofaa za kujifunza.
Kuhenda ngoma mbere ya mvua,Verb phrase with temporal complement,Celebrating too early before success is certain,Kushangilia kabla ya wakati,B1,"Sports, politics, ceremonies","Humorous, cautionary",Traditional dances before harvest rains were considered risky signs of overconfidence,/kuhɛnda ŋɡoma ᵐbɛɾe ja mβua/,Timu yao ilianza kuhenda ngoma mbere ya mvua kabla ya matokeo kutangazwa.,Usihende ngoma mbere ya mvua ukasahau kazi iliyobaki.,Wazee walimwonya dhidi ya kuhenda ngoma mbere ya mvua.
Kufula mwaki kwa maboko gha baridi,Infinitive clause with instrumental phrase,Trying to solve a serious issue without commitment or passion,Kufanya kazi bila juhudi za kweli,B2,"Leadership, workplace, civic discourse","Formal, metaphorical",Fire-making traditions in Taita required warmth and persistence; cold hands symbolized weak resolve,/kufula mwaki kwa maboko ɣa baɾiɗi/,Serikali haiwezi kufula mwaki kwa maboko gha baridi katika suala la ajira.,Aliambiwa aache kufula mwaki kwa maboko gha baridi na aanze kuchukua hatua.,Mashirika mengi hushindwa kwa kufula mwaki kwa maboko gha baridi.
