Idiom (Old Persian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Old Persian)",First Example Sentence,Second Example Sentence,Third Example Sentence
𐎺𐏁𐎴𐎠 𐏐 𐎠𐎢𐎼𐎶𐏀𐎭𐎠𐏃,"Prepositional/instrumental formula: vašnā + genitive divine name; fixed adverbial phrase introducing cause, authorization, or auspicious agency.","Success, legitimacy, or safe completion is attributed to a higher sanction rather than personal boast alone.",With divine favor; by legitimate support; through approved authority.,A2,royal proclamation; public works; gratitude; formal narration; solemn self-presentation,"formal, sacred, inscriptional, reverential","Grounded in Achaemenid royal inscriptions where kings frame achievements as performed through Auramazdā's favor; idiom-like formula, not evidence of everyday colloquial speech.",/vaʃnaː ahuramazdaːha/,𐎠𐎭𐎶 𐏐 𐎺𐏁𐎴𐎠 𐏐 𐎠𐎢𐎼𐎶𐏀𐎭𐎠𐏃 𐏐 𐎡𐎶𐎶 𐏐 𐎣𐎠𐎼𐎶 𐏐 𐎠𐎣𐎢𐎴𐎺,𐎺𐏁𐎴𐎠 𐏐 𐎠𐎢𐎼𐎶𐏀𐎭𐎠𐏃 𐏐 𐎶𐎼𐎫𐎡𐎹 𐏐 𐎠𐎼𐎫𐎶 𐏐 𐎱𐎠𐎫𐎢𐎺,𐎭𐎠𐎼𐎹𐎺𐎢𐏁 𐏐 𐎰𐎠𐎫𐎡𐎹 𐏐 𐎺𐏁𐎴𐎠 𐏐 𐎠𐎢𐎼𐎶𐏀𐎭𐎠𐏃 𐏐 𐎠𐎭𐎶 𐏐 𐎧𐏁𐏂𐎶 𐏐 𐎭𐎠𐎼𐎹
𐎭𐎼𐎢𐎥𐎠 𐏐 𐎺𐏀𐎼𐎣,"Nominal predicate phrase: noun draugā 'Lie, falsehood' + adjective vazraka 'great'; compact evaluative clause often expanded with abava 'became'.","Falsehood, rebellion, or social disorder has grown dangerous and widespread.",The deception has spread widely; public disorder has intensified.,B2,politics; warnings; social criticism; conflict narration; moral instruction,"grave, admonitory, political, moralizing",Based on Old Persian opposition between arta 'truth/order' and drauga 'Lie'; especially resonant with royal narratives of rebellion and restoration of order.,/drau̯gaː vazr̩ka/,𐎭𐎼𐎢𐎥𐎠 𐏐 𐎺𐏀𐎼𐎣 𐏐 𐎠𐎲𐎺 𐏐 𐎭𐏃𐎹𐎠𐎢𐏁,𐎱𐎿𐎠𐎺 𐏐 𐎭𐎼𐎢𐎥𐎠 𐏐 𐎺𐏀𐎼𐎣 𐏐 𐎠𐎲𐎺 𐏐 𐎶𐎼𐎫𐎡𐎹𐎠,𐎶𐎠 𐏐 𐎭𐎼𐎢𐎥𐎠 𐏐 𐎺𐏀𐎼𐎣 𐏐 𐎠𐎲𐎺 𐏐 𐎠𐎼𐎫𐎶 𐏐 𐎱𐎠𐎫𐎢𐎺
𐎠𐎼𐎫𐎶 𐏐 𐎱𐎠𐎫𐎢𐎺,Object + optative/jussive verb: artam 'truth/order' + pātuva 'may he protect'; concise hortatory formula.,"Maintain justice, truthfulness, and proper order even when pressured by falsehood.",Protect what is right; act justly; preserve the lawful order.,B1,ethics; legal judgement; leadership; advice; family instruction; religious language,"formal, ethical, elevated, gnomic","Reflects Indo-Iranian and Achaemenid moral vocabulary around arta, the correct order opposed to drauga, the Lie.",/artam paːtuv/,𐎠𐎢𐎼𐎶𐏀𐎭𐎠 𐏐 𐎠𐎼𐎫𐎶 𐏐 𐎱𐎠𐎫𐎢𐎺 𐏐 𐎶𐎴𐎠,𐎶𐎼𐎫𐎡𐎹 𐏐 𐎠𐎼𐎫𐎶 𐏐 𐎱𐎠𐎫𐎢𐎺 𐏐 𐎣𐎠𐎼𐎶,𐎠𐎭𐎶 𐏐 𐎠𐎼𐎫𐎶 𐏐 𐎱𐎠𐎫𐎢𐎺 𐏐 𐎭𐎼𐎢𐎥𐎶 𐏐 𐎴𐎡𐎹 𐏐 𐎭𐎠𐎼𐎹
𐎠𐎡𐎺𐎶 𐏐 𐎱𐎽𐎢𐎺𐎴𐎠𐎶,Quantified nominal phrase: aivam 'one' + genitive plural paruvnām 'of many'; appositional phrase used for singular distinction.,A person or office stands out as the single leading figure among many alternatives.,The foremost one; uniquely prominent among many.,A2,rank; leadership; praise; court hierarchy; comparison; public titles,"formal, honorific, monumental","Draws from royal titulary emphasizing 'one king of many, one lord of many' in Achaemenid self-presentation.",/aivam paruʋnaːm/,𐎭𐎠𐎼𐎹𐎺𐎢𐏁 𐏐 𐎠𐎡𐎺𐎶 𐏐 𐎱𐎽𐎢𐎺𐎴𐎠𐎶 𐏐 𐎧𐏁𐎠𐎹𐎰𐎡𐎹,𐎠𐎭𐎶 𐏐 𐎠𐎡𐎺𐎶 𐏐 𐎱𐎽𐎢𐎺𐎴𐎠𐎶 𐏐 𐎳𐎼𐎶𐎠𐎫𐎠𐎼𐎶,𐎡𐎶 𐏐 𐎶𐎼𐎫𐎡𐎹 𐏐 𐎠𐎡𐎺𐎶 𐏐 𐎱𐎽𐎢𐎺𐎴𐎠𐎶 𐏐 𐎠𐎼𐎫𐎠𐎺
𐎧𐏁𐏂𐎶 𐏐 𐎭𐎠𐎼𐎹,Object + finite/imperative-like verb from dār- 'to hold': xšaçam 'kingdom/rule' + dāraya 'hold'; verbal idiom of possession and governance.,"To exercise rule responsibly, keep authority stable, or retain control of a domain.",Govern; maintain authority; keep control.,B1,government; administration; leadership; military command; strategic control,"formal, administrative, authoritative",Rooted in Achaemenid royal ideology where holding the kingdom is a divinely sanctioned duty rather than mere ownership.,/xʃat͡ʃam daːraj/,𐎠𐎭𐎶 𐏐 𐎧𐏁𐏂𐎶 𐏐 𐎭𐎠𐎼𐎹 𐏐 𐎺𐏁𐎴𐎠 𐏐 𐎠𐎢𐎼𐎶𐏀𐎭𐎠𐏃,𐎧𐏁𐎠𐎹𐎰𐎡𐎹 𐏐 𐎧𐏁𐏂𐎶 𐏐 𐎭𐎠𐎼𐎹 𐏐 𐎴𐎡𐎹 𐏐 𐎭𐎼𐎢𐎥𐎶,𐎫𐎹 𐏐 𐎧𐏁𐏂𐎶 𐏐 𐎭𐎠𐎼𐎹 𐏐 𐎠𐎼𐎫𐎶 𐏐 𐎱𐎠𐎫𐎢𐎺
𐎡𐎶𐎶 𐏐 𐎣𐎼𐎫𐎶,"Demonstrative + perfect/passive participial noun phrase: imam 'this' + kartam 'done, made'; compact resultative statement.","A deed is completed and stands as visible evidence, often implying accountability or pride in execution.",This has been completed; the work is done.,A1,reports; project completion; inscriptions; craftsmanship; administrative records,"neutral, factual, inscriptional","Derived from Old Persian inscriptional self-reporting of deeds, works, and royal accomplishments.",/imam kartam/,𐎡𐎶𐎶 𐏐 𐎣𐎼𐎫𐎶 𐏐 𐎠𐎭𐎶 𐏐 𐎶𐎴𐎠 𐏐 𐎣𐎠𐎼𐎶,𐎭𐎠𐎼𐎹𐎺𐎢𐏁 𐏐 𐎰𐎠𐎫𐎡𐎹 𐏐 𐎡𐎶𐎶 𐏐 𐎣𐎼𐎫𐎶 𐏐 𐎠𐎭𐎶 𐏐 𐎠𐎣𐎢𐎴𐎺,𐎱𐎿𐎠𐎺 𐏐 𐎡𐎶𐎶 𐏐 𐎣𐎼𐎫𐎶 𐏐 𐎺𐏀𐎼𐎣 𐏐 𐎠𐎲𐎺
𐎶𐎠 𐏐 𐎭𐎼𐎢𐎥𐎶 𐏐 𐎭𐎠𐎼𐎹,Negative imperative/prohibitive formula: mā + accusative object draugam 'the Lie' + verb dāraya 'hold'; moral command structure.,"Do not support deceit, disloyalty, or corrupt speech; refuse to carry falsehood forward.",Do not lie; do not endorse falsehood; reject deception.,B2,ethics; court warnings; family advice; legal testimony; political loyalty,"admonitory, moral, formal","Modeled on Achaemenid ethical discourse that personifies falsehood as drauga, a force that must be resisted.",/maː drau̯gam daːraj/,𐎶𐎠 𐏐 𐎭𐎼𐎢𐎥𐎶 𐏐 𐎭𐎠𐎼𐎹 𐏐 𐎶𐎼𐎫𐎡𐎹 𐏐 𐎠𐎼𐎫𐎠𐎺,𐎧𐏁𐎠𐎹𐎰𐎡𐎹 𐏐 𐎰𐎠𐎫𐎡𐎹 𐏐 𐎶𐎠 𐏐 𐎭𐎼𐎢𐎥𐎶 𐏐 𐎭𐎠𐎼𐎹,𐎠𐎭𐎶 𐏐 𐎶𐎠 𐏐 𐎭𐎼𐎢𐎥𐎶 𐏐 𐎭𐎠𐎼𐎹 𐏐 𐎠𐎼𐎫𐎶 𐏐 𐎭𐎠𐎼𐎹
𐎶𐎼𐎫𐎡𐎹 𐏐 𐎠𐎼𐎫𐎠𐎺,Noun + qualitative adjective/possessive formation: martiya 'person' + artāva 'truthful/rightly ordered'; character-label phrase.,"A trustworthy, just, and socially reliable person whose actions align with truth and order.",An honest person; a righteous person; a reliable official.,B1,character evaluation; administration; testimony; praise; appointment; moral teaching,"honorific, ethical, literary-formal","Builds from the Achaemenid arta semantic field, marking a person as aligned with truth/order rather than the Lie.",/martija artaːva/,𐎡𐎶 𐏐 𐎶𐎼𐎫𐎡𐎹 𐏐 𐎠𐎼𐎫𐎠𐎺 𐏐 𐎴𐎡𐎹 𐏐 𐎭𐎼𐎢𐎥𐎶 𐏐 𐎭𐎠𐎼𐎹,𐎶𐎼𐎫𐎡𐎹 𐏐 𐎠𐎼𐎫𐎠𐎺 𐏐 𐎧𐏁𐏂𐎶 𐏐 𐎴𐎡𐎹 𐏐 𐎲𐎼𐎡𐎹,𐎭𐏃𐎹𐎠𐎺 𐏐 𐎶𐎼𐎫𐎡𐎹 𐏐 𐎠𐎼𐎫𐎠𐎺 𐏐 𐎣𐎠𐎶 𐏐 𐎠𐎣𐎢𐎴𐎺
𐎳𐎼𐎫𐎼𐎶 𐏐 𐎠𐎣𐎢𐎴𐎢𐏁,Comparative object complement + causative/perfect verb: frataram 'higher/foremost' + akunauš 'made'; promotion/elevation construction.,"Someone has been elevated, honored, or placed above others in rank or reputation.",He raised him up; he promoted him; he gave him higher status.,C1,court hierarchy; appointments; patronage; praise; social mobility; royal ideology,"formal, honorific, political","Reflects the Achaemenid preference for rank, order, and divinely sanctioned elevation within imperial hierarchy.",/frataram akunau̯ʃ/,𐎠𐎢𐎼𐎶𐏀𐎭𐎠 𐏐 𐎭𐎠𐎼𐎹𐎺𐎢𐏁𐎶 𐏐 𐎳𐎼𐎫𐎼𐎶 𐏐 𐎠𐎣𐎢𐎴𐎢𐏁,𐎺𐏁𐎴𐎠 𐏐 𐎠𐎢𐎼𐎶𐏀𐎭𐎠𐏃 𐏐 𐎡𐎶 𐏐 𐎶𐎼𐎫𐎡𐎹 𐏐 𐎳𐎼𐎫𐎼𐎶 𐏐 𐎠𐎣𐎢𐎴𐎢𐏁,𐎫𐎹 𐏐 𐎠𐎼𐎫𐎶 𐏐 𐎱𐎠𐎫𐎢𐎺 𐏐 𐎠𐎺𐎶 𐏐 𐎳𐎼𐎫𐎼𐎶 𐏐 𐎠𐎣𐎢𐎴𐎢𐏁
𐎠𐎺𐎰𐎠 𐏐 𐎠𐎣𐎢𐎴𐎺,Deictic adverb + finite verb: avaθā 'thus/in this way' + akunava 'did/made'; formula for exact execution of a command or plan.,"The instruction was carried out precisely as stated, without alteration or evasion.",He did it exactly so; the order was executed as instructed.,C2,bureaucracy; military orders; legal compliance; technical instructions; inscriptional narrative,"procedural, formal, administrative, terse","Achaemenid inscriptions frequently use deictic and resultative formulas to connect command, action, and proof of completion.",/avaθaː akunava/,𐎳𐎼𐎶𐎠𐎴𐎶 𐏐 𐎠𐎺𐎰𐎠 𐏐 𐎠𐎣𐎢𐎴𐎺 𐏐 𐎶𐎼𐎫𐎡𐎹,𐎠𐎭𐎶 𐏐 𐎠𐎺𐎰𐎠 𐏐 𐎠𐎣𐎢𐎴𐎺 𐏐 𐎫𐎹 𐏐 𐎶𐎴𐎠 𐏐 𐎳𐎼𐎶𐎠𐎴𐎶,𐎱𐎿𐎠𐎺 𐏐 𐎠𐎺𐎰𐎠 𐏐 𐎠𐎣𐎢𐎴𐎺 𐏐 𐎭𐎼𐎢𐎥𐎠 𐏐 𐎴𐎡𐎹 𐏐 𐎠𐎲𐎺
