Idiom (Odia),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Odia)",First Example Sentence,Second Example Sentence,Third Example Sentence
ନାକରେ ରାଗ ଦେଖାଇବା,ଫିକ୍ସଡ୍ ଭର୍ବଲ୍ ଫ୍ରେଜ୍,କାହାରୋପରେ ଖିଜି ଅଥବା ଅସନ୍ତୁଷ୍ଟତା ପ୍ରଦର୍ଶନ କରିବା,ଖିଜିବା କିମ୍ବା ଅସନ୍ତୁଷ୍ଟ ହେବା,B1,"ଦୈନିକ କଥୋପକଥନ, ପରିବାର, କାର୍ଯ୍ୟସ୍ଥଳ","କଲୋକିଆଲ୍, ହାସ୍ୟାତ୍ମକ",ଓଡ଼ିଆ ଲୋକକଥାରେ 'ନାକ' ମନୋଭାବର ପ୍ରତୀକ,[na.kɔ.re raɡ de.kʰa.i.ba] (ନାକୋରେ ରାଗ ଦେଖାଇବା),ସେ ଛୋଟ କଥାରେ ନାକରେ ରାଗ ଦେଖାଇଲା।,"ମା' ସବୁବେଳେ ନାକରେ ରାଗ ଦେଖାନ୍ତି, ଯେତେବେଳେ ମୁଁ ଦେରି କରେ।","ସାଙ୍ଗମାନେ ହସୁଥିଲେ, କିନ୍ତୁ ରିନା ନାକରେ ରାଗ ଦେଖାଇଲା।"
ଝିଅ ପିଲା ଗୋଟିଏ ହାତରେ ସୋନା,ସମାନତାପୂର୍ଣ୍ଣ ଉପମାତ୍ମକ ବାକ୍ୟ,ଝିଅକୁ ମୂଲ୍ୟବାନ ଓ ଶୁଭ ଭାଗ୍ୟର ଚିହ୍ନ ଭାବେ ବୁଝାଯାଏ,ଝିଅକୁ ଶୁଭ ମନାଯାଏ,A2,"ପରିବାର, ସାମାଜିକ ଉଚ୍ଚାରଣ, ଲୋକକଥା","ଲୋକପ୍ରିୟ, ଧାର୍ମିକ",ପୁରାତନ ଓଡ଼ିଆ ସାମାଜିକ ଧାରଣାରୁ ଉତ୍ପନ୍ନ,[dʒʱi.ɔ pi.la ɡo.ʈi.e ha.ta.re so.na] (ଝିଅ ପିଲା ଗୋଟିଏ ହାତରେ ସୋନା),ଝିଅ ପିଲା ହେଲାବେଳେ ସେମାନେ ଝିଅ ପିଲା ଗୋଟିଏ ହାତରେ ସୋନା କହିଲେ।,ବୁଢ଼ି ମା' ଆଜିଭି ଭାବନ୍ତି ଝିଅ ପିଲା ଗୋଟିଏ ହାତରେ ସୋନା।,ଏହି ପାଳିଗାଁରେ ଝିଅ ପିଲା ଜନ୍ମ ହେଲେ ଗୋଟିଏ ହାତରେ ସୋନା ମନାଯାଏ।
ପିଲା ହାତରେ ବିଷକୋଳା,"ଉପମାତ୍ମକ ବାକ୍ୟ, ସରଳ ବିଭକ୍ତି ଗଠନ",ଅନୁଭବ ନଥିବା ଲୋକଙ୍କ ହାତରେ ବିପଜ୍ଜନକ କାମ,ଅନୁଭବ ନଥିବା ଲୋକଙ୍କୁ ଦାୟିତ୍ୱ ଦିଆଯାଇଛି,B2,"କାର୍ଯ୍ୟସ୍ଥଳ, ରାଜନୀତି, ଶିକ୍ଷା","ବ୍ୟାଙ୍ଗାତ୍ମକ, ଗମ୍ଭୀର",ଲୋକପ୍ରିୟ ଓଡ଼ିଆ ଉପମା — ଅସାବଧାନ ନିର୍ଦ୍ଦେଶର ଉଦାହରଣ,[pi.la ha.ta.re bi.sɔ.ko.ɭa] (ପିଲା ହାତରେ ବିଷକୋଳା),"ଏତେ ବଡ଼ ଦାୟିତ୍ୱ ଦେଲେ ମାନେ, ପିଲା ହାତରେ ବିଷକୋଳା ହେଲା।","ସେ ଅନୁଭବ ନଥିଲା, ତେଣୁ କାମ ଭଲ ହେଲା ନାହିଁ — ପିଲା ହାତରେ ବିଷକୋଳା।",ନୂଆ ଅଧିକାରୀଙ୍କୁ ଦେଖି ସବୁ ଭାବିଲେ — ପିଲା ହାତରେ ବିଷକୋଳା।
ଆମ୍ବ ଖାଇ ଗୁଠି ଫିଙ୍ଗିଦେବା,"ଦ୍ୱିତୀୟ କ୍ରିୟା ବାକ୍ୟ, ସମାସିକ ଗଠନ",କାମ ସାରିଲେ ଲୋକଙ୍କୁ ଛାଡ଼ିଦେବା,ଲାଭ ହେଲା ପରେ ଉପକାରୀକୁ ଭୁଲିଯିବା,B2,"ରାଜନୀତି, ବ୍ୟବସାୟ, ସମାଜ","ବ୍ୟାଙ୍ଗାତ୍ମକ, ଅନୁଭବପୂର୍ଣ୍ଣ",ଓଡ଼ିଆ ଲୋକ ଜୀବନରେ ଆମ୍ବ ଓ ଗୁଠିର ଉପମା,[am.bo kʰa.i ɡu.ʈʰi pʰiŋ.ɡi.de.ba] (ଆମ୍ବ ଖାଇ ଗୁଠି ଫିଙ୍ଗିଦେବା),"ସେ ଆମ୍ବ ଖାଇ ଗୁଠି ଫିଙ୍ଗିଦେଲା, ମୋତେ ଆଉ ମନେ ପକାଇଲା ନାହିଁ।",ନେତାମାନେ ଆମ୍ବ ଖାଇ ଗୁଠି ଫିଙ୍ଗିଦେବାର ମାହିର।,ସେମାନଙ୍କ ଦୋସ୍ତି ଆମ୍ବ ଖାଇ ଗୁଠି ଫିଙ୍ଗିଦେବା ପରି।
ଧୂଳି ଉଡ଼ାଇ ଦେବା,କ୍ରିୟା ଆଧାରିତ ଅଭିବ୍ୟକ୍ତି,କାହାକୁ ପୂରା ହରାଇ ଦେବା କିମ୍ବା ଅପମାନ କରିବା,କାହାକୁ ପରାଜିତ କରିବା,B1,"ଖେଳ, ରାଜନୀତି, ବାଦବିବାଦ","କଲୋକିଆଲ୍, ହାସ୍ୟାତ୍ମକ",ପ୍ରାଚୀନ ଯୋଧା ଯୁଗର ଉପମା — ଯୁଦ୍ଧକ୍ଷେତ୍ରରେ ଧୂଳି ଉଡ଼ାଇବା,[dʰu.ɭi u.ɖa.i de.ba] (ଧୂଳି ଉଡ଼ାଇ ଦେବା),ସେ ତାଙ୍କୁ ବାଦବିବାଦରେ ଧୂଳି ଉଡ଼ାଇ ଦେଲା।,ମେଚରେ ଓଡ଼ିଶା ଟିମ୍ ପକ୍ଷପକ୍ଷୀଙ୍କୁ ଧୂଳି ଉଡ଼ାଇ ଦେଲା।,"ଏତେ ଭଲ ଉତ୍ତର ଦେଲା ଯେ, ଶିକ୍ଷକ ମଧ୍ୟ ଧୂଳି ଉଡ଼ାଇ ଦେଲେ।"
ଅଳୁଆ ଆଲୋକରେ ହାତୀ ଦେଖିବା,ଉପମାତ୍ମକ ଖଣ୍ଡ ବାକ୍ୟ,ସୀମିତ ତଥ୍ୟରେ ଭୁଲ ମତ ଗଠନ କରିବା,ସମ୍ପୂର୍ଣ୍ଣ ତଥ୍ୟ ବିନା ନିଷ୍କର୍ଷ ଦେବା,C1,"ଶିକ୍ଷା, ବିଜ୍ଞାନ, ଦାର୍ଶନିକ ଆଲୋଚନା","ଗମ୍ଭୀର, ଦାର୍ଶନିକ",ଓଡ଼ିଆ ଉପମାତ୍ମକ ଧାରଣା — ଅସପୂର୍ଣ୍ଣ ଦୃଷ୍ଟି,[ɔ.ɭu.a a.lo.kɔ.re ha.ti de.kʰi.ba] (ଅଳୁଆ ଆଲୋକରେ ହାତୀ ଦେଖିବା),"ତୁମେ ସମ୍ପୂର୍ଣ୍ଣ ଖବର ଜାଣ ନାହାଁ, ଅଳୁଆ ଆଲୋକରେ ହାତୀ ଦେଖୁଛ।",ସେ ଅଧା ତଥ୍ୟରେ ଭରସା କରିଲା — ଅଳୁଆ ଆଲୋକରେ ହାତୀ ଦେଖିଲା।,"ବିଚାର କରିବା ପୂର୍ବରୁ ସମସ୍ତ ତଥ୍ୟ ଦେଖ, ଅଳୁଆ ଆଲୋକରେ ହାତୀ ନୁହେଁ।"
ପେଟ ଭରିଲେ ଭଗବାନ ମନେ ପଡ଼େନା,"ସଂପୂର୍ଣ୍ଣ ବାକ୍ୟ, ବିପରୀତାର୍ଥକ ଅଭିବ୍ୟକ୍ତି",ସୁବିଧା ଥିଲେ ଲୋକ ଆସଲିକ ମୂଲ୍ୟକୁ ଭୁଲିଯାନ୍ତି,ସୁବିଧା ଥିଲେ ଲୋକ ଆଭାର ଦେଖାନ୍ତି ନାହିଁ,B2,"ଦୈନିକ କଥୋପକଥନ, ଧାର୍ମିକ, ସାମାଜିକ ଆଲୋଚନା","ଲୋକପ୍ରିୟ, ନୀତିକଥାତ୍ମକ",ପୁରାତନ ଓଡ଼ିଆ ନୀତିକଥା ଓ ଗ୍ରାମୀଣ ଧାରଣାରୁ,[pe.ʈɔ bʰɔ.ri.le bʰɔ.ɡɔ.ba.nɔ mɔ.ne pɔ.ɖe.na] (ପେଟ ଭରିଲେ ଭଗବାନ ମନେ ପଡ଼େନା),ସେ ଧନୀ ହେବା ପରେ ପେଟ ଭରିଲେ ଭଗବାନ ମନେ ପଡ଼େନା ଭଳି ହୋଇଗଲା।,"ଯେତେବେଳେ ସମସ୍ୟା ଥିଲା, ସେ ମନ୍ଦିର ଯାଉଥିଲା, ଏବେ ପେଟ ଭରିଲେ ଭଗବାନ ମନେ ପଡ଼େନା।","ଲୋକେ ଅସୁବିଧାରେ ଭଗବାନଙ୍କୁ ମନେ ପକାନ୍ତି, ପେଟ ଭରିଲେ ଭଗବାନ ମନେ ପଡ଼େନା।"
ଗଛ ତଳେ ବସି ଆକାଶ ଚାହିବା,"ଉପମାତ୍ମକ ବାକ୍ୟ, କ୍ରିୟାଶୀଳ ଗଠନ",ସୀମିତ ସୁଯୋଗ ଥିଲେ ବଡ଼ ଆଶା ରଖିବା,ଅସମ୍ଭବ କିମ୍ବା ଅତିରିକ୍ତ ଆଶା ରଖିବା,C1,"ଶିକ୍ଷା, ରାଜନୀତି, ସାମାଜିକ ସମାଲୋଚନା","ବ୍ୟାଙ୍ଗାତ୍ମକ, ଚିନ୍ତନାତ୍ମକ",ପୁରାତନ ଓଡ଼ିଆ ଲୋକକଥାରେ ଗଛ ଆଶ୍ରୟ ଏବଂ ଆଶା ଉପମା,[ɡɔ.tʃʰɔ ʈɔ.le bɔ.si a.ka.ʃɔ tʃʰa.hi.ba] (ଗଛ ତଳେ ବସି ଆକାଶ ଚାହିବା),"ତୁମେ ଏତେ କମ୍ ଜ୍ଞାନ ନିଏ, ତାହା ସହ ଗଛ ତଳେ ବସି ଆକାଶ ଚାହିବା ଭଳି।",ଅନୁଭବ ନଥିଲାପରେ ବଡ଼ ପଦ ଆଶା କରିବା ଗଛ ତଳେ ବସି ଆକାଶ ଚାହିବା।,ସେମାନଙ୍କ ଯୋଜନା ଗଛ ତଳେ ବସି ଆକାଶ ଚାହିବା ଭଳି ଲାଗୁଥିଲା।
ହାତ ହାତକୁ ମିଳିଲେ କାମ ସାରିଥାଏ,"ପ୍ରବଚନାତ୍ମକ ବାକ୍ୟ, ସହାୟତା ସୂଚକ ଗଠନ",ସହଯୋଗ ରହିଲେ କାମ ସହଜ ହୁଏ,ସହଯୋଗରେ କାମ ସଫଳ ହୁଏ,B1,"ପରିବାର, କାର୍ଯ୍ୟସ୍ଥଳ, ଶିକ୍ଷା","ପ୍ରୋତ୍ସାହନାତ୍ମକ, ଲୋକପ୍ରିୟ",ଓଡ଼ିଆ ସମୁଦାୟ ମନୋଭାବ — ସାଙ୍ଗୋପାଙ୍ଗ ସହଯୋଗର ମୂଲ୍ୟ,[ha.tɔ ha.tɔ.ku mi.ɭi.le ka.mɔ sa.ri.tʰa.e] (ହାତ ହାତକୁ ମିଳିଲେ କାମ ସାରିଥାଏ),"ଯେତେବେଳେ ସବୁ ମିଳି କାମ କଲେ, ହାତ ହାତକୁ ମିଳିଲେ କାମ ସାରିଥାଏ।",ପରିବାରରେ ସହଯୋଗ ରହିଲେ ହାତ ହାତକୁ ମିଳିଲେ କାମ ସାରିଥାଏ।,ସ୍କୁଲରେ ଶିକ୍ଷକ ଛାତ୍ରମାନଙ୍କୁ କହିଲେ — ହାତ ହାତକୁ ମିଳିଲେ କାମ ସାରିଥାଏ।
ମାଛ ଖାଇ ମାଛ ଘେଣା,"ସରଳ ବାକ୍ୟ, ବିପରୀତାର୍ଥକ ଅଭିବ୍ୟକ୍ତି",ନିଜେ ଯାହା ଉପଭୋଗ କରିଛି ତାହାକୁ ଅପମାନ କରିବା,ନିଜେ ଯାହାକୁ ଭଲପାଉଛି ତାହାକୁ ନିନ୍ଦା କରିବା,C1,"ଦୈନିକ କଥୋପକଥନ, ସମାଜ, ସାହିତ୍ୟ","ବ୍ୟାଙ୍ଗାତ୍ମକ, ହାସ୍ୟାତ୍ମକ",ଓଡ଼ିଆ ମତ୍ସ୍ୟାହାର ସଂସ୍କୃତିରେ ପ୍ରଚଳିତ ଅଭିଧାନ,[ma.tʃʰɔ kʰa.i ma.tʃʰɔ ɡʰe.ɳa] (ମାଛ ଖାଇ ମାଛ ଘେଣା),ସେ ନିଜେ ମାଛ ଖାଏ ଆଉ କହେ — ମାଛ ଖାଇ ମାଛ ଘେଣା!,ଏମିତି ଲୋକ ମାଛ ଖାଇ ମାଛ ଘେଣା କରନ୍ତି — ଦୁଇମୁଖା।,ସେ ମାଛ ଖାଇ ମାଛ ଘେଣା ଭଳି ଆଚରଣ କରୁଛି — ନିଜେ ଅସତ୍ୟ।
