Idiom (Greek),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Greek)",First Example Sentence,Second Example Sentence,Third Example Sentence
Άλλα λόγια να αγαπιόμαστε,Απαρέμφατη πρόταση με ρήμα στο ενεργητικό,"Αποφεύγεις να απαντήσεις ευθέως, αλλάζεις θέμα",Αποφεύγω να μιλήσω για το θέμα,B2,"καθημερινή ομιλία, χιούμορ","οικείο, ειρωνικό",Λαϊκή έκφραση που τονίζει την αποφυγή απάντησης με χιούμορ,[ˈala ˈloʝa na aɣaˈpçomaste],"Όταν τον ρώτησα για τα χρέη του, άρχισε με άλλα λόγια να αγαπιόμαστε.","Πάλι τα ίδια, αντί να μου πεις τι έγινε, μου λες άλλα λόγια να αγαπιόμαστε.","Δεν έχει νόημα αυτή η συζήτηση, αφού μιλάς με άλλα λόγια να αγαπιόμαστε."
Έφαγε χυλόπιτα,Απλή πρόταση με παρελθοντικό ρήμα,Απορρίφθηκε ρομαντικά,Τον/την απέρριψαν σε ερωτική εξομολόγηση,B1,"καθημερινή ομιλία, νεανική αργκό","οικείο, χιουμοριστικό","Χιουμοριστική παρομοίωση με το άνοστο φαγητό, τη χυλόπιτα",[ˈefaye çiˈlopita],Της εξομολογήθηκε τον έρωτά του αλλά έφαγε χυλόπιτα.,Μην το παίρνεις βαριά που έφαγες χυλόπιτα.,Πόσες χυλόπιτες να φάει πια;
Βρήκε τον μπελά του,Απλή παθητική πρόταση με ρήμα στον αόριστο,Εμπλέκεται άθελά του σε προβλήματα,Μπήκε σε μπελάδες,B2,"καθημερινή ομιλία, πολιτική, ειδήσεις","ουδέτερο, ελαφρώς δραματικό",Παλιά λαϊκή έκφραση από την τουρκική λέξη ‘belâ’ (πρόβλημα),[ˈvrike ton beˈla tu],Μπλέχτηκε σε δικαστική υπόθεση και βρήκε τον μπελά του.,"Μη του μιλάς έτσι, γιατί θα βρεις τον μπελά σου!",Προσπάθησε να βοηθήσει αλλά βρήκε τον μπελά του.
Τον πήρε ο ύπνος,Αντωνυμική έκφραση με παθητικό χαρακτήρα,Κοιμήθηκε άθελά του ή σε ακατάλληλη στιγμή,Αποκοιμήθηκε,A2,"καθημερινή ομιλία, οικογένεια",οικείο,Συνηθισμένη εικόνα από την καθημερινότητα,[ton ˈpire o ˈipnos],Έβλεπε τηλεόραση και τον πήρε ο ύπνος στον καναπέ.,Διάβαζε τόσο πολύ που τον πήρε ο ύπνος πάνω στο βιβλίο.,Πάλι τον πήρε ο ύπνος στη δουλειά;
Έγινε καπνός,Ρήμα σε αόριστο με μεταφορά,Εξαφανίστηκε ξαφνικά,Εξαφανίστηκε,B1,"καθημερινή ομιλία, αστυνομικά","ουδέτερο, ελαφρώς δραματικό",Μεταφορική χρήση της εξάτμισης του καπνού,[ˈeʝine kapˈnos],"Μόλις είδε την αστυνομία, έγινε καπνός.",Ο μάρτυρας έγινε καπνός μόλις άρχισαν οι ερωτήσεις.,Τον έψαχνα και έγινε καπνός!
Κάθε κατεργάρης στον πάγκο του,"Αρχική πρόταση με οριστική, ονοματική μεταφορά",Ο καθένας πρέπει να επιστρέφει στη θέση ή ευθύνη του,Ο καθένας να κάνει το καθήκον του,C1,"εργασία, κοινωνία, πολιτική","παροιμιώδες, ελαφρώς ειρωνικό",Παραδοσιακή φράση για την τάξη μετά τις γιορτές,[ˈkaθe katerˈʝaris ston ˈpaŋɡo tu],"Τέλειωσαν οι διακοπές, κάθε κατεργάρης στον πάγκο του!","Μετά το συμβάν, κάθε κατεργάρης στον πάγκο του.","Στη δουλειά μας, κάθε κατεργάρης στον πάγκο του."
Έμεινα με το στόμα ανοιχτό,Παθητική μετοχική πρόταση,Ένιωσα μεγάλη έκπληξη,Ξαφνιάστηκα πολύ,B1,"καθημερινή ομιλία, οικογένεια","οικείο, εκφραστικό",Αναπαριστά φυσική αντίδραση στην έκπληξη,[ˈemina me to ˈstoma aniçˈto],"Όταν είδα το δώρο, έμεινα με το στόμα ανοιχτό.",Έμεινε με το στόμα ανοιχτό από τα νέα.,Μου είπε κάτι τόσο παράξενο που έμεινα με το στόμα ανοιχτό.
Στο τσακ,Επιρρηματική φράση,"Τελευταία στιγμή, οριακά",Μόλις και μετά βίας,B2,"καθημερινή ομιλία, αθλητικά, ειδήσεις","οικείο, δυναμικό",Ήχος απότομου ήχου (τσακ!) ως σύμβολο του οριακού,[sto tsak],Πρόλαβα το τρένο στο τσακ!,Στο τσακ δεν τράκαρε το αυτοκίνητο.,Πέρασα το μάθημα στο τσακ.
Μπήκε στο μάτι,Πρόταση με μεταφορικό αντικείμενο,Έγινε αντικείμενο ζήλιας ή αρνητικής προσοχής,Ζηλεύτηκε / Παρακολουθείται με καχυποψία,C1,"καθημερινή ομιλία, κοινωνία","οικείο, ειρωνικό","Συνδέεται με το 'κακό μάτι', δοξασία της Ανατολικής Μεσογείου",[ˈbci̯eke sto ˈmati],Η επιτυχία της μπήκε στο μάτι πολλών.,"Από τότε που πήρε προαγωγή, μπήκε στο μάτι του διευθυντή.","Μη δείχνεις τα πλούτη σου, θα μπεις στο μάτι."
Πνίγομαι σε μια κουταλιά νερό,Πρόταση με υπερβολή και παθητικό ρήμα,Δυσκολεύομαι υπερβολικά για κάτι απλό,Δεν αντέχω ούτε μικρές δυσκολίες,B1,"οικογένεια, εργασία, σχολείο","οικείο, χιουμοριστικό",Λαϊκή παροιμία με χιούμορ και υπερβολή,[ˈpniɣome se mia kutalˈça neˈro],"Κάθε φορά που έχεις άγχος, πνίγεσαι σε μια κουταλιά νερό.","Μην πνίγεσαι σε μια κουταλιά νερό, δεν είναι τόσο δύσκολο!",Πάλι πνίγεται σε μια κουταλιά νερό με την εργασία.
