Idiom (Hindi),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Hindi)",First Example Sentence,Second Example Sentence,Third Example Sentence
नाक में दम करना,"क्रियात्मक मुहावरा, सक्रिया क्रिया",किसी को बहुत परेशान कर देना,बहुत तंग करना,B1,"दैनिक बातचीत, परिवार","सामान्य, बोलचाल की भाषा","लोकभाषा में उत्पत्ति, शरीर के अंगों से जुड़ा उपमा",naːk mẽ d̪əm kəɾnaː,बच्चों ने इतनी शरारत की कि माँ की नाक में दम कर दिया।,पड़ोसी रोज़ आकर मेरी नाक में दम कर देता है।,उसकी बातें सुन-सुनकर मेरी नाक में दम हो गया है।
दाल में कुछ काला है,"वाक्यांशात्मक, उपमा आधारित",कुछ संदिग्ध या ग़लत है,कुछ गड़बड़ है,B2,"दैनिक बातचीत, राजनीति, जासूसी","चालाक, सूचक",भारतीय खाने की दाल से सम्बंधित उपमा,d̪aːl mẽ kʊtʃʰ kaːlaː hɛ,उसकी हरकतों से लगता है कि दाल में कुछ काला है।,"अगर सब कुछ ठीक होता, तो इतना छिपाने की क्या ज़रूरत थी? ज़रूर दाल में कुछ काला है।",मुझे लगता है इस सौदे में दाल में कुछ काला है।
नौ दो ग्यारह होना,"क्रियावाचक, स्थायी युग्म",फौरन भाग जाना या लापता हो जाना,जल्दी से निकल जाना,A2,"दैनिक बातचीत, हास्य","हास्यात्मक, आम बोलचाल",पुराने समय की लोककथाओं में प्रयुक्त,nɔː d̪oː ɡɪjaːɾə hɔnaː,"जैसे ही मास्टरजी आए, वह नौ दो ग्यारह हो गया।",पुलिस को देखते ही चोर नौ दो ग्यारह हो गए।,काम होते ही वह यहाँ से नौ दो ग्यारह हो गया।
"आसमान से गिरे, खजूर में अटके","वाक्यात्मक, यमक",एक मुसीबत से निकलकर दूसरी में फँस जाना,कठिनाई से निकलकर और कठिनाई में पड़ना,C1,"दैनिक जीवन, साहित्य, व्यंग्य","व्यंग्यात्मक, कल्पनात्मक",देशज कहावतों से व्युत्पन्न,"aːsmaːn seː ɡɪɾeː, kʰədʒuːɾ mẽ ʈəkeː","जॉब छोड़ दी, अब नई नौकरी नहीं मिल रही — आसमान से गिरे, खजूर में अटके।","इंटरनेट गया, मोबाइल में भी नेटवर्क नहीं — आसमान से गिरे, खजूर में अटके।","घर से निकले बारिश से बचने, ट्रैफिक में फँस गए — आसमान से गिरे, खजूर में अटके।"
ऊँट के मुँह में जीरा,"रूपकात्मक, उपमा",बहुत कम चीज़ देना किसी बहुत बड़े के लिए,न्यून मात्रा देना,B2,"हास्य, आलोचना, अर्थव्यवस्था","तिरस्कारयुक्त, हास्य",रेगिस्तानी संस्कृति से प्रेरित,ũʈ keː mũːh mẽ dʒiːɾaː,इतनी कम सैलरी मेरे लिए ऊँट के मुँह में जीरा जैसी है।,उसने इतने बड़े प्रोजेक्ट के लिए बस दो लोग दिए — ऊँट के मुँह में जीरा!,सरकार की मदद ऊँट के मुँह में जीरा साबित हुई।
खिसियानी बिल्ली खंभा नोचे,"प्रतीकात्मक वाक्यांश, कर्ता-क्रिया संरचना",अपनी शर्म या हार छिपाने के लिए ग़ुस्से में अनावश्यक कार्य करना,हार छुपाकर गुस्से का दिखावा करना,C1,"व्यंग्य, हास्य, राजनीति","व्यंग्यात्मक, आम बोलचाल","लोक कहावतों से उत्पन्न, पशु व्यवहार पर आधारित",kʰɪsjaːniː bɪlliː kʰəmbʰaː notʃeː,उसने जब बहस हार दी तो गुस्से में खिसियानी बिल्ली खंभा नोचे जैसी हरकतें करने लगा।,नेता ने हार स्वीकारने के बजाय खिसियानी बिल्ली खंभा नोचे वाला बयान दे डाला।,बच्चे ने जवाब न मिलने पर खिसियानी बिल्ली की तरह बर्ताव किया।
घर की मुर्गी दाल बराबर,तुलनात्मक कहावत,"जो चीज़ आसानी से मिलती है, उसकी कद्र नहीं होती",अपनी चीज़ की कद्र न करना,B1,"परिवार, शिक्षा, जीवन दर्शन","तत्सम, नैतिक दृष्टिकोण",भारतीय खान-पान और घरेलू जीवन से जुड़ा,ɡʰəɾ kiː mʊɾɡiː d̪aːl bəɾaːbɾ,"मेरे पढ़ाने से उसे कुछ समझ नहीं आता, घर की मुर्गी दाल बराबर।",अपना ही सामान कमतर लगता है — घर की मुर्गी दाल बराबर।,"छोटे भाई की कड़ी मेहनत को वे नजरअंदाज करते हैं, जैसे घर की मुर्गी दाल बराबर।"
मन की बात जानना,"क्रियात्मक वाक्यांश, संबंधवाचक",किसी के विचार बिना कहे समझ लेना,बिना कहे समझ जाना,A2,"परिवार, प्रेम, साहित्य","काव्यात्मक, भावनात्मक",भारतीय दर्शन में आत्मा और चित्त का महत्व,mən kiː baːt dʒaːnnaː,माँ ने मेरी मन की बात बिना कहे जान ली।,सच्चा दोस्त वही है जो मन की बात जान सके।,उसने मेरी आँखों से ही मन की बात पढ़ ली।
गले की फाँस बनना,"रूपकात्मक, संज्ञा-क्रिया युग्म","कोई परेशानी जो न निकाली जा सके, न निगली जा सके",ना चाहते हुए भी सहना,C2,"राजनीति, अर्थव्यवस्था, आलोचना","गंभीर, व्यंग्यात्मक",फाँसी और शारीरिक पीड़ा से संबंधित,ɡəleː kiː fãːs bənnaː,उस पुरानी नीति का मुद्दा अब सरकार के लिए गले की फाँस बन गया है।,वो लोन अब मेरे लिए गले की फाँस बन चुका है।,अधूरे प्रोजेक्ट्स कंपनी के गले की फाँस बन गए हैं।
ऊँचाई से गिरना,"क्रियात्मक, उपमा रूपक",प्रतिष्ठा या स्थिति में अचानक गिरावट आना,साख या ओहदे में गिरावट,B2,"सामाजिक, राजनीतिक, नाटक","गंभीर, रूपकात्मक",द्रव्यगति और सामाजिक स्थिति से संबद्ध,ũːtʃaːiː seː ɡɪɾnaː,भ्रष्टाचार ने नेता को ऊँचाई से गिरा दिया।,गलती करते ही उसका करियर ऊँचाई से गिर गया।,"पहले वो सबका आदर्श था, अब ऊँचाई से गिरा हुआ माना जाता है।"
