Idiom (Sassarese),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Sassarese)",First Example Sentence,Second Example Sentence,Third Example Sentence
"A parauri macchi, arecci sordhi","Fixed elliptical proverb; prepositional phrase plus nominal phrase; plural noun phrase with adjective; no finite verb, high formulaicity.","Do not answer foolish, offensive, or useless talk; ignore provocation instead of giving it importance.",No dà retta a parauri senza sensu e lassa passà la prubucazioni.,B1,daily speech; family advice; quarrels; politics; online arguments; conflict de-escalation,colloquial; proverbial; wise; mildly ironic,Sassarese proverbial tradition; often framed as practical street wisdom for avoiding futile disputes and preserving dignity in public talk.,[a paˈɾau̯ɾi ˈmakki aˈɾettsi ˈsoɾði],"Candu Pàulu cuminzési a prubucà, Maria li dissi: «A parauri macchi, arecci sordhi», e si n'andési.","In cunsigliu, lu sindagu no rispundési a l'offesi: a parauri macchi, arecci sordhi.","Ziolu Gavinu m'imparaba sempri: a parauri macchi, arecci sordhi, acchì lu maccu zercha soru rumori."
L’ainu no magna pèbaru,Negative declarative clause; definite subject plus negation plus present-tense verb plus direct object; animal metaphor.,"A person without taste, education, or sensitivity cannot appreciate refined things, subtle ideas, or quality.",Ca no cumprendi li cosi fini no li po apprezzà.,B2,humor; arts; food; music; social criticism; teasing among friends,colloquial; sarcastic; humorous; slightly mocking,"Rural animal imagery from local oral culture; the donkey stands for stubborn simplicity, while pepper marks taste and refinement.",[ˈlainu no ˈmaɲɲa ˈpɛbaru],L'hai purtaddu a sintì cussa musigga fina e s'è addurmiddaddu: l'ainu no magna pèbaru.,Pa' eddu lu casgiu bonu e lu casgiu di supermercaddu so uguali; l'ainu no magna pèbaru.,No t'inciarrà si no vedi lu miràculu di lu versu: l'ainu no magna pèbaru.
"Ca si coscha cun lu cani, si ni pesa cun la pùrizza",Generalizing relative clause; reflexive verb in present; parallel verb phrase with prepositional complements; cause-effect proverb.,Bad company contaminates character and reputation; one acquires the troubles of the people one chooses to stay with.,Ca frequenta genti marìa ni piglia li danni e la mala fama.,B1,family advice; youth guidance; reputation; friendships; workplace alliances,colloquial; admonitory; proverbial; protective,Animal-and-household imagery common in oral Mediterranean moral teaching; fleas make social contamination concrete and memorable.,[ka si ˈkɔska kun lu ˈɡani si ni ˈpesa kun la ˈpuɾittsa],"No andà sempri cun cussi malandrini: ca si coscha cun lu cani, si ni pesa cun la pùrizza.","Dabboi di chiddu affari bruttu, l'abàimu dittu: ca si coscha cun lu cani, si ni pesa cun la pùrizza.","La mamma lu ripitia in casa: ca si coscha cun lu cani, si ni pesa cun la pùrizza."
Megliu cabbu di zarrettu che coda di tunnu,Comparative proverb; adjective-adverb 'megliu' governs two balanced nominal phrases joined by 'che'; maritime metaphor.,It is better to have autonomy and status in a smaller setting than to be insignificant in a grander one.,Megliu assé primmu in un gruppu minori che ulthimu in unu mannu.,B2,career choices; school; sport; local business; leadership; social ambition,colloquial; proverbial; strategic; mildly proud,"Maritime and market imagery from coastal northwestern Sardinia; small fish versus tuna encodes hierarchy, scale, and practical self-respect.",[ˈmɛʎʎu ˈkabbu di dzaˈrettu ke ˈkɔða di ˈtunnu],À isceltu la buttega minori inveci di la catena manna: megliu cabbu di zarrettu che coda di tunnu.,"In squadra di quartieri comanda eddu, e dizi sempri: megliu cabbu di zarrettu che coda di tunnu.","Pa' imparà bè, à pigliaddu una classi pittinna: megliu cabbu di zarrettu che coda di tunnu."
"Ca pegura si fazi, lu lupu si lu magna",Generalizing relative clause with reflexive predicate; second clause has subject-object clitic sequence; predator-prey metaphor.,"Those who make themselves too submissive, weak, or naïve invite exploitation by stronger or more aggressive people.","Ca si fazi troppu debburi, l'althri l'approfittani.",B2,workplace; politics; bargaining; family advice; self-defense; social boundaries,colloquial; admonitory; sharp; realistic,"Pastoral imagery from sheep and wolf symbolism; reflects rural knowledge of vulnerability, protection, and social cunning.",[ka peˈɣuɾa si ˈfadʒi lu ˈlupu si lu ˈmaɲɲa],"In uffiziu no abaissà sempri lu cabbu: ca pegura si fazi, lu lupu si lu magna.","Lu candidatu s'è mustraddu troppu timurosu, e l'avversàrii ani fattu festa: ca pegura si fazi, lu lupu si lu magna.","Li vechji in carrera lu disini a li giobani: ca pegura si fazi, lu lupu si lu magna."
In bocca sarradda no z’entra moscha,Locative prepositional phrase followed by negative existential clause; body-part noun phrase with past participle adjective.,"Silence prevents trouble; when a matter is delicate, speaking less is safer than speaking too much.",Megliu fabiddà poggu pa' no crià guai.,A2,secrecy; gossip; workplace caution; family matters; public meetings,colloquial; practical; cautious; proverbial,Common Mediterranean proverb localized in Sassarese; a concrete bodily image teaches restraint in crowded social environments.,[im ˈbokka sarˈradda no ˈdzɛntra ˈmoska],"Nanzi a lu diretori, in bocca sarradda no z'entra moscha.","Candu in bidda si sparra di dinà, in bocca sarradda no z'entra moscha.",La zia no cuntaba mai li sigreti: in bocca sarradda no z'entra moscha.
Abé l’occi più mannu di la ventri,Infinitival idiom with direct object; comparative adjective phrase; body-part metaphor linking perception and appetite.,"To want, take, or promise more than one can realistically consume, manage, or complete.","Vuré più di lu chi si po magnà, cumprà o fà.",B1,food; shopping; budgeting; planning; children; comic overconfidence,colloquial; humorous; affectionate; corrective,"Food-table wisdom from domestic life; abundance, appetite, and restraint are framed through the eye-versus-stomach contrast.",[aˈβe ˈlɔttʃi pju ˈmannu di la ˈβɛntri],À presu tres piatti e dabboi no l'à finiddi: à l'occi più mannu di la ventri.,"Candu compremmu a lu mercaddu, no abémmu l'occi più mannu di la ventri.","Li pizzinni vulìani tutti li durci, ma abìani l'occi più mannu di la ventri."
"La linga no ha ossu, ma tronca poipa e ossu",Antithetical compound sentence; first clause negates possession; second clause uses transitive verb with coordinated objects.,"Words may seem weightless, but they can wound deeply, damage relationships, and produce lasting harm.",Li parauri poni fà dannu mannu a la passona.,C1,education; family conflict; public speech; literature; ethics; bullying,proverbial; serious; moral; poetic,Body-part moral metaphor in oral tradition; emphasizes verbal responsibility in a society where reputation and public speech matter.,[la ˈliŋɡa no a ˈossu ma ˈtɾoŋka ˈpoipa e ˈossu],"No l'umilià in prisenza di tutti: la linga no ha ossu, ma tronca poipa e ossu.","In pulitigga li parauri no so liggéri: la linga no ha ossu, ma tronca poipa e ossu.","Lu maestru l'ammintési a la classi: la linga no ha ossu, ma tronca poipa e ossu."
Lu maru zappadori dazi cuipa a la zappa,Definite noun phrase subject with adjective; present-tense transitive clause; occupational metaphor with instrument complement.,"An incompetent person blames tools, circumstances, or others instead of admitting poor skill or poor effort.",Ca trabaglia mari acusa l'arnesi inveci di ricunniscì l'ibbàgliu soiu.,B2,workplace; agriculture; craftsmanship; school; software development; performance reviews,colloquial; humorous; critical; practical,"Agrarian labor proverb; the hoe represents everyday work tools and the social expectation of skill, humility, and accountability.",[lu ˈmaɾu tsappaˈðoɾi ˈdazi ˈkuipa a la ˈtsappa],No hai finiddu lu muru e dizi chi la pala no era bona: lu maru zappadori dazi cuipa a la zappa.,"Lu programmadòri si lamenta di lu computer, ma lu codici è sbagliaddu: lu maru zappadori dazi cuipa a la zappa.",Babbu ridìa candu lu fraddu bruntulaba cun l'arnesi: lu maru zappadori dazi cuipa a la zappa.
Magnà pani di setti forri,Infinitival verbal phrase; direct object with numeral modifier and prepositional complement; hyperbolic experience metaphor.,"To have lived many experiences, known many places and people, and gained practical wisdom through exposure to the world.",Abé ippirienzia manna e abé visthu umbè di logghi e situazioni.,C1,biography; travel; elderly speakers; professional competence; negotiation; storytelling,colloquial; admiring; proverbial; culturally warm,"Bread-and-oven metaphor tied to household and town life; eating bread from many ovens evokes movement, hardship, hospitality, and lived knowledge.",[maɲˈɲa ˈpani di ˈsetti ˈforri],Zia Rimedia à magnaddu pani di setti forri e nudda la surprendi.,"Pa' trattà cun cussa genti, serbi unu chi à magnaddu pani di setti forri.","Dabboi anni in mari, lu capitanu abia magnaddu pani di setti forri."
