Idiom (Bislama),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Bislama)",First Example Sentence,Second Example Sentence,Third Example Sentence
pikinini blong tete,noun phrase (possessive structure),An unborn child or a newly conceived idea or plan not yet revealed.,something not yet revealed or born,B2,"family, future planning, politics","poetic, literary",Traditional reference from central islands; used in political or visionary speech,[pi.ki.ni.ni bloŋ ˈtɛ.tɛ],Ol man i toktok finis long pikinini blong tete mo wanem bambae i kam.,Hemia i pikinini blong tete – i no save yet long wanem bambae i kasem.,"Taem mi luk plan ya, mi save se hem i pikinini blong tete nomo."
katem tok long naet,verb phrase (transitive verb + prepositional phrase),"To gossip or talk secretly, often with hidden motives, especially at night.",talking behind someone’s back or gossiping in secret,B1,"social, family, humor","colloquial, ironic",Based on custom where important or secret conversations happen after dark,[ka.tem ˈtok loŋ ˈnaɪt],Ol woman oli katem tok long naet abaot gel ya.,Hemia nao wanem oli stap katem tok long naet long ples ia.,Mi harem se olgeta i katem tok long naet long mi.
snek i kakae han blong hem,complex clause (subject + verb + object),"Describes a betrayal, especially self-destruction through one's own actions.",betraying oneself or someone close,C1,"politics, literature, family","ironic, literary","Used metaphorically across Vanuatu, based on imagery of self-sabotage",[snɛk i ka.kae han bloŋ hem],Hemia olsem snek i kakae han blong hem – i spolem tingting blong olgeta.,"Taem hem i meksave plan ya, hem i mekem olsem snek i kakae han blong hem.",Olgeta i stap lukluk hem olsem snek i kakae han blong hem.
wetem ful bun,prepositional phrase + noun,"Wholeheartedly, with full effort or passion.",with complete dedication or commitment,B2,"motivational, education, sports",colloquial,Common expression across youth sports and church groups,[wɛ.tɛm ful bun],"Taem yu stap wok, wokbaot wetem ful bun!",Hem i prea wetem ful bun tru yestedei.,Ol studen oli ron long reiss wetem ful bun.
nating nating i pulum bigfala samting,clause with irony,Sometimes something that seems insignificant causes a big consequence.,a small thing causes a big problem,C2,"wisdom, politics, humor","poetic, ironic",Linked to rural storytelling and old man wisdom,[na.tiŋ ˈna.tiŋ i pu.lum ˈbiɡ.fa.la sam.ˈtiŋ],Mi no ting se nating nating i pulum bigfala samting olsem ia.,"Long taem ya, nating nating i pulum bigfala samting.",Wan smol tok nomo i mekem nating nating i pulum bigfala samting.
tok blong solwota,noun phrase (metaphoric object),Rumor or vague story that lacks substance or clarity.,unconfirmed rumor or hearsay,B1,"daily speech, gossip, informal gatherings","colloquial, humorous",Derived from coastal village sayings about unreliable sea-based messages,[tok bloŋ ˈsol.wo.ta],Mi harem wan tok blong solwota be mi no trastem.,Yu no lesin long tok blong solwota nomo!,Evri dei oli talem tok blong solwota long maket.
lukluk blong kwaet smail,complex nominal structure,A subtle glance of hidden satisfaction or suspicion.,"a knowing, subtle look",C1,"politics, humor, daily life","literary, ironic",Frequently used in political and romantic literature in Vanuatu,[luk.luk bloŋ kwa.jɛt smaɪl],Hem i mekem lukluk blong kwaet smail taem oli tokbaot hem.,Mi save lukluk blong kwaet smail blong hem i minim samting.,Oli fraet finis taem oli lukluk blong kwaet smail ya.
olgeta i kam antap long mi olsem klaod,complex clause (simile),Feeling overwhelmed or under pressure from all sides.,everyone is putting pressure on me,B2,"mental health, daily life","poetic, dramatic",Derived from imagery of storms and social weight,[ol.ɡe.ta i kam ˈan.tap loŋ mi ˈol.sem klaod],"Tedei, olgeta i kam antap long mi olsem klaod.",Mi no save ron – olgeta i kam antap long mi olsem klaod.,"Sori, be mi no save – olgeta i kam antap long mi olsem klaod."
putum basket long hed,verb phrase (metaphorical construction),"To act proudly or arrogantly, often pretending to be more than one is.",to act superior or pretend to be more important,B1,"social gatherings, criticism, youth","colloquial, sarcastic",Comes from market scenes where people carry baskets as status,[pu.tum ˈbas.ket loŋ hed],Yu putum basket long hed nomo long olgeta man!,Ol woman i stap lukluk hem – putum basket long hed ya.,Mi no save from wanem hem i putum basket long hed olsem.
no moa i stap long taem blong hem,full clause (temporal reference),Something or someone that is no longer relevant or timely.,outdated or past one's time,B2,"fashion, workplace, wisdom","neutral, reflective","Common across urban Vila, especially among elders",[no mo.a i stap loŋ taɪm bloŋ hem],"Fasin ya, no moa i stap long taem blong hem.",Mi luk klos ya – no moa i stap long taem blong hem.,Hem i talem tok olsem be no moa i stap long taem blong hem.
