Idiom (Mambae),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Mambae)",First Example Sentence,Second Example Sentence,Third Example Sentence
"Bee lakon, ikan mate.","Fixed clause, declarative structure","When support is lost, failure follows.","Without help, things fail.",B1,"Wisdom, family, rural life","Proverbial, serious",Derived from Ermera region farming wisdom linking drought and loss.,/ˈbeː ˈlakon | ˈikan ˈmatɛ/,"Bee lakon, ikan mate — se la iha ajuda, ema sei para iha dalan.","Sira husu ajuda, tanba sira hatene bee lakon, ikan mate.","Bee lakon, ikan mate — ema tenke hanorin nia kaben kona ba solidariedade."
"Ai-hun diak, ai-laran diak.","Parallel clause, adjective repetition",Good roots bring good fruits; good beginnings yield good outcomes.,A good foundation ensures good results.,A2,"Daily life, morality, agriculture","Colloquial, reflective",Common in mountain villages emphasizing agriculture’s moral parallels.,/ˈai hun ˈdiak | ˈai laran ˈdiak/,"Ai-hun diak, ai-laran diak, tanba ita komesa buat nee ho kmanek.",Ita presiza komesa ho ai-hun diak atu hetan rezultadu diak.,"Ai-hun diak, ai-laran diak — lia ida ne’e uza iha eskola hanorin."
"Fo buat diak, simu buat diak.",Conditional-like clause pair,Doing good brings good in return.,Good actions are rewarded.,B1,"Family, ethics, education","Moral, formal",Traditional Timorese reciprocity principle.,/ˈfo ˈbuat ˈdiak | ˈsimu ˈbuat ˈdiak/,"Fo buat diak, simu buat diak, hanesan lia laran Timor ida.","Nia sempre fo buat diak, tanba nia fiar simu buat diak mos.","Fo buat diak, simu buat diak — ita aprende ne’e husi inan-aman."
"Kuda ai, hemu sasoro.","Verb-object structure, metaphorical","If you plant wrongdoing, expect hardship.",Bad deeds cause suffering.,B2,"Community justice, teaching, religion","Ironic, moralizing","Warns against unethical behavior, rooted in clan justice systems.",/ˈkuda ˈai | ˈhemu saˈsoro/,"Kuda ai, hemu sasoro — ema halo sala sei hetan kastigu.","Oan ne’e halo sala, agora nia hemu sasoro hanesan kuda ai.","Kuda ai, hemu sasoro — liafuan ne’e uza iha konsellu tradisionál."
"Uluk han, depois koalia.",Sequential clause (imperative + verb),Think before you speak.,Eat before you speak means think before acting.,C1,"Elders’ advice, social etiquette","Advisory, poetic",Used by elders to encourage restraint in speech and action.,/ˈuluk han | deˈpois koˈalia/,"Uluk han, depois koalia, tanba lia mak ne'ebe sai nia-an.","Antes koalia, hau han uluk — uluk han, depois koalia.","Uluk han, depois koalia — hanesan liafuan mak fo hanorin ba labarik."
"Batar boot, kaben ki’ik.",Nominal phrase with ironic contrast,Big plans may lead to small results.,Overconfidence can lead to mistakes.,B1,"Sarcasm, humor, work context","Humorous, ironic",From marriage customs linking expectation vs reality.,/ˈbatar ˈbot | kaˈben kiˈʔik/,"Batar boot, kaben ki’ik — liafuan nee hanorin ita kona ba esperansa.","Batar boot, kaben ki’ik — ema dehan hanesan liafuan iha kinta.","Batar boot, kaben ki’ik — hanesan komentáriu humoristiku kona ba vida."
"Oan la rona, inan haluha.",Conditional phrase (subordinate),Disobedient children bring sorrow to parents.,"If a child disobeys, parents feel pain.",A2,"Parenting, family talk","Emotional, familial",Used in family education to discipline and teach obedience.,/ˈoan la ˈrona | ˈinan haˈluha/,"Oan la rona, inan haluha, hanesan lia laran iha uma laran.","Oan la rona, inan haluha, tanba nia lakohi rona lia.","Oan la rona, inan haluha — uza iha kontestu edukativu."
Tasi boot la sai be’e ki’ik.,Proverbial comparative clause,Great sources don’t produce small results; big things have big consequences.,Big causes have big effects.,C1,"Leadership, politics, village speech","Formal, proverbial",From ancient Timorese oral laws describing cause and consequence.,/ˈtasi ˈbot la ˈsai beˈʔi kik/,Tasi boot la sai be’e ki’ik — buat boot sei lori konsekuensia boot.,"Nia halo buat boot, tanba tasi boot la sai be’e ki’ik.",Tasi boot la sai be’e ki’ik — hanesan lia morál ba lideransa.
"Ai tahan, bee monu.",Metaphoric causative clause,Actions bring reactions; consequences follow deeds.,Every action has consequences.,B2,"Counseling, moral discussion","Reflective, philosophical",Common in storytelling; symbolizes natural justice.,/ˈai ˈtahan | ˈbeː ˈmonu/,"Ai tahan, bee monu — buat hotu iha nia tempu.","Se ita haluha respeitu, ai tahan, bee monu.","Ai tahan, bee monu — uza iha poesia tradisional Timor."
"Fo isin, simu oan.",Transitive clause with reciprocal relation,Giving care brings kinship or deep gratitude.,Kindness creates bonds.,C2,"Spiritual, kinship, communal life","Poetic, spiritual",Rooted in communal values of solidarity and shared care.,/ˈfo ˈisin | ˈsimu ˈoan/,"Fo isin, simu oan — ita ajuda buat diak sei hetan boot diak fali.","Fo isin, simu oan, tanba moris la'o hamutuk.","Fo isin, simu oan — hanesan lia ne’ebé uza iha misa komunidade."
