Idiom (Tiv),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Tiv)",First Example Sentence,Second Example Sentence,Third Example Sentence
Kwagh u dedoo,Nominal clause with metaphorical predicate structure,A situation that has gone terribly wrong or become chaotic,Kwagh a ve kpa a yange,B1,"Daily speech, conflict discussion, humor","Colloquial, ironic",Common Tiv expression referencing disorder in communal life,/kwàɣ ù dèdóː/,Kwagh u dedoo kera ga a mba u dedoo u yam.,"Tor u ve ga kpishi, kwagh u dedoo ka u eren.",Ortom a eren kpishi ka kwagh u dedoo la.
Ishima ior ga,Fixed noun phrase with metaphorical subject,Someone behaving foolishly or without wisdom,Mngu a ngu ka a ior kera,A2,"Daily speech, teasing, humor","Colloquial, humorous",Draws from Tiv view of wisdom being centered in the head,/ìʃímà ìɔ̀r gà/,Ishima ior ga ka u ve ga kpishi.,"M ngu eren ga u sha, ishima ior ga kpishi.",A eren kpishi ka ishima ior ga.
U sha ka u eren,Parallel clause structure with contrastive repetition,Someone acting hypocritically or contradicting themselves,Mngu a sha kpishi ka a eren kpishi,B2,"Politics, family arguments, debates","Ironic, sarcastic",Used in Tiv debates to criticize inconsistency,/ù ʃà kà ù èrén/,U sha ka u eren ka a mba eren kpishi.,M ngu eren kpishi ka u sha ka u eren.,A ve kpishi ka u sha ka u eren.
Kwagh a ior u yam,Metaphorical clause with existential predicate,A problem has deeply entered a situation,Problem a ve kpishi,B1,"Family matters, disputes, storytelling","Serious, reflective",Reflects Tiv metaphor of events entering the stomach of society,/kwàɣ à ìɔ̀r ù jàm/,Kwagh a ior u yam ka a mba kpishi.,M ngu eren ga ka kwagh a ior u yam.,A ve kpishi ka kwagh a ior u yam.
U dedoo ka u sha,Conditional clause idiom,Someone behaving recklessly or irresponsibly,Mngu a sha kpishi kera,A2,"Daily conversation, warnings",Colloquial,Common parental warning expression,/ù dèdóː kà ù ʃà/,U dedoo ka u sha ka a mba kpishi.,M ngu eren ga ka u dedoo ka u sha.,A kpishi ka u dedoo ka u sha.
Ama u eren ka eren,Reduplicated noun phrase idiom,People gossiping repeatedly,Mngu mba eren kpishi u mngu,B1,"Community talk, humor",Colloquial,Tiv village storytelling culture often references repeated talk,/àmà ù èrén kà èrén/,Ama u eren ka eren u ya kpishi.,M ngu eren ga ka ama u eren ka eren.,A kpishi ka ama u eren ka eren.
Kwagh u yam ga,Nominal idiomatic clause,A troubling issue that burdens someone emotionally,Problem a ve mngu,B2,"Family life, emotional conversation",Serious,Tiv metaphor linking stomach with emotion,/kwàɣ ù jàm gà/,Kwagh u yam ga ka m ngu eren kpishi.,M ngu ve kpishi ka kwagh u yam ga.,A kpishi ka kwagh u yam ga.
U eren kpishi,Verb phrase idiom,Someone exaggerating or making things sound bigger than they are,Mngu a eren kpishi ka kwagh,A2,"Humor, storytelling","Colloquial, humorous",Often used when narrators dramatize events,/ù èrén kpíʃì/,U eren kpishi ka m ngu eren.,M ngu ve kpishi ka u eren kpishi.,A kpishi ka u eren kpishi.
A ve kpishi,Predicate idiom with evaluative adjective,A situation that has become very difficult,Situation a yange kpishi,B1,"Daily speech, complaints",Neutral,Common Tiv evaluative expression,/à vè kpíʃì/,A ve kpishi ka a mba eren.,M ngu eren ga ka a ve kpishi.,A kpishi ka a ve kpishi.
Kwagh u eren ga,Metaphorical nominal clause,A matter that people are discussing widely,People mba eren kwagh kpishi,B1,"Politics, gossip, community meetings",Neutral,Reflects oral discourse traditions in Tiv society,/kwàɣ ù èrén gà/,Kwagh u eren ga u ya kpishi.,M ngu eren kpishi ka kwagh u eren ga.,A kpishi ka kwagh u eren ga.
