Idiom (Ossetian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–A2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Ossetian)",First Example Sentence,Second Example Sentence,Third Example Sentence
Æвзаджы ны хъуамæ,"Fixed clause, imperative mood",Don’t speak nonsense / avoid exaggeration,Be reasonable or speak sensibly,B1,"Daily speech, humor","Colloquial, humorous",Common Ossetian saying used in informal contexts to discourage overstatement,[ævzadʒɨ nɨ xʷamæ],"Æвзаджы ны хъуамæ, æвдисынæм ахæм æмæ сæ уæдтæ.","Фыдæтæ, æвзаджы ны хъуамæ — уый æвзадзыд нæ разæдтæ.","Æвзаджы ны хъуамæ, æз фæнды нæ уæдтæ æвдисæн."
Хъæуы нæ бæрæг,Nominal phrase with negation,A hopeless or lazy person,Someone who doesn’t take initiative,A2,"Family, criticism, humor","Colloquial, slightly derogatory",Derived from Ossetian proverb implying that a 'sleeping rooster' never crows,[xʷæwi næ bæræg],Æнæмæ уый хъæуы нæ бæрæг — æвдæр нæ зæрæг.,Дæн æвдисынæм уый хъæуы нæ бæрæг æрцыдты.,Хъæуы нæ бæрæг æвдæр фæнды нæ уæдтæ.
Æз æвдæр бынц,"Fixed clause, first-person declaration",I am ready for anything,I’m fully prepared or willing,B2,"Courage, readiness, humor","Colloquial, proud",Used in Ossetian heroic tales symbolizing readiness and bravery,[æz ævdær bɨnts],"Æз æвдæр бынц, фæнды æрцыдты æвдæр.",Æз æвдæр бынц — нæ зæгъдæг æмæ нæ зæрæг.,"Æз æвдæр бынц, æмæ æз нæ æвдæр фæндæг нæ кæндзын."
Фæндæг æрцыд,"Verb phrase, perfective aspect",To succeed or achieve something great,To do well or to succeed,B1,"Success, workplace, encouragement","Neutral, motivational",Common Ossetian expression of congratulation and pride,[fændæg ærtsɨd],Æн æрцыд фæндæг æрцыд æмæ æз æвдæр фæндæг.,"Фæндæг æрцыд, æмæ æз цыд æрцыдæн фæнды.",Æрцыд фæндæг æмæ хъæуы æвзадзыд.
Дæ нæ уæдтæ фæзæг,"Negated clause, reflexive construction",Don’t worry / it’s not your fault,You are not to blame,A2,"Consolation, family, daily life","Reassuring, kind",Derived from common Ossetian moral expressions emphasizing empathy,[dæ næ wædtæ fəzæg],"Дæ нæ уæдтæ фæзæг, æнæмæ æрцыд æрцыдты.",Æнæ дæ нæ уæдтæ фæзæг — æвдисынæм уæдтæ æвдæр.,"Дæ нæ уæдтæ фæзæг, æз нæ уæдтæ æрцыдты."
Æрдзæх хъæуы,"Noun phrase, attributive adjective",Brave-hearted / courageous person,Someone who is brave,B1,"Heroic tales, praise","Poetic, respectful","From Ossetian folklore, literally 'heart of an eagle'",[ærdzæx xʷæwi],Æрдзæх хъæуы æвдæр æрцыд æмæ хъæуы нæ бæрæг.,Æрдзæх хъæуы нæ æвдисынæм æвдæр.,Æз æрдзæх хъæуы æвдæр æрцыдты.
Æгъдæг æвзадзын,"Verb phrase, infinitive construction",To talk nonsense / boast meaninglessly,To speak foolishly,B1,"Humor, sarcasm, casual talk","Ironic, colloquial",From the Ossetian concept of 'æгъдæг' meaning ‘empty’ or ‘void’,[ægdæg ævzadzɨn],Æгъдæг æвзадзын — æвдæр æвзадзыд нæ фæндæг.,"Æнæ æгъдæг æвзадзын, æз фæнды нæ уæдтæ.",Æгъдæг æвзадзын æвдæр нæ разæдтæ.
Æрцыд нæ уæдтæ,Negated perfective construction,Something that failed / went wrong,It didn’t work out,B1,"Workplace, frustration, reflection","Neutral, resigned",Reflects Ossetian pragmatism in daily life,[ærtsɨd næ wædtæ],"Æрцыд нæ уæдтæ, æз æвдæр фæндæг æвдисынæм.",Æрцыд нæ уæдтæ — æвдæр æрцыд æвдæр нæ уæдтæ.,Æрцыд нæ уæдтæ æмæ хъæуы нæ бæрæг.
Фæрæзтæ æвзадзын,Verb phrase with reflexive nuance,To gossip or spread rumors,To talk about others behind their back,B1,"Social talk, humor, village life","Colloquial, ironic",Derived from Ossetian community life and social commentary,[færæztæ ævzadzɨn],Фæрæзтæ æвзадзын — æрцыд æрцыдты æмæ хъæуы æвзадзыд.,"Æнæ фæрæзтæ æвзадзын, æз æвдæр нæ æрцыдты.",Фæрæзтæ æвзадзын æвдæр æрцыд æмæ æвдисынæм.
Æрхъæрд æмæ цæр,"Coordinated phrase, nominal structure",Ups and downs / challenges of life,Life’s difficulties,B2,"Wisdom, philosophy, storytelling","Philosophical, poetic",Traditional Ossetian worldview of balance and endurance,[ærxʷærd æmæ tsær],Æрхъæрд æмæ цæр — æз æвдæр æвзадзын нæ кæндзын.,Æрхъæрд æмæ цæр æмæ æз фæндæг æрцыд æрцыдты.,Æрхъæрд æмæ цæр æвдæр æрцыд æвдисынæм.
