Idiom (Aklanon),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Aklanon)",First Example Sentence,Second Example Sentence,Third Example Sentence
"Nagabudlay ro tiyan, pero indi ro baba.",Complex clause with contrastive conjunction,A person works hard but doesn't complain or talk about it.,Works silently without boasting or seeking praise.,B2,"daily speech, workplace",colloquial,"Commonly heard in agricultural communities in Aklan, reflecting traditional values of humility.","[nagaˈbudlaj ɾo ˈtʃan, ˈpero ˈindi ɾo ˈbaba]","Si Tatay, nagabudlay ro tiyan, pero indi ro baba.","Indi sida hambog, bisan nagatrabaho sanda adlaw-adlaw.","Kon magsilbi ikaw, dapat pareho kang Tatay – nagabudlay ro tiyan, indi ro baba."
"Ginaubos ro tinapay, pero indi ginaubra ro trabaho.","Coordinated clause, declarative",Someone who enjoys benefits but avoids responsibilities.,Consumes resources without contributing.,B2,"workplace, family","ironic, colloquial",Derived from traditional mealtime expressions in farming households.,"[ginaˈʔubos ɾo tinaˈpai, ˈpero ˈindi ginaʔuˈbɾa ɾo tɾaˈbaho]","Ginaubos ro tinapay, pero indi ginaubra ro trabaho nga ginsugo.","Ginapangayo tanan, pero wala sing ginaubra.","Kon gusto mo lang kaon, indi ikaw buligan."
Nagahilibiya it lapok.,Verb phrase with idiomatic object,Someone who meddles in messy or scandalous matters.,Gets involved in controversy or gossip.,C1,"politics, gossip, social commentary","sarcastic, colloquial","Refers to traditional sayings about pigs wallowing in mud, applied to people indulging in drama.",[nagaˈhilibija ʔit laˈpok],"Ayaw pag-apil, nagahilibiya ka lang it lapok.","Ro mga nagahilibiya it lapok, permi ginaintriga.",Gani nga indi ko gusto ro mga balita – puro nagahilibiya it lapok.
Indi pagbutangan it asin ro sugat.,Imperative negative + object,Don't make a bad situation worse.,Avoid worsening someone’s pain or discomfort.,B1,"daily speech, family advice","advisory, empathetic",Originates from traditional Aklanon healing beliefs about open wounds and salt.,[ʔindi pagbuˈtaŋan ʔit ʔaˈsin ɾo ˈsugat],"Kon nasayran mo nga masubo sida, indi pagbutangan it asin ro sugat.",Ginpangakigan mo pa gid – nagdugang ka lang sakit.,Gani nga indi ako maghambae anay – basi butangan ko pa it asin ro sugat.
May buot pero walay gahum.,Compound clause with contrastive conjunction,Someone has good intentions but lacks power.,Wants to help but is unable to.,A2,"daily speech, community","empathetic, humble",Heard often in village contexts when discussing elders or powerless figures.,[maj ˈbuʔot ˈpero ˈwalaj ˈgahum],Si Lola may buot pero walay gahum.,"Gusto ko tani buligan ka, pero may buot lang ako.","Ro tawo nga may buot pero walay gahum, permi ginapasipalahan."
Indi magpadag-on sa duta nga lain ro umagad.,Negative subjunctive conditional,Do not trust or submit to outsiders easily.,Don’t let unfamiliar people take advantage.,C1,"family, cautionary advice, politics","proverbial, cautionary",Rooted in ancestral wisdom about land ownership and family hierarchy.,[ʔindi magpadaˈgon sa ˈduta ŋa laˈin ɾo ʔuˈmagad],Indi magpadag-on sa duta nga lain ro umagad.,"Ginsugiran guid kami kang Lolo, ‘Ayaw itpati ro taga-lain.’","Ro duta dapat ginabantayan, indi lang bisan sin-o ro tag-iya."
Ginpatabok sa tulay nga indi pa natukod.,Passive + perfective clause,Given a task or responsibility prematurely.,Tasked with something before being ready.,B2,"workplace, teaching, mentoring","figurative, critical",Alludes to risky crossings in rural areas with unfinished infrastructure.,[ginpataˈbok sa tuˈlaj ŋa ʔindi pa natuˈkod],Ginpatabok ko sida sa tulay nga indi pa natukod.,"Wala pa training, ginassign na sa trabaho.",Ginpapirma sa kontrata nga wala pa nabasa.
Nagahalin ro itik kon mainit ro kawali.,"Declarative clause, conditional implication",People avoid danger or difficulty instinctively.,People leave or react quickly when situations turn bad.,B1,"humor, observation, politics","humorous, observational","Refers to animal instincts, used in rural contexts.",[nagaˈhalin ɾo ʔitik kon maˈʔinit ɾo kawaˈli],Nagahalin ro itik kon mainit ro kawali – pareho man sa tawo.,Indi ka gid kahambae – nagpalagyo sanda.,"Nadungog lang nga may pulis, naghalin tanan."
Ginahakot ro bitoon pero ginapabay-an ro lunang.,"Contrastive clause, imperfective",Chasing dreams while ignoring basic needs.,Prioritizes ambition over responsibilities.,C1,"advice, critique, life commentary","poetic, critical",Stargazing vs. muddy feet – metaphorical balance of dreams vs. grounding.,[ginahaˈkot ɾo bitoˈʔon ˈpero ginapabaˈʔan ɾo luˈnaŋ],Ginahakot mo ro bitoon pero ginapabay-an ro lunang.,Nagpangandoy siya pero wa't planong klaro.,"Indi pwedeng puro pangarap lang, kinahanglan matuod man sa duta."
May tinik sa dila.,Simple metaphorical noun phrase,Speaks harshly or hurtfully.,Says things that offend or hurt others.,B2,"social critique, family","critical, sarcastic","Refers to the pain of stepping on thorns, compared to speech that wounds.",[maj tiˈnik sa ˈdila],Indi ako maghambae – may tinik sa dila ro tawo.,"Permi lang gid siya nagaaway, may tinik sa dila.",Dapat kontrolado mo ro dila mo – indi puro tinik.
