Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
Tener más mañas que un tigrillo,verbal phrase with comparative construction,To be very cunning or tricky,Ser muy astuto o tramposo,B2,"daily speech, humor, sarcasm","colloquial, ironic","Common across rural Belize, evokes image of tigrillo (small wildcat) known for stealth",[teˈneɾ mas ˈmaɲas ke un tiˈɡɾiʎo],Ese cipote tiene más mañas que un tigrillo cuando quiere conseguir dulce.,"No confíes en él, tiene más mañas que un tigrillo en temporada de cacería.","Mi primo chiquito tiene más mañas que un tigrillo, siempre se sale con la suya."
Estar hasta la tusa,prepositional phrase with idiomatic complement,To be fed up or overwhelmed,Estar muy harto o cansado de algo,B1,"daily speech, workplace, family","colloquial, expressive",Derived from corn husk (tusa) references in rural agriculture; common in northern Belize,[esˈtaɾ ˈasta la ˈtusa],Estoy hasta la tusa de tantos apagones últimamente.,Mi mamá está hasta la tusa de que no lave los platos.,Ya estamos todos hasta la tusa del mismo discurso político.
No tener pelos en la lengua,negative verbal phrase with noun complement,To speak bluntly or without hesitation,Hablar sin filtros o sin rodeos,B2,"politics, workplace, daily speech","colloquial, direct","Widespread across Latin America; in Belize, often used in heated discussions or honest critiques",[no teˈneɾ ˈpelos en la ˈleŋɡwa],La profesora no tiene pelos en la lengua cuando habla de los vagos.,"Yo le dije la verdad, porque no tengo pelos en la lengua.","Mi abuelo siempre opina sin pelos en la lengua, aunque duela."
Quedarse como el gallo de Tapón,reflexive verb phrase with comparative clause,"To end up with nothing, be left out",Quedarse sin nada o sin recibir lo esperado,C1,"literature, humor, sarcasm","ironic, colloquial",Refers to a folktale about a rooster from a village named Tapón; common among elders,[keˈðaɾse ˈkomo el ˈɡaʎo ðe taˈpon],Él se quedó como el gallo de Tapón después del sorteo.,Compró su boleto tarde y quedó como el gallo de Tapón.,"Todos recibieron premio, menos yo... como el gallo de Tapón."
Estar en la luna de Valencia,prepositional phrase,To be distracted or lost in thought,Estar distraído o despistado,B2,"education, daily speech, workplace",colloquial,"Imported from Spanish tradition, but adopted in Belizean Spanish classrooms",[esˈtaɾ en la ˈluna ðe baˈlensja],"¡Pon atención, Juan! Siempre estás en la luna de Valencia.",Ella no escuchó nada porque estaba en la luna de Valencia.,Los niños viven en la luna de Valencia cuando están aburridos.
Más perdido que turco en la neblina,comparative simile with clause,To be completely lost or confused,Estar muy desorientado o sin saber qué hacer,C1,"daily speech, humor, sarcasm","colloquial, humorous",Borrowed idiom common in Belizean border towns with Guatemalan influence; used humorously,[mas peɾˈðiðo ke ˈtuɾko en la neˈβlina],"Cuando vi el formulario, quedé más perdido que turco en la neblina.",Ese man va más perdido que turco en la neblina con esa computadora.,Entré a la reunión y estaba más perdido que turco en la neblina.
Sacarse la rifa del tigre,reflexive verbal phrase with object clause,To end up in a difficult or dangerous situation,Terminar en una situación difícil sin quererlo,C2,"humor, politics, family","ironic, colloquial","Popular in Central America; adopted in Belizean Creole-Spanish mixes, usually to mock someone's misfortune",[saˈkaɾse la ˈrifa ðel ˈtiɣɾe],Se casó con doña Rita... se sacó la rifa del tigre.,"Te tocó el jefe más gruñón, te sacaste la rifa del tigre, compa.","Quedó de presidente de la junta, pobrecito, se sacó la rifa del tigre."
Buscarle tres patas al gato,verbal phrase with idiomatic object,To overcomplicate something unnecessarily,Complicar algo sin razón o buscar problemas donde no hay,B2,"workplace, politics, sarcasm","colloquial, sarcastic",Common in Belizean media and schools; humorously critiques overthinking,[busˈkaɾle tɾes ˈpatas al ˈɡato],"Dejá de buscarle tres patas al gato, la solución es simple.",Siempre quiere buscarle tres patas al gato cuando todo está claro.,El ministro está buscándole tres patas al gato con esa ley nueva.
Tirar la casa por la ventana,verbal phrase with prepositional complement,"To spend extravagantly, especially for a special occasion",Gastar mucho dinero en algo especial,B1,"family, celebrations, literature","literary, festive","Widespread Hispanic idiom used in Belize for weddings, quinceaños, parties",[tiˈɾaɾ la ˈkasa poɾ la βenˈtana],"Para el cumpleaños de la nena, tiraron la casa por la ventana.",Mi suegra tiró la casa por la ventana con ese almuerzo.,"Cuando se graduó, le tiraron la casa por la ventana."
Estar como agua para chocolate,simile with prepositional clause,To be furious or emotionally stirred,Estar muy enojado o emocionalmente alterado,B2,"family, literature, relationships","poetic, expressive","Popularized in Latin America and literature, present in Belizean storytelling and drama",[esˈtaɾ ˈkomo ˈaɰwa ˈpaɾa tʃokoˈlate],"Después de esa llamada, estaba como agua para chocolate.",Mi tía se puso como agua para chocolate cuando vio el desastre.,Los dos estaban como agua para chocolate después de discutir.
