Idiom (Standard High German),Syntactic Structure & Grammatical Form,Figurative Meaning (Standard High German),Non-Idiomatic Equivalent (Standard High German),CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
Da steppt der Bär,"Fixed clause with present tense, subjectless exclamatory structure","Es ist sehr viel los, es herrscht eine ausgelassene oder lebhafte Stimmung.",Dort geht es lebhaft zu.,B2,"daily speech, humor, informal gatherings, party scenes","Informal, humorous","Common across Germany; gained popularity in 20th-century urban slang, metaphorically suggesting a wild dancing bear as a symbol of liveliness.",[da ʃtɛpt deːɐ̯ bɛːɐ̯],Auf der Feier gestern – da steppt echt der Bär!,"Komm unbedingt mit zur Kneipe heute Abend, da steppt der Bär!","Wenn die Berliner feiern, dann steppt der Bär – das kannst du mir glauben."
Ins Fettnäpfchen treten,Infinitive clause with prepositional phrase and accusative object,Unbeabsichtigt etwas Peinliches oder Unangemessenes sagen oder tun.,Sich unbeabsichtigt blamieren.,C1,"workplace, family, humor, embarrassment, daily speech","Colloquial, ironic",Originates from 19th-century table manners; stepping into a fat dish was a clumsy faux pas.,[ɪns ˈfɛtˌnɛpfçən ˈtʁeːtn̩],Mit seinem Kommentar über Schwiegermütter ist er voll ins Fettnäpfchen getreten.,"Ich wollte nur höflich sein, aber anscheinend trat ich dabei ins Fettnäpfchen.","Wer zum ersten Mal bei den Schwiegereltern ist, tritt schnell ins Fettnäpfchen."
Jemandem den Laufpass geben,"Dative object with idiomatic noun phrase, verbal phrase in active voice",Eine Beziehung oder Zusammenarbeit beenden.,Sich von jemandem trennen.,B2,"romantic relationships, workplace, drama, literature","Informal, dismissive",Originally military slang for dismissal or release from duty; now romantic slang.,[ˈjeːmandəm deːn ˈlaʊ̯fpas ˈɡeːbn̩],Nach all dem Drama hat sie ihm endlich den Laufpass gegeben.,Der Chef hat ihm wegen der Panne den Laufpass gegeben.,"Manchmal ist es besser, rechtzeitig den Laufpass zu geben."
Die Kirche im Dorf lassen,Imperative construction or infinitive clause with accusative object,Nicht übertreiben; realistisch und bodenständig bleiben.,Maß halten.,B2,"daily speech, rural wisdom, debates, complaints","Informal, admonishing",Originates from rural customs—moving the church was unthinkable; metaphor for keeping things grounded.,[diː ˈkɪʁçə ɪm dɔʁf ˈlasn̩],Jetzt lass aber mal die Kirche im Dorf – so schlimm war es nicht.,"Wenn er noch mehr Geld fordert, sollte er die Kirche im Dorf lassen.",Wir müssen realistisch bleiben und die Kirche im Dorf lassen.
Den Nagel auf den Kopf treffen,Accusative object with perfective verb phrase,Etwas genau richtig ausdrücken oder erfassen.,Den Kern der Sache treffen.,B2,"debate, workplace, analysis, media","Neutral, intellectual",Craft metaphor—hitting the nail squarely symbolizes accuracy.,[deːn ˈnaːɡl̩ aʊ̯f deːn kɔpː ˈtʁɛfn̩],Mit deiner Analyse hast du den Nagel auf den Kopf getroffen.,Sie trifft mit ihrem Kommentar den Nagel auf den Kopf.,Das war präzise – du hast den Nagel auf den Kopf getroffen!
Einen Frosch im Hals haben,Accusative object with modal auxiliary verb and noun phrase,Heiser oder stimmlos sein.,Heiser sein.,A2,"daily speech, health, small talk","Informal, humorous",Playful imagery—dating back to medieval folk metaphors.,[ˈaɪ̯nən fʁɔʃ ʔɪm hals ˈhaːbn̩],"Warte kurz, ich habe einen Frosch im Hals.",Sie konnte kaum sprechen – totaler Frosch im Hals.,Ein Tee hilft gegen den Frosch im Hals.
Etwas durch die Blume sagen,Prepositional phrase with object and infinitive verb,Etwas indirekt oder höflich ausdrücken.,Etwas höflich andeuten.,B2,"politeness, workplace, literature, diplomacy","Formal, tactful",Stems from the Victorian-era tradition of flower symbolism and discreet speech.,[ˈɛtvɑs dʊʁç diː ˈbluːmə ˈzaːɡn̩],"Sie hat ihm durch die Blume gesagt, dass er stört.",Manche Kritik äußert man besser durch die Blume.,Ich sage es dir direkt – nicht durch die Blume.
Mit einem blauen Auge davonkommen,Prepositional phrase with perfective verb,Mit geringem Schaden oder Glück einer schlechten Situation entkommen.,Glimpflich davonkommen.,B1,"daily speech, risk, workplace, storytelling","Neutral, descriptive",Boxing metaphor—blue eye as minor injury; metaphor for minor consequences.,[mɪt ˈaɪ̯nəm ˈblaʊ̯ən ˈaʊ̯ɡə daˈfɔnˌkɔmən],Trotz des Unfalls ist sie mit einem blauen Auge davongekommen.,Er kam bei der Prüfung mit einem blauen Auge davon.,Wir sind nochmal mit einem blauen Auge davongekommen.
Alles in Butter,"Short fixed phrase, typically used as predicative",Alles ist in Ordnung.,Alles ist okay.,A2,"daily speech, humor, reassurance","Informal, calming",Originating from medieval trade routes—transporting fragile goods in butter to prevent breakage.,[ˈaləs ʔɪn ˈbʊtɐ],Mach dir keine Sorgen – alles in Butter.,"Bei uns ist alles in Butter, danke der Nachfrage.",Nach dem Sturm war überraschenderweise alles in Butter.
Seinen Senf dazugeben,Reflexive clause with separable prefix verb and dative object,Ungebetene Meinung äußern.,Sich ungefragt einmischen.,B1,"daily speech, sarcasm, humor, online forums","Informal, sarcastic",From 19th-century culinary habits—Senf (mustard) added to all meals regardless of taste.,[ˈzaɪ̯nən zɛnf daˈtsuːˌɡeːbn̩],Muss er immer seinen Senf dazugeben?,"Sie konnte nicht anders, als ihren Senf dazuzugeben.",In der Diskussion gab jeder seinen Senf dazu.
