Idiom (Basaa),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Basaa)",First Example Sentence,Second Example Sentence,Third Example Sentence
Á kɛ́ sɔ́ŋɛ ké ǹkɔ́kɔ́,Fixed clause,"Someone is stubborn, inflexible, or refuses to change.",Á ká bɔ́k ké pɛ́kɛ́ bɛ́ díɛ.,B1,"Daily speech, family, disputes",Colloquial,From rural customs where a 'ǹkɔ́kɔ́' (tree root) was seen as immovable.,á kɛ́ sɔ́ŋɛ ké ŋ̀kɔ́kɔ́,"Á ká pɛ́ ké á kɛ́ sɔ́ŋɛ ké ǹkɔ́kɔ́, á ká bɔ́ má díɛ.",Á pɛ́ké ké á kɛ́ sɔ́ŋɛ ké ǹkɔ́kɔ́ nɛ́ tɔ́ŋ.,"Á ká sɔ́ŋɛ ké ǹkɔ́kɔ́, á ká ńté ké lɛ́nɛ."
Á bɔ́ má kpɔ́ŋ kpɔ́ŋ,Verb phrase with reduplication,To speak nonsense or talk foolishly.,Á ká sɔ́ŋɛ ké díɛ mɛ́nɛ é ká kpɔ́.,B2,"Humor, daily speech","Humorous, sarcastic",Common among youth mocking pointless speeches.,á bɔ́ má kpɔ́ŋ kpɔ́ŋ,Á ká bɔ́ má kpɔ́ŋ kpɔ́ŋ nɛ́ ngwɛ́ mɛ́nɛ á ká bɔ́k.,Á sɔ́ŋɛ ké ngwɛ́ á bɔ́ má kpɔ́ŋ kpɔ́ŋ.,Mɛ́nɛ má díɛ á ká bɔ́ má kpɔ́ŋ kpɔ́ŋ.
Á ká lɔ́ɔ́ngɔ ké kɔ́mbɛ é kɔ́mbɛ,Reflexive idiomatic clause,Someone is confused or overwhelmed.,Á ká bɔ́ ké á ká ńté ǹgɛ́ɛ́.,C1,"Workplace, sarcasm","Irony, formal",Originates from traditional storytelling about a trickster lost in his own lies.,á ká lɔ́ɔ́ngɔ ké kɔ́mbɛ é kɔ́mbɛ,Á ká lɔ́ɔ́ngɔ ké kɔ́mbɛ é kɔ́mbɛ nɛ́ report á sɔ́ŋɛ.,Á ká lɔ́ɔ́ngɔ ké kɔ́mbɛ é kɔ́mbɛ pɛ́ analysis mɛ́.,Kɔ́mbɛ é ká lɔ́ɔ́ngɔ ké kɔ́mbɛ é kɔ́mbɛ.
Á ká pɛ́ ké ngwɛ́ na lɛ́nɛ,Subjunctive structure,Someone is quick to act or speak before thinking.,Á ká bɔ́ ké á ká sɔ́ŋɛ ké ǹtɔ́mbɛ́.,B2,"Politics, sarcasm, public debate","Ironic, sarcastic",Reflects impatience or lack of reflection in Basaa leadership tales.,á ká pɛ́ ké ŋwɛ́ na lɛ́nɛ,Á ká pɛ́ ké ngwɛ́ na lɛ́nɛ nɛ́ mɛ́nɛ má kpɔ́.,Á pɛ́ ké ngwɛ́ na lɛ́nɛ á ká kpɔ́ mɛ́nɛ.,Á ká pɛ́ ké ngwɛ́ na lɛ́nɛ ké ǹgɛ́nɛ.
Á ká kpɔ́ ké ǹkɔ́mbɛ á kɔ́mbɛ,Fixed clause with comparative,Someone repeats actions or mistakes unnecessarily.,Á ká bɔ́ ké díɛ lɛ́nɛ á ká díɛ kpɔ́.,C2,"Literature, education","Literary, poetic",From folktales emphasizing learning from past errors.,á ká kpɔ́ ké ǹkɔ́mbɛ á kɔ́mbɛ,Á ká kpɔ́ ké ǹkɔ́mbɛ á kɔ́mbɛ pɛ́ díɛ.,Ǹkɔ́mbɛ á ká kpɔ́ ké ǹkɔ́mbɛ á kɔ́mbɛ.,Á ká kpɔ́ ké ǹkɔ́mbɛ á kɔ́mbɛ ké ndɛ́kɛ́ mɛ́.
Á ká yíɔ́ ké díɛ má bɔ́ má ŋwɛ́,Complex clause,Describes someone making a risky or daring move.,Á ká sɔ́ŋɛ ké mɛ́nɛ á ká kpɔ́ ké ngwɛ́.,C1,"Drama, workplace, conflict","Dramatic, colloquial",From hunter stories in Édéa about outsmarting animals.,á ká yíɔ́ ké díɛ má bɔ́ má ŋwɛ́,Á ká yíɔ́ ké díɛ má bɔ́ má ŋwɛ́ ké deal á pɛ́.,Á ká bɔ́ ké á ká yíɔ́ ké díɛ má bɔ́ má ŋwɛ́.,Á yíɔ́ ké díɛ má bɔ́ má ŋwɛ́ ké ngwɛ́ nɛ́ mɛ́nɛ.
Á ká léŋgɛ́ ké mɛ́nɛ má bɔ́ na díɛ,Descriptive phrase,To criticize or expose someone's lies.,Á ká kpɔ́ ké mɛ́nɛ é ká bɔ́ ké ǹgɛ́ɛ́.,B2,"Debate, family conflict","Formal, confrontational",Used in inter-village conflicts and judgments.,á ká léŋgɛ́ ké mɛ́nɛ má bɔ́ na díɛ,Á ká léŋgɛ́ ké mɛ́nɛ má bɔ́ na díɛ ké mbɔ́lóŋ.,Á ká kpɔ́ ké á ká léŋgɛ́ ké mɛ́nɛ má bɔ́ na díɛ.,Á ká léŋgɛ́ ké mɛ́nɛ má bɔ́ na díɛ ké kpɔ́.
Á ká kpɔ́ ké kpɔ́ na má ŋwɛ́,Passive clause,Someone is completely lost or defeated.,Á ká sɔ́ŋɛ ké á ká kpɔ́ ké é ká lɛ́nɛ.,B2,"Folklore, defeat","Poetic, tragic",From a story of a warrior who lost both sword and shield.,á ká kpɔ́ ké kpɔ́ na má ŋwɛ́,Á ká kpɔ́ ké kpɔ́ na má ŋwɛ́ ké kpɔ́.,Á ká sɔ́ŋɛ ké kpɔ́ ké kpɔ́ na má ŋwɛ́.,Á ká lɛ́nɛ ké á ká kpɔ́ ké kpɔ́ na má ŋwɛ́.
Á ká yíɔ́ ké mɛ́nɛ má kpɔ́ na báŋ,Condition clause,Someone is caught red-handed or proven guilty.,Á ká bɔ́ ké á ká kpɔ́ ké mɛ́nɛ é ká bɔ́ má ndɛ́kɛ́.,C1,"Legal, gossip, politics",Confrontational,Common in tales where liars are exposed.,á ká yíɔ́ ké mɛ́nɛ má kpɔ́ na báŋ,Á ká yíɔ́ ké mɛ́nɛ má kpɔ́ na báŋ ké trial.,Á ká kpɔ́ ké á ká yíɔ́ ké mɛ́nɛ má kpɔ́ na báŋ.,Á sɔ́ŋɛ ké á ká yíɔ́ ké mɛ́nɛ má kpɔ́ na báŋ.
Á ká kɛ́ ké kpɔ́ ngɛ́ pɔ́ŋ,Descriptive verb phrase,To act with pride or arrogance.,Á ká bɔ́ ké á ká díɛ ké mɛ́nɛ á ká sɔ́ŋɛ.,B2,"Community speech, mockery","Mocking, sarcastic",Linked to dancers wearing ceremonial masks proudly.,á ká kɛ́ ké kpɔ́ ngɛ́ pɔ́ŋ,Á ká kɛ́ ké kpɔ́ ngɛ́ pɔ́ŋ ké bɔ́ lóŋ.,Á ká díɛ ké mɛ́nɛ á ká kɛ́ ké kpɔ́ ngɛ́ pɔ́ŋ.,Á ká kpɔ́ ké á ká kɛ́ ké kpɔ́ ngɛ́ pɔ́ŋ.
