Idiom (Dusun),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Dusun)",First Example Sentence,Second Example Sentence,Third Example Sentence
Tangan ti kusayau,Fixed NP + relative clause,A person who is wasteful or careless with resources,Careless person,B1,"Daily speech, humor, workplace","Colloquial, humorous",Based on imagery of someone who easily lets things slip from their hands,[ˈtaŋan ti kuˈsajau],"Oku i do tangan ti kusayau, okon ko mogigiid do osogit.","Sia do tangan ti kusayau, amu poingkuro do pigin.","Tangan ti kusayau i, nokuro do pogi nga."
Kopiso do tulun,Nominal phrase,Refers to the character or essence of a person,Personality or character,B2,"Daily life, workplace, literature","Neutral, formal",Traditional understanding of human essence in Dusun culture,[koˈpiso do ˈtulun],Kopiso do tulun i monguhup id pogulaan.,Oku monimbagu do kopiso do tulun ku.,"Kopiso do tulun i, pohimpuun do tanak do tulun."
Mangan do pomogunan,Verb phrase,Benefiting from communal effort,Sharing community benefits,B2,"Community events, Kaamatan, politics","Formal, communal",Derived from communal sharing practices in Dusun villages,[ˈmaŋan do pɔmoˈɣunan],Tokou mangan do pomogunan id Kaamatan.,Mangan do pomogunan i do tinongkopon no id gompi.,Oku ginawo do mangan do pomogunan i.
Lobu do tahan,Fixed NP,Patience is strength,Patience is powerful,C1,"Proverbs, moral teaching, literature","Proverbial, poetic",Traditional Dusun proverb on endurance,[ˈlobu do taˈhan],"Lobu do tahan, tokou poinsanan do mogihum nga.",Oku ginawo do lobu do tahan i.,Tanak do tulun i poimuli do lobu do tahan.
Tudud do angkab,Verb phrase,Daydreaming or being distracted,Distracted,A2,"Daily speech, family, school","Colloquial, light",Refers to staring at the sky while neglecting work,[ˈtudud do aŋˈkab],Oku i do tudud do angkab id kelas.,"Sia do tudud do angkab, amu no pogi do pagawas.",Oku ginawo do tudud do angkab di tokou.
Kolintangan do kolintut,Parallel NP construction,Trivial or nonsensical talk,Meaningless chatter,B1,"Humor, sarcasm, workplace gossip","Colloquial, sarcastic",Plays on sound patterns for rhetorical humor,[kolinˈtaŋan do kolinˈtut],Sia do kolintangan do kolintut id meeting.,"Okon ko nga i do boros, kolintangan do kolintut i.",Oku ginawo do kolintangan do kolintut i.
Kalati do tulun,Nominal phrase,Every person is different,People are different,A2,"Daily life, workplace, literature","Neutral, proverbial",Common Dusun saying on human diversity,[kaˈlati do ˈtulun],"Kalati do tulun, kalati do pogi.",Oku ginawo do kalati do tulun id suruong.,Tokou poimuli do kalati do tulun.
Susu do bating,Fixed NP,False promises,Empty words,B2,"Politics, workplace, sarcasm","Sarcastic, ironic",Comparing undrinkable milk to unreliable words,[ˈsusu do ˈbatiŋ],Boros nu i susu do bating.,Oku amu poingkuro do susu do bating.,"Susu do bating i, okon ko guminava do tokou."
Ambu do taya,Fixed NP,Hopeless situation,No chance,B1,"Daily life, sarcasm, literature","Neutral, colloquial",Traditional saying implying no solution exists,[ˈambu do ˈtaja],Oku ginawo do ambu do taya id pogi nga.,"Ambu do taya, tokou amu poingkuro.",Sia do ambu do taya di tinondu.
Sana' do gisom,Fixed NP,A rare or unlikely event,Unlikely event,C1,"Literature, oral tradition, humor","Poetic, ironic",Refers to seasonal fruit cycle; rarely seen,[ˈsanaʔ do ˈgisom],"Sana' do gisom i, amu minampai no.",Tokou poinsanan do sana' do gisom.,Oku ginawo do sana' do gisom id andau.
