Idiom (Sumbawa),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Sumbawa)",First Example Sentence,Second Example Sentence,Third Example Sentence
"Tingi olat, tingi penyembir",Fixed balanced comparative proverb; repeated adjective-noun phrase with parallel ellipsis.,"The higher a person’s status or ambition, the greater the risk and responsibility.",Jabatan rea bawa tanggung jawab rea.,B1,"leadership, advice, politics, family counsel, workplace responsibility","traditional, advisory, serious","Mountain-and-valley imagery fits Sumbawa’s landscape and older counsel about rank, obligation, and public trust.",[ˈtiŋi ˈolat ˈtiŋi pəɲəmˈbir],"Lamin sia dadi ketua, ingat mo: tingi olat, tingi penyembir.","Ama no dangu puji jabatan; tingi olat, tingi penyembir, ling nya.","Pang boat desa, tau rea amanat kenang tingi olat, tingi penyembir."
"Nya baeng isi, nya baeng ai’",Fixed parallel clause; repeated subject and possessive verb phrase with paired nouns.,Whoever controls a resource or position must protect the surrounding people and conditions that sustain it.,Tau baeng kuasa mesti jaga tau sekeliling.,B2,"governance, community duty, farming, management, ethical leadership","respectful, didactic, communal","Fish-and-water imagery reflects coastal, river, and irrigation knowledge in Sumbawa social life.",[ɲa baˈeŋ ˈisi ɲa baˈeŋ aiʔ],"Kepala dusun ya rawat tau ode, sabab nya baeng isi, nya baeng ai’.","Nya baeng isi, nya baeng ai’, nan pesan ama ko anak boat.","Lamin baeng sawah, jaga ai’ ke pematang; nya baeng isi, nya baeng ai’."
"Kangila rara, kangampang bola",Fixed cause-result clause pair; adjectival shame phrase followed by verbal deception phrase.,"A person lies or exaggerates to cover embarrassment, poverty, failure, or social insecurity.",Tau bola karena malu miskin.,B2,"humor, social criticism, family talk, gossip, moral advice","colloquial, ironic, mildly critical","The expression encodes village norms around dignity, scarcity, and the pressure to preserve face.",[kaˈŋila ˈrara kaˈŋampaŋ ˈbola],"Na bola ke dengan, kangila rara, kangampang bola mo lalo rua.","Ia beli baju utang, kangila rara, kangampang bola pang pasar.","Kangila rara, kangampang bola no nentu bawa mulia."
Satama saluar ola otak,Fixed verbal phrase with directional complement; metaphorical action construction.,"Doing something in an obviously foolish, upside-down, or illogical way.",Boat no pakai pikir.,B1,"workplace mistakes, household humor, teaching, criticism, technical tasks","humorous, sarcastic, corrective",The image of putting trousers on from the head gives a concrete domestic metaphor for absurd method.,[saˈtama saˈluar ˈola ˈotak],"Mula-mula baca aturan, na satama saluar ola otak.",Ia bongkar mesin tanpa ilmu; satama saluar ola otak ling montir.,"Keputusan nan mara satama saluar ola otak, no gita jalan."
Samang bawi lis,Condensed fixed verb-object clause; hunting/chasing metaphor with omitted subject.,Acting too late after the real chance has already gone; wasted effort after delay.,Boat terlambat dadi sia-sia.,B1,"missed opportunities, deadlines, warnings, farming, travel, bureaucracy","colloquial, cautionary, dryly humorous",The released pig evokes older hunting and village-life imagery where delay makes pursuit pointless.,[ˈsamaŋ ˈbawi lis],"Sesudah kapal lalo, baru sia datang; samang bawi lis.","Data ra ilang baru tu cari, samang bawi lis ko kantor.","Nasihat ama no ra dengar, sanopoka rugi samang bawi lis."
"Patis jaran na dampi burit, patis kebo na dampi otak",Bipartite prohibitive proverb; repeated concessive adjective plus negative imperative.,"Even when someone looks safe or tame, remain cautious around unfamiliar people or risky situations.",Na terlalu percaya ko tau anyar.,C1,"travel, business caution, parenting, negotiation, public safety","traditional, protective, serious",Horse and buffalo handling knowledge is used as a practical rural warning about hidden danger.,[ˈpatis ˈjaran na ˈdampi ˈburit ˈpatis ˈkəbo na ˈdampi ˈotak],"Patis jaran na dampi burit, patis kebo na dampi otak, ling ina ko anak.","Dagang anyar manis tutur, tapi patis jaran na dampi burit.","Pang rantau, ingat patis kebo na dampi otak lamun kenal tau anyar."
Sangentok rarek ko bodok,Fixed causative/placement clause; verb phrase plus prepositional complement.,Entrusting valuables or duties to someone who is naturally likely to misuse them.,Na serah amanat ko tau no dipercaya.,B2,"trust, finance, household management, workplace delegation, satire","colloquial, ironic, sharply critical",The cat guarding meat is a household metaphor for predictable temptation and poor judgment.,[saˈŋəntok ˈrarək ko ˈbodok],Uang koperasi ra serah ko tau nan; sangentok rarek ko bodok.,"Na beri kunci lumbung ko maling, sangentok rarek ko bodok.","Ia pilih penjaga tanpa ati-ati, sangentok rarek ko bodok jadinya."
Nonda malaekat datang raboko,Fixed negative existential clause with future-oriented verbal complement.,Do not wait for miraculous help; success requires effort and self-reliance.,"Mesti usaha diriq, na tunggu tulung datang.",B1,"study, farming, work discipline, motivational speech, family advice","advisory, motivational, mildly religious",The angel image reflects Islamic vocabulary in Sumbawa moral instruction while stressing practical effort.,[ˈnonda malaˈekat ˈdataŋ raˈboko],"Lamin ingin panen, boat mo; nonda malaekat datang raboko.","Nonda malaekat datang raboko, jadi tu bangun sanopoka mata ano.","Anak sekolah belajar tiap bengi, sabab nonda malaekat datang raboko."
Satempu sira ko Kuris,Fixed transitive clause with place-name complement; locative cultural metaphor.,Giving someone something they already have in abundance; an unnecessary or redundant offer.,Na beri barang ko tau baeng barang nan.,B2,"gifts, trade, workplace advice, social humor, resource planning","humorous, local, gently corrective","Kuris is associated in the proverb source with salt production, making salt-giving an image of redundancy.",[saˈtəmpu ˈsira ko ˈkuris],Beli sira ko tau Kuris nan satempu sira ko Kuris.,"Hadiahkan kopi ko tau jual kopi, satempu sira ko Kuris mo.","Proposal nan no perlu, mara satempu sira ko Kuris pang rapat."
"Uler na tarik tali, betak na beang kapate",Compound negative imperative proverb; paired commands with balanced contrast.,"Use balance in guidance: do not be too harsh or too permissive, especially with children.","Ajar anak ke timbangan, no keras no lemah.",C1,"parenting, teaching, leadership, conflict mediation, discipline","traditional, pedagogical, balanced",Kite-string handling becomes a metaphor for measured discipline and careful social control.,[ˈulər na ˈtarik ˈtali ˈbətak na ˈbeaŋ kaˈpatə],"Ngajar anak mesti seimbang: uler na tarik tali, betak na beang kapate.","Ina no keras no lemah, uler na tarik tali, betak na beang kapate.","Pang kelas, guru ingat pesan uler na tarik tali, betak na beang kapate."
