Idiom (Tetum),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Tetum)",First Example Sentence,Second Example Sentence,Third Example Sentence
Bee tun hodi halakon kabun boot,"Fixed clause, metaphorical subject-predicate",To ease a heavy burden or relieve strong emotions,To find relief or feel lighter,B2,"Daily speech, family, emotions","Colloquial, poetic",Derived from rural life; water calming the land after floods,/beː tun hodi halakon kabun boːt/,"Bainhira nia konta problema hotu, bee tun hodi halakon kabun boot.",Ha'u sente bee tun hodi halakon kabun boot depois de koalia ho alin.,Nia hanorin katak koalia bele hanesan bee tun hodi halakon kabun boot.
Manu fulan,Noun phrase with metaphorical mapping,Someone who is charming but elusive,An attractive but unattainable person,C1,"Literature, romance, humor","Poetic, literary",Folklore image of a mystical bird flying at night,/manu fulan/,"Nia hanesan manu fulan, ema hotu haree maibé la bele kaer.",Istória hakerek nia hanesan manu fulan iha kalan.,Sira dehan nia manu fulan tanba laos fasiak hatene.
Feto boot hanesan rai-nain iha uma,Comparative clause with copula,A respected woman is the foundation of the household,A woman plays an important role in the family,B1,"Family, culture, respect","Formal, cultural",Customary law (lisan) emphasizing women’s roles in the household,/fetu boːt hanesan rai nain iha uma/,"Feto boot hanesan rai-nain iha uma, tanba nia fo dalan ba labarik sira.",Kultura Timor sempre dehan feto boot hanesan rai-nain iha uma.,Nia mos prova katak feto boot hanesan rai-nain iha uma.
Asaun ida mak hatudu ema nia moris-loron,Declarative clause with relative marker,Actions define a person’s character,You are known by what you do,B2,"Workplace, education, ethics","Formal, moral",Traditional teachings emphasizing deeds over words,/asaun ida mak hatudu ema nia moɾis loɾon/,"Asaun ida mak hatudu ema nia moris-loron, laos liafuan.",Ha'u hanoin katak asaun ida mak hatudu ema nia moris-loron.,Professór hatete tanba asaun ida mak hatudu ema nia moris-loron.
Lulik hanesan laran mutin,Comparative simile construction,Sacred matters must be kept pure and respected,Sacred things must be respected,C1,"Religion, custom, culture","Formal, spiritual",Tetum cosmology and lisan rituals,/luːlik hanesan laran mutin/,"Lulik hanesan laran mutin, tenki respeita hela.",Sira hatete lulik hanesan laran mutin no la bele tokar.,Avó koalia kona-ba lulik hanesan laran mutin.
Dalan ida ne'e hanesan dalan tolu,Comparative simile with indefinite subject,The situation is uncertain or unpredictable,The situation is unclear,B2,"Politics, family, decision-making","Colloquial, ironic",Derived from confusing crossroads in rural roads,/dalan ida neʔe hanesan dalan tolu/,Politika iha Timor-Leste dalan ida ne'e hanesan dalan tolu.,Situasaun sira dala mak hanesan dalan ida ne'e hanesan dalan tolu.,Ha'u senti ne'e hanesan dalan ida ne'e hanesan dalan tolu.
La bele haluha kultura,Imperative negative with verb phrase,One must not forget their cultural roots,We must preserve culture,A2,"Education, politics, daily life","Formal, moral",Reflects resistance to colonial erasure of identity,/la bele haluha kultura/,Avó hatete tanba la bele haluha kultura.,Eskola sempre fo hatene katak la bele haluha kultura.,Ha'u koalia ho labarik kona-ba la bele haluha kultura.
Buat di'ak sei fila mai,Declarative clause with verb phrase,Good deeds will return to you,Kindness is rewarded,B1,"Daily speech, family, moral teachings","Colloquial, moral",Traditional belief in reciprocity and balance,/buat diʔak sei fila mai/,Ha'u ajuda nia tanba ha'u hatene buat di'ak sei fila mai.,Sira hanorin katak buat di'ak sei fila mai.,Buat di'ak sei fila mai se ita halo ho sincero.
Kabun boot la bele iha ai-laran ki'ik,Negated comparative clause,A big problem cannot be solved with small means,Big issues need big solutions,C2,"Politics, economics, workplace","Formal, ironic",Agricultural imagery: large stomach cannot be filled by tiny fruit,/kabun boːt la bele iha ai laɾan kiʔik/,"Kabun boot la bele iha ai-laran ki'ik, hanesan problema governu.",Ekonomia mos hatudu kabun boot la bele iha ai-laran ki'ik.,Ha'u hanoin problema ne'e kabun boot la bele iha ai-laran ki'ik.
Sosa bee ho kabun mutin,Verb phrase with metaphorical complement,To act naively or without caution,To be careless or gullible,B2,"Daily speech, humor, irony","Colloquial, sarcastic",Refers to buying water as if it were pure rice; seen as foolishness,/sosa beː ho kabun mutin/,Nia sosa bee ho kabun mutin bainhira nia entrega osan la hatene.,Labarik ida halo hanesan sosa bee ho kabun mutin.,Ha'u hanorin katak la bele sosa bee ho kabun mutin.
