Idiom (Congo Swahili),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Congo Swahili)",First Example Sentence,Second Example Sentence,Third Example Sentence
Haraka haraka haina baraka,Fixed proverbial clause; negative existential construction with rhyming nominal pair,Rushing leads to mistakes or lack of success.,"Ukifanya mambo kwa pupa, unaweza kukosea.",B1,"Daily speech, family advice, education, workplace","Proverbial, advisory, neutral",Widely used across East and Central Africa; reflects agrarian patience values.,/haˈɾaka haˈɾaka ˈhaina baˈɾaka/,Mama alinambia haraka haraka haina baraka nilipokuwa nakimbilia kumaliza kazi.,"Katika biashara, haraka haraka haina baraka, lazima ufikirie kwanza.","Walipoanza kujenga bila mpango, mzee alisema haraka haraka haina baraka."
Maji yakimwagika hayazoleki,Conditional subordinate clause with negative potential verb,"Once something is done, it cannot be undone.",Kosa likishafanyika haliwezi kurekebishwa kabisa.,B2,"Conflict resolution, politics, interpersonal advice","Reflective, cautionary",Common metaphor in Swahili regions referencing scarcity of clean water.,/ˈmaji jakiˈmwaɡika hajozoˈleki/,"Baada ya kuvunja uhusiano, alikumbushwa kuwa maji yakimwagika hayazoleki.",Maneno makali yakishasemwa ni kama maji yakimwagika hayazoleki.,Alilia akijua kuwa maji yakimwagika hayazoleki.
Kupiga chenga,Infinitive verb phrase; metaphorical action verb,To evade a question or responsibility cleverly.,Kuepuka kujibu au kushughulikia jambo moja kwa moja.,B2,"Politics, debates, informal speech","Colloquial, humorous",Derived from football culture popular in Congo cities.,/kuˈpiɡa ˈtʃeŋɡa/,"Waziri alipoulizwa kuhusu bajeti, alianza kupiga chenga.","Usipige chenga, jibu swali langu moja kwa moja.","Katika mazungumzo, alijaribu kupiga chenga ili asilaumiwe."
Kula matapishi yake,Transitive verb phrase with reflexive possessive object,To retract one’s statement shamefully.,Kubadilisha kauli yako baada ya kuikana.,C1,"Politics, sarcasm, social criticism","Colloquial, ironic, slightly vulgar",Urban Congo usage; vivid imagery emphasizes embarrassment.,/kuˈla mataˈpiʃi ˈjake/,"Baada ya ushahidi kutolewa, alilazimika kula matapishi yake.",Usije kula matapishi yako mbele ya watu.,"Alipokataa kwanza halafu akakubali, watu walisema amekula matapishi yake."
Kuweka mambo hadharani,Infinitive verb phrase with locative adverb,To expose secrets publicly.,Kufichua siri kwa watu wote.,B2,"Media, family disputes, politics",Neutral to formal,Used widely in Congolese media discourse.,/kuˈweka ˈmambo hadaˈɾani/,Mwandishi aliamua kuweka mambo hadharani.,Usiweke mambo ya familia hadharani bila sababu.,Ripoti hiyo iliweka mambo hadharani kuhusu ufisadi.
Kushika tamaa,Infinitive verb phrase; stative verb construction,To lose hope.,Kupoteza matumaini.,A2,"Daily life, education, motivational speech","Neutral, emotional",Common across Swahili-speaking communities.,/kuˈʃika taˈmaa/,Usishike tamaa hata kama mambo ni magumu.,Alishika tamaa baada ya kushindwa mara tatu.,Walimu walimwambia asishike tamaa.
Kupaka mafuta kwa mgongo wa chupa,Infinitive verb phrase with instrumental locative phrase,To waste effort in a useless way.,Kupoteza nguvu bure bila matokeo.,C2,"Humor, criticism, workplace","Humorous, ironic",Traditional imagery from bottle-use metaphor in Swahili regions.,/kuˈpaka maˈfuta kwa mˈɡoŋɡo wa ˈtʃupa/,Kujaribu kumshawishi mtu huyo ni kupaka mafuta kwa mgongo wa chupa.,Utafiti bila data ni kama kupaka mafuta kwa mgongo wa chupa.,Alisema juhudi zao ni kupaka mafuta kwa mgongo wa chupa.
Kuvunja ukimya,Infinitive verb phrase; metaphorical transitive verb,To break silence and speak out.,Kuanza kuzungumza baada ya kimya kirefu.,B1,"Media, activism, social justice","Formal, literary",Popular in Congolese journalism and advocacy movements.,/kuˈvunja uˈkimja/,"Baada ya miaka mingi, aliamua kuvunja ukimya.",Mashahidi walivunja ukimya kuhusu tukio hilo.,Ni wakati wa kuvunja ukimya na kusema ukweli.
Kujifanya mjanja,Reflexive verb phrase with adjectival complement,To pretend to be clever.,Kuonyesha ujanja wa bandia.,B1,"Daily speech, sarcasm, youth slang","Colloquial, sarcastic",Urban Congo youth expression.,/kujiˈfanja mˈdʒanja/,Usijifanye mjanja mbele ya walimu.,Alijifanya mjanja lakini alikosea vibaya.,Kujifanya mjanja hakutamsaidia.
Kupanda kichwani,Infinitive verb phrase with locative noun,To become arrogant after success.,Kuwa na kiburi baada ya mafanikio.,B2,"Family advice, workplace, politics","Colloquial, cautionary",Common metaphorical imagery in Congo urban discourse.,/kuˈpanda kiˈtʃwani/,Mafanikio yasikupande kichwani.,"Tangu apandishwe cheo, mambo yameanza kumpanda kichwani.",Walimu walimwonya asiache sifa zimpande kichwani.
