Idiom (Neapolitan),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Neapolitan)",First Example Sentence,Second Example Sentence,Third Example Sentence
"Chi va cu’ ‘zoppo, ‘mpara ‘a zoppicà","Fixed clause, conditional construction","If you spend time with people who have bad habits, you’ll pick them up too.",Bad company influences behavior.,B1,"Daily speech, family advice","Colloquial, proverbial","Traditional Neapolitan proverb, widespread across Southern Italy","ki va ku ˈtsɔppə, ˈmpara a tsopˈpikà","Nun’ è meglie, pecché chi va cu’ ‘zoppo, ‘mpara ‘a zoppicà.","Te l’aggio ditto: chi va cu’ ‘zoppo, ‘mpara ‘a zoppicà.","Sta cumpagnia nun t’aiuta: chi va cu’ ‘zoppo, ‘mpara ‘a zoppicà."
Acqua passata nun macina cchiù,"Fixed clause, negative form",The past is gone and has no effect anymore.,Past events no longer matter.,B2,"Daily speech, reconciliation, wisdom","Proverbial, reflective",Linked to water mills in rural Southern Italy,ˈakkwa pasˈsatə nun maˈʧinə kkju,Nun penzàce cchiù: acqua passata nun macina cchiù.,"L’errore è stato fatto, acqua passata nun macina cchiù.","Me so’ scusato, acqua passata nun macina cchiù."
‘O tiempo è galantuomo,Nominal clause with copula,Time reveals the truth and restores justice.,"In time, the truth will come out.",C1,"Philosophy, politics, justice","Proverbial, formal",Ancient proverb; deeply tied to Neapolitan worldview,o ˈtjempə ɛ ɡalanˈtwɔmə,"Nun t’ preoccupà, ‘o tiempo è galantuomo.",Aspetta e vedrai: ‘o tiempo è galantuomo.,"‘A verità vene sempe fora, pecché ‘o tiempo è galantuomo."
"Chi tene pan’, nun tene dente","Fixed clause, negative coordination","Those who have resources can’t use them, and those in need lack them.",Life is unfairly distributed.,B2,"Irony, social criticism","Ironic, proverbial",Traditional Southern Italian proverb,ki ˈtenə pan nun ˈtenə ˈdentə,"Chi tene pan’, nun tene dente: che sfortuna!","Comme sempre, chi tene pan’, nun tene dente.","È ‘a vita: chi tene pan’, nun tene dente."
A capa tosta rompe ‘o muro,"Nominal phrase, metaphorical structure",Stubborn people eventually succeed.,Persistence overcomes obstacles.,B1,"Workplace, humor, family advice","Colloquial, humorous",Everyday Neapolitan wisdom,a ˈkapə ˈtɔstə ˈrompə o ˈmuːrə,"Ce vo’ capa tosta, ca rompe ‘o muro.",Ha insistito e ce l’ha fatta: a capa tosta rompe ‘o muro.,"Cu’ ‘a capa tosta, pure ‘o muro se rompe."
"Quanno ‘a gatta nun ce sta, ‘e surice ballano",Conditional clause,"When authority is absent, people act freely.","Without supervision, people misbehave.",B1,"Workplace, school, humor","Colloquial, proverbial",Shared Mediterranean proverb,"ˈkwannə a ˈɡattə nun ʧe sta, e ˈsuritʃə ˈballanə","‘O professore nun c’è: quanno ‘a gatta nun ce sta, ‘e surice ballano.","A capa è partita, quanno ‘a gatta nun ce sta, ‘e surice ballano.","Nun ce sta legge: quanno ‘a gatta nun ce sta, ‘e surice ballano."
Meglio ‘nu muorzo oggi ca ‘na gallina dimane,Comparative clause,It’s better to have a little today than a lot tomorrow.,A sure small gain is better than a possible big one.,B2,"Economy, daily speech","Proverbial, ironic",Traditional rural wisdom,ˈmeʎʎo nu ˈmwɔrtsə ˈɔddʒi ka na ɡalˈlinə diˈmanə,Accettammo mo’: meglio ‘nu muorzo oggi ca ‘na gallina dimane.,Nun aspettà troppo: meglio ‘nu muorzo oggi ca ‘na gallina dimane.,Te conviene: meglio ‘nu muorzo oggi ca ‘na gallina dimane.
Nun è tutt’oro che luce,Negative declarative clause,Not everything that looks good is valuable.,Appearances can be deceiving.,B1,"Advice, irony","Colloquial, proverbial",Shared European proverb,nun ɛ tutˈtoro ke ˈluʧə,Chest’affare nun me cunvince: nun è tutt’oro che luce.,"Pare buono, ma nun è tutt’oro che luce.",Nun fidarte: nun è tutt’oro che luce.
"Chi tardi arriva, mal alloggia","Fixed clause, temporal construction",Latecomers get the worst treatment.,"If you arrive late, you’ll miss the best.",B1,"Daily speech, advice","Proverbial, ironic",Old Neapolitan proverb,"ki ˈtardə arˈrivə, mal alˈloddʒa","S’arrivammo tardi, chi tardi arriva, mal alloggia.","‘O posto è pigliato: chi tardi arriva, mal alloggia.","È accussì: chi tardi arriva, mal alloggia."
"A chi tocca, nun se ‘ngrugna","Fixed clause, impersonal construction","When it’s your turn, you can’t avoid it.",You must accept your responsibilities.,B2,"Family, humor, social life","Colloquial, proverbial",Traditional Neapolitan proverb,"a ki ˈtɔkkə, nun sə ŋˈɡruɲɲa","È ‘o turno tuo: a chi tocca, nun se ‘ngrugna.","Nun lamentà: a chi tocca, nun se ‘ngrugna.","Pure si nun vo’, a chi tocca, nun se ‘ngrugna."
